gene_id	TCGA-BH-A0B3-01A-11R-A056-07	gene_id	TCGA-BH-A0B3-11B-21R-A089-07
ACTA1|58	252.6154	lowly_expressed	lowly_expressed
ACTA2|59	17422.2862	ACTA2|59	21586.3255
lowly_expressed	lowly_expressed	ACTBL2|345651	5.8394
ACTB|60	187518.9558	ACTB|60	50405.4959
lowly_expressed	lowly_expressed	ACTC1|70	34.693
ACTG1|71	151833.7652	ACTG1|71	36076.5994
ACTG2|72	3201.4589	ACTG2|72	3454.5298
ACTL6A|86	2655.1492	ACTL6A|86	816.4878
ACTL8|81569	82.5415	lowly_expressed	lowly_expressed
ACTN1|87	20019.9635	ACTN1|87	7425.3328
ACTN2|88	26.874	lowly_expressed	lowly_expressed
ACTN4|81	29301.7526	ACTN4|81	8624.2061
ACTR10|55860	973.9898	ACTR10|55860	1060.3693
ACTR1A|10121	2541.8946	ACTR1A|10121	1905.7106
ACTR1B|10120	1119.1093	ACTR1B|10120	1302.1898
ACTR2|10097	7336.2127	ACTR2|10097	5251.009
ACTR3B|57180	211.1527	ACTR3B|57180	175.8695
ACTR3C|653857	18.4279	ACTR3C|653857	54.6157
ACTR3|10096	9687.686	ACTR3|10096	2919.3645
ACTR5|79913	215.7597	ACTR5|79913	220.5238
ACTR6|64431	439.5815	ACTR6|64431	643.7097
ACTR8|93973	434.2067	ACTR8|93973	612.4517
ACVR1B|91	467.9912	ACVR1B|91	1294.2894
ACVR1C|130399	70.6402	ACVR1C|130399	690.7686
ACVR1|90	1145.9833	ACVR1|90	1019.8368
ACVR2A|92	246.4728	ACVR2A|92	611.0777
ACVR2B|93	266.4363	ACVR2B|93	710.3478
ACVRL1|94	454.9381	ACVRL1|94	595.9639
ACY1|95	567.4249	ACY1|95	430.9008
ACY3|91703	38.0075	ACY3|91703	20.6097
ACYP1|97	76.7828	ACYP1|97	79.3474
ACYP2|98	71.0241	ACYP2|98	139.1155
ADAL|161823	88.3002	ADAL|161823	190.9833
ADAM10|102	1471.5424	ADAM10|102	2122.1125
ADAM11|4185	7.2944	ADAM11|4185	17.8617
ADAM12|8038	2807.947	ADAM12|8038	415.629
ADAM15|8751	11010.7534	ADAM15|8751	1703.4676
ADAM17|6868	1863.1347	ADAM17|6868	808.5874
ADAM19|8728	1307.995	ADAM19|8728	240.103
ADAM22|53616	8.83	ADAM22|53616	88.9652
ADAM23|8745	23.8027	ADAM23|8745	54.2722
ADAM28|10863	117.0938	ADAM28|10863	172.778
lowly_expressed	lowly_expressed	ADAM29|11086	5.4959
ADAM32|203102	9.9818	ADAM32|203102	27.1361
ADAM33|80332	26.4901	ADAM33|80332	475.1842
ADAM6|8755	163833.3928	ADAM6|8755	32814.444
ADAM8|101	851.5213	ADAM8|101	124.3452
ADAM9|8754	3710.1449	ADAM9|8754	2281.8377
ADAMDEC1|27299	211.9205	ADAMDEC1|27299	114.0404
ADAMTS10|81794	62.1941	ADAMTS10|81794	119.8798
ADAMTS12|81792	886.0735	ADAMTS12|81792	93.4307
ADAMTS13|11093	11.5174	ADAMTS13|11093	94.1176
ADAMTS14|140766	84.845	lowly_expressed	lowly_expressed
ADAMTS15|170689	14.2048	ADAMTS15|170689	361.7003
ADAMTS16|170690	33.4005	ADAMTS16|170690	27.4796
ADAMTS17|170691	61.8102	ADAMTS17|170691	29.1971
lowly_expressed	lowly_expressed	ADAMTS18|170692	53.2417
ADAMTS19|171019	6.9105	lowly_expressed	lowly_expressed
ADAMTS1|9510	597.7541	ADAMTS1|9510	2010.4766
ADAMTS2|9509	1028.5056	ADAMTS2|9509	276.5135
ADAMTS3|9508	91.3715	ADAMTS3|9508	57.3637
ADAMTS4|9507	2949.2274	ADAMTS4|9507	53.9287
ADAMTS5|11096	117.8616	ADAMTS5|11096	1448.1752
ADAMTS6|11174	89.8359	ADAMTS6|11174	20.9532
ADAMTS7|11173	277.9537	ADAMTS7|11173	37.0975
lowly_expressed	lowly_expressed	ADAMTS8|11095	27.8231
ADAMTS9|56999	138.593	ADAMTS9|56999	488.7935
ADAMTSL1|92949	27.6418	ADAMTSL1|92949	158.0077
ADAMTSL2|9719	98.6659	ADAMTSL2|9719	40.8759
ADAMTSL3|57188	116.7099	ADAMTSL3|57188	166.2516
ADAMTSL4|54507	1653.5176	ADAMTSL4|54507	319.7939
ADAMTSL5|339366	51.0606	ADAMTSL5|339366	30.2276
ADAP1|11033	182.1864	ADAP1|11033	131.8197
ADAP2|55803	324.0234	ADAP2|55803	293.6883
ADARB1|104	544.774	ADARB1|104	1039.7596
ADAR|103	26665.8988	ADAR|103	10841.3912
ADAT1|23536	178.9039	ADAT1|23536	299.5277
ADAT2|134637	86.7646	ADAT2|134637	208.845
ADAT3|113179	67.5689	ADAT3|113179	17.5182
ADA|100	217.6792	ADA|100	84.4998
ADCK1|57143	131.6825	ADCK1|57143	147.3594
ADCK2|90956	921.0097	ADCK2|90956	614.2653
ADCK4|79934	489.1064	ADCK4|79934	374.7531
ADCK5|203054	154.7173	ADCK5|203054	75.5689
ADCY1|107	52.9801	ADCY1|107	623.1
ADCY2|108	536.7118	ADCY2|108	89.6522
ADCY3|109	2282.5415	ADCY3|109	1108.1151
ADCY4|196883	107.4959	ADCY4|196883	400.8587
lowly_expressed	lowly_expressed	ADCY5|111	284.4139
ADCY6|112	951.7228	ADCY6|112	2792.6149
ADCY7|113	767.0602	ADCY7|113	526.9214
ADCY9|115	667.6265	ADCY9|115	830.5711
lowly_expressed	lowly_expressed	ADCYAP1R1|117	28.8536
ADCYAP1|116	105.1924	ADCYAP1|116	10.3049
ADC|113451	76.7828	ADC|113451	194.0747
ADD1|118	4041.0788	ADD1|118	6282.1812
ADD2|119	37.6236	ADD2|119	66.2945
ADD3|120	1086.0927	ADD3|120	3252.2112
lowly_expressed	lowly_expressed	ADH1A|124	190.176
ADH1B|125	377.3875	ADH1B|125	14183.9416
ADH1C|126	36.8557	ADH1C|126	353.7999
lowly_expressed	lowly_expressed	ADH4|127	9.2744
ADH5|128	1850.0816	ADH5|128	3415.0279
ADH7|131	101.7372	ADH7|131	18.2052
ADHFE1|137872	31.8649	ADHFE1|137872	324.6028
ADI1|55256	1362.1269	ADI1|55256	1402.4903
ADIPOQ|9370	199.6353	ADIPOQ|9370	12393.6453
ADIPOR1|51094	2286.9757	ADIPOR1|51094	2076.4277
ADIPOR2|79602	2086.1887	ADIPOR2|79602	2419.5792
ADK|132	549.7649	ADK|132	432.4603
ADM2|79924	426.1445	ADM2|79924	111.6359
ADM|133	1469.6228	ADM|133	344.5255
ADNP2|22850	710.2409	ADNP2|22850	841.9064
ADNP|23394	2535.752	ADNP|23394	3309.2314
ADORA1|134	129.7629	ADORA1|134	231.8592
ADORA2A|135	177.3683	ADORA2A|135	72.821
ADORA2B|136	188.1179	ADORA2B|136	63.8901
ADORA3|140	150.4943	ADORA3|140	127.4367
ADO|84890	391.5923	ADO|84890	662.9455
ADPGK|83440	1057.4451	ADPGK|83440	908.9566
ADPRHL1|113622	82.1576	ADPRHL1|113622	54.6157
ADPRHL2|54936	968.2311	ADPRHL2|54936	538.2568
ADPRH|141	434.2067	ADPRH|141	434.8647
lowly_expressed	lowly_expressed	ADRA1A|148	29.1971
ADRA1B|147	8.0622	ADRA1B|147	17.8617
ADRA2A|150	114.0225	ADRA2A|150	1147.9605
ADRA2B|151	36.4718	ADRA2B|151	32.9755
ADRA2C|152	8.0622	ADRA2C|152	43.9674
ADRB1|153	21.4992	ADRB1|153	31.945
ADRB2|154	20.3474	ADRB2|154	203.0056
lowly_expressed	lowly_expressed	ADRB3|155	5.1524
ADRBK1|156	2255.4948	ADRBK1|156	1532.3315
ADRBK2|157	246.8567	ADRBK2|157	1562.559
ADRM1|11047	2495.441	ADRM1|11047	727.866
ADSL|158	967.4633	ADSL|158	679.7767
ADSSL1|122622	78.7024	ADSSL1|122622	131.2151
ADSS|159	2208.6573	ADSS|159	1319.021
AEBP1|165	19163.8353	AEBP1|165	5384.6286
AEBP2|121536	340.9156	AEBP2|121536	870.073
AEN|64782	478.7408	AEN|64782	439.3302
AES|166	5575.1992	AES|166	5486.9901
AFAP1L1|134265	158.9404	AFAP1L1|134265	412.1941
AFAP1L2|84632	384.2979	AFAP1L2|84632	853.2417
AFAP1|60312	1452.0434	AFAP1|60312	1314.1812
lowly_expressed	lowly_expressed	AFARP1|246182	6.5264
AFF1|4299	971.3024	AFF1|4299	3188.3212
AFF2|2334	11.9013	lowly_expressed	lowly_expressed
AFF3|3899	51.4445	AFF3|3899	3000.4294
AFF4|27125	1830.502	AFF4|27125	3949.1627
AFG3L1|172	288.7033	AFG3L1|172	300.9017
AFG3L2|10939	1561.0519	AFG3L2|10939	1379.2872
AFMID|125061	301.7564	AFMID|125061	594.59
lowly_expressed	lowly_expressed	AFP|174	986.1743
AFTPH|54812	1282.6567	AFTPH|54812	1963.7613
AG2|387763	151.2621	AG2|387763	227.7372
lowly_expressed	lowly_expressed	AGAP11|119385	305.0408
AGAP1|116987	348.9778	AGAP1|116987	710.3478
AGAP2|116986	84.3305	AGAP2|116986	116.1151
AGAP3|116988	1266.5323	AGAP3|116988	1222.8424
AGAP4|119016	124.0042	AGAP4|119016	356.5479
AGAP5|729092	11.5405	AGAP5|729092	74.3186
AGAP6|414189	74.0954	AGAP6|414189	156.6337
AGAP7|653268	5.7587	AGAP7|653268	13.0528
AGAP8|728404	17.66	AGAP8|728404	46.3718
AGA|175	576.2549	AGA|175	527.6084
lowly_expressed	lowly_expressed	AGBL2|79841	21.6402
lowly_expressed	lowly_expressed	AGBL3|340351	9.2744
lowly_expressed	lowly_expressed	AGBL4|84871	13.0528
AGBL5|60509	1364.4496	AGBL5|60509	844.7231
AGER|177	13.0531	AGER|177	58.3942
AGFG1|3267	1751.7996	AGFG1|3267	1666.9815
AGFG2|3268	229.5806	AGFG2|3268	452.7265
AGGF1|55109	366.6379	AGGF1|55109	1031.5157
AGK|55750	474.1338	AGK|55750	576.3847
AGL|178	580.0941	AGL|178	1191.9279
AGMAT|79814	91.7554	AGMAT|79814	12.7093
AGPAT1|10554	2034.1952	AGPAT1|10554	1432.0103
AGPAT2|10555	1612.4388	AGPAT2|10555	1403.5208
AGPAT3|56894	2124.964	AGPAT3|56894	1671.447
AGPAT4|56895	167.7704	AGPAT4|56895	238.7291
AGPAT5|55326	818.1207	AGPAT5|55326	688.7076
AGPAT6|137964	2268.1639	AGPAT6|137964	1689.9957
AGPAT9|84803	56.0514	AGPAT9|84803	284.4139
AGPHD1|123688	50.2927	AGPHD1|123688	58.7377
AGPS|8540	1182.839	AGPS|8540	1008.158
AGR2|10551	76.3989	AGR2|10551	3895.5775
lowly_expressed	lowly_expressed	AGR3|155465	384.7145
AGRN|375790	5094.9227	AGRN|375790	3801.8033
AGTPBP1|23287	459.929	AGTPBP1|23287	396.0498
AGTR1|185	17.2761	AGTR1|185	356.8914
AGTRAP|57085	1313.3698	AGTRAP|57085	498.4113
AGT|183	206.9296	AGT|183	83.8128
AGXT2L2|85007	226.5937	AGXT2L2|85007	545.2881
AHCTF1|25909	2543.0464	AHCTF1|25909	1554.3152
AHCYL1|10768	3302.8122	AHCYL1|10768	4120.5668
AHCYL2|23382	286.3998	AHCYL2|23382	617.9476
AHCY|191	2556.0994	AHCY|191	1957.2349
AHDC1|27245	412.7076	AHDC1|27245	757.4066
AHI1|54806	265.2846	AHI1|54806	568.4843
AHNAK2|113146	3814.5695	AHNAK2|113146	1110.863
AHNAK|79026	28164.3152	AHNAK|79026	83023.1
AHRR|57491	68.7206	AHRR|57491	120.5668
AHR|196	860.3513	AHR|196	3456.2473
AHSA1|10598	2000.5759	AHSA1|10598	1220.7815
AHSA2|130872	235.7232	AHSA2|130872	1099.8712
AIDA|64853	2145.1272	AIDA|64853	1017.1919
AIF1L|83543	452.2507	AIF1L|83543	1831.8592
AIF1|199	522.507	AIF1|199	535.8523
AIFM1|9131	1016.6043	AIFM1|9131	633.0614
AIFM2|84883	461.0807	AIFM2|84883	692.1426
AIFM3|150209	12.2852	AIFM3|150209	14.1451
AIG1|51390	621.5568	AIG1|51390	956.9772
AIM1L|55057	96.7463	lowly_expressed	lowly_expressed
AIM1|202	1962.9523	AIM1|202	2958.523
AIM2|9447	226.1253	AIM2|9447	15.4573
AIMP1|9255	1106.8241	AIMP1|9255	1191.4985
AIMP2|7965	666.6168	AIMP2|7965	172.5513
AIP|9049	930.2236	AIP|9049	679.0897
AJAP1|55966	5.7587	AJAP1|55966	15.8008
AK1|203	816.5851	AK1|203	367.8832
AK2|204	2487.3788	AK2|204	2082.6071
AK3L1|205	588.5402	AK3L1|205	397.7673
AK3|50808	1064.9774	AK3|50808	1978.5316
AK5|26289	52.9801	AK5|26289	2075.3972
lowly_expressed	lowly_expressed	AK7|122481	46.3718
AKAP10|11216	394.6636	AKAP10|11216	579.8197
AKAP11|11215	794.3181	AKAP11|11215	2259.167
AKAP12|9590	481.4282	AKAP12|9590	2511.2924
AKAP13|11214	2439.3896	AKAP13|11214	4553.3705
AKAP1|8165	2075.823	AKAP1|8165	2591.3267
AKAP2|11217	689.3138	AKAP2|11217	1215.629
AKAP3|10566	21.1153	AKAP3|10566	68.012
AKAP5|9495	66.801	AKAP5|9495	122.2842
AKAP6|9472	25.7222	AKAP6|9472	246.286
AKAP7|9465	155.1013	AKAP7|9465	192.7007
AKAP8L|26993	775.8902	AKAP8L|26993	873.1644
AKAP8|10270	668.0104	AKAP8|10270	784.8862
AKAP9|10142	1250.024	AKAP9|10142	5074.1091
AKD1|221264	62.1941	AKD1|221264	191.3267
AKIRIN1|79647	1413.1874	AKIRIN1|79647	1045.599
AKIRIN2|55122	870.333	AKIRIN2|55122	695.234
AKNA|80709	765.5245	AKNA|80709	1030.1417
AKR1A1|10327	1569.4404	AKR1A1|10327	1574.5814
AKR1B10|57016	576.6388	AKR1B10|57016	141.52
AKR1B15|441282	101.3533	lowly_expressed	lowly_expressed
AKR1B1|231	1350.9934	AKR1B1|231	904.079
AKR1C1|1645	1300.3167	AKR1C1|1645	1135.0142
AKR1C2|1646	303.2921	AKR1C2|1646	1157.5784
AKR1C3|8644	516.7482	AKR1C3|8644	1470.5024
AKR1E2|83592	117.0938	AKR1E2|83592	20.8467
AKR7A2|8574	560.1305	AKR7A2|8574	953.5423
AKR7A3|22977	17.2761	AKR7A3|22977	309.8325
AKR7L|246181	5.3748	AKR7L|246181	49.1198
AKT1S1|84335	1513.7729	AKT1S1|84335	579.1327
AKT1|207	4960.9368	AKT1|207	3143.3233
AKT2|208	3335.8288	AKT2|208	2164.7059
AKT3|10000	448.7955	AKT3|10000	1547.4453
AKTIP|64400	776.4315	AKTIP|64400	723.3353
ALAD|210	702.5626	ALAD|210	2366.681
ALAS1|211	1340.2438	ALAS1|211	776.2988
lowly_expressed	lowly_expressed	ALB|213	63352.8553
ALCAM|214	815.4333	ALCAM|214	4883.4693
ALDH16A1|126133	765.9084	ALDH16A1|126133	410.1331
ALDH18A1|5832	2486.611	ALDH18A1|5832	1452.6406
ALDH1A1|216	275.2663	ALDH1A1|216	2543.5809
ALDH1A2|8854	20.7314	ALDH1A2|8854	254.8733
ALDH1A3|220	860.2476	ALDH1A3|220	3146.2155
ALDH1B1|219	2971.4944	ALDH1B1|219	581.8806
ALDH1L1|10840	5.3748	ALDH1L1|10840	309.1456
ALDH1L2|160428	408.8684	ALDH1L2|160428	232.8897
ALDH2|217	1884.2499	ALDH2|217	5749.4204
ALDH3A1|218	573.5675	ALDH3A1|218	147.0159
ALDH3A2|224	1582.4935	ALDH3A2|224	3080.1202
ALDH3B1|221	271.0433	ALDH3B1|221	188.2353
ALDH3B2|222	989.7303	ALDH3B2|222	2101.8463
ALDH4A1|8659	732.1239999999999	ALDH4A1|8659	834.0060000000001
ALDH5A1|7915	403.1097	ALDH5A1|7915	647.8317
ALDH6A1|4329	169.4443	ALDH6A1|4329	653.3104
ALDH7A1|501	1390.1526	ALDH7A1|501	2229.9699
lowly_expressed	lowly_expressed	ALDH8A1|64577	10.6483
ALDH9A1|223	2561.0903	ALDH9A1|223	3023.1
ALDOA|226	39086.2847	ALDOA|226	9921.5114
lowly_expressed	lowly_expressed	ALDOB|229	10.9918
ALDOC|230	284.8642	ALDOC|230	730.6139999999999
ALG10B|144245	71.408	ALG10B|144245	481.9236
ALG10|84920	42.2305	ALG10|84920	122.9712
ALG11|440138	19.1957	ALG11|440138	18.5487
ALG12|79087	381.2266	ALG12|79087	396.3933
ALG13|79868	311.3543	ALG13|79868	516.6166
ALG14|199857	207.3136	ALG14|199857	171.7475
ALG1L|200810	7.0333	ALG1L|200810	9.3156
ALG1|56052	693.675	ALG1|56052	396.1975
ALG2|85365	566.2732	ALG2|85365	870.76
ALG3|10195	1484.5955	ALG3|10195	362.3873
ALG5|29880	684.1348	ALG5|29880	632.0309
ALG6|29929	335.5408	ALG6|29929	284.4139
ALG8|79053	603.1289	ALG8|79053	624.1305
ALG9|79796	636.5294	ALG9|79796	643.3663
ALKBH1|8846	173.5291	ALKBH1|8846	250.7514
ALKBH2|121642	360.8792	ALKBH2|121642	263.1172
ALKBH3|221120	327.4786	ALKBH3|221120	395.0193
ALKBH4|54784	245.1521	ALKBH4|54784	232.8072
ALKBH5|54890	3967.7167	ALKBH5|54890	1928.6698
ALKBH6|84964	115.94200000000001	ALKBH6|84964	66.2945
ALKBH7|84266	359.7274	ALKBH7|84266	290.5968
ALKBH8|91801	190.8053	ALKBH8|91801	353.4564
ALK|238	6.1426	ALK|238	8.2439
lowly_expressed	lowly_expressed	ALMS1P|200420	6.8699
ALMS1|7840	1028.8895	ALMS1|7840	891.0262
ALOX12P2|245	7.2944	ALOX12P2|245	39.1584
lowly_expressed	lowly_expressed	ALOX12|239	8.2851
ALOX15B|247	39.5431	ALOX15B|247	180.3349
ALOX15|246	25.7222	ALOX15|246	211.593
ALOX5AP|241	632.6903	ALOX5AP|241	265.5217
ALOX5|240	486.0351	ALOX5|240	752.2542
