gene_id	TCGA-A7-A0DB-01A-11R-A00Z-07	gene_id	TCGA-A7-A0DB-11A-33R-A089-07
ADH5|128	2109.3975	ADH5|128	4385.0515
lowly_expressed	lowly_expressed	ADH6|130	13.9175
lowly_expressed	lowly_expressed	ADH7|131	53.6082
ADHFE1|137872	93.8787	ADHFE1|137872	563.9175
ADI1|55256	1192.0682	ADI1|55256	2818.5567
ADIPOQ|9370	2924.418	ADIPOQ|9370	51822.6804
ADIPOR1|51094	3369.6714	ADIPOR1|51094	2174.2268
ADIPOR2|79602	2272.6315	ADIPOR2|79602	3523.1959
ADK|132	432.9917	ADK|132	402.5773
ADM2|79924	84.6824	ADM2|79924	6.1856
ADM|133	100.3928	ADM|133	582.4742
ADNP2|22850	829.1982	lowly_expressed	lowly_expressed
ADNP|23394	4416.1318	ADNP|23394	1913.9175
ADORA1|134	77.0189	ADORA1|134	140.7216
ADORA2A|135	67.0562	ADORA2A|135	45.3608
ADORA2B|136	41.7665	ADORA2B|136	71.134
ADORA3|140	257.8791	ADORA3|140	501.0309
ADO|84890	618.8332	ADO|84890	517.5258
ADPGK|83440	1161.0308	ADPGK|83440	998.5052
ADPRHL1|113622	78.9348	ADPRHL1|113622	39.6907
ADPRHL2|54936	672.095	ADPRHL2|54936	464.9485
ADPRH|141	309.9914	ADPRH|141	782.9897
lowly_expressed	lowly_expressed	ADRA1A|148	80.4124
ADRA1B|147	42.1496	ADRA1B|147	189.1753
lowly_expressed	lowly_expressed	ADRA1D|146	12.3711
ADRA2A|150	781.6841	ADRA2A|150	1233.5052
ADRA2B|151	18.3926	ADRA2B|151	55.6701
ADRA2C|152	25.2898	ADRA2C|152	106.1856
lowly_expressed	lowly_expressed	ADRB1|153	74.7423
ADRB2|154	50.5796	ADRB2|154	466.4948
ADRBK1|156	1255.6758	ADRBK1|156	1469.5876
ADRBK2|157	678.6091	ADRBK2|157	4501.0309
ADRM1|11047	1349.1714	ADRM1|11047	987.6289
ADSL|158	516.9077	ADSL|158	734.0206
ADSSL1|122622	137.9442	ADSSL1|122622	451.0309
ADSS|159	2705.24	ADSS|159	764.433
AEBP1|165	19440.9426	AEBP1|165	8602.0619
AEBP2|121536	567.4873	AEBP2|121536	557.732
AEN|64782	361.7205	AEN|64782	188.6598
AES|166	9250.3113	AES|166	4892.268
AFAP1L1|134265	193.8883	AFAP1L1|134265	1143.8144
AFAP1L2|84632	416.515	AFAP1L2|84632	591.2371
AFAP1|60312	1221.5538	AFAP1|60312	1718.0206
AFF1|4299	2418.2393	AFF1|4299	4071.6495
AFF2|2334	22.9907	AFF2|2334	35.0515
AFF3|3899	1308.5545	AFF3|3899	168.0412
AFF4|27125	4989.75	AFF4|27125	2510.8247
AFG3L1|172	92.346	AFG3L1|172	184.0206
AFG3L2|10939	1352.0759	AFG3L2|10939	989.9021
AFMID|125061	732.6372	AFMID|125061	213.4021
AFP|174	5.3645	lowly_expressed	lowly_expressed
AFTPH|54812	1915.126	AFTPH|54812	904.1237
AG2|387763	88.8974	AG2|387763	481.9588
AGAP11|119385	21.0748	AGAP11|119385	261.3454
AGAP1|116987	537.9826	AGAP1|116987	557.732
AGAP2|116986	39.0037	AGAP2|116986	60.5206
AGAP3|116988	975.5724	AGAP3|116988	1176.2887
AGAP4|119016	122.2339	AGAP4|119016	147.4227
AGAP5|729092	42.2952	AGAP5|729092	39.8093
AGAP6|414189	90.8133	AGAP6|414189	106.701
AGAP7|653268	6.8972	AGAP7|653268	9.7938
AGAP8|728404	33.3365	AGAP8|728404	17.0103
AGA|175	416.8982	AGA|175	234.0206
AGBL3|340351	6.8972	AGBL3|340351	5.1546
AGBL4|84871	17.6262	AGBL4|84871	7.732
AGBL5|60509	552.9495	AGBL5|60509	507.268
AGER|177	7.6636	AGER|177	30.9278
AGFG1|3267	1347.2555	AGFG1|3267	2302.0619
AGFG2|3268	624.9641	AGFG2|3268	341.2371
AGGF1|55109	1254.5263	AGGF1|55109	935.567
AGK|55750	798.5439	AGK|55750	490.2062
AGL|178	2183.7341	AGL|178	1056.1856
