gene_id	TCGA-BH-A1FE-06A-11R-A213-07	gene_id	TCGA-BH-A1FE-11B-14R-A13Q-07
ACVR2B|93	173.638	ACVR2B|93	569.6822
ACVRL1|94	582.0738	ACVRL1|94	348.9347
ACY1|95	386.6011	ACY1|95	352.4275
lowly_expressed	lowly_expressed	ACY3|91703	16.7656
ACYP1|97	63.2689	ACYP1|97	63.2204
ACYP2|98	226.7135	ACYP2|98	185.8191
ADAD2|161931	19.2865	lowly_expressed	lowly_expressed
ADAL|161823	191.5641	ADAL|161823	261.963
ADAM10|102	1934.9736	ADAM10|102	2884.0377
ADAM11|4185	54.4815	ADAM11|4185	20.957
ADAM12|8038	797.188	ADAM12|8038	687.7401
ADAM15|8751	2144.464	ADAM15|8751	1217.6109
ADAM17|6868	1297.3638	ADAM17|6868	1078.5889
ADAM19|8728	1260.4569	ADAM19|8728	130.2829
ADAM21|8747	14.7627	ADAM21|8747	5.2393
ADAM22|53616	50.2636	ADAM22|53616	108.278
ADAM23|8745	503.6907	ADAM23|8745	8.0335
ADAM28|10863	17.9262	ADAM28|10863	169.4027
ADAM32|203102	16.5202	ADAM32|203102	134.8236
ADAM33|80332	531.5677	ADAM33|80332	316.4513
ADAM6|8755	838.9666	ADAM6|8755	51079.001
ADAM8|101	37.6098	ADAM8|101	54.4883
ADAM9|8754	4919.5079	ADAM9|8754	1605.3091
lowly_expressed	lowly_expressed	ADAMDEC1|27299	9.78
ADAMTS10|81794	320.2109	ADAMTS10|81794	44.3591
ADAMTS12|81792	494.9033	ADAMTS12|81792	159.9721
ADAMTS13|11093	80.1406	ADAMTS13|11093	32.4834
ADAMTS14|140766	620.0351	lowly_expressed	lowly_expressed
ADAMTS15|170689	286.4675	ADAMTS15|170689	72.6511
ADAMTS16|170690	1577.1529	ADAMTS16|170690	130.2829
ADAMTS17|170691	146.5729	ADAMTS17|170691	61.474
ADAMTS18|170692	200	ADAMTS18|170692	122.948
ADAMTS19|171019	16.1687	ADAMTS19|171019	5.9378
ADAMTS1|9510	11225.3076	ADAMTS1|9510	2991.6172
ADAMTS2|9509	2718.8049	ADAMTS2|9509	125.7422
ADAMTS3|9508	235.5009	ADAMTS3|9508	84.5267
ADAMTS4|9507	11745.167	ADAMTS4|9507	135.5222
ADAMTS5|11096	982.7768	ADAMTS5|11096	3397.1359
ADAMTS6|11174	165.5536	ADAMTS6|11174	15.7178
ADAMTS7|11173	1270.6503	ADAMTS7|11173	18.5121
ADAMTS8|11095	164.4991	ADAMTS8|11095	72.6511
ADAMTS9|56999	2483.304	ADAMTS9|56999	1133.0772
ADAMTSL1|92949	294.5518	ADAMTSL1|92949	86.9717
ADAMTSL2|9719	203.8664	ADAMTSL2|9719	5.9378
ADAMTSL3|57188	151.1424	ADAMTSL3|57188	132.3786
ADAMTSL4|54507	804.5694	ADAMTSL4|54507	349.284
ADAMTSL5|339366	16.5202	ADAMTSL5|339366	28.6413
ADAP1|11033	78.2566	ADAP1|11033	27.1114
ADAP2|55803	259.754	ADAP2|55803	159.9721
ADARB1|104	476.9772	ADARB1|104	623.1226
ADAR|103	7424.2531	ADAR|103	7828.8509
ADAT1|23536	388.4007	ADAT1|23536	292.7
ADAT2|134637	71.3533	ADAT2|134637	358.7146
