gene_id	TCGA-BH-A1FE-06A-11R-A213-07	gene_id	TCGA-BH-A1FE-11B-14R-A13Q-07
MMS19|64210	897.3638	MMS19|64210	1830.9466
MN1|4330	921.2654	MN1|4330	111.7709
MNAT1|4331	231.283	MNAT1|4331	280.475
MND1|84057	126.8893	MND1|84057	20.6078
MNDA|4332	126.5378	MNDA|4332	144.9528
MNS1|55329	76.9772	MNS1|55329	185.4698
MNT|4335	962.3902	MNT|4335	470.1362
MOAP1|64112	1215.1142	MOAP1|64112	867.9707
MOB2|81532	420.0351	MOB2|81532	229.1303
MOBKL1A|92597	869.9473	MOBKL1A|92597	1567.2372
MOBKL1B|55233	845.6942	MOBKL1B|55233	1165.9099
MOBKL2A|126308	1007.7329	MOBKL2A|126308	973.1051
MOBKL2B|79817	509.6661	MOBKL2B|79817	1126.4408
MOBKL2C|148932	675.8524	MOBKL2C|148932	460.00699999999995
MOBKL3|25843	934.2707	MOBKL3|25843	1723.3671
MOBP|4336	37.2583	lowly_expressed	lowly_expressed
MOCOS|55034	546.9244	MOCOS|55034	225.6374
MOCS1|4337	299.7012	MOCS1|4337	1157.9357
MOCS2|4338	876.9772	MOCS2|4338	816.2766
MOCS3|27304	124.4288	MOCS3|27304	170.4506
lowly_expressed	lowly_expressed	MOGAT2|80168	12.5742
MOGS|7841	1308.6116	MOGS|7841	532.6581
MON1A|84315	171.8805	MON1A|84315	99.5459
MON1B|22879	679.4376	MON1B|22879	586.0985
MON2|23041	1149.0334	MON2|23041	3129.5844
MORC2|22880	602.812	MORC2|22880	643.7304
MORC3|23515	809.4903	MORC3|23515	2483.0597
MORC4|79710	899.4728	MORC4|79710	722.3192
MORF4L1|10933	4560.2812	MORF4L1|10933	4476.0740000000005
MORF4L2|9643	12139.8946	MORF4L2|9643	4165.9099
MORF4|10934	5.9754	MORF4|10934	7.335
MORN1|79906	42.5308	MORN1|79906	34.2298
MORN2|729967	169.7715	MORN2|729967	169.752
MORN3|283385	8.0844	lowly_expressed	lowly_expressed
MORN4|118812	181.0193	MORN4|118812	241.3552
MOSC1|64757	79.7891	MOSC1|64757	735.592
MOSC2|54996	900.5272	MOSC2|54996	379.6717
MOSPD1|56180	445.6942	MOSPD1|56180	383.5138
MOSPD2|158747	300.1757	MOSPD2|158747	439.7485
MOSPD3|64598	275.5712	MOSPD3|64598	149.4935
MOV10L1|54456	14.0598	lowly_expressed	lowly_expressed
MOV10|4343	1431.6344	MOV10|4343	634.2997
MOXD1|26002	144.464	MOXD1|26002	54.4883
MPDU1|9526	1034.8049	MPDU1|9526	559.2036
MPDZ|8777	1488.225	MPDZ|8777	2424.0307
MPEG1|219972	856.5905	MPEG1|219972	977.9951
MPG|4350	763.7961	MPG|4350	134.8236
MPHOSPH10|10199	534.6221	MPHOSPH10|10199	1087.6703
MPHOSPH6|10200	678.0316	MPHOSPH6|10200	591.3378
MPHOSPH8|54737	1016.1687	MPHOSPH8|54737	1806.4967
MPHOSPH9|10198	232.6889	MPHOSPH9|10198	251.8337
MPI|4351	797.188	MPI|4351	616.1369
MPL|4352	39.3673	MPL|4352	39.4691
MPND|84954	232.6889	MPND|84954	121.2015
MPO|4353	7.0299	MPO|4353	11.5264
MPP1|4354	886.819	MPP1|4354	348.2361
MPP2|4355	91.0369	MPP2|4355	176.3884
MPP3|4356	33.3919	MPP3|4356	79.6367
MPP5|64398	614.0598	MPP5|64398	1506.8110000000001
MPP6|51678	230.9315	MPP6|51678	213.0632
MPP7|143098	216.5202	MPP7|143098	936.7796
MPPE1|65258	418.6292	MPPE1|65258	559.5529
MPPED1|758	13.0053	MPPED1|758	10.6217
MPPED2|744	196.8366	MPPED2|744	178.8334
MPRIP|23164	4569.42	MPRIP|23164	1470.8348
MPST|4357	960.2812	MPST|4357	253.5802
MPV17L2|84769	395.0791	MPV17L2|84769	128.8858
MPV17L|255027	53.4271	MPV17L|255027	214.8096
MPV17|4358	1068.1898	MPV17|4358	531.2609
MPZL1|9019	3355.0088	MPZL1|9019	9310.1642
MPZL2|10205	285.413	MPZL2|10205	1209.2211
MPZL3|196264	20.7381	MPZL3|196264	133.4265
MPZ|4359	18.6292	MPZ|4359	22.7035
MR1|3140	381.0193	MR1|3140	188.2641
MRAP2|112609	31.283	MRAP2|112609	91.8617
MRAP|56246	3029.0299	MRAP|56246	23.6221
MRAS|22808	2034.7979	MRAS|22808	1912.6789999999999
MRC1|4360	1046.7487	MRC1|4360	393.64300000000003
MRC2|9902	10648.5062	MRC2|9902	603.5627
MRE11A|4361	361.6872	MRE11A|4361	1529.5145
MREG|55686	24.6046	MREG|55686	518.6692
MRFAP1L1|114932	867.8383	MRFAP1L1|114932	1388.0545
MRFAP1|93621	6927.5923	MRFAP1|93621	4753.4055
MRGPRF|116535	2173.2865	MRGPRF|116535	122.5987
lowly_expressed	lowly_expressed	MRGPRX3|117195	11.8757
MRI1|84245	223.5501	MRI1|84245	446.0356
MRM1|79922	81.1951	MRM1|79922	32.4834
MRO|83876	23188.0492	MRO|83876	35.626999999999995
MRP63|78988	748.6292	MRP63|78988	467.9776
MRPL10|124995	792.2671	MRPL10|124995	906.3919
MRPL11|65003	474.1652	MRPL11|65003	498.0789
MRPL12|6182	623.1986	MRPL12|6182	125.7737
MRPL13|28998	444.2882	MRPL13|28998	438.7007
MRPL14|64928	577.1529	MRPL14|64928	207.1254
MRPL15|29088	629.5255	MRPL15|29088	604.6105
MRPL16|54948	854.1301	MRPL16|54948	464.897
MRPL17|63875	860.1054	MRPL17|63875	443.5906
MRPL18|29074	807.0299	MRPL18|29074	518.6867
MRPL19|9801	1087.8735	MRPL19|9801	1863.0807
MRPL1|65008	305.4482	MRPL1|65008	485.5047
MRPL20|55052	865.6098	MRPL20|55052	708.533
MRPL21|219927	291.3884	MRPL21|219927	297.9392
MRPL22|29093	306.1511	MRPL22|29093	305.2742
MRPL23|6150	395.4306	MRPL23|6150	89.766
MRPL24|79590	813.3568	MRPL24|79590	452.67199999999997
MRPL27|51264	549.0334	MRPL27|51264	302.8292
MRPL28|10573	1199.6485	MRPL28|10573	174.642
MRPL2|51069	315.29	MRPL2|51069	219.00099999999998
MRPL30|51263	655.2759	MRPL30|51263	1221.7534
MRPL32|64983	889.9824	MRPL32|64983	756.5491
MRPL33|9553	525.8348	MRPL33|9553	464.1984
MRPL34|64981	443.5852	MRPL34|64981	281.5229
MRPL35|51318	612.6538	MRPL35|51318	910.5833
MRPL36|64979	268.8928	MRPL36|64979	207.4747
MRPL37|51253	1381.7223	MRPL37|51253	1194.5512
MRPL38|64978	712.9104	MRPL38|64978	364.7607
MRPL39|54148	311.0721	MRPL39|54148	430.3178
MRPL3|11222	1184.5343	MRPL3|11222	1723.3671
MRPL40|64976	491.7399	MRPL40|64976	370.5903
MRPL41|64975	480.8436	MRPL41|64975	104.0866
MRPL42P5|359821	5.7575	MRPL42P5|359821	17.1219
MRPL42|28977	635.5009	MRPL42|28977	899.0569
MRPL43|84545	933.3849	MRPL43|84545	661.8093
MRPL44|65080	655.5360000000001	MRPL44|65080	630.4576
MRPL45|84311	677.3286	MRPL45|84311	1495.634
MRPL46|26589	402.10900000000004	MRPL46|26589	296.1928
MRPL47|57129	514.2355	MRPL47|57129	409.0115
MRPL48|51642	231.6344	MRPL48|51642	344.7433
MRPL49|740	2215.4657	MRPL49|740	822.2145
MRPL4|51073	973.2865	MRPL4|51073	363.6046
MRPL50|54534	428.1195	MRPL50|54534	516.9403
MRPL51|51258	1291.3884	MRPL51|51258	677.6109
MRPL52|122704	411.9508	MRPL52|122704	215.1589
MRPL53|116540	475.5712	MRPL53|116540	172.2249
MRPL54|116541	480.1406	MRPL54|116541	141.1107
MRPL55|128308	347.9789	MRPL55|128308	142.1586
MRPL9|65005	564.0246	MRPL9|65005	730.6741
MRPS10|55173	635.1494	MRPS10|55173	924.9039
MRPS11|64963	478.3831	MRPS11|64963	186.5176
MRPS12|6183	413.7083	MRPS12|6183	146.35
MRPS14|63931	301.2302	MRPS14|63931	367.0975
MRPS15|64960	794.0246	MRPS15|64960	613.3426
MRPS16|51021	1112.4675	MRPS16|51021	1420.73
MRPS17|51373	179.5641	MRPS17|51373	265.4558
MRPS18A|55168	641.8278	MRPS18A|55168	376.5281
MRPS18B|28973	751.8453	MRPS18B|28973	1051.3447
MRPS18C|51023	246.2917	MRPS18C|51023	302.0293
MRPS21|54460	821.7926	MRPS21|54460	615.7876
MRPS22|56945	643.2337	MRPS22|56945	519.3853
MRPS23|51649	506.8541	MRPS23|51649	426.825
MRPS24|64951	1017.5747	MRPS24|64951	585.0506
MRPS25|64432	596.0738	MRPS25|64432	749.1512
MRPS26|64949	467.4868	MRPS26|64949	276.6329
MRPS27|23107	1196.1336	MRPS27|23107	1947.9567
MRPS28|28957	320.7733	MRPS28|28957	192.6895
MRPS2|51116	740.8998	MRPS2|51116	741.5264
MRPS30|10884	388.7522	MRPS30|10884	528.1174
MRPS31|10240	257.9965	MRPS31|10240	596.9263
MRPS33|51650	498.7698	MRPS33|51650	674.4673
MRPS34|65993	648.5062	MRPS34|65993	131.3308
MRPS35|60488	975.7469	MRPS35|60488	1581.2085
MRPS36|92259	295.6063	MRPS36|92259	397.1359
MRPS5|64969	609.8418	MRPS5|64969	498.7775
MRPS6|64968	575.7258	MRPS6|64968	570.0175
MRPS7|51081	1057.7434	MRPS7|51081	654.5127
MRPS9|64965	371.8805	MRPS9|64965	513.4474
MRRF|92399	244.2882	MRRF|92399	688.788
MRS2|57380	617.2232	MRS2|57380	728.6064
MRTO4|51154	691.7399	MRTO4|51154	589.2421
MRVI1|10335	1765.2021	MRVI1|10335	743.2763
MS4A14|84689	16.2179	MS4A14|84689	50.6986
lowly_expressed	lowly_expressed	MS4A1|931	116.3116
MS4A2|2206	17.2232	MS4A2|2206	71.6032
MS4A4A|51338	482.9525	MS4A4A|51338	207.4747
MS4A6A|64231	747.2759	MS4A6A|64231	733.1469999999999
MS4A7|58475	623.5009	MS4A7|58475	777.4537
MS4A8B|83661	7.7329	lowly_expressed	lowly_expressed
MSC|9242	462.0492	MSC|9242	18.5889
MSH2|4436	590.1582	MSH2|4436	1479.5669
MSH3|4437	462.6749	MSH3|4437	929.9789999999999
lowly_expressed	lowly_expressed	MSH4|4438	5.9378
MSH5|4439	70.2566	MSH5|4439	302.4136
MSH6|2956	2217.2232	MSH6|2956	2231.5753
MSI1|4440	54.1301	MSI1|4440	68.8089
MSI2|124540	793.3216	MSI2|124540	301.7813
MSL1|339287	1359.9297	MSL1|339287	2764.9319
MSL2|55167	524.4288	MSL2|55167	1964.7223
MSL3L2|151507	43.5852	MSL3L2|151507	123.6465
MSL3|10943	453.4271	MSL3|10943	809.9895
MSLN|10232	119.5079	lowly_expressed	lowly_expressed
MSMP|692094	49.2091	MSMP|692094	48.2012
MSN|4478	8982.7768	MSN|4478	7253.9294
MSR1|4481	542.7065	MSR1|4481	382.4659
MSRA|4482	200.3515	MSRA|4482	152.6371
MSRB2|22921	472.0562	MSRB2|22921	292.3507
MSRB3|253827	2766.9596	MSRB3|253827	2351.3797
MST1P2|11209	13.7083	MST1P2|11209	79.2875
MST1P9|11223	7.3814	MST1P9|11223	81.0339
MST1R|4486	14.7627	MST1R|4486	140.7614
MST1|4485	106.8541	lowly_expressed	lowly_expressed
MST4|51765	80.8436	MST4|51765	702.7593
lowly_expressed	lowly_expressed	MSTN|2660	16.4163
MSTO1|55154	415.2865	MSTO1|55154	531.1212
MSTO2P|100129405	118.6924	MSTO2P|100129405	101.1946
MSX1|4487	137.7856	MSX1|4487	71.2539
MSX2|4488	8.4359	MSX2|4488	169.752
MT1A|4489	58.6995	MT1A|4489	10.1292
MT1E|4493	469.5958	MT1E|4493	607.7541
MT1F|4494	70.6503	MT1F|4494	96.7517
MT1G|4495	26.0105	MT1G|4495	117.0101
MT1L|4500	35.1494	MT1L|4500	37.0241
MT1M|4499	46.3972	MT1M|4499	63.919
MT1X|4501	506.5026	MT1X|4501	1461.4041
MT2A|4502	4688.225	MT2A|4502	1382.4659
MT3|4504	69.5958	lowly_expressed	lowly_expressed
MTA1|9112	980.6678	MTA1|9112	679.008
MTA2|9219	2160.6327	MTA2|9219	1044.3591
MTA3|57504	1082.9525	MTA3|57504	914.4254
MTAP|4507	434.4464	MTAP|4507	1277.3315
MTBP|27085	47.1002	MTBP|27085	199.7904
MTCH1|23787	4665.7293	MTCH1|23787	2123.2972
MTCH2|23788	1441.1248	MTCH2|23788	1079.986
MTCP1NB|100272147	186.5308	MTCP1NB|100272147	223.9923
MTCP1|4515	25.0685	MTCP1|4515	38.3199
MTDH|92140	3208.7873	MTDH|92140	4875.6549
MTERFD1|51001	247.1002	MTERFD1|51001	403.0737
MTERFD2|130916	247.8032	MTERFD2|130916	593.7827
MTERFD3|80298	273.1107	MTERFD3|80298	1140.4122
MTERF|7978	114.587	MTERF|7978	376.1788
MTF1|4520	693.1459	MTF1|4520	1226.6853
MTF2|22823	418.9807	MTF2|22823	838.2815
MTFMT|123263	224.6046	MTFMT|123263	283.6186
MTFR1|9650	373.2865	MTFR1|9650	495.9937
MTG1|92170	455.536	MTG1|92170	208.5225
MTHFD1L|25902	929.7012	MTHFD1L|25902	296.1928
MTHFD1|4522	1338.3128	MTHFD1|4522	1568.9487
MTHFD2L|441024	162.3023	MTHFD2L|441024	713.5662
MTHFD2|10797	1069.9473	MTHFD2|10797	699.2665
MTHFR|4524	1402.7065	MTHFR|4524	426.4757
MTHFSD|64779	215.4657	MTHFSD|64779	336.3605
MTHFS|10588	232.3374	MTHFS|10588	209.2211
MTIF2|4528	393.3216	MTIF2|4528	961.928
MTIF3|219402	594.0246	MTIF3|219402	729.3049
MTL5|9633	13.7083	MTL5|9633	249.738
MTM1|4534	490.3339	MTM1|4534	737.3385
MTMR10|54893	889.5395	MTMR10|54893	1910.0175
MTMR11|10903	250.9666	MTMR11|10903	326.5805
MTMR12|54545	1210.5448	MTMR12|54545	3207.1254
MTMR14|64419	657.9965	MTMR14|64419	642.3332
MTMR15|22909	470.7417	MTMR15|22909	1150.4087
MTMR1|8776	388.0492	MTMR1|8776	1144.6036
MTMR2|8898	2414.7627	MTMR2|8898	1171.8477
MTMR3|8897	1368.0141	MTMR3|8897	1919.6647
MTMR4|9110	916.696	MTMR4|9110	1379.6717
MTMR6|9107	1242.5308	MTMR6|9107	1537.5479999999998
MTMR7|9108	174.8928	MTMR7|9108	91.3622
MTMR8|55613	10.1933	MTMR8|55613	23.7513
MTMR9L|339483	117.0475	MTMR9L|339483	122.2494
MTMR9|66036	605.9402	MTMR9|66036	738.6203
MTO1|25821	291.7399	MTO1|25821	637.7925
MTOR|2475	1592.9701	MTOR|2475	1543.8351
MTP18|51537	310.3796	MTP18|51537	86.2731
MTPAP|55149	387.6977	MTPAP|55149	911.6312
MTRF1L|54516	407.0299	MTRF1L|54516	454.4184
MTRF1|9617	85.413	MTRF1|9617	201.8861
MTRR|4552	680.8436	MTRR|4552	1064.9668
MTR|4548	1380.6678	MTR|4548	2132.7279
MTSS1L|92154	2675.5712	MTSS1L|92154	606.7063
MTSS1|9788	577.8489	MTSS1|9788	1107.2302
MTTP|4547	222.4956	MTTP|4547	5.2393
MTUS1|57509	2902.6362	MTUS1|57509	3569.3329
MTUS2|23281	107.9086	MTUS2|23281	10.1292
MTX1|4580	493.4306	MTX1|4580	253.1715
MTX2|10651	536.3796	MTX2|10651	587.1463
MTX3|345778	675.9227	MTX3|345778	1337.059
MUC12|10071	18.6292	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	MUC15|143662	1020.6078
MUC16|94025	25.3076	MUC16|94025	363.2553
MUC1|4582	142.7065	lowly_expressed	lowly_expressed
MUC20|200958	47.1002	MUC20|200958	337.4083
MUC4|4585	7.7329	MUC4|4585	57.9811
MUC5B|727897	23.1986	MUC5B|727897	101.9909
lowly_expressed	lowly_expressed	MUC6|4588	180.9291
lowly_expressed	lowly_expressed	MUCL1|118430	4724.4149
MUDENG|55745	673.4622	MUDENG|55745	1147.7471
MUL1|79594	841.8278	MUL1|79594	572.4764
MUM1L1|139221	2458.6995	MUM1L1|139221	44.0098
MUM1|84939	937.4341	MUM1|84939	619.6298
lowly_expressed	lowly_expressed	MURC|347273	9.4307
MUS81|80198	527.9438	MUS81|80198	312.9584
MUSTN1|389125	37.1986	MUSTN1|389125	43.2414
MUTED|63915	243.2337	MUTED|63915	522.5288
MUTYH|4595	151.2513	MUTYH|4595	88.0056
MUT|4594	992.9701	MUT|4594	1168.3549
MVD|4597	2577.5044	MVD|4597	75.4453
MVK|4598	711.4236	MVK|4598	158.9242
MVP|9961	4595.0791	MVP|9961	468.0405
MX1|4599	1042.5308	MX1|4599	685.6444
MX2|4600	374.3409	MX2|4600	349.9825
MXD1|4084	449.2091	MXD1|4084	868.6692
MXD3|83463	110.3269	MXD3|83463	50.2794
MXD4|10608	2007.7329	MXD4|10608	715.6829
MXI1|4601	919.5079	MXI1|4601	2761.4390000000003
MXRA5|25878	4635.8524	MXRA5|25878	3283.9679
MXRA7|439921	9420.3866	MXRA7|439921	2637.7925
MXRA8|54587	1675.2197	MXRA8|54587	1089.4167
MYADM|91663	20809.1388	MYADM|91663	11804.401000000002
MYBBP1A|10514	842.4288	MYBBP1A|10514	787.8938
MYBL1|4603	44.6397	MYBL1|4603	179.1827
MYBL2|4605	225.6591	MYBL2|4605	54.8376
lowly_expressed	lowly_expressed	MYBPC1|4604	1092.5603
MYBPC3|4607	25.3076	lowly_expressed	lowly_expressed
MYB|4602	22.8471	MYB|4602	683.898
MYCBP2|23077	2243.5852	MYCBP2|23077	4250.7859
MYCBPAP|84073	185.9402	MYCBPAP|84073	16.4163
MYCBP|26292	424.9561	MYCBP|26292	698.4073
MYCL1|4610	25.6591	MYCL1|4610	179.1827
MYCN|4613	104.7452	MYCN|4613	16.4163
MYCT1|80177	770.123	MYCT1|80177	796.0182
MYC|4609	6223.1986	MYC|4609	9155.7806
MYD88|4615	1182.7768	MYD88|4615	959.8323
MYEF2|50804	212.2707	MYEF2|50804	601.9735
MYEOV2|150678	555.7118	MYEOV2|150678	244.1495
lowly_expressed	lowly_expressed	MYEOV|26579	338.8054
MYH10|4628	9280.8436	MYH10|4628	2200.489
MYH11|4629	28005.993	MYH11|4629	7249.1163
MYH14|79784	5.9754	MYH14|79784	727.9078
lowly_expressed	lowly_expressed	MYH1|4619	6.6364
MYH3|4621	79.7891	MYH3|4621	53.4404
MYH7B|57644	11.9508	MYH7B|57644	14.6699
MYH9|4627	37649.5606	MYH9|4627	15601.466999999999
MYL12A|10627	8549.3849	MYL12A|10627	5594.8306
MYL12B|103910	6357.4692	MYL12B|103910	6247.6423
MYL4|4635	19.6837	lowly_expressed	lowly_expressed
MYL5|4636	92.6608	MYL5|4636	63.2204
MYL6B|140465	615.4657	MYL6B|140465	194.2019
MYL6|4637	20663.9719	MYL6|4637	5103.7373
MYL7|58498	8.0844	MYL7|58498	12.5742
MYL9|10398	28890.3339	MYL9|10398	5157.8764
MYLIP|29116	239.0158	MYLIP|29116	1349.2839999999999
MYLK2|85366	13.3568	lowly_expressed	lowly_expressed
MYLK3|91807	22.1441	MYLK3|91807	15.0192
MYLK4|340156	25.6591	MYLK4|340156	77.541
MYLK|4638	21407.3216	MYLK|4638	23471.5229
MYNN|55892	330.0527	MYNN|55892	1029.6891
MYO10|4651	3116.3445	MYO10|4651	1094.3067
MYO15A|51168	24.2531	MYO15A|51168	17.4642
MYO15B|80022	766.6081	MYO15B|80022	730.7021
MYO16|23026	20.7381	MYO16|23026	15.3685
MYO18A|399687	1670.71	MYO18A|399687	1288.9452
MYO18B|84700	8.7873	lowly_expressed	lowly_expressed
MYO19|80179	361.1494	MYO19|80179	425.4418
MYO1B|4430	3134.9736	MYO1B|4430	2569.3329
MYO1C|4641	5046.0457	MYO1C|4641	2494.5861
MYO1D|4642	2193.3216	MYO1D|4642	1935.7317
MYO1E|4643	1022.4956	MYO1E|4643	945.5117
MYO1F|4542	238.6643	MYO1F|4542	150.1921
MYO1G|64005	52.7241	MYO1G|64005	54.138999999999996
lowly_expressed	lowly_expressed	MYO1H|283446	65.6654
lowly_expressed	lowly_expressed	MYO3A|53904	10.8278
lowly_expressed	lowly_expressed	MYO3B|140469	5.5885
MYO5A|4644	1043.2337	MYO5A|4644	1444.9878
MYO5B|4645	609.4903	MYO5B|4645	1845.2672
MYO5C|55930	343.0685	MYO5C|55930	2144.1949
MYO6|4646	1046.7487	MYO6|4646	3538.2466
MYO7A|4647	757.4692	MYO7A|4647	91.5124
MYO7B|4648	10.8963	lowly_expressed	lowly_expressed
MYO9A|4649	683.6555	MYO9A|4649	1896.9612
MYO9B|4650	2188.0492	MYO9B|4650	1257.7716
MYOCD|93649	1300.8787	MYOCD|93649	30.0384
MYOC|4653	19.6837	MYOC|4653	7.6842
MYOF|26509	5030.9315	MYOF|26509	7396.4373
MYOM1|8736	233.7434	MYOM1|8736	260.2166
MYOM2|9172	7.0299	MYOM2|9172	13.6221
MYOM3|127294	43.9367	MYOM3|127294	20.956999999999997
MYOZ1|58529	22.4956	MYOZ1|58529	18.8613
MYOZ2|51778	8.7873	lowly_expressed	lowly_expressed
MYOZ3|91977	49.2091	MYOZ3|91977	28.9906
MYPN|84665	13.3568	lowly_expressed	lowly_expressed
MYPOP|339344	106.1511	MYPOP|339344	88.3688
MYRIP|25924	327.9438	MYRIP|25924	150.8907
MYSM1|114803	92.4429	MYSM1|114803	633.6011
MYST1|84148	469.5958	MYST1|84148	423.3322
MYST2|11143	628.8225	MYST2|11143	1833.0423
MYST3|7994	1590.5097	MYST3|7994	3625.5676
MYST4|23522	831.283	MYST4|23522	1840.3772
MYT1|4661	9.1388	lowly_expressed	lowly_expressed
MZF1|7593	246.1757	MZF1|7593	262.3961
N4BP1|9683	1081.5466	N4BP1|9683	2127.4886
N4BP2L1|90634	208.0844	N4BP2L1|90634	1400.6287
N4BP2L2|10443	1095.2548	N4BP2L2|10443	3871.8128
N4BP2|55728	299.4728	N4BP2|55728	790.0803
N4BP3|23138	49.9121	N4BP3|23138	80.6846
N6AMT1|29104	229.174	N6AMT1|29104	371.6381
N6AMT2|221143	120.5624	N6AMT2|221143	142.1586
NAA10|8260	676.2742	NAA10|8260	275.2358
NAA15|80155	1000.0	NAA15|80155	2015.0192
NAA16|79612	206.3269	NAA16|79612	814.5302
NAA20|51126	749.7364	NAA20|51126	847.3629
NAA25|80018	492.0914	NAA25|80018	1195.9483
NAA30|122830	579.6134	NAA30|122830	1228.781
NAA35|60560	417.9262	NAA35|60560	760.3912
NAA38|51691	296.3093	NAA38|51691	486.9019
NAA40|79829	343.76099999999997	NAA40|79829	468.0405
NAA50|80218	2442.1793	NAA50|80218	4586.4478
NAAA|27163	400.3515	NAAA|27163	680.4052
NAALAD2|10003	178.5589	NAALAD2|10003	85.9239
NAALADL1|10004	122.3199	NAALADL1|10004	62.8711
NAALADL2|254827	147.2759	NAALADL2|254827	891.0234
NAB1|4664	1043.2337	NAB1|4664	2466.2941
NAB2|4665	1553.9543	NAB2|4665	440.0978
NACA2|342538	108.9631	NACA2|342538	73.6989
NACAD|23148	472.0562	NACAD|23148	113.16799999999999
NACAP1|83955	99.4728	NACAP1|83955	284.3171
NACA|4666	11094.9033	NACA|4666	25051.3447
NACC1|112939	1712.1265	NACC1|112939	338.8054
NACC2|138151	111.0721	NACC2|138151	19.9092
NADK|65220	2017.2232	NADK|65220	747.1184
NADSYN1|55191	678.7346	NADSYN1|55191	594.8306
NAE1|8883	702.6362	NAE1|8883	1329.3748
NAF1|92345	292.4429	NAF1|92345	363.9539
NAGA|4668	1043.9367	NAGA|4668	663.9888
NAGK|55577	931.8102	NAGK|55577	436.9542
NAGLU|4669	1609.8418	NAGLU|4669	269.6472
NAGPA|51172	180.3163	NAGPA|51172	81.7324
NAGS|162417	5.9754	NAGS|162417	27.5934
NAIF1|203245	150.0879	NAIF1|203245	123.6465
NAIP|4671	57.2935	NAIP|4671	133.7758
NALCN|259232	94.2004	NALCN|259232	626.2662
NAMPT|10135	4250.2636	NAMPT|10135	3723.3671
NANOS1|340719	143.4095	NANOS1|340719	352.7768
NANP|140838	200.3515	NANP|140838	230.8767
NANS|54187	696.5554	NANS|54187	393.2937
NAP1L1|4673	8065.3779	NAP1L1|4673	13640.9361
NAP1L2|4674	63.2689	NAP1L2|4674	236.11599999999999
NAP1L3|4675	496.6608	NAP1L3|4675	146.35
NAP1L4|4676	1727.5923	NAP1L4|4676	2234.7188
NAP1L5|266812	613.0053	NAP1L5|266812	213.7618
lowly_expressed	lowly_expressed	NAP1L6|645996	5.9378
NAPA|8775	2610.109	NAPA|8775	1487.8868
NAPB|63908	293.1459	NAPB|63908	558.5051
NAPEPLD|222236	411.7504	NAPEPLD|222236	629.738
NAPG|8774	715.993	NAPG|8774	1205.7283
NAPRT1|93100	218.2777	NAPRT1|93100	48.8998
lowly_expressed	lowly_expressed	NAPSA|9476	9.4307
NAPSB|256236	57.9965	NAPSB|256236	115.2637
NARFL|64428	303.3392	NARFL|64428	183.0248
NARF|26502	487.1705	NARF|26502	447.782
NARG2|79664	815.8172	NARG2|79664	2069.8568
NARS2|79731	278.0316	NARS2|79731	423.3322
NARS|4677	2417.9262	NARS|4677	3168.7042
NASP|4678	1434.7979	NASP|4678	1650.7160000000001
NAT10|55226	954.6573	NAT10|55226	1372.6860000000001
NAT14|57106	203.5149	NAT14|57106	64.9668
NAT15|79903	1316.6960000000001	NAT15|79903	512.7489
NAT1|9	126.8893	NAT1|9	77.541
NAT6|24142	107.522	NAT6|24142	168.6343
NAT8L|339983	246.7487	NAT8L|339983	91.5124
NAT8|9027	7.3814	lowly_expressed	lowly_expressed
NAT9|26151	701.5817	NAT9|26151	210.9675
NAV1|89796	1131.8102	NAV1|89796	1142.8571
NAV2|89797	1206.9701	NAV2|89797	4403.7583
NAV3|89795	470.6503	NAV3|89795	324.1355
NBAS|51594	1627.7679999999998	NBAS|51594	2018.1628
NBEAL1|65065	249.2091	NBEAL1|65065	784.8411
NBEAL2|23218	426.0105	NBEAL2|23218	1287.81
NBEA|26960	384.1828	NBEA|26960	691.2330000000001
NBL1|4681	8150.1863	NBL1|4681	557.8309
NBLA00301|79804	27.768	NBLA00301|79804	69.1582
NBN|4683	1305.7996	NBN|4683	2606.357
NBPF10|100132406	1044.2179	NBPF10|100132406	1182.4904
NBPF14|25832	666.7241	NBPF14|25832	1091.1142
NBPF15|284565	265.3146	NBPF15|284565	469.2176
NBPF16|728936	116.3445	NBPF16|728936	20.956999999999997
NBPF1|55672	779.2619	NBPF1|55672	902.8991
NBPF3|84224	172.232	NBPF3|84224	436.2557
lowly_expressed	lowly_expressed	NBPF4|148545	8.7321
NBPF9|400818	345.7329	NBPF9|400818	423.3392
NBR1|4077	4110.7206	NBR1|4077	5812.4345
NBR2|10230	83.6555	NBR2|10230	175.3406
NCALD|83988	1344.1125	NCALD|83988	5012.2249
NCAM1|4684	1825.1002	NCAM1|4684	163.8142
NCAM2|4685	157.8207	NCAM2|4685	142.5079
NCAPD2|9918	819.3322	NCAPD2|9918	1177.4363
NCAPD3|23310	375.0439	NCAPD3|23310	804.7503
NCAPG2|54892	280.4921	NCAPG2|54892	491.7918
NCAPG|64151	150.7417	NCAPG|64151	143.9574
NCAPH2|29781	576.0984	NCAPH2|29781	231.5753
NCAPH|23397	75.9227	NCAPH|23397	54.138999999999996
NCBP1|4686	834.4569	NCBP1|4686	1276.6329
NCBP2|22916	1672.4077	NCBP2|22916	1842.4729
lowly_expressed	lowly_expressed	NCCRP1|342897	21.6556
NCDN|23154	1653.0685	NCDN|23154	319.9441
NCEH1|57552	794.7276	NCEH1|57552	439.3992
NCF1B|654816	12.3023	lowly_expressed	lowly_expressed
