gene_id	TCGA-A7-A13F-01A-11R-A12P-07	gene_id	TCGA-A7-A13F-11A-42R-A12P-07
ACSF2|80221	2046.5863	ACSF2|80221	1478.2218
ACSF3|197322	400	ACSF3|197322	314.3242
ACSL1|2180	823.2932	ACSL1|2180	35066.4571
ACSL3|2181	6420.8835	ACSL3|2181	2409.9686
ACSL4|2182	404.0161	ACSL4|2182	1862.1464
ACSL5|51703	99.5984	ACSL5|51703	882.3529
ACSL6|23305	181.1245	ACSL6|23305	5.8374
ACSM1|116285	38.9558	ACSM1|116285	23.3498
ACSM3|6296	10.245	ACSM3|6296	64.9798
lowly_expressed	lowly_expressed	ACSM5|54988	158.5092
ACSS1|84532	455.8233	ACSS1|84532	729.6812
ACSS2|55902	1017.2691	ACSS2|55902	3129.322
ACSS3|79611	351.004	ACSS3|79611	249.6632
ACTA1|58	12.0482	lowly_expressed	lowly_expressed
ACTA2|59	4278.8313	ACTA2|59	16951.3606
ACTBL2|345651	9.6386	lowly_expressed	lowly_expressed
ACTB|60	104388.755	ACTB|60	70203.8617
ACTG1|71	80738.1526	ACTG1|71	47939.3803
ACTG2|72	59.0361	ACTG2|72	3226.7625
ACTL6A|86	1163.4538	ACTL6A|86	562.6403
ACTN1|87	7823.2932	ACTN1|87	8806.0171
ACTN4|81	10640.8233	ACTN4|81	9910.1661
ACTR10|55860	703.6145	ACTR10|55860	1011.6749
ACTR1A|10121	2587.5502	ACTR1A|10121	3226.7625
ACTR1B|10120	1085.9438	ACTR1B|10120	1475.9767
ACTR2|10097	6274.6988	ACTR2|10097	3940.2784
ACTR3B|57180	112.0482	ACTR3B|57180	122.5864
ACTR3C|653857	62.249	ACTR3C|653857	17.0633
ACTR3|10096	3154.6185	ACTR3|10096	2167.9389
ACTR5|79913	361.4458	ACTR5|79913	164.7957
ACTR6|64431	502.008	ACTR6|64431	521.3291
ACTR8|93973	442.1687	ACTR8|93973	469.6902
ACVR1B|91	999.5984	ACVR1B|91	1210.1482
lowly_expressed	lowly_expressed	ACVR1C|130399	1602.6044
ACVR1|90	686.3454	ACVR1|90	991.4683
ACVR2A|92	95.1807	ACVR2A|92	501.1226
ACVR2B|93	245.3815	ACVR2B|93	384.8226
ACVRL1|94	387.1486	ACVRL1|94	1063.7629
ACY1|95	1302.4739	ACY1|95	794.6385
lowly_expressed	lowly_expressed	ACY3|91703	12.573
ACYP1|97	31.3253	ACYP1|97	74.0907
ACYP2|98	97.1888	ACYP2|98	209.2501
lowly_expressed	lowly_expressed	ADAD2|161931	6.7355
ADAL|161823	411.6466	ADAL|161823	197.5752
ADAM10|102	1273.8956	ADAM10|102	1327.7952
lowly_expressed	lowly_expressed	ADAM11|4185	16.6143
ADAM12|8038	1396.7871	ADAM12|8038	1548.7203
ADAM15|8751	6822.0884	ADAM15|8751	3078.6125
ADAM17|6868	653.8153	ADAM17|6868	697.3507
ADAM19|8728	492.7711	ADAM19|8728	91.6031
ADAM22|53616	93.5743	ADAM22|53616	67.8042
ADAM23|8745	9.6386	ADAM23|8745	9.8788
ADAM28|10863	56.2249	ADAM28|10863	64.661
ADAM32|203102	129.3173	ADAM32|203102	40.4131
ADAM33|80332	44.9799	ADAM33|80332	886.3943
ADAM6|8755	2954.008	ADAM6|8755	68355.8689
ADAM8|101	254.6185	ADAM8|101	59.2726
ADAM9|8754	601.6064	ADAM9|8754	1535.6982
ADAMDEC1|27299	21.6867	lowly_expressed	lowly_expressed
ADAMTS10|81794	30.1205	ADAMTS10|81794	331.8366
ADAMTS12|81792	326.1044	ADAMTS12|81792	338.123
ADAMTS13|11093	32.1285	ADAMTS13|11093	62.8648
ADAMTS14|140766	65.8635	ADAMTS14|140766	7.1846
ADAMTS15|170689	899.5984	ADAMTS15|170689	369.1064
ADAMTS16|170690	7.6305	ADAMTS16|170690	115.4019
ADAMTS17|170691	7.2289	ADAMTS17|170691	26.493
ADAMTS18|170692	10.4418	ADAMTS18|170692	104.6251
ADAMTS19|171019	159.4378	lowly_expressed	lowly_expressed
ADAMTS1|9510	783.5341	ADAMTS1|9510	4845.0831
ADAMTS2|9509	335.3414	ADAMTS2|9509	1216.8837
ADAMTS3|9508	22.8916	ADAMTS3|9508	67.3552
ADAMTS4|9507	2317.6707	ADAMTS4|9507	332.7346
ADAMTS5|11096	166.6667	ADAMTS5|11096	3348.0018
ADAMTS6|11174	50.2008	ADAMTS6|11174	28.2892
ADAMTS7|11173	120.0803	ADAMTS7|11173	140.0988
ADAMTS8|11095	6.0241	ADAMTS8|11095	19.3085
ADAMTS9|56999	285.1406	ADAMTS9|56999	627.7503
ADAMTSL1|92949	122.0884	ADAMTSL1|92949	151.3247
ADAMTSL2|9719	85.5422	ADAMTSL2|9719	65.559
ADAMTSL3|57188	39.3574	ADAMTSL3|57188	321.5088
ADAMTSL4|54507	463.4538	ADAMTSL4|54507	782.6673
ADAMTSL5|339366	197.992	ADAMTSL5|339366	21.1046
ADAP1|11033	336.9076	ADAP1|11033	84.1311
ADAP2|55803	353.4137	ADAP2|55803	386.1697
ADARB1|104	251.8072	ADARB1|104	818.59
ADARB2|105	5.2209	ADARB2|105	8.0826
ADAR|103	11183.1325	ADAR|103	5691.9623
ADAT1|23536	459.8394	ADAT1|23536	325.101
ADAT2|134637	36.1446	ADAT2|134637	175.1235
ADAT3|113179	7.6305	ADAT3|113179	15.7162
ADA|100	98.3936	ADA|100	150.4266
ADCK1|57143	144.5783	ADCK1|57143	210.1482
ADCK2|90956	1692.7711	ADCK2|90956	760.6646
ADCK4|79934	542.5703	ADCK4|79934	482.2631
ADCK5|203054	114.8594	ADCK5|203054	65.559
ADCY1|107	678.3133	ADCY1|107	257.7458
ADCY2|108	47.3896	ADCY2|108	57.4764
ADCY3|109	1419.7831	ADCY3|109	1506.1159
ADCY4|196883	77.51	ADCY4|196883	679.8383
ADCY5|111	71.4859	ADCY5|111	919.6228
ADCY6|112	1488.755	ADCY6|112	3002.2452
ADCY7|113	277.1084	ADCY7|113	806.4661
ADCY9|115	655.4217	ADCY9|115	807.3642
lowly_expressed	lowly_expressed	ADCYAP1R1|117	42.2093
ADC|113451	100.8032	ADC|113451	111.8096
ADD1|118	4510.4418	ADD1|118	7096.9915
ADD2|119	25.3012	ADD2|119	63.7629
ADD3|120	355.0201	ADD3|120	2514.1446
lowly_expressed	lowly_expressed	ADH1A|124	249.6632
ADH1B|125	17.6707	ADH1B|125	25471.0373
ADH1C|126	40.1606	ADH1C|126	356.9825
lowly_expressed	lowly_expressed	ADH4|127	40.8621
ADH5|128	1349.3976	ADH5|128	3442.2991
ADH7|131	9.2369	lowly_expressed	lowly_expressed
ADHFE1|137872	33.3333	ADHFE1|137872	366.8612
ADI1|55256	1108.4337	ADI1|55256	1929.5016
lowly_expressed	lowly_expressed	ADIPOQ|9370	29523.1253
ADIPOR1|51094	5287.1486	ADIPOR1|51094	2346.6547
ADIPOR2|79602	3581.5261	ADIPOR2|79602	6460.2604
ADK|132	450.2008	ADK|132	355.1863
ADM2|79924	255.0201	ADM2|79924	59.7216
ADM|133	52.2088	ADM|133	1556.8029
ADNP2|22850	494.7791	ADNP2|22850	655.5905
ADNP|23394	6194.3775	ADNP|23394	2486.3044
ADORA1|134	3779.5181	ADORA1|134	471.0373
ADORA2A|135	1810.0321	ADORA2A|135	71.3965
ADORA2B|136	159.0361	ADORA2B|136	79.0301
ADORA3|140	338.9558	ADORA3|140	264.0323
ADO|84890	528.5141	ADO|84890	591.8276
ADPGK|83440	1209.0241	ADPGK|83440	872.537
ADPRHL1|113622	18.4739	ADPRHL1|113622	114.0548
ADPRHL2|54936	918.0723	ADPRHL2|54936	639.8743
ADPRH|141	179.5181	ADPRH|141	569.8249
lowly_expressed	lowly_expressed	ADRA1A|148	84.8675
ADRA1B|147	6.4257	ADRA1B|147	101.4818
ADRA1D|146	18.0723	ADRA1D|146	10.7768
ADRA2A|150	196.3855	ADRA2A|150	1404.5802
ADRA2B|151	27.7108	ADRA2B|151	192.1868
ADRA2C|152	21.2851	ADRA2C|152	124.3826
lowly_expressed	lowly_expressed	ADRB1|153	159.8563
ADRB2|154	14.0562	ADRB2|154	586.8882
ADRBK1|156	1051.4056	ADRBK1|156	1518.6349
ADRBK2|157	698.7952	ADRBK2|157	1699.5959
ADRM1|11047	1649.7992	ADRM1|11047	907.0498
ADSL|158	782.7309	ADSL|158	895.824
ADSSL1|122622	31.3253	ADSSL1|122622	218.2308
ADSS|159	1500	ADSS|159	918.2757
AEBP1|165	11807.6305	AEBP1|165	6536.1473
AEBP2|121536	538.9558	AEBP2|121536	624.1581
AEN|64782	635.743	AEN|64782	324.652
AES|166	7719.6787	AES|166	7182.308
AFAP1L1|134265	298.3936	AFAP1L1|134265	841.4908
AFAP1L2|84632	441.3655	AFAP1L2|84632	863.0445
AFAP1|60312	1063.4538	AFAP1|60312	1416.6861
AFF1|4299	2376.3052	AFF1|4299	2743.1522
AFF2|2334	8.8353	AFF2|2334	63.7629
AFF3|3899	1585.5422	AFF3|3899	960.485
AFF4|27125	2793.1727	AFF4|27125	2968.5676
AFG3L1|172	229.7189	AFG3L1|172	233.498
AFG3L2|10939	1420.3614	AFG3L2|10939	1146.7086
AFMID|125061	373.0924	AFMID|125061	548.7203
AFTPH|54812	2326.9076	AFTPH|54812	1230.8038
AG2|387763	68.2731	AG2|387763	333.1837
AGAP11|119385	9.6787	AGAP11|119385	232.07
AGAP1|116987	321.6867	AGAP1|116987	504.2658
AGAP2|116986	28.1325	AGAP2|116986	67.9659
AGAP3|116988	953.4137	AGAP3|116988	1152.6718
AGAP4|119016	69.0763	AGAP4|119016	248.7652
AGAP5|729092	33.7791	AGAP5|729092	91.9443
AGAP6|414189	39.3574	AGAP6|414189	164.7957
AGAP7|653268	6.4257	AGAP7|653268	38.617
lowly_expressed	lowly_expressed	AGAP8|728404	24.6969
AGA|175	1010.8434	AGA|175	461.6075
AGBL2|79841	11.245	AGBL2|79841	11.2259
lowly_expressed	lowly_expressed	AGBL3|340351	6.7355
AGBL4|84871	11.245	AGBL4|84871	5.3884
AGBL5|60509	1343.3775	AGBL5|60509	769.6587
lowly_expressed	lowly_expressed	AGER|177	38.1679
AGFG1|3267	1037.3494	AGFG1|3267	2220.476
AGFG2|3268	471.8876	AGFG2|3268	527.6156
AGGF1|55109	1220.4819	AGGF1|55109	819.4881
AGK|55750	593.1727	AGK|55750	559.048
AGL|178	114.8594	AGL|178	946.5649
AGMAT|79814	70.6827	AGMAT|79814	8.9807
AGPAT1|10554	2048.9277	AGPAT1|10554	1914.4275
AGPAT2|10555	539.3574	AGPAT2|10555	5374.9439
AGPAT3|56894	2787.5502	AGPAT3|56894	2691.0642
AGPAT4|56895	81.1245	AGPAT4|56895	293.6686
AGPAT5|55326	695.9839	AGPAT5|55326	427.93
AGPAT6|137964	3097.992	AGPAT6|137964	1652.8963
AGPAT9|84803	100.4016	AGPAT9|84803	153.1208
AGPHD1|123688	106.0241	AGPHD1|123688	84.8675
AGPS|8540	1373.8956	AGPS|8540	1326.4481
AGR2|10551	6681.5261	AGR2|10551	551.8635
AGR3|155465	3760.6426	AGR3|155465	138.7517
AGRN|375790	3733.7349	AGRN|375790	2247.4181
AGTPBP1|23287	69.0763	AGTPBP1|23287	422.0925
AGTR1|185	24.8996	AGTR1|185	550.5164
AGTRAP|57085	924.0964	AGTRAP|57085	586.4392
AGT|183	293.1727	AGT|183	229.4567
AGXT2L1|64850	21.2851	lowly_expressed	lowly_expressed
AGXT2L2|85007	217.4859	AGXT2L2|85007	700.3637
lowly_expressed	lowly_expressed	AGXT|189	17.5123
AHCTF1|25909	2753.8153	AHCTF1|25909	1532.106
AHCYL1|10768	6177.51	AHCYL1|10768	4305.7925
AHCYL2|23382	1757.4297	AHCYL2|23382	642.1194
AHCY|191	5609.6386	AHCY|191	2374.4948
AHDC1|27245	456.6265	AHDC1|27245	1174.6744
AHI1|54806	246.5863	AHI1|54806	330.4894
AHNAK2|113146	293.1727	AHNAK2|113146	1581.0507
AHNAK|79026	39392.3695	AHNAK|79026	117749.8877
AHRR|57491	7.6305	AHRR|57491	44.0054
AHR|196	1069.8795	AHR|196	2418.0512
AHSA1|10598	1257.0281	AHSA1|10598	1327.3462
AHSA2|130872	127.3092	AHSA2|130872	446.3404
lowly_expressed	lowly_expressed	AHSP|51327	5.3884
AIDA|64853	1710.9679	AIDA|64853	1424.8047
AIF1L|83543	223.6948	AIF1L|83543	3130.22
AIF1|199	289.1566	AIF1|199	442.2991
AIFM1|9131	1669.0763	AIFM1|9131	732.8244
AIFM2|84883	342.9719	AIFM2|84883	2167.0409
AIFM3|150209	75.4538	AIFM3|150209	10.3278
AIG1|51390	653.8153	AIG1|51390	1220.0269
AIM1L|55057	48.996	lowly_expressed	lowly_expressed
AIM1|202	1002.4096	AIM1|202	2599.9102
AIMP1|9255	1236.9478	AIMP1|9255	949.8024
AIMP2|7965	513.1084	AIMP2|7965	290.2874
AIP|9049	382.7309	AIP|9049	699.5959
lowly_expressed	lowly_expressed	AJAP1|55966	18.4104
AK1|203	608.8353	AK1|203	766.9511
AK2|204	2938.1526	AK2|204	2301.3022
AK3L1|205	350.2008	AK3L1|205	599.0121
AK3|50808	1168.2731	AK3|50808	2612.0341
AK5|26289	32.5301	AK5|26289	1694.2075
AK7|122481	6.8273	AK7|122481	31.4324
AKAP10|11216	410.8434	AKAP10|11216	559.9461
AKAP11|11215	1063.4538	AKAP11|11215	1892.6807
AKAP12|9590	521.6867	AKAP12|9590	4049.8428
AKAP13|11214	2514.4578	AKAP13|11214	4372.6987
AKAP1|8165	2048.996	AKAP1|8165	3297.2609
AKAP2|11217	433.2249	AKAP2|11217	2978.7831
AKAP3|10566	13.6546	AKAP3|10566	59.7216
AKAP5|9495	38.5542	AKAP5|9495	24.2479
AKAP6|9472	22.0884	AKAP6|9472	213.2914
AKAP7|9465	100.8032	AKAP7|9465	243.8258
AKAP8L|26993	447.7912	AKAP8L|26993	544.2299
AKAP8|10270	561.4458	AKAP8|10270	549.1693
AKAP9|10142	3738.5542	AKAP9|10142	2297.7099
AKD1|221264	128.5141	AKD1|221264	122.1374
AKIRIN1|79647	1077.51	AKIRIN1|79647	1306.2416
AKIRIN2|55122	312.4498	AKIRIN2|55122	831.163
AKNA|80709	257.8313	AKNA|80709	795.6893
AKR1A1|10327	1967.4699	AKR1A1|10327	1340.8172
lowly_expressed	lowly_expressed	AKR1B15|441282	31.8815
AKR1B1|231	499.1968	AKR1B1|231	1047.5977
AKR1C1|1645	48.1928	AKR1C1|1645	6371.8006
AKR1C2|1646	42.5703	AKR1C2|1646	9195.7791
AKR1C3|8644	438.1526	AKR1C3|8644	4305.7925
lowly_expressed	lowly_expressed	AKR1E2|83592	41.3112
AKR7A2|8574	840.5622	AKR7A2|8574	847.7773
AKR7A3|22977	263.4538	AKR7A3|22977	30.9834
AKR7L|246181	7.2289	AKR7L|246181	6.2865
AKT1S1|84335	1192.3695	AKT1S1|84335	852.2676
AKT1|207	2160.241	AKT1|207	2770.0943
AKT2|208	2316.0643	AKT2|208	4598.1141
AKT3|10000	375.50199999999995	AKT3|10000	1247.8671
AKTIP|64400	708.9438	AKTIP|64400	679.3848
ALAD|210	856.6265	ALAD|210	2092.9502
ALAS1|211	1579.1165	ALAS1|211	1416.7041
lowly_expressed	lowly_expressed	ALAS2|212	449.9326
lowly_expressed	lowly_expressed	ALB|213	13.022
ALCAM|214	9719.6787	ALCAM|214	1110.4625
ALDH16A1|126133	898.3936	ALDH16A1|126133	353.3902
ALDH18A1|5832	2625.7028	ALDH18A1|5832	1500.6736
ALDH1A1|216	248.99599999999998	ALDH1A1|216	1810.0584
ALDH1A2|8854	20.8835	ALDH1A2|8854	343.5115
ALDH1A3|220	135.3414	ALDH1A3|220	2676.8029
ALDH1B1|219	1069.8795	ALDH1B1|219	583.7449
lowly_expressed	lowly_expressed	ALDH1L1|10840	885.9452
ALDH1L2|160428	199.1968	ALDH1L2|160428	611.1361
ALDH2|217	560.241	ALDH2|217	13746.7445
ALDH3A1|218	52.6104	ALDH3A1|218	23.3498
ALDH3A2|224	6358.6345	ALDH3A2|224	5421.1944
ALDH3B1|221	373.8956	ALDH3B1|221	242.4787
ALDH3B2|222	130.1205	ALDH3B2|222	44.4544
ALDH4A1|8659	1415.261	ALDH4A1|8659	2032.3305
ALDH5A1|7915	928.9157	ALDH5A1|7915	911.0912
ALDH6A1|4329	441.0361	ALDH6A1|4329	730.7364
ALDH7A1|501	3832.5301	ALDH7A1|501	2072.7436
lowly_expressed	lowly_expressed	ALDH8A1|64577	13.022
ALDH9A1|223	5161.4458	ALDH9A1|223	4814.9978
ALDOA|226	21952.6104	ALDOA|226	15171.5312
ALDOB|229	8.0321	lowly_expressed	lowly_expressed
ALDOC|230	36.1446	ALDOC|230	1133.8123
ALG10B|144245	472.6908	ALG10B|144245	245.6219
ALG10|84920	220.0803	ALG10|84920	83.9695
