gene_id	TCGA-AC-A2FF-01A-11R-A17B-07	gene_id	TCGA-AC-A2FF-11A-13R-A17B-07
ADAT1|23536	233.1723	ADAT1|23536	363.8426
ADAT2|134637	196.4573	ADAT2|134637	242.5618
ADAT3|113179	12.5604	ADAT3|113179	19.0025
ADA|100	141.3849	ADA|100	103.955
ADCK1|57143	147.182	ADCK1|57143	202.6006
ADCK2|90956	742.029	ADCK2|90956	895.6342
ADCK4|79934	468.9211	ADCK4|79934	505.2439
ADCK5|203054	33.8164	ADCK5|203054	84.9525
lowly_expressed	lowly_expressed	ADCY10|55811	8.3835
ADCY1|107	241.868	ADCY1|107	430.0721
ADCY2|108	94.686	ADCY2|108	141.9601
ADCY3|109	1488.4058	ADCY3|109	1810.3212
ADCY4|196883	445.0886	ADCY4|196883	363.0043
ADCY5|111	142.6731	ADCY5|111	240.6056
ADCY6|112	1940.4187	ADCY6|112	2369.4484
ADCY7|113	725.6039	ADCY7|113	715.3895
ADCY9|115	1183.8969	ADCY9|115	786.0901
ADCYAP1R1|117	22.8663	ADCYAP1R1|117	102.5578
lowly_expressed	lowly_expressed	ADCYAP1|116	8.9424
ADC|113451	197.4235	ADC|113451	107.029
ADD1|118	6574.2351	ADD1|118	5758.0474
ADD2|119	47.0209	ADD2|119	48.6241
ADD3|120	3389.372	ADD3|120	4900.4183
ADH1A|124	57.314	ADH1A|124	14.5509
ADH1B|125	8611.9163	ADH1B|125	1427.4257
ADH1C|126	216.4251	ADH1C|126	165.9927
lowly_expressed	lowly_expressed	ADH4|127	22.9148
ADH5|128	2793.2367	ADH5|128	2963.8365
ADHFE1|137872	151.6908	ADHFE1|137872	127.7082
ADI1|55256	885.6683	ADI1|55256	1332.1336
ADIPOQ|9370	7121.7391	ADIPOQ|9370	255.4164
ADIPOR1|51094	2118.8406	ADIPOR1|51094	2043.6108
ADIPOR2|79602	2168.1159	ADIPOR2|79602	1792.945
ADK|132	448.3092	ADK|132	384.8013
ADM2|79924	113.6876	ADM2|79924	189.7459
ADM|133	151.3688	ADM|133	153.4175
ADNP2|22850	979.066	ADNP2|22850	764.852
ADNP|23394	3341.3849	ADNP|23394	3141.0072
ADORA1|134	77.6167	ADORA1|134	509.4356
ADORA2A|135	184.8599	ADORA2A|135	109.2646
ADORA2B|136	23.5105	ADORA2B|136	103.955
ADORA3|140	139.4525	ADORA3|140	236.9728
ADO|84890	643.4783	ADO|84890	903.4587
ADPGK|83440	988.6892	ADPGK|83440	989.8476
ADPRHL1|113622	113.6876	ADPRHL1|113622	69.8623
ADPRHL2|54936	660.2254	ADPRHL2|54936	636.026
ADPRH|141	357.4879	ADPRH|141	398.7738
ADRA1A|148	9.3398	ADRA1A|148	6.1479
ADRA1B|147	11.9163	ADRA1B|147	7.8246
ADRA1D|146	14.1707	ADRA1D|146	8.104
ADRA2A|150	893.3977	ADRA2A|150	617.3029
ADRA2B|151	11.2721	ADRA2B|151	32.975
ADRA2C|152	38.9694	ADRA2C|152	27.1066
ADRB1|153	14.1707	ADRB1|153	21.2381
ADRB2|154	97.5845	ADRB2|154	102.8372
ADRB3|155	9.6618	lowly_expressed	lowly_expressed
ADRBK1|156	1619.9678	ADRBK1|156	1720.0088
ADRBK2|157	950.4026	ADRBK2|157	774.6327
ADRM1|11047	828.9855	ADRM1|11047	1073.6432
ADSL|158	917.8744	ADSL|158	1117.5167
ADSSL1|122622	121.095	ADSSL1|122622	129.3849
ADSS|159	1543.6393	ADSS|159	1354.4895
AEBP1|165	14067.9549	AEBP1|165	4786.1237
AEBP2|121536	678.2609	AEBP2|121536	663.9709
AEN|64782	509.8229	AEN|64782	515.5835
AES|166	3960.0644	AES|166	5241.3462
AFAP1L1|134265	492.1095	AFAP1L1|134265	303.2022
AFAP1L2|84632	732.0451	AFAP1L2|84632	1201.3514
AFAP1|60312	1626.3994	AFAP1|60312	1801.0267
AFF1|4299	3138.1643	AFF1|4299	2199.5434
AFF2|2334	83.0918	AFF2|2334	59.2432
AFF3|3899	2577.1337	AFF3|3899	2559.1943
AFF4|27125	4301.7713	AFF4|27125	3607.6871
AFG3L1|172	168.438	AFG3L1|172	270.5067
AFG3L2|10939	1137.3076	AFG3L2|10939	1478.0004
AFMID|125061	481.8035	AFMID|125061	657.5436
AFTPH|54812	1399.3559	AFTPH|54812	1424.9106
AG2|387763	291.1433	AG2|387763	80.4813
AGAP11|119385	105.1626	AGAP11|119385	79.0086
AGAP1|116987	629.3076	AGAP1|116987	537.6599
AGAP2|116986	139.4525	AGAP2|116986	217.9758
AGAP3|116988	793.2367	AGAP3|116988	1258.359
AGAP4|119016	187.7617	AGAP4|119016	196.7321
AGAP5|729092	67.7359	AGAP5|729092	47.3023
AGAP6|414189	104.6699	AGAP6|414189	136.93
AGAP7|653268	12.2383	AGAP7|653268	13.1341
AGAP8|728404	43.4783	AGAP8|728404	74.8923
AGA|175	754.2673	AGA|175	601.6538
AGBL2|79841	10.628	AGBL2|79841	12.2958
AGBL3|340351	6.7633	AGBL3|340351	8.9424
AGBL4|84871	10.628	AGBL4|84871	7.2657
AGBL5|60509	608.7085	AGBL5|60509	722.6748
AGER|177	24.7987	AGER|177	42.4763
AGFG1|3267	1442.5121	AGFG1|3267	1707.7131
AGFG2|3268	383.2528	AGFG2|3268	418.3352
AGGF1|55109	1123.0274	AGGF1|55109	990.3674
AGK|55750	587.1176	AGK|55750	557.7803
AGL|178	2036.0709	AGL|178	1106.3387
AGMAT|79814	31.8841	AGMAT|79814	26.5477
AGPAT1|10554	2239.7939	AGPAT1|10554	2154.2335
AGPAT2|10555	731.401	AGPAT2|10555	374.7412
AGPAT3|56894	2747.182	AGPAT3|56894	2401.8645
AGPAT4|56895	305.6361	AGPAT4|56895	305.4378
AGPAT5|55326	809.6618	AGPAT5|55326	937.2721
AGPAT6|137964	1907.8905	AGPAT6|137964	2123.5332
AGPAT9|84803	159.7424	AGPAT9|84803	177.7296
AGPHD1|123688	58.9372	AGPHD1|123688	44.7118
AGPS|8540	886.3124	AGPS|8540	1146.0205
AGR2|10551	9343.9614	AGR2|10551	3338.2982
AGR3|155465	380.3543	AGR3|155465	332.8238
AGRN|375790	4155.5556	AGRN|375790	5092.6793
AGTPBP1|23287	385.1852	AGTPBP1|23287	416.3791
AGTR1|185	178.744	AGTR1|185	91.9387
AGTR2|186	8.6957	AGTR2|186	7.2657
AGTRAP|57085	1315.62	AGTRAP|57085	764.5726
AGT|183	86.9565	AGT|183	119.6042
AGXT2L2|85007	344.4992	AGXT2L2|85007	350.4095
AHCTF1|25909	1404.8309	AHCTF1|25909	1248.8578
AHCYL1|10768	4459.9034	AHCYL1|10768	4134.728
AHCYL2|23382	586.1514	AHCYL2|23382	700.5787
AHCY|191	5304.0258	AHCY|191	5509.8967
AHDC1|27245	640.2576	AHDC1|27245	1389.1412
AHI1|54806	331.723	AHI1|54806	386.478
AHNAK2|113146	1543.6393	AHNAK2|113146	981.1456
AHNAK|79026	76970.0483	AHNAK|79026	57578.5182
AHRR|57491	36.715	AHRR|57491	23.1943
AHR|196	3672.1417	AHR|196	3163.922
AHSA1|10598	1227.0531	AHSA1|10598	1655.7356
AHSA2|130872	304.9919	AHSA2|130872	470.3127
AIDA|64853	1230.9887	AIDA|64853	930.5625
AIF1L|83543	951.3688	AIF1L|83543	2081.057
AIF1|199	626.7311	AIF1|199	669.5599
AIFM1|9131	870.8535	AIFM1|9131	941.4638
AIFM2|84883	536.5539	AIFM2|84883	384.5219
AIFM3|150209	11.1787	AIFM3|150209	7.8246
AIG1|51390	1171.9807	AIG1|51390	720.4196
AIM1|202	2669.2432	AIM1|202	2242.2991
AIM2|9447	26.7311	AIM2|9447	17.3258
AIMP1|9255	1021.4783	AIMP1|9255	1000.1369
AIMP2|7965	398.6957	AIMP2|7965	405.352
AIP|9049	683.7359	AIP|9049	772.6766
AJAP1|55966	6.1192	AJAP1|55966	22.3559
AK1|203	303.3816	AK1|203	407.7161
AK2|204	2071.1755	AK2|204	2093.3527
AK3L1|205	523.0274	AK3L1|205	671.2366
AK3|50808	1687.2786	AK3|50808	1542.8381
AK5|26289	172.3027	AK5|26289	878.0289
AK7|122481	16.7472	AK7|122481	19.282
AKAP10|11216	565.2174	AKAP10|11216	484.5646
AKAP11|11215	2487.2786	AKAP11|11215	1932.6695
AKAP12|9590	2606.7633	AKAP12|9590	1790.1505
AKAP13|11214	4930.4348	AKAP13|11214	4063.7479
AKAP1|8165	1792.5926	AKAP1|8165	1955.5844
AKAP2|11217	1183.4364	AKAP2|11217	1227.1613
AKAP3|10566	9.0177	AKAP3|10566	11.7369
AKAP5|9495	163.285	AKAP5|9495	185.5542
AKAP6|9472	127.5362	AKAP6|9472	156.7709
AKAP7|9465	198.0676	AKAP7|9465	194.2171
AKAP8L|26993	510.1449	AKAP8L|26993	452.9869
AKAP8|10270	556.1997	AKAP8|10270	536.8216
AKAP9|10142	2312.0773	AKAP9|10142	2249.0059
AKD1|221264	120.7729	AKD1|221264	130.7821
AKIRIN1|79647	1138.8084	AKIRIN1|79647	1267.3014
AKIRIN2|55122	639.2915	AKIRIN2|55122	675.9872
AKNA|80709	1194.847	AKNA|80709	890.6041
AKR1A1|10327	1780.6763	AKR1A1|10327	2506.099
lowly_expressed	lowly_expressed	AKR1B10|57016	6.7068
lowly_expressed	lowly_expressed	AKR1B15|441282	449.913
AKR1B1|231	1186.4734	AKR1B1|231	1650.7055
AKR1C1|1645	499.1948	AKR1C1|1645	148.6669
AKR1C2|1646	408.0515	AKR1C2|1646	386.7575
AKR1C3|8644	661.1916	AKR1C3|8644	358.8126
AKR1D1|6718	6.1192	AKR1D1|6718	84.6731
AKR1E2|83592	18.0354	AKR1E2|83592	24.871
AKR7A2|8574	1162.3188	AKR7A2|8574	1073.6432
AKR7A3|22977	132.3671	AKR7A3|22977	69.5828
AKR7L|246181	20.6119	AKR7L|246181	18.1642
AKT1S1|84335	1003.2206	AKT1S1|84335	814.035
AKT1|207	2780.3543	AKT1|207	3689.0068
AKT2|208	2817.7134	AKT2|208	2221.6199
AKT3|10000	1531.0789	lowly_expressed	lowly_expressed
AKTIP|64400	606.4895	AKTIP|64400	566.5269999999999
