gene_id	TCGA-BH-A0B8-01A-21R-A056-07	gene_id	TCGA-BH-A0B8-11A-41R-A089-07
ACP5|54	396.7229	ACP5|54	257.1872
ACP6|51205	314.0723	ACP6|51205	202.7914
ACPL2|92370	801.2517	ACPL2|92370	191.3396
ACPP|55	40.407	ACPP|55	10.4974
ACRBP|84519	29.3869	ACRBP|84519	33.4009
ACRC|93953	14.2343	ACRC|93953	21.9492
ACR|49	5.51	ACR|49	5.2487
ACSBG1|23205	6.8876	ACSBG1|23205	18.6091
ACSF2|80221	1425.2638	ACSF2|80221	1727.3053
ACSF3|197322	296.6238	ACSF3|197322	310.1515
ACSL1|2180	1240.6774	ACSL1|2180	76139.3296
ACSL3|2181	2881.7511	ACSL3|2181	2694.5008
ACSL4|2182	551.004	ACSL4|2182	2715.9728
ACSL5|51703	188.2597	ACSL5|51703	1157.5808
ACSL6|23305	114.3333	lowly_expressed	lowly_expressed
ACSM1|116285	35.3561	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSM2A|123876	11.4517
lowly_expressed	lowly_expressed	ACSM2B|348158	5.7259
ACSM3|6296	17.5036	ACSM3|6296	9.6147
ACSM5|54988	21.581	ACSM5|54988	1632.8283
ACSS1|84532	1532.7096	ACSS1|84532	408.9228
ACSS2|55902	1181.9037	ACSS2|55902	7634.4984
ACSS3|79611	56.9371	ACSS3|79611	1803.6502
ACTA1|58	79.4364	ACTA1|58	10.4974
ACTA2|59	5194.2415	ACTA2|59	17553.3055
ACTB|60	52313.2412	ACTB|60	64955.7438
ACTC1|70	11.0201	ACTC1|70	67.7562
ACTG1|71	86983.3333	ACTG1|71	25212.9309
ACTG2|72	163.9237	ACTG2|72	2302.2784
ACTL6A|86	1620.8702	ACTL6A|86	524.3946
ACTL8|81569	13.3159	lowly_expressed	lowly_expressed
ACTN1|87	7463.8088	ACTN1|87	8528.2119
ACTN4|81	10110.2995	ACTN4|81	9945.9573
ACTR10|55860	1218.6373	ACTR10|55860	1144.6976
ACTR1A|10121	2778.4378	ACTR1A|10121	3482.7627
ACTR1B|10120	983.083	ACTR1B|10120	1202.4335
ACTR2|10097	5826.4085	ACTR2|10097	6284.1465
ACTR3B|57180	100.0991	ACTR3B|57180	89.7054
ACTR3C|653857	50.9679	ACTR3C|653857	28.6294
ACTR3|10096	3396.4807	ACTR3|10096	2930.2159
ACTR5|79913	274.1245	ACTR5|79913	124.5378
ACTR6|64431	588.1968	ACTR6|64431	446.141
ACTR8|93973	506.9237	ACTR8|93973	502.9226
ACVR1B|91	1751.7337	ACVR1B|91	883.216
ACVR1C|130399	49.5904	ACVR1C|130399	6100.9185
ACVR1|90	657.0723	ACVR1|90	1164.261
ACVR2A|92	233.2584	ACVR2A|92	550.6382
ACVR2B|93	361.3668	ACVR2B|93	303.4713
ACVRL1|94	316.8273	ACVRL1|94	1617.5593
ACY1|95	515.6479	ACY1|95	946.2006
ACYP1|97	54.6412	ACYP1|97	21.9492
ACYP2|98	40.8661	ACYP2|98	262.913
ADAL|161823	150.1486	ADAL|161823	307.2886
ADAM10|102	1002.3682	ADAM10|102	1192.8904
ADAM11|4185	12.8568	lowly_expressed	lowly_expressed
ADAM12|8038	1198.8929	ADAM12|8038	1071.2156
ADAM15|8751	2614.1009	ADAM15|8751	3293.8089
ADAM17|6868	652.9398	ADAM17|6868	570.2016
ADAM19|8728	226.3708	ADAM19|8728	170.8219
lowly_expressed	lowly_expressed	ADAM21|8747	5.7259
ADAM22|53616	151.5261	ADAM22|53616	184.6594
ADAM23|8745	58.3146	ADAM23|8745	31.9695
ADAM28|10863	51.427	ADAM28|10863	14.7918
ADAM32|203102	23.4177	ADAM32|203102	39.604
