gene_id	TCGA-BH-A0DZ-01A-11R-A00Z-07	gene_id	TCGA-BH-A0DZ-11A-22R-A089-07
ACOT9|23597	566.1017	ACOT9|23597	426.4184
ACOX1|51	683.8983	ACOX1|51	1070.0355
ACOX2|8309	68.6441	ACOX2|8309	296.5426
ACOX3|8310	475.4237	ACOX3|8310	1024.3794
ACP1|52	2211.0169	ACP1|52	1578.4574
ACP2|53	1336.4407	ACP2|53	1210.9929
ACP5|54	992.3729	ACP5|54	893.1738
ACP6|51205	442.3729	ACP6|51205	508.422
ACPL2|92370	246.6102	ACPL2|92370	479.6099
ACPP|55	61.0169	ACPP|55	42.9965
ACRBP|84519	18.6441	ACRBP|84519	7.9787
ACRC|93953	5.9322	ACRC|93953	10.6383
lowly_expressed	lowly_expressed	ACR|49	5.3191
lowly_expressed	lowly_expressed	ACSBG1|23205	13.2979
ACSF2|80221	1007.6271	ACSF2|80221	1621.0106
ACSF3|197322	258.4746	ACSF3|197322	487.1454
ACSL1|2180	918.6441	ACSL1|2180	2028.8121
ACSL3|2181	5677.1186	ACSL3|2181	4488.4752
ACSL4|2182	942.3729	ACSL4|2182	558.9539
ACSL5|51703	301.6949	ACSL5|51703	597.0745
lowly_expressed	lowly_expressed	ACSL6|23305	8.422
ACSM1|116285	6.7797	ACSM1|116285	148.0496
ACSM3|6296	16.0763	ACSM3|6296	123.0718
lowly_expressed	lowly_expressed	ACSM5|54988	11.9681
ACSS1|84532	272.8814	ACSS1|84532	1397.1631
ACSS2|55902	455.9322	ACSS2|55902	1616.578
ACSS3|79611	591.5254	ACSS3|79611	150.7092
ACTA1|58	16.1017	ACTA1|58	6.2057
ACTA2|59	11416.8729	ACTA2|59	30527.6995
ACTB|60	112065.2542	ACTB|60	104422.8723
ACTC1|70	14.4068	lowly_expressed	lowly_expressed
ACTG1|71	63869.4915	ACTG1|71	90246.4539
ACTG2|72	724.5763	ACTG2|72	6106.8262
ACTL6A|86	2232.2034	ACTL6A|86	928.6348
ACTN1|87	12085.5932	ACTN1|87	11483.5993
ACTN4|81	8190.0254	ACTN4|81	14408.4486
ACTR10|55860	1301.6949	ACTR10|55860	1097.5177
ACTR1A|10121	2783.8983	ACTR1A|10121	3270.8333
ACTR1B|10120	1159.322	ACTR1B|10120	2070.922
ACTR2|10097	7684.7458	ACTR2|10097	3425.9752
ACTR3B|57180	53.3898	ACTR3B|57180	273.4929
ACTR3C|653857	6.7797	ACTR3C|653857	41.6667
ACTR3|10096	7377.9661	ACTR3|10096	2990.6915
ACTR5|79913	197.4576	ACTR5|79913	230.9397
ACTR6|64431	679.661	ACTR6|64431	558.9539
ACTR8|93973	350	ACTR8|93973	466.3121
ACVR1B|91	1327.1186	ACVR1B|91	1258.8652
ACVR1C|130399	14.4068	ACVR1C|130399	55.8511
ACVR1|90	1510.1695	ACVR1|90	1079.7872
ACVR2A|92	522.0339	ACVR2A|92	595.3014
ACVR2B|93	233.8983	ACVR2B|93	269.9468
ACVRL1|94	428.8136	ACVRL1|94	643.1738
ACY1|95	244.9153	ACY1|95	1199.0248
ACY3|91703	5.0847	ACY3|91703	43.883
ACYP1|97	65.2542	ACYP1|97	61.6135
ACYP2|98	122.8814	ACYP2|98	206.5603
lowly_expressed	lowly_expressed	ADAD2|161931	5.0798
ADAL|161823	101.6949	ADAL|161823	160.0177
ADAM10|102	2502.5424	ADAM10|102	1212.766
ADAM11|4185	5.9322	ADAM11|4185	16.4007
ADAM12|8038	3893.2203	ADAM12|8038	1093.0851
ADAM15|8751	1225.4237	ADAM15|8751	4326.2411
ADAM17|6868	737.2881	ADAM17|6868	635.6383
ADAM19|8728	876.2712	ADAM19|8728	99.734
ADAM21|8747	51.6949	ADAM21|8747	5.3191
ADAM22|53616	22.8814	ADAM22|53616	9.3085
ADAM23|8745	10.1695	ADAM23|8745	16.4007
ADAM28|10863	139.8305	ADAM28|10863	101.0638
lowly_expressed	lowly_expressed	ADAM32|203102	60.2837
ADAM33|80332	46.6102	ADAM33|80332	316.9326
ADAM6|8755	19836.8475	ADAM6|8755	30271.0727
ADAM8|101	540.678	ADAM8|101	98.4043
ADAM9|8754	3121.1864	ADAM9|8754	1647.1631
ADAMDEC1|27299	26.2712	ADAMDEC1|27299	28.8121
ADAMTS10|81794	46.6102	ADAMTS10|81794	135.6383
ADAMTS12|81792	807.6271	ADAMTS12|81792	57.6241
ADAMTS13|11093	14.4068	ADAMTS13|11093	89.9823
ADAMTS14|140766	177.1186	ADAMTS14|140766	18.617
ADAMTS15|170689	105.0847	ADAMTS15|170689	349.2908
ADAMTS16|170690	122.8814	ADAMTS16|170690	139.1844
ADAMTS17|170691	31.3559	ADAMTS17|170691	141.844
ADAMTS18|170692	50	ADAMTS18|170692	124.5567
lowly_expressed	lowly_expressed	ADAMTS19|171019	5.7624
ADAMTS1|9510	474.5763	ADAMTS1|9510	1838.6525
ADAMTS2|9509	1155.9322	ADAMTS2|9509	253.5461
ADAMTS3|9508	11.0169	ADAMTS3|9508	39.0071
ADAMTS4|9507	1345.7627	ADAMTS4|9507	257.0922
ADAMTS5|11096	289.8305	ADAMTS5|11096	941.4894
ADAMTS6|11174	46.6102	ADAMTS6|11174	5.3191
ADAMTS7|11173	255.9322	ADAMTS7|11173	103.7234
ADAMTS8|11095	38.1356	ADAMTS8|11095	242.4645
ADAMTS9|56999	226.2712	ADAMTS9|56999	921.0993
ADAMTSL1|92949	82.2034	ADAMTSL1|92949	62.9433
ADAMTSL2|9719	230.5085	ADAMTSL2|9719	36.3475
ADAMTSL3|57188	118.6441	ADAMTSL3|57188	47.8723
ADAMTSL4|54507	129.661	ADAMTSL4|54507	159.5745
ADAMTSL5|339366	16.9492	ADAMTSL5|339366	76.6844
ADAP1|11033	96.2458	ADAP1|11033	187.7926
ADAP2|55803	312.7119	ADAP2|55803	161.3475
ADARB1|104	437.2881	ADARB1|104	623.227
lowly_expressed	lowly_expressed	ADARB2|105	9.3085
ADAR|103	6455.0847	ADAR|103	5984.4858
ADAT1|23536	128.8136	ADAT1|23536	157.8014
ADAT2|134637	26.2712	ADAT2|134637	122.3404
ADAT3|113179	37.2881	ADAT3|113179	51.4184
ADA|100	111.8644	ADA|100	103.2801
ADCK1|57143	39.8305	ADCK1|57143	252.2163
ADCK2|90956	664.4068	ADCK2|90956	1152.4823
ADCK4|79934	416.9492	ADCK4|79934	950.3546
ADCK5|203054	116.9492	ADCK5|203054	181.7376
ADCY1|107	135.5932	ADCY1|107	135.6383
ADCY2|108	36.4407	ADCY2|108	144.9468
ADCY3|109	455.9407	ADCY3|109	1275.2704
ADCY4|196883	61.0169	ADCY4|196883	233.156
ADCY5|111	16.9492	ADCY5|111	305.8511
ADCY6|112	730.5085	ADCY6|112	2197.2518
ADCY7|113	566.1017	ADCY7|113	254.4326
ADCY9|115	479.661	ADCY9|115	602.3936
lowly_expressed	lowly_expressed	ADCYAP1R1|117	5.7624
lowly_expressed	lowly_expressed	ADCYAP1|116	317.8191
ADC|113451	285.5932	ADC|113451	175.0887
ADD1|118	5072.8814	ADD1|118	5896.7199
ADD2|119	5.0847	ADD2|119	21.7199
ADD3|120	1012.7119	ADD3|120	1528.3688
ADH1B|125	72.0339	ADH1B|125	715.8688
lowly_expressed	lowly_expressed	ADH1C|126	44.7695
lowly_expressed	lowly_expressed	ADH4|127	10.6383
ADH5|128	3116.9492	ADH5|128	2484.4858
ADHFE1|137872	9.322	ADHFE1|137872	86.8794
ADI1|55256	1952.5424	ADI1|55256	1710.1064
ADIPOQ|9370	57.6271	ADIPOQ|9370	804.5213
ADIPOR1|51094	3494.0678	ADIPOR1|51094	2316.4894
ADIPOR2|79602	2844.0678	ADIPOR2|79602	1696.3652
ADK|132	439.8305	ADK|132	416.6667
ADM2|79924	105.0847	ADM2|79924	270.8333
ADM|133	1591.5254	ADM|133	167.5532
ADNP2|22850	1000	ADNP2|22850	562.9433
ADNP|23394	2841.5254	ADNP|23394	2489.3617
ADORA1|134	111.0169	ADORA1|134	995.5674
ADORA2A|135	194.9153	ADORA2A|135	139.6232
ADORA2B|136	43.2203	ADORA2B|136	150.7092
ADORA3|140	244.9153	ADORA3|140	98.4043
ADO|84890	545.7627	ADO|84890	734.9291
