gene_id	TCGA-BH-A18L-01A-32R-A12D-07	gene_id	TCGA-BH-A18L-11A-42R-A12D-07
lowly_expressed	lowly_expressed	ACSBG1|23205	12.6156
ACSF2|80221	338.1503	ACSF2|80221	890.6644
ACSF3|197322	257.8035	ACSF3|197322	364.5921
ACSL1|2180	858.9595	ACSL1|2180	16510.513
ACSL3|2181	5172.2543	ACSL3|2181	2624.4743
ACSL4|2182	244.7977	ACSL4|2182	1814.9706
ACSL5|51703	117.341	ACSL5|51703	1041.6316
ACSL6|23305	58.9595	lowly_expressed	lowly_expressed
ACSM1|116285	8.3815	ACSM1|116285	93.7763
ACSM3|6296	5.0318	ACSM3|6296	73.5071
ACSM5|54988	5.4913	ACSM5|54988	333.053
ACSS1|84532	3687.2832	ACSS1|84532	682.9268
ACSS2|55902	978.0347	ACSS2|55902	3220.7738
ACSS3|79611	1185.2601	ACSS3|79611	637.09
lowly_expressed	lowly_expressed	ACTA1|58	18.0824
ACTA2|59	1165.8121	ACTA2|59	15653.4272
ACTB|60	68045.3757	ACTB|60	72119.8486
lowly_expressed	lowly_expressed	ACTC1|70	5.4668
ACTG1|71	119776.5896	ACTG1|71	44375.9462
ACTG2|72	16.763	ACTG2|72	4854.4996
ACTL6A|86	909.5376	ACTL6A|86	685.45
ACTL6B|51412	86.1272	lowly_expressed	lowly_expressed
ACTL8|81569	8.6705	lowly_expressed	lowly_expressed
ACTN1|87	2182.948	ACTN1|87	8380.1514
ACTN4|81	10311.9451	ACTN4|81	10193.2422
ACTR10|55860	1156.3584	ACTR10|55860	981.4971
ACTR1A|10121	2975.4335	ACTR1A|10121	2625.7359
ACTR1B|10120	1232.3699	ACTR1B|10120	1400.3364
ACTR2|10097	6668.4971	ACTR2|10097	4545.8368
ACTR3B|57180	187.5723	ACTR3B|57180	143.3978
ACTR3C|653857	53.1792	ACTR3C|653857	43.7342
ACTR3|10096	3114.4509	ACTR3|10096	2569.8066
ACTR5|79913	247.1098	ACTR5|79913	162.3213
ACTR6|64431	819.9422	ACTR6|64431	503.3642
ACTR8|93973	445.0867	ACTR8|93973	523.9697
ACVR1B|91	1709.5376	ACVR1B|91	1037.0059
ACVR1C|130399	36.7052	ACVR1C|130399	1786.7956
ACVR1|90	569.9422	ACVR1|90	1158.1161
ACVR2A|92	134.6821	ACVR2A|92	542.0521
ACVR2B|93	518.2081	ACVR2B|93	261.5643
ACVRL1|94	202.0231	ACVRL1|94	1113.5408
ACY1|95	673.6994	ACY1|95	621.1102
lowly_expressed	lowly_expressed	ACY3|91703	6.7283
ACYP1|97	71.6763	lowly_expressed	lowly_expressed
ACYP2|98	21.9653	ACYP2|98	168.6291
ADAL|161823	60.1156	ADAL|161823	134.5669
ADAM10|102	1781.7919	ADAM10|102	1635.8284
lowly_expressed	lowly_expressed	ADAM11|4185	14.2977
ADAM12|8038	190.7514	ADAM12|8038	822.1194
ADAM15|8751	3892.5116	ADAM15|8751	3037.0648
ADAM17|6868	653.4682	ADAM17|6868	696.3835
ADAM19|8728	71.6763	ADAM19|8728	54.2473
ADAM21|8747	10.1156	lowly_expressed	lowly_expressed
ADAM22|53616	8.0925	ADAM22|53616	74.4323
lowly_expressed	lowly_expressed	ADAM23|8745	36.1648
ADAM28|10863	42.7746	ADAM28|10863	126.1564
lowly_expressed	lowly_expressed	ADAM32|203102	23.9697
lowly_expressed	lowly_expressed	ADAM33|80332	787.3549
ADAM6|8755	5148.8179	ADAM6|8755	19053.4609
ADAM8|101	136.4162	ADAM8|101	46.2574
ADAM9|8754	1493.0636	ADAM9|8754	2021.0261
ADAMDEC1|27299	148.8439	lowly_expressed	lowly_expressed
ADAMTS10|81794	21.0983	ADAMTS10|81794	296.8881
ADAMTS12|81792	68.2081	ADAMTS12|81792	296.4676
ADAMTS13|11093	40.4624	ADAMTS13|11093	64.3398
ADAMTS14|140766	10.6936	ADAMTS14|140766	8.4104
ADAMTS15|170689	228.0347	ADAMTS15|170689	709.8402
lowly_expressed	lowly_expressed	ADAMTS16|170690	297.3087
ADAMTS17|170691	15.896	ADAMTS17|170691	29.016
ADAMTS18|170692	582.0809	ADAMTS18|170692	453.7426
ADAMTS19|171019	65.0289	lowly_expressed	lowly_expressed
ADAMTS1|9510	512.4277	ADAMTS1|9510	7196.3835
ADAMTS20|80070	5.4913	lowly_expressed	lowly_expressed
ADAMTS2|9509	101.7341	ADAMTS2|9509	822.9605
ADAMTS3|9508	14.7399	ADAMTS3|9508	71.9092
ADAMTS4|9507	230.3468	ADAMTS4|9507	759.8823
ADAMTS5|11096	107.5145	ADAMTS5|11096	2267.0311
ADAMTS6|11174	11.2717	ADAMTS6|11174	18.0824
