gene_id	TCGA-BH-A0DT-01A-21R-A12D-07	gene_id	TCGA-BH-A0DT-11A-12R-A12D-07
AGXT2L1|64850	18.5743	AGXT2L1|64850	7.667
AGXT2L2|85007	327.5227	AGXT2L2|85007	364.1913
AHCTF1|25909	1959.9743	AHCTF1|25909	1652.0628
AHCYL1|10768	4601.3929	AHCYL1|10768	4377.51
AHCYL2|23382	694.601	AHCYL2|23382	755.7503
AHCY|191	3725.3056	AHCY|191	2856.1519
AHDC1|27245	724.0103	AHDC1|27245	1199.3428
AHI1|54806	428.3695	AHI1|54806	522.4535
AHNAK2|113146	1360.5666	AHNAK2|113146	889.0106
AHNAK|79026	36090.6154	AHNAK|79026	88706.8273
AHRR|57491	13.1568	AHRR|57491	22.636
AHR|196	2570.2171	AHR|196	3807.2289
AHSA1|10598	1331.1573	AHSA1|10598	1330.4126
AHSA2|130872	273.5838	AHSA2|130872	433.7349
AIDA|64853	1682.192	AIDA|64853	841.2085
AIF1L|83543	305.3149	AIF1L|83543	1451.9898
AIF1|199	317.3108	AIF1|199	176.7068
AIFM1|9131	801.0162	AIFM1|9131	736.035
AIFM2|84883	318.8586	AIFM2|84883	496.8967
AIFM3|150209	21.9447	AIFM3|150209	14.111
AIG1|51390	580.8335	AIG1|51390	749.1785
AIM1L|55057	8.1263	lowly_expressed	lowly_expressed
AIM1|202	2209.5663	AIM1|202	4932.092
AIM2|9447	14.3177	lowly_expressed	lowly_expressed
AIMP1|9255	1063.0762	AIMP1|9255	1117.6232
AIMP2|7965	410.6852	AIMP2|7965	311.3545
AIP|9049	579.2856	AIP|9049	534.8667
AJAP1|55966	10.835	AJAP1|55966	10.5878
AK1|203	342.0765	AK1|203	354.5089
AK2|204	2042.7847	AK2|204	2051.1135
AK3L1|205	225.6002	AK3L1|205	542.5338
AK3|50808	1529.67	AK3|50808	1825.1187
AK5|26289	648.1653	AK5|26289	2422.4169
AK7|122481	44.1139	AK7|122481	59.5108
AKAP10|11216	490.6708	AKAP10|11216	578.6783
AKAP11|11215	1716.5738	AKAP11|11215	2261.0442
AKAP12|9590	1225.1291	AKAP12|9590	2009.1274
AKAP13|11214	3199.0341	AKAP13|11214	3985.031
AKAP1|8165	1748.6918	AKAP1|8165	2308.8719
AKAP2|11217	565.0376	AKAP2|11217	1755.0931
AKAP3|10566	45.2748	AKAP3|10566	50.3834
AKAP5|9495	62.3013	AKAP5|9495	112.8149
AKAP6|9472	63.8491	AKAP6|9472	325.6663
AKAP7|9465	99.0629	AKAP7|9465	188.0248
AKAP8L|26993	564.9679	AKAP8L|26993	622.49
AKAP8|10270	663.2569	AKAP8|10270	695.5093
AKAP9|10142	3500.8663	AKAP9|10142	3957.2837
AKD1|221264	210.5086	AKD1|221264	161.3728
AKIRIN1|79647	956.9628	AKIRIN1|79647	1450.8945
AKIRIN2|55122	533.6238	AKIRIN2|55122	679.8101
AKNA|80709	785.5376	AKNA|80709	572.4717
AKR1A1|10327	2150.3608	AKR1A1|10327	2167.2143
