gene_id	TCGA-BH-A18Q-01A-12R-A12D-07	gene_id	TCGA-BH-A18Q-11A-34R-A12D-07
ACSM5|54988	13.9786	ACSM5|54988	158.027
ACSS1|84532	1036.535	ACSS1|84532	1117.185
ACSS2|55902	1471.5662	ACSS2|55902	2140.7477
ACSS3|79611	452.8222	ACSS3|79611	646.2457
ACTA1|58	163.0838	lowly_expressed	lowly_expressed
ACTA2|59	14343.5179	ACTA2|59	29967.0688
ACTBL2|345651	33.8875	ACTBL2|345651	6.2834
ACTB|60	87720.8514	ACTB|60	67883.7575
ACTG1|71	104046.1718	ACTG1|71	47820.2953
ACTG2|72	11778.0366	ACTG2|72	5677.3484
ACTL6A|86	2300.5401	ACTL6A|86	767.2008
ACTN1|87	11106.2162	ACTN1|87	8157.7128
ACTN2|88	167.3197	lowly_expressed	lowly_expressed
ACTN4|81	19728.5015	ACTN4|81	10506.0603
ACTR10|55860	789.5796	ACTR10|55860	1150.8011
ACTR1A|10121	1663.4544	ACTR1A|10121	1950.9896
ACTR1B|10120	1404.6384	ACTR1B|10120	1378.8878
ACTR2|10097	5925.6592	ACTR2|10097	4533.7732
ACTR3B|57180	539.659	ACTR3B|57180	204.8382
ACTR3C|653857	21.6033	ACTR3C|653857	54.6654
ACTR3|10096	4025.8392	ACTR3|10096	2613.8863
ACTR5|79913	210.1027	ACTR5|79913	226.2017
ACTR6|64431	1011.5429	ACTR6|64431	627.7097
ACTR8|93973	350.3124	ACTR8|93973	562.0484
ACVR1B|91	831.5154	ACVR1B|91	1305.6865
ACVR1C|130399	36.8527	ACVR1C|130399	837.2604
ACVR1|90	498.5704	ACVR1|90	1330.82
ACVR2A|92	304.1406	ACVR2A|92	763.4307
ACVR2B|93	326.5911	ACVR2B|93	573.3585
ACVRL1|94	322.7788	ACVRL1|94	683.3176
ACY1|95	312.1889	ACY1|95	446.8238
lowly_expressed	lowly_expressed	ACY3|91703	21.0493
ACYP1|97	119.4536	ACYP1|97	73.8297
ACYP2|98	191.041	ACYP2|98	124.7251
ADAL|161823	171.1321	ADAL|161823	224.6309
ADAM10|102	1158.1065	ADAM10|102	2349.0418
