gene_id	TCGA-BH-A1F0-01A-11R-A137-07	gene_id	TCGA-BH-A1F0-11B-23R-A137-07
ACSM5|54988	45.3812	ACSM5|54988	513.4639
ACSS1|84532	844.822	ACSS1|84532	879.437
ACSS2|55902	681.3636	ACSS2|55902	2498.776
ACSS3|79611	87.9664	ACSS3|79611	731.3341
ACTA1|58	145.1769	lowly_expressed	lowly_expressed
ACTA2|59	5021.7916	ACTA2|59	21265.0153
ACTBL2|345651	10.3237	ACTBL2|345651	10.4039
ACTB|60	96952.7906	ACTB|60	74092.4113
ACTC1|70	48.6074	ACTC1|70	34.8837
ACTG1|71	52943.1122	ACTG1|71	44130.049
ACTG2|72	2410.3667	ACTG2|72	3845.7772
ACTL6A|86	1473.0616	ACTL6A|86	828.3354
ACTL8|81569	37.6385	lowly_expressed	lowly_expressed
ACTN1|87	5109.1515	ACTN1|87	7277.2338
ACTN2|88	5.3769	ACTN2|88	5.814
ACTN4|81	11594.1843	ACTN4|81	9797.5612
ACTR10|55860	1020.97	ACTR10|55860	1278.1518
ACTR1A|10121	2291.2141	ACTR1A|10121	2365.6671
ACTR1B|10120	830.842	ACTR1B|10120	1343.6353
ACTR2|10097	13051.0808	ACTR2|10097	5374.235
ACTR3B|57180	313.152	ACTR3B|57180	133.7209
ACTR3C|653857	29.2505	ACTR3C|653857	15.9119
ACTR3|10096	6454.0273	ACTR3|10096	2953.7944
ACTR5|79913	245.1877	ACTR5|79913	187.2705
ACTR6|64431	672.9756	ACTR6|64431	690.0245
ACTR8|93973	464.5661	ACTR8|93973	458.6903
ACVR1B|91	734.9177	ACVR1B|91	1010.0979
ACVR1C|130399	161.0926	ACVR1C|130399	2877.601
ACVR1|90	1084.4177	ACVR1|90	1281.2118
ACVR2A|92	403.0541	ACVR2A|92	505.202
ACVR2B|93	304.764	ACVR2B|93	345.1652
ACVRL1|94	886.9771	ACVRL1|94	1117.5031
ACY1|95	632.6938	ACY1|95	488.6781
ACY3|91703	12.9046	ACY3|91703	15.9119
ACYP1|97	80.4388	ACYP1|97	66.7075
ACYP2|98	158.2966	ACYP2|98	195.2264
ADAL|161823	112.2701	ADAL|161823	174.1126
ADAM10|102	2243.8972	ADAM10|102	2044.6756
ADAM11|4185	7.5277	ADAM11|4185	13.1579
ADAM12|8038	1807.5062	ADAM12|8038	237.7601
ADAM15|8751	4714.7156	ADAM15|8751	2364.1585
ADAM17|6868	1505.9684	ADAM17|6868	703.1824
ADAM19|8728	806.9685	ADAM19|8728	118.1151
ADAM21|8747	6.6674	lowly_expressed	lowly_expressed
ADAM22|53616	41.2948	ADAM22|53616	64.8715
ADAM23|8745	92.4831	ADAM23|8745	55.0796
ADAM28|10863	274.223	ADAM28|10863	80.7834
ADAM32|203102	47.3169	ADAM32|203102	51.7136
ADAM33|80332	177.2234	ADAM33|80332	491.6004
ADAM6|8755	140049.1408	ADAM6|8755	48596.7289
ADAM8|101	586.2996	ADAM8|101	42.8397
ADAM9|8754	5236.9072	ADAM9|8754	2307.2215
ADAMDEC1|27299	984.4069	ADAMDEC1|27299	7.9559
ADAMTS10|81794	80.8689	ADAMTS10|81794	133.1089
ADAMTS12|81792	272.2873	ADAMTS12|81792	142.2889
ADAMTS13|11093	43.4455	ADAMTS13|11093	52.6316
ADAMTS14|140766	58.9311	lowly_expressed	lowly_expressed
ADAMTS15|170689	87.7514	ADAMTS15|170689	180.8446
ADAMTS16|170690	43.8757	ADAMTS16|170690	143.8188
ADAMTS17|170691	8.6031	ADAMTS17|170691	21.7258
ADAMTS18|170692	25.164	ADAMTS18|170692	58.4455
ADAMTS1|9510	2000.4302	ADAMTS1|9510	7718.7882
ADAMTS20|80070	7.5277	lowly_expressed	lowly_expressed
ADAMTS2|9509	360.0387	ADAMTS2|9509	416.7687
ADAMTS3|9508	95.9243	ADAMTS3|9508	112.6071
ADAMTS4|9507	320.4646	ADAMTS4|9507	220.9302
ADAMTS5|11096	487.5793	ADAMTS5|11096	2239.9021
ADAMTS6|11174	59.7914	ADAMTS6|11174	29.9878
ADAMTS7|11173	100.656	ADAMTS7|11173	72.5214
ADAMTS8|11095	49.0375	ADAMTS8|11095	18.9718
ADAMTS9|56999	438.5418	ADAMTS9|56999	533.0477
ADAMTSL1|92949	138.2944	ADAMTSL1|92949	220.3182
ADAMTSL2|9719	60.4366	ADAMTSL2|9719	45.2876
ADAMTSL3|57188	315.5178	ADAMTSL3|57188	247.858
ADAMTSL4|54507	527.5836	ADAMTSL4|54507	940.6365
ADAMTSL5|339366	14.8403	ADAMTSL5|339366	28.7638
ADAP1|11033	81.8755	ADAP1|11033	87.3807
ADAP2|55803	733.1971	ADAP2|55803	215.1163
ADARB1|104	590.6011	ADARB1|104	883.1089
lowly_expressed	lowly_expressed	ADARB2|105	6.12
ADAR|103	17120.9808	ADAR|103	6429.3146
ADAT1|23536	313.7972	ADAT1|23536	287.0257
ADAT2|134637	190.343	ADAT2|134637	140.7589
ADAT3|113179	15.4855	ADAT3|113179	20.1958
ADA|100	241.3163	ADA|100	85.6793
ADCK1|57143	139.8	ADCK1|57143	123.317
ADCK2|90956	724.6134	ADCK2|90956	583.2313
ADCK4|79934	355.5221	ADCK4|79934	426.8666
ADCK5|203054	68.6095	ADCK5|203054	67.0135
ADCY1|107	82.5895	ADCY1|107	118.1151
ADCY2|108	195.5049	ADCY2|108	110.1591
ADCY3|109	2242.0368	ADCY3|109	1369.8868
ADCY4|196883	291.2141	ADCY4|196883	573.7454
ADCY5|111	43.0154	ADCY5|111	492.9621
ADCY6|112	1172.3841	ADCY6|112	2648.7148
ADCY7|113	1334.9823	ADCY7|113	354.0392
ADCY9|115	640.0688	ADCY9|115	753.06
ADCYAP1R1|117	5.592	ADCYAP1R1|117	13.4639
ADCYAP1|116	188.8375	ADCYAP1|116	18.3599
ADC|113451	69.4698	ADC|113451	116.5851
ADD1|118	3247.8761	ADD1|118	6823.4394
ADD2|119	56.7803	ADD2|119	41.6157
ADD3|120	1659.7484	ADD3|120	3069.7674
ADH1A|124	43.6606	ADH1A|124	380.052
ADH1B|125	5208.517	ADH1B|125	48264.0728
ADH1C|126	78.5031	ADH1C|126	378.213
ADH4|127	24.7338	ADH4|127	52.9376
ADH5|128	3076.89	ADH5|128	4002.754
ADHFE1|137872	53.5541	ADHFE1|137872	282.4357
ADI1|55256	1264.437	ADI1|55256	1887.3929
ADIPOQ|9370	1204.6457	ADIPOQ|9370	19555.3856
ADIPOR1|51094	3202.0647	ADIPOR1|51094	2059.6695
ADIPOR2|79602	1775.6748	ADIPOR2|79602	3419.5226
ADK|132	434.0252	ADK|132	522.3378
ADM2|79924	211.2055	ADM2|79924	34.5777
ADM|133	351.2206	ADM|133	1200.4284
ADNP2|22850	594.0424	ADNP2|22850	716.6463
ADNP|23394	3094.9564	ADNP|23394	2570.6854
ADORA1|134	406.4953	ADORA1|134	198.5924
ADORA2A|135	200.2301	ADORA2A|135	83.2313
ADORA2B|136	104.0972	ADORA2B|136	65.7895
ADORA3|140	432.9498	ADORA3|140	106.7931
ADO|84890	680.2882	ADO|84890	731.6401
ADPGK|83440	1387.3384	ADPGK|83440	754.03
ADPRHL1|113622	20.6474	ADPRHL1|113622	78.0294
ADPRHL2|54936	691.2571	ADPRHL2|54936	537.6377
ADPRH|141	697.7094	ADPRH|141	529.9878
lowly_expressed	lowly_expressed	ADRA1A|148	12.8519
ADRA1B|147	16.1308	ADRA1B|147	36.1077
ADRA1D|146	6.6674	ADRA1D|146	8.8739
ADRA2A|150	309.0655	ADRA2A|150	1410.9547
ADRA2B|151	69.4698	ADRA2B|151	59.6695
ADRA2C|152	31.8314	ADRA2C|152	133.7209
ADRB1|153	9.6785	ADRB1|153	47.1236
ADRB2|154	161.0926	ADRB2|154	497.246
ADRBK1|156	2420.6904	ADRBK1|156	1337.8213
ADRBK2|157	988.2783	ADRBK2|157	2050.4896
ADRM1|11047	1222.497	ADRM1|11047	998.47
ADSL|158	924.6156	ADSL|158	705.6304
ADSSL1|122622	34.4123	ADSSL1|122622	257.0379
ADSS|159	2100.656	ADSS|159	1385.5569
AEBP1|165	7085.7081	AEBP1|165	7434.5165
AEBP2|121536	629.315	AEBP2|121536	969.0942
AEN|64782	535.3264	AEN|64782	506.4259
AES|166	3308.7429	AES|166	5138.9229
AFAP1L1|134265	410.3667	AFAP1L1|134265	1105.5692
AFAP1L2|84632	367.7815	AFAP1L2|84632	1209.6083
AFAP1|60312	1138.0643	AFAP1|60312	1231.9431
