gene_id	TCGA-BH-A1EO-01A-11R-A137-07	gene_id	TCGA-BH-A1EO-11A-31R-A137-07
ACTG2|72	216.3013	ACTG2|72	367.552
ACTL6A|86	1064.9118	ACTL6A|86	721.2252
ACTN1|87	7394.2992	ACTN1|87	3793.9698
ACTN4|81	8118.8799	ACTN4|81	6919.3372
ACTR10|55860	1231.4295	ACTR10|55860	1622.637
ACTR1A|10121	2134.4015	ACTR1A|10121	3737.7363
ACTR1B|10120	1032.295	ACTR1B|10120	1287.15
ACTR2|10097	9402.8111	ACTR2|10097	6644.1732
ACTR3B|57180	217.4457	ACTR3B|57180	93.0845
ACTR3C|653857	26.8946	ACTR3C|653857	14.8361
ACTR3|10096	5772.6119	ACTR3|10096	4486.7193
ACTR5|79913	203.7123	ACTR5|79913	197.1764
ACTR6|64431	393.119	ACTR6|64431	517.8272
ACTR8|93973	472.6583	ACTR8|93973	384.5418
ACVR1B|91	674.654	ACVR1B|91	586.7432
ACVR1C|130399	20.6001	ACVR1C|130399	1735.3434
ACVR1|90	1400.8083	ACVR1|90	1641.3017
ACVR2A|92	476.0917	ACVR2A|92	499.6411
ACVR2B|93	379.9578	ACVR2B|93	202.6801
ACVRL1|94	580.809	ACVRL1|94	2633.8837
ACY1|95	540.7532	ACY1|95	466.8413
ACYP1|97	27.4668	ACYP1|97	28.4757
ACYP2|98	78.3949	ACYP2|98	297.4396
lowly_expressed	lowly_expressed	ADAD2|161931	14.0943
ADAL|161823	111.0118	ADAL|161823	199.33
ADAM10|102	2467.4368	ADAM10|102	1112.7064
ADAM11|4185	5.15	lowly_expressed	lowly_expressed
ADAM12|8038	9207.1099	ADAM12|8038	1142.6179
ADAM15|8751	1707.5212	ADAM15|8751	4541.5626
ADAM17|6868	1264.6186	ADAM17|6868	694.6638
ADAM19|8728	973.928	ADAM19|8728	300.0718
ADAM22|53616	90.9839	ADAM22|53616	80.6413
ADAM23|8745	112.1562	ADAM23|8745	94.7595
ADAM28|10863	131.6119	ADAM28|10863	54.5585
lowly_expressed	lowly_expressed	ADAM32|203102	48.5762
ADAM33|80332	89.2672	ADAM33|80332	823.4673
ADAM6|8755	661.756	ADAM6|8755	2579.4616
ADAM8|101	432.6026	ADAM8|101	93.0845
ADAM9|8754	9681.4849	ADAM9|8754	2953.8167
ADAMDEC1|27299	92.7005	ADAMDEC1|27299	5.9823
ADAMTS10|81794	113.3007	ADAMTS10|81794	180.4259
ADAMTS12|81792	1147.3123	ADAMTS12|81792	265.8531
ADAMTS13|11093	29.1835	ADAMTS13|11093	15.7933
ADAMTS14|140766	183.1122	ADAMTS14|140766	52.8835
ADAMTS15|170689	152.212	ADAMTS15|170689	223.0199
ADAMTS16|170690	810.2714	ADAMTS16|170690	545.3458
ADAMTS17|170691	149.3509	ADAMTS17|170691	48.0976
ADAMTS18|170692	44.6336	ADAMTS18|170692	386.2168
lowly_expressed	lowly_expressed	ADAMTS19|171019	12.6825
ADAMTS1|9510	845.7494	ADAMTS1|9510	10277.5784
ADAMTS2|9509	1956.4393	ADAMTS2|9509	1324.001
ADAMTS3|9508	66.9504	ADAMTS3|9508	125.3888
ADAMTS4|9507	1055.7562	ADAMTS4|9507	1182.5796
ADAMTS5|11096	698.6875	ADAMTS5|11096	2282.8428
ADAMTS6|11174	210.579	ADAMTS6|11174	39.2438
ADAMTS7|11173	336.4687	ADAMTS7|11173	193.587
ADAMTS8|11095	10.3001	ADAMTS8|11095	25.8435
ADAMTS9|56999	493.2585	ADAMTS9|56999	2103.374
ADAMTSL1|92949	149.3509	ADAMTSL1|92949	374.9701
ADAMTSL2|9719	318.1574	ADAMTSL2|9719	78.727
ADAMTSL3|57188	178.5344	ADAMTSL3|57188	363.0055
ADAMTSL4|54507	190.5511	ADAMTSL4|54507	1900.9332
ADAMTSL5|339366	81.256	ADAMTSL5|339366	31.1079
ADAP1|11033	36.3535	ADAP1|11033	128.4614
ADAP2|55803	500.1252	ADAP2|55803	710.2178
ADARB1|104	497.8363	ADARB1|104	876.7648
ADAR|103	12702.8361	ADAR|103	4483.3692
ADAT1|23536	374.8078	ADAT1|23536	136.6356
ADAT2|134637	49.2114	ADAT2|134637	76.8126
ADAT3|113179	32.6169	ADAT3|113179	12.4432
ADA|100	150.4953	ADA|100	439.8181
ADCK1|57143	140.7675	ADCK1|57143	189.0404
ADCK2|90956	1014.556	ADCK2|90956	629.5765
ADCK4|79934	448.0526	ADCK4|79934	321.8473
ADCK5|203054	152.7842	ADCK5|203054	50.9691
ADCY1|107	121.8841	ADCY1|107	148.6001
ADCY2|108	81.8283	ADCY2|108	86.145
ADCY3|109	693.2055	ADCY3|109	1941.9095
ADCY4|196883	105.2895	ADCY4|196883	806.413
ADCY5|111	259.7904	ADCY5|111	260.5887
ADCY6|112	972.2113	ADCY6|112	2225.1735
ADCY7|113	1800.794	ADCY7|113	826.7528
lowly_expressed	lowly_expressed	ADCY8|114	6.7002
ADCY9|115	837.7383	ADCY9|115	564.7284
lowly_expressed	lowly_expressed	ADCYAP1R1|117	42.3546
ADCYAP1|116	6.2945	ADCYAP1|116	55.2764
ADC|113451	345.6243	ADC|113451	137.3534
ADD1|118	4891.9567	ADD1|118	7204.3551
ADD2|119	37.7669	ADD2|119	83.0342
ADD3|120	3562.6766	ADD3|120	4199.0907
ADH1A|124	13.1612	ADH1A|124	455.1328
ADH1B|125	670.0762	ADH1B|125	56512.3187
lowly_expressed	lowly_expressed	ADH1C|126	672.649
ADH5|128	2107.5069	ADH5|128	5003.1108
ADHFE1|137872	44.6336	ADHFE1|137872	233.3094
ADI1|55256	727.871	ADI1|55256	2949.7487
ADIPOQ|9370	624.2981	ADIPOQ|9370	38642.4982
ADIPOR1|51094	3087.7293	ADIPOR1|51094	2357.9804
ADIPOR2|79602	4049.0683	ADIPOR2|79602	3072.984
ADK|132	440.6137	ADK|132	481.2156
ADM2|79924	19.4557	lowly_expressed	lowly_expressed
