gene_id	TCGA-BH-A18P-01A-11R-A12D-07	gene_id	TCGA-BH-A18P-11A-43R-A12D-07
ADRBK1|156	1148.7687	ADRBK1|156	1365.6143
ADRBK2|157	1022.4297	ADRBK2|157	5738.0546
ADRM1|11047	1163.0504	ADRM1|11047	987.2014
ADSL|158	944.7954	ADSL|158	682.5939
ADSSL1|122622	68.8456	ADSSL1|122622	372.8669
ADSS|159	3105.7402	ADSS|159	1040.1024
AEBP1|165	14275.5653	AEBP1|165	4741.4676
AEBP2|121536	708.2303	AEBP2|121536	788.8225
AEN|64782	415.6367	AEN|64782	290.529
AES|166	5528.884	AES|166	4837.884
AFAP1L1|134265	158.1983	AFAP1L1|134265	1360.4949
AFAP1L2|84632	181.2689	AFAP1L2|84632	829.3515
AFAP1|60312	1827.3258	AFAP1|60312	1465.4394
AFF1|4299	3219.2621	AFF1|4299	3457.7645
AFF2|2334	283.4386	AFF2|2334	77.6451
AFF3|3899	1132.6559	AFF3|3899	1416.3823
AFF4|27125	5685.6175	AFF4|27125	3733.7884
AFG3L1|172	247.9172	AFG3L1|172	153.5836
AFG3L2|10939	1704.4841	AFG3L2|10939	1345.4522
AFMID|125061	235.8326	AFMID|125061	290.1024
lowly_expressed	lowly_expressed	AFP|174	241.041
AFTPH|54812	2552.0461	AFTPH|54812	1540.1024
AG2|387763	127.0713	AG2|387763	293.0887
AGAP11|119385	23.0706	AGAP11|119385	396.3396
AGAP1|116987	1055.0215	AGAP1|116987	482.5085
AGAP2|116986	41.5307	AGAP2|116986	102.2611
AGAP3|116988	1262.6568	AGAP3|116988	1354.9488
AGAP4|119016	150.5081	AGAP4|119016	186.8601
AGAP5|729092	48.5032	AGAP5|729092	59.4113
AGAP6|414189	108.0289	AGAP6|414189	78.9249
lowly_expressed	lowly_expressed	AGAP7|653268	7.6792
AGAP8|728404	58.592	AGAP8|728404	48.2082
AGA|175	451.1581	AGA|175	369.8805
AGBL2|79841	6.9578	AGBL2|79841	9.8123
AGBL3|340351	15.0142	AGBL3|340351	7.6792
lowly_expressed	lowly_expressed	AGBL4|84871	14.9317
AGBL5|60509	602.0361	AGBL5|60509	772.1886
AGER|177	37.7186	AGER|177	29.4369
AGFG1|3267	1881.5344	AGFG1|3267	1848.1229
AGFG2|3268	192.2549	AGFG2|3268	409.5563
AGGF1|55109	931.246	AGGF1|55109	904.4369
AGK|55750	517.0741	AGK|55750	563.9932
AGL|178	10183.283	AGL|178	1366.4676
AGMAT|79814	10.6198	AGMAT|79814	6.8259
AGPAT1|10554	2131.7367	AGPAT1|10554	1770.2432
AGPAT2|10555	678.5682	AGPAT2|10555	9207.7645
AGPAT3|56894	2665.2019	AGPAT3|56894	2144.6246
AGPAT4|56895	109.1275	AGPAT4|56895	194.9659
AGPAT5|55326	940.0348	AGPAT5|55326	397.1843
AGPAT6|137964	1709.7867	AGPAT6|137964	1389.9317
AGPAT9|84803	58.592	AGPAT9|84803	2310.5802
AGPHD1|123688	39.5496	AGPHD1|123688	83.6177
AGPS|8540	1078.4583	AGPS|8540	1294.7952
AGR2|10551	4721.0473	AGR2|10551	1351.5358
AGR3|155465	2063.5357	AGR3|155465	191.5529
AGRN|375790	2658.6103	AGRN|375790	2055.0341
AGTPBP1|23287	221.5509	AGTPBP1|23287	591.7235
AGTR1|185	21.2396	AGTR1|185	679.6075
AGTRAP|57085	400.2563	AGTRAP|57085	404.4369
AGT|183	57.8596	AGT|183	412.116
AGXT2L2|85007	278.1946	AGXT2L2|85007	697.5683
lowly_expressed	lowly_expressed	AGXT|189	22.6109
AHCTF1|25909	3364.2772	AHCTF1|25909	1697.9522
AHCYL1|10768	3160.3039	AHCYL1|10768	5142.9181
AHCYL2|23382	1308.7979	AHCYL2|23382	768.3447
AHCY|191	3923.8304	AHCY|191	1544.3686
AHDC1|27245	611.5536	AHDC1|27245	848.5495
AHI1|54806	560.2856	AHI1|54806	392.9181
AHNAK2|113146	426.6227	AHNAK2|113146	811.8601
AHNAK|79026	26746.4982	AHNAK|79026	128380.9727
AHRR|57491	170.2829	AHRR|57491	55.4608
AHR|196	2538.1306	AHR|196	2607.0819
AHSA1|10598	1369.2209	AHSA1|10598	1008.959
AHSA2|130872	174.6773	AHSA2|130872	368.6007
AIDA|64853	1199.0589	AIDA|64853	2070.0896
AIF1L|83543	1317.9529	AIF1L|83543	2023.8908
AIF1|199	248.2834	AIF1|199	170.2218
AIFM1|9131	812.9635	AIFM1|9131	1008.5324
AIFM2|84883	345.6926	AIFM2|84883	1981.2287
lowly_expressed	lowly_expressed	AIFM3|150209	6.3993
AIG1|51390	575.666	AIG1|51390	1079.7782
AIM1L|55057	97.4091	lowly_expressed	lowly_expressed
AIM1|202	2200.1282	AIM1|202	5066.9795
AIM2|9447	5.1268	lowly_expressed	lowly_expressed
AIMP1|9255	934.3038	AIMP1|9255	1124.5222
AIMP2|7965	302.6604	AIMP2|7965	191.1519
AIP|9049	535.3841	AIP|9049	696.6724
AJAP1|55966	9.5212	lowly_expressed	lowly_expressed
AK1|203	503.8909	AK1|203	610.0683
AK2|204	1474.6864	AK2|204	2008.1058
AK3L1|205	179.4379	AK3L1|205	755.1195
AK3|50808	869.3582	AK3|50808	3238.9078
AK5|26289	37.7186	AK5|26289	1145.0512
AK7|122481	12.0846	AK7|122481	22.1843
AKAP10|11216	543.8066	AKAP10|11216	617.7474
AKAP11|11215	2305.5937	AKAP11|11215	3200.5119
AKAP12|9590	502.0599	AKAP12|9590	4758.1058
AKAP13|11214	3425.7988	AKAP13|11214	3255.9727
AKAP1|8165	669.7794	AKAP1|8165	3937.7133
AKAP2|11217	842.2045	AKAP2|11217	2718.7927
AKAP3|10566	11.3522	AKAP3|10566	73.8055
AKAP5|9495	194.4521	AKAP5|9495	115.6143
AKAP6|9472	44.6764	AKAP6|9472	241.041
AKAP7|9465	131.0995	AKAP7|9465	336.1775
AKAP8L|26993	737.8925	AKAP8L|26993	558.4471
AKAP8|10270	667.216	AKAP8|10270	489.7611
AKAP9|10142	6343.3123	lowly_expressed	lowly_expressed
AKD1|221264	103.6345	AKD1|221264	167.2355
AKIRIN1|79647	1047.6975	AKIRIN1|79647	1380.1195
AKIRIN2|55122	729.8361	AKIRIN2|55122	771.7577
AKNA|80709	410.5099	AKNA|80709	624.1468
AKR1A1|10327	1692.9415	AKR1A1|10327	1164.2491
AKR1B1|231	344.9602	AKR1B1|231	607.5085
AKR1C1|1645	51.268	AKR1C1|1645	4211.6041
AKR1C2|1646	32.5918	AKR1C2|1646	4880.9727
AKR1C3|8644	86.0569	AKR1C3|8644	3474.4027
AKR1E2|83592	45.775	AKR1E2|83592	29.8635
AKR7A2|8574	783.6675	AKR7A2|8574	1218.8567
AKR7A3|22977	184.9309	AKR7A3|22977	136.5188
AKR7L|246181	23.803	AKR7L|246181	16.6382
AKT1S1|84335	1120.2051	AKT1S1|84335	910.4096
AKT1|207	6059.1413	AKT1|207	3348.1229
AKT2|208	1804.9986	AKT2|208	5241.4676
AKT3|10000	329.2136	AKT3|10000	1209.0444
AKTIP|64400	268.6588	AKTIP|64400	646.3524
ALAD|210	1023.8945	ALAD|210	2786.6894
ALAS1|211	573.1026	ALAS1|211	1055.4608
lowly_expressed	lowly_expressed	ALB|213	1966.7235
ALCAM|214	3488.4189	ALCAM|214	2327.6451
ALDH16A1|126133	773.7801	ALDH16A1|126133	382.6792
ALDH18A1|5832	4110.2261	ALDH18A1|5832	1014.9317
ALDH1A1|216	191.5225	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ALDH1A2|8854	139.9317
ALDH1A3|220	1137.6179	ALDH1A3|220	945.9087
ALDH1B1|219	780.7379	ALDH1B1|219	642.0648
ALDH1L1|10840	23.4368	ALDH1L1|10840	5257.6792
ALDH1L2|160428	364.3688	ALDH1L2|160428	238.4812
ALDH2|217	949.9222	ALDH2|217	23825.5119
lowly_expressed	lowly_expressed	ALDH3A1|218	59.3003
ALDH3A2|224	1179.1632	ALDH3A2|224	5151.4505
ALDH3B1|221	120.1135	ALDH3B1|221	171.9283
ALDH3B2|222	1026.0917	ALDH3B2|222	1766.2116
ALDH4A1|8659	1125.3319	ALDH4A1|8659	1724.8294
ALDH5A1|7915	182.3675	ALDH5A1|7915	1136.5188
ALDH6A1|4329	547.0841	ALDH6A1|4329	2650.5205
ALDH7A1|501	964.204	ALDH7A1|501	2391.2116
lowly_expressed	lowly_expressed	ALDH8A1|64577	22.1843
ALDH9A1|223	3764.8998	ALDH9A1|223	5825.5119
ALDOA|226	17339.9249	ALDOA|226	18151.8771
lowly_expressed	lowly_expressed	ALDOB|229	5.9727
ALDOC|230	160.0293	ALDOC|230	2469.2833
ALG10B|144245	362.5378	ALG10B|144245	375.0
ALG10|84920	134.7615	ALG10|84920	107.9352
ALG11|440138	41.0144	ALG11|440138	9.8123
ALG12|79087	493.6373	ALG12|79087	425.3413
ALG13|79868	643.7792	ALG13|79868	479.5222
ALG14|199857	228.5087	ALG14|199857	237.628
ALG1L|200810	21.8768	ALG1L|200810	6.4548
ALG1|56052	422.4517	ALG1|56052	362.2952
ALG2|85365	823.9495	ALG2|85365	735.0683
ALG3|10195	576.7646	ALG3|10195	363.4812
ALG5|29880	636.8214	ALG5|29880	607.9352
ALG6|29929	197.7479	ALG6|29929	223.9761
ALG8|79053	1303.305	ALG8|79053	733.7884
ALG9|79796	357.411	ALG9|79796	740.1877
ALKBH1|8846	239.4946	ALKBH1|8846	206.9113
ALKBH2|121642	260.7342	ALKBH2|121642	146.3311
ALKBH3|221120	368.397	ALKBH3|221120	334.8976
ALKBH4|54784	214.7615	ALKBH4|54784	165.0768
ALKBH5|54890	1524.8558	ALKBH5|54890	2358.6604
ALKBH6|84964	67.747	ALKBH6|84964	57.5939
ALKBH7|84266	277.9456	ALKBH7|84266	401.4505
ALKBH8|91801	234.3678	ALKBH8|91801	229.9488
lowly_expressed	lowly_expressed	ALK|238	11.0922
ALMS1P|200420	10.6198	lowly_expressed	lowly_expressed
ALMS1|7840	1454.1793	ALMS1|7840	1017.0648
lowly_expressed	lowly_expressed	ALOX12P2|245	7.2526
ALOX15B|247	42.4792	ALOX15B|247	406.9966
ALOX15|246	19.0424	ALOX15|246	52.901
ALOX5AP|241	202.5085	ALOX5AP|241	119.0273
ALOX5|240	202.5085	ALOX5|240	227.8157
ALOXE3|59344	8.0564	ALOXE3|59344	5.1195
