gene_id	TCGA-BH-A1FM-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FM-11B-23R-A13Q-07
lowly_expressed	lowly_expressed	AGBL3|340351	5.1904
lowly_expressed	lowly_expressed	AGBL4|84871	7.633
AGBL5|60509	378.4468	AGBL5|60509	772.7807
AGER|177	5.7997	AGER|177	59.8428
AGFG1|3267	1940.734	AGFG1|3267	1926.2652
AGFG2|3268	254.4631	AGFG2|3268	493.0921
AGGF1|55109	1571.3638	AGGF1|55109	904.6638
AGK|55750	1043.9511	AGK|55750	554.7668
AGL|178	3577.3448	AGL|178	1286.314
AGMAT|79814	11.5995	AGMAT|79814	8.549
AGPAT1|10554	1436.0526	AGPAT1|10554	1878.7635
AGPAT2|10555	1128.4096	AGPAT2|10555	2039.8443
AGPAT3|56894	1314.3634	AGPAT3|56894	1612.0907
AGPAT4|56895	188.1287	AGPAT4|56895	356.3087
AGPAT5|55326	1716.357	AGPAT5|55326	653.3852
AGPAT6|137964	1871.1373	AGPAT6|137964	1589.497
AGPAT9|84803	42.048	AGPAT9|84803	840.2412
AGPHD1|123688	64.1595	AGPHD1|123688	72.9715
AGPS|8540	1523.1536	AGPS|8540	1022.8227
AGR2|10551	776.8011	AGR2|10551	1167.8498
AGR3|155465	4198.2782	AGR3|155465	400.8854
AGRN|375790	709.0168	AGRN|375790	2306.3888
AGTPBP1|23287	296.8736	AGTPBP1|23287	448.5154
AGTR1|185	2447.4853	AGTR1|185	361.1938
AGTRAP|57085	320.7975	AGTRAP|57085	453.7058
AGT|183	21.749	AGT|183	67.4758
AGXT2L2|85007	172.8826	AGXT2L2|85007	519.8351
AHCTF1|25909	3603.4436	AHCTF1|25909	1711.3197
AHCYL1|10768	5929.8595	AHCYL1|10768	3966.7201
AHCYL2|23382	802.1749	AHCYL2|23382	666.2087
AHCY|191	2523.6067	AHCY|191	1998.9314
AHDC1|27245	285.2741	AHDC1|27245	823.1433
AHI1|54806	387.1319	AHI1|54806	508.6635
AHNAK2|113146	475.5777	AHNAK2|113146	1711.3197
AHNAK|79026	25088.5365	AHNAK|79026	109422.1815
AHRR|57491	36.6108	AHRR|57491	45.1874
AHR|196	1319.0757	AHR|196	5523.8531
AHSA1|10598	847.1228	AHSA1|10598	1348.294
AHSA2|130872	156.9551	AHSA2|130872	496.756
AIDA|64853	2845.5786	AIDA|64853	1110.7976
AIF1L|83543	476.6652	AIF1L|83543	1862.1479
AIF1|199	150.7929	AIF1|199	299.5191
AIFM1|9131	531.4001	AIFM1|9131	566.6743
AIFM2|84883	129.044	AIFM2|84883	1105.8698
AIFM3|150209	12.3244	AIFM3|150209	10.0389
AIG1|51390	759.4019	AIG1|51390	773.6814
AIM1L|55057	5.7997	lowly_expressed	lowly_expressed
AIM1|202	1657.6348	AIM1|202	3084.0394
lowly_expressed	lowly_expressed	AIM2|9447	10.0756
AIMP1|9255	2299.9547	AIMP1|9255	1194.6722
AIMP2|7965	428.4187	AIMP2|7965	196.2476
AIP|9049	222.2021	AIP|9049	672.9257
