gene_id	TCGA-E2-A1LB-01A-11R-A144-07	gene_id	TCGA-E2-A1LB-11A-22R-A144-07
ADCY1|107	105.5824	ADCY1|107	391.2331
ADCY2|108	193.6426	ADCY2|108	41.7862
ADCY3|109	243.1495	ADCY3|109	918.3286
ADCY4|196883	104.2345	ADCY4|196883	229.8238
ADCY5|111	5.8407	ADCY5|111	355.592
ADCY6|112	2405.9306	ADCY6|112	2893.4863
ADCY7|113	330.6751	ADCY7|113	670.6268
ADCY9|115	442.9967	ADCY9|115	637.034
lowly_expressed	lowly_expressed	ADCYAP1R1|117	13.519
lowly_expressed	lowly_expressed	ADCYAP1|116	13.1094
ADC|113451	137.4817	ADC|113451	130.6841
ADD1|118	3755.588	ADD1|118	5102.8267
ADD2|119	15.725	lowly_expressed	lowly_expressed
ADD3|120	1302.033	ADD3|120	2050.3892
ADH1B|125	15.725	ADH1B|125	582.1385
ADH1C|126	691.4523	ADH1C|126	50.3892
ADH5|128	2096.372	ADH5|128	2737.8124
ADHFE1|137872	364.3716	ADHFE1|137872	169.6026
ADI1|55256	5434.5726	ADI1|55256	1720.1966
ADIPOQ|9370	11.6815	ADIPOQ|9370	214.2565
ADIPOR1|51094	3150.3987	ADIPOR1|51094	2439.9836
ADIPOR2|79602	2202.4037	ADIPOR2|79602	1870.1352
ADK|132	542.7384	ADK|132	300.2868
ADM2|79924	1318.2073	ADM2|79924	148.2999
ADM|133	157.6997	ADM|133	143.7935
ADNP2|22850	544.0863	ADNP2|22850	879.1479
ADNP|23394	2799.0565	ADNP|23394	3746.0057
ADORA1|134	67.8423	ADORA1|134	2078.2466
ADORA2A|135	71.8859	ADORA2A|135	79.0537
ADORA2B|136	14.3772	ADORA2B|136	122.9005
ADORA3|140	268.2242	ADORA3|140	31.5444
ADO|84890	651.9151	ADO|84890	937.3208
ADPGK|83440	943.5202	ADPGK|83440	879.0373
ADPRHL1|113622	138.3803	ADPRHL1|113622	126.9971
ADPRHL2|54936	948.8936	ADPRHL2|54936	638.263
ADPRH|141	446.591	ADPRH|141	323.6379
ADRA1B|147	15.725	ADRA1B|147	9.0127
ADRA2A|150	675.278	ADRA2A|150	262.1876
lowly_expressed	lowly_expressed	ADRA2B|151	17.2061
ADRA2C|152	13.0293	ADRA2C|152	29.4961
lowly_expressed	lowly_expressed	ADRB1|153	5.3257
ADRB2|154	31.4501	ADRB2|154	78.6563
ADRBK1|156	2077.9513	ADRBK1|156	1895.1249
ADRBK2|157	543.1877	ADRBK2|157	1333.0602
ADRM1|11047	2701.112	ADRM1|11047	1064.3179
ADSL|158	774.5704	ADSL|158	1278.984
ADSSL1|122622	265.9778	ADSSL1|122622	108.9717
ADSS|159	2208.2444	ADSS|159	1394.1008
AEBP1|165	18126.9235	AEBP1|165	2782.0565
AEBP2|121536	369.763	AEBP2|121536	864.8095
AEN|64782	786.7011	AEN|64782	563.2937
AES|166	6116.1406	AES|166	6364.6047
