gene_id	TCGA-BH-A0DP-01A-21R-A056-07	gene_id	TCGA-BH-A0DP-11A-12R-A089-07
ACOT7|11332	339.9057	ACOT7|11332	225.2566
ACOT8|10005	215.075	ACOT8|10005	183.5705
ACOT9|23597	315.9023	ACOT9|23597	475.9562
ACOX1|51	864.4192	ACOX1|51	1417.0774
ACOX2|8309	264.4664	ACOX2|8309	305.6569
ACOX3|8310	355.3365	ACOX3|8310	861.6742
ACP1|52	1329.1899	ACP1|52	1239.2503
ACP2|53	1007.7154	ACP2|53	848.4437
ACP5|54	1926.2752	ACP5|54	949.877
ACP6|51205	331.333	ACP6|51205	319.2265
ACPL2|92370	373.7677	ACPL2|92370	581.1212
ACPP|55	30.0043	ACPP|55	110.9321
ACRBP|84519	15.8594	ACRBP|84519	14.9266
lowly_expressed	lowly_expressed	ACRC|93953	14.5874
lowly_expressed	lowly_expressed	ACSBG1|23205	18.9975
lowly_expressed	lowly_expressed	ACSBG2|81616	6.4456
ACSF2|80221	1073.069	ACSF2|80221	1338.9874
ACSF3|197322	315.4736	ACSF3|197322	348.0621
ACSL1|2180	1460.7801	ACSL1|2180	2875.0742
ACSL3|2181	4238.7484	ACSL3|2181	3227.5464
ACSL4|2182	886.4123	ACSL4|2182	1292.8505
ACSL5|51703	618.5169	ACSL5|51703	642.1847
ACSL6|23305	8.5727	lowly_expressed	lowly_expressed
ACSM1|116285	78.4398	ACSM1|116285	81.7573
ACSM3|6296	66.7681	ACSM3|6296	223.8996
ACSM5|54988	22.7175	ACSM5|54988	52.5825
ACSS1|84532	744.1063	ACSS1|84532	1166.6525
ACSS2|55902	855.1222	ACSS2|55902	1441.4384
ACSS3|79611	227.6039	ACSS3|79611	519.7184
ACTA1|58	30.8616	lowly_expressed	lowly_expressed
ACTA2|59	7784.4106	ACTA2|59	36120.6344
lowly_expressed	lowly_expressed	ACTBL2|345651	8.1418
ACTB|60	117259.7514	ACTB|60	64724.2812
ACTG1|71	65996.5709	ACTG1|71	51841.5741
ACTG2|72	295.3279	ACTG2|72	6462.2169
ACTL6A|86	792.1132	ACTL6A|86	951.9125
ACTN1|87	6196.7424	ACTN1|87	12749.0459
ACTN2|88	9.4299	lowly_expressed	lowly_expressed
ACTN4|81	8295.2165	ACTN4|81	14376.7755
ACTR10|55860	947.2782	ACTR10|55860	1044.1862
ACTR1A|10121	2212.1732	ACTR1A|10121	2346.5355
ACTR1B|10120	937.4196	ACTR1B|10120	1474.6841
ACTR2|10097	5637.3768	ACTR2|10097	4027.4786
ACTR3B|57180	228.0326	ACTR3B|57180	139.4284
ACTR3C|653857	30.8616	ACTR3C|653857	62.4205
ACTR3|10096	3726.5324	ACTR3|10096	2550.7591
ACTR5|79913	155.5937	ACTR5|79913	195.7425
ACTR6|64431	585.9408	ACTR6|64431	504.7918
ACTR8|93973	325.3322	ACTR8|93973	514.6298
ACVR1B|91	1182.1689	ACVR1B|91	1577.4743
ACVR1C|130399	56.5795	ACVR1C|130399	159.4436
ACVR1|90	992.2846	ACVR1|90	1473.3271
ACVR2A|92	249.8928	ACVR2A|92	634.7214
ACVR2B|93	415.345	ACVR2B|93	472.5638
ACVRL1|94	407.201	ACVRL1|94	465.779
ACY1|95	514.7878	ACY1|95	496.65
ACY3|91703	10.2872	ACY3|91703	5.7671
ACYP1|97	57.0081	ACYP1|97	52.9217
ACYP2|98	77.5825	ACYP2|98	135.3575
ADAL|161823	147.8783	ADAL|161823	173.0133
ADAM10|102	1639.5199	ADAM10|102	2685.0988
ADAM11|4185	14.1449	ADAM11|4185	13.5697
ADAM12|8038	2912.9876	ADAM12|8038	202.8666
ADAM15|8751	4233.0047	ADAM15|8751	1626.6746
ADAM17|6868	744.9636	ADAM17|6868	892.5452
ADAM19|8728	233.6048	ADAM19|8728	61.742
ADAM22|53616	103.7291	ADAM22|53616	97.7016
ADAM23|8745	48.8641	ADAM23|8745	70.9015
ADAM28|10863	165.4522	ADAM28|10863	106.5219
lowly_expressed	lowly_expressed	ADAM29|11086	9.838
ADAM32|203102	20.5744	ADAM32|203102	6.7848
ADAM33|80332	75.4393	ADAM33|80332	290.6047
ADAM6|8755	25940.1072	ADAM6|8755	29615.5949
ADAM8|101	127.3039	ADAM8|101	49.1901
ADAM9|8754	1789.1127	ADAM9|8754	1965.9062
ADAMDEC1|27299	28.2898	ADAMDEC1|27299	6.1064
ADAMTS10|81794	98.1569	ADAMTS10|81794	92.613
ADAMTS12|81792	302.186	ADAMTS12|81792	79.0433
ADAMTS13|11093	84.012	ADAMTS13|11093	61.0635
ADAMTS14|140766	114.0163	lowly_expressed	lowly_expressed
ADAMTS15|170689	446.2066	ADAMTS15|170689	1137.817
ADAMTS16|170690	738.5341	ADAMTS16|170690	9.1595
ADAMTS17|170691	42.4346	ADAMTS17|170691	51.5648
ADAMTS18|170692	65.5808	ADAMTS18|170692	26.4609
ADAMTS1|9510	1040.2915	ADAMTS1|9510	2278.0087
ADAMTS2|9509	837.9769	ADAMTS2|9509	287.3378
ADAMTS3|9508	34.7192	ADAMTS3|9508	60.0458
ADAMTS4|9507	387.4839	ADAMTS4|9507	45.4584
ADAMTS5|11096	267.4668	ADAMTS5|11096	1709.7786
ADAMTS6|11174	103.7291	ADAMTS6|11174	19.676
ADAMTS7|11173	163.7377	ADAMTS7|11173	42.066
ADAMTS8|11095	15.8594	ADAMTS8|11095	246.6288
ADAMTS9|56999	258.8941	ADAMTS9|56999	174.031
ADAMTSL1|92949	120.4458	ADAMTSL1|92949	98.0409
ADAMTSL2|9719	209.1727	ADAMTSL2|9719	49.1901
ADAMTSL3|57188	112.3018	ADAMTSL3|57188	255.1098
ADAMTSL4|54507	159.88	ADAMTSL4|54507	298.5328
ADAMTSL5|339366	110.5872	ADAMTSL5|339366	84.4712
ADAP1|11033	375.8894	ADAP1|11033	185.6433
ADAP2|55803	324.9036	ADAP2|55803	121.4486
ADARB1|104	496.3566	ADARB1|104	734.4585
ADARB2|105	7.2868	ADARB2|105	10.5165
ADAR|103	13915.1307	ADAR|103	7183.1058
ADAT1|23536	253.7505	ADAT1|23536	353.1507
ADAT2|134637	26.5752	ADAT2|134637	94.9877
ADAT3|113179	87.4411	ADAT3|113179	18.6583
ADA|100	85.2979	ADA|100	32.228
ADCK1|57143	126.4466	ADCK1|57143	128.2334
ADCK2|90956	1452.2075	ADCK2|90956	682.2152
ADCK4|79934	689.2413	ADCK4|79934	455.2625
ADCK5|203054	80.5829	ADCK5|203054	64.4559
ADCY1|107	821.2602	ADCY1|107	448.1384
ADCY2|108	300.9001	ADCY2|108	62.4205
