gene_id	TCGA-BH-A1FN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FN-11A-34R-A13Q-07
AHCYL2|23382	365.6467	AHCYL2|23382	583.9256
AHCY|191	5030.0735	AHCY|191	2684.616
AHDC1|27245	1089.1604	AHDC1|27245	936.2995
AHI1|54806	754.1463	AHI1|54806	356.1225
AHNAK2|113146	2903.7795	AHNAK2|113146	1392.4824
AHNAK|79026	23010.9451	AHNAK|79026	50020.942
AHRR|57491	47.6508	AHRR|57491	15.8597
AHR|196	3385.6357	AHR|196	3800.5627
AHSA1|10598	2044.1207	AHSA1|10598	1393.3474
AHSA2|130872	161.4291	AHSA2|130872	231.8401
AIDA|64853	2443.8475	AIDA|64853	1719.5413
AIF1L|83543	452.1961	AIF1L|83543	2008.9925
AIF1|199	211.5111	AIF1|199	1207.068
AIFM1|9131	512.0026	AIFM1|9131	483.8653
AIFM2|84883	553.8186	AIFM2|84883	281.1494
AIFM3|150209	21.1949	lowly_expressed	lowly_expressed
AIG1|51390	716.2202	AIG1|51390	696.3854
AIM1L|55057	30.6326	lowly_expressed	lowly_expressed
AIM1|202	4792.3059	AIM1|202	2620.0237
AIM2|9447	34.5225	AIM2|9447	37.4866
AIMP1|9255	1556.0796	AIMP1|9255	1312.8955
AIMP2|7965	807.4909	AIMP2|7965	387.8016
AIP|9049	420.1047	AIP|9049	510.6826
lowly_expressed	lowly_expressed	AJAP1|55966	8.3624
AK1|203	165.319	AK1|203	229.5332
AK2|204	4706.729	AK2|204	2428.5538
AK3L1|205	1939.5808	AK3L1|205	287.7816
AK3|50808	1618.6674	AK3|50808	2175.9519
AK5|26289	67.5863	AK5|26289	1112.1981
AK7|122481	9.7246	AK7|122481	25.3755
AKAP10|11216	451.2236	AKAP10|11216	502.8969
AKAP11|11215	1218.4982	AKAP11|11215	1592.3147
AKAP12|9590	1020.1154	AKAP12|9590	2623.7724
AKAP13|11214	1893.8749	AKAP13|11214	4394.0042
AKAP1|8165	1374.5788	AKAP1|8165	2206.5179
AKAP2|11217	282.7976	AKAP2|11217	1092.3705
AKAP3|10566	7.7797	AKAP3|10566	47.5791
AKAP5|9495	236.7951	AKAP5|9495	74.1081
AKAP6|9472	25.7703	AKAP6|9472	200.6974
AKAP7|9465	116.2095	AKAP7|9465	276.5356
AKAP8L|26993	495.957	AKAP8L|26993	457.6247
AKAP8|10270	591.2585	AKAP8|10270	612.4731
AKAP9|10142	1148.967	AKAP9|10142	1943.2468
AKD1|221264	301.9503	AKD1|221264	130.6263
AKIRIN1|79647	2982.5491	AKIRIN1|79647	1295.594
AKIRIN2|55122	1251.562	AKIRIN2|55122	1219.179
lowly_expressed	lowly_expressed	AKNAD1|254268	6.0555
AKNA|80709	228.043	AKNA|80709	852.6756
AKR1A1|10327	2459.3631	AKR1A1|10327	1771.3852
AKR1B10|57016	27.7152	AKR1B10|57016	7.7857
AKR1B1|231	434.2055	AKR1B1|231	1568.3809
AKR1C1|1645	26.2565	AKR1C1|1645	506.3572
AKR1C2|1646	18.4768	AKR1C2|1646	286.9165
AKR1C3|8644	64.1827	AKR1C3|8644	1132.3831
lowly_expressed	lowly_expressed	AKR1E2|83592	30.566
AKR7A2|8574	1106.6648	AKR7A2|8574	797.5991
AKR7A3|22977	102.1088	AKR7A3|22977	17.0131
AKR7L|246181	19.9355	AKR7L|246181	9.2275
AKT1S1|84335	776.0268	AKT1S1|84335	722.9143
AKT1|207	3449.8184	AKT1|207	1780.901
AKT2|208	1882.2054	AKT2|208	1053.9497
AKT3|10000	397.73800000000006	AKT3|10000	1350.6704
AKTIP|64400	549.6273	AKTIP|64400	773.7432
ALAD|210	516.865	ALAD|210	891.8923
ALAS1|211	726.4311	ALAS1|211	897.9478
ALCAM|214	1082.3532	ALCAM|214	2996.3314
ALDH16A1|126133	114.2646	ALDH16A1|126133	208.4831
ALDH18A1|5832	2409.7674	ALDH18A1|5832	1425.3552
