gene_id	TCGA-BH-A1EV-01A-11R-A137-07	gene_id	TCGA-BH-A1EV-11A-24R-A137-07
ACTR6|64431	526.6324	ACTR6|64431	804.3318
ACTR8|93973	367.9053	ACTR8|93973	519.3207
ACVR1B|91	2569.9039	ACVR1B|91	979.0795
ACVR1C|130399	8.5379	ACVR1C|130399	2585.2818
ACVR1|90	834.7725	ACVR1|90	1648.5356
ACVR2A|92	231.2991	ACVR2A|92	686.4386
ACVR2B|93	417.5803	ACVR2B|93	546.3943
ACVRL1|94	317.4542	ACVRL1|94	593.4039
ACY1|95	770.7383	ACY1|95	498.4322
lowly_expressed	lowly_expressed	ACY3|91703	16.7364
ACYP1|97	85.3789	ACYP1|97	69.8991
ACYP2|98	50.0631	ACYP2|98	171.0559
ADAL|161823	186.6693	ADAL|161823	201.3291
ADAM10|102	953.5267	ADAM10|102	3627.8612
ADAM11|4185	8.1498	ADAM11|4185	8.8604
ADAM12|8038	1803.0465	ADAM12|8038	334.2358
ADAM15|8751	9158.1682	ADAM15|8751	2230.8639
ADAM17|6868	844.4746	ADAM17|6868	1083.9281
ADAM19|8728	381.1002	ADAM19|8728	173.271
ADAM21|8747	10.4783	lowly_expressed	lowly_expressed
ADAM22|53616	89.2597	ADAM22|53616	99.4339
ADAM23|8745	34.1515	ADAM23|8745	100.9107
ADAM28|10863	38.4205	ADAM28|10863	182.6237
ADAM32|203102	19.7924	ADAM32|203102	40.3643
ADAM33|80332	37.6443	ADAM33|80332	726.8299
ADAM6|8755	4107.0379	ADAM6|8755	17629.5644
ADAM8|101	439.7012	ADAM8|101	84.6665
ADAM9|8754	2938.9735	ADAM9|8754	3175.4861
lowly_expressed	lowly_expressed	ADAMDEC1|27299	17.2286
ADAMTS10|81794	207.6259	ADAMTS10|81794	68.6685
ADAMTS12|81792	750.1698	ADAMTS12|81792	199.8523
ADAMTS13|11093	140.487	ADAMTS13|11093	39.3798
ADAMTS14|140766	129.6206	lowly_expressed	lowly_expressed
ADAMTS15|170689	937.2271	ADAMTS15|170689	68.1762
ADAMTS16|170690	635.6845	ADAMTS16|170690	75.3138
ADAMTS17|170691	136.2181	ADAMTS17|170691	32.2422
ADAMTS18|170692	127.6802	ADAMTS18|170692	25.5968
ADAMTS19|171019	26.0017	ADAMTS19|171019	7.876
ADAMTS1|9510	306.9758	ADAMTS1|9510	7671.4251
ADAMTS2|9509	633.7441	ADAMTS2|9509	298.3017
ADAMTS3|9508	32.5992	ADAMTS3|9508	72.6064
ADAMTS4|9507	835.9367	ADAMTS4|9507	146.9358
ADAMTS5|11096	225.0897	ADAMTS5|11096	2461.7278
ADAMTS6|11174	102.8427	ADAMTS6|11174	32.7344
ADAMTS7|11173	233.6276	ADAMTS7|11173	44.7945
lowly_expressed	lowly_expressed	ADAMTS8|11095	48.9786
ADAMTS9|56999	129.6206	ADAMTS9|56999	598.3264
ADAMTSL1|92949	561.172	ADAMTSL1|92949	167.6101
ADAMTSL2|9719	187.4454	ADAMTSL2|9719	36.4263
ADAMTSL3|57188	199.8642	ADAMTSL3|57188	217.3271
ADAMTSL4|54507	643.4462	ADAMTSL4|54507	714.9889
ADAMTSL5|339366	143.5917	ADAMTSL5|339366	41.1026
ADAP1|11033	255.9814	ADAP1|11033	80.1132
