gene_id	TCGA-E9-A1N9-01A-11R-A14D-07	gene_id	TCGA-E9-A1N9-11A-71R-A14D-07
ADCK5|203054	143.2209	ADCK5|203054	119.3524
ADCY10|55811	5.9107	ADCY10|55811	182.9819
ADCY1|107	350.0955	ADCY1|107	211.5964
ADCY2|108	697.0083	ADCY2|108	176.2048
ADCY3|109	564.1857	ADCY3|109	1294.2357
ADCY4|196883	193.6892	ADCY4|196883	803.0873
ADCY5|111	19.0961	ADCY5|111	363.7048
ADCY6|112	1110.3028	ADCY6|112	3171.3102
ADCY7|113	563.7901	ADCY7|113	381.4006
ADCY9|115	554.2421	ADCY9|115	867.4699
lowly_expressed	lowly_expressed	ADCYAP1R1|117	54.9699
lowly_expressed	lowly_expressed	ADCYAP1|116	9.0361
ADC|113451	172.3197	ADC|113451	128.3886
ADD1|118	4578.9761	ADD1|118	5823.0422
ADD2|119	30.0082	ADD2|119	50.0753
ADD3|120	4360.2801	ADD3|120	12110.3163
lowly_expressed	lowly_expressed	ADH1A|124	229.1717
ADH1B|125	234.6094	ADH1B|125	16802.7033
ADH1C|126	6.3654	ADH1C|126	692.3946
lowly_expressed	lowly_expressed	ADH4|127	19.5783
ADH5|128	2174.2293	ADH5|128	2729.2922
lowly_expressed	lowly_expressed	ADH6|130	8.6596
ADHFE1|137872	15.0041	ADHFE1|137872	295.5572
ADI1|55256	1253.5237	ADI1|55256	2050.0753
ADIPOQ|9370	40.4656	ADIPOQ|9370	19312.5
ADIPOR1|51094	3134.0366	ADIPOR1|51094	2335.4669
ADIPOR2|79602	4676.73	ADIPOR2|79602	2574.1717
ADK|132	466.9455	ADK|132	375.753
ADM2|79924	198.6906	ADM2|79924	71.5361
ADM|133	24.0975	ADM|133	880.6476
ADNP2|22850	332.818	ADNP2|22850	727.4096
ADNP|23394	5085.9325	ADNP|23394	2304.5934
ADORA1|134	145.4942	ADORA1|134	301.2048
ADORA2A|135	90.9248	ADORA2A|135	54.5858
ADORA2B|136	50.0136	ADORA2B|136	50.0753
ADORA3|140	130.4901	ADORA3|140	58.7349
ADO|84890	712.467	ADO|84890	549.3223
ADPGK|83440	716.9819	ADPGK|83440	845.1017
ADPRHL1|113622	58.6524	ADPRHL1|113622	132.1536
ADPRHL2|54936	641.9933	ADPRHL2|54936	623.1175
ADPRH|141	180.5038	ADPRH|141	349.3976
lowly_expressed	lowly_expressed	ADRA1A|148	48.5693
ADRA1B|147	30.9175	ADRA1B|147	43.2982
ADRA2A|150	433.3	ADRA2A|150	1179.5934
