gene_id	TCGA-BH-A18U-01A-21R-A12D-07	gene_id	TCGA-BH-A18U-11A-23R-A12D-07
ACTN1|87	5282.0964	ACTN1|87	11981.1321
ACTN2|88	15.1249	ACTN2|88	23.5849
ACTN4|81	8870.3447	ACTN4|81	14597.184
ACTR10|55860	918.3961	ACTR10|55860	1079.2453
ACTR1A|10121	2474.4988	ACTR1A|10121	1991.9811
ACTR1B|10120	1204.7133	ACTR1B|10120	1459.434
ACTR2|10097	8122.4059	ACTR2|10097	4591.0377
ACTR3B|57180	149.49	ACTR3B|57180	199.5283
ACTR3C|653857	23.2149	ACTR3C|653857	42.4528
ACTR3|10096	5020.0492	ACTR3|10096	3109.434
ACTR5|79913	349.2789	ACTR5|79913	187.2642
ACTR6|64431	1018.6423	ACTR6|64431	587.2642
ACTR8|93973	609.9191	ACTR8|93973	528.7736
ACVR1B|91	1209.6377	ACVR1B|91	1074.0566
ACVR1C|130399	30.9532	ACVR1C|130399	230.1887
ACVR1|90	779.4583	ACVR1|90	1123.5849
ACVR2A|92	253.9571	ACVR2A|92	469.3396
ACVR2B|93	629.2649	ACVR2B|93	307.0755
ACVRL1|94	289.8347	ACVRL1|94	710.8491
ACY1|95	1084.439	ACY1|95	463.6792
lowly_expressed	lowly_expressed	ACY3|91703	16.5094
ACYP1|97	165.3183	ACYP1|97	70.283
ACYP2|98	72.1069	ACYP2|98	137.2642
ADAL|161823	370.0317	ADAL|161823	213.2075
ADAM10|102	1598.3116	ADAM10|102	1945.7547
ADAM11|4185	28.491	ADAM11|4185	18.8679
ADAM12|8038	1951.8115	ADAM12|8038	231.6038
ADAM15|8751	3854.3792	ADAM15|8751	3070.7547
ADAM17|6868	682.7295	ADAM17|6868	1044.3396
ADAM19|8728	285.6138	ADAM19|8728	110.8491
ADAM21|8747	14.0696	lowly_expressed	lowly_expressed
ADAM22|53616	13.7179	ADAM22|53616	88.6792
ADAM23|8745	13.0144	ADAM23|8745	14.6226
ADAM28|10863	77.0313	ADAM28|10863	136.3208
lowly_expressed	lowly_expressed	ADAM29|11086	8.0189
ADAM32|203102	48.1885	ADAM32|203102	38.2075
ADAM33|80332	22.5114	ADAM33|80332	630.2736
ADAM6|8755	24063.2219	ADAM6|8755	18646.1651
ADAM8|101	415.758	ADAM8|101	81.1321
ADAM9|8754	16183.2571	ADAM9|8754	2008.9623
ADAMDEC1|27299	217.0243	ADAMDEC1|27299	9.434
ADAMTS10|81794	26.3806	ADAMTS10|81794	136.7925
ADAMTS12|81792	361.9416	ADAMTS12|81792	98.5849
ADAMTS13|11093	60.8512	ADAMTS13|11093	59.434
ADAMTS14|140766	50.299	lowly_expressed	lowly_expressed
ADAMTS15|170689	144.5656	ADAMTS15|170689	207.5472
ADAMTS16|170690	63.3134	ADAMTS16|170690	63.2075
ADAMTS17|170691	27.7875	ADAMTS17|170691	61.3208
ADAMTS18|170692	114.3159	ADAMTS18|170692	54.2453
ADAMTS19|171019	59.4442	lowly_expressed	lowly_expressed
ADAMTS1|9510	3600.4221	ADAMTS1|9510	9058.9623
ADAMTS2|9509	696.7992	ADAMTS2|9509	416.5094
ADAMTS3|9508	12.3109	ADAMTS3|9508	99.5283
ADAMTS4|9507	422.7928	ADAMTS4|9507	766.0377
ADAMTS5|11096	189.2367	ADAMTS5|11096	1886.3208
ADAMTS6|11174	47.1333	ADAMTS6|11174	16.5094
ADAMTS7|11173	138.2343	ADAMTS7|11173	34.9057
lowly_expressed	lowly_expressed	ADAMTS8|11095	54.717
ADAMTS9|56999	217.376	ADAMTS9|56999	434.9057
ADAMTSL1|92949	96.3771	ADAMTSL1|92949	158.0189
ADAMTSL2|9719	124.5164	ADAMTSL2|9719	43.3962
ADAMTSL3|57188	332.0436	ADAMTSL3|57188	195.7547
ADAMTSL4|54507	185.7193	ADAMTSL4|54507	551.4151
ADAMTSL5|339366	26.7323	ADAMTSL5|339366	24.5283
ADAP1|11033	23.7988	ADAP1|11033	128.6179
ADAP2|55803	303.9043	ADAP2|55803	233.9623
ADARB1|104	346.1133	ADARB1|104	831.6038
ADAR|103	13502.2863	ADAR|103	7668.3962
ADAT1|23536	353.8516	ADAT1|23536	354.2453
ADAT2|134637	125.5716	ADAT2|134637	207.5472
ADAT3|113179	11.6075	ADAT3|113179	10.3774
ADA|100	99.8945	ADA|100	71.2264
ADCK1|57143	120.2955	ADCK1|57143	152.3585
ADCK2|90956	769.6096	ADCK2|90956	633.0189
ADCK4|79934	629.2649	ADCK4|79934	495.283
ADCK5|203054	135.4203	ADCK5|203054	64.1509
ADCY1|107	31.6567	ADCY1|107	2394.8113
ADCY2|108	181.1467	ADCY2|108	143.3962
ADCY3|109	907.4428	ADCY3|109	1474.8208
ADCY4|196883	58.0373	ADCY4|196883	391.9811
ADCY5|111	467.4639	ADCY5|111	302.8302
ADCY6|112	1271.8959	ADCY6|112	2311.3208
ADCY7|113	434.4003	ADCY7|113	475
ADCY9|115	697.5026	ADCY9|115	1049.0566
lowly_expressed	lowly_expressed	ADCYAP1R1|117	16.9811
ADCYAP1|116	35.1741	ADCYAP1|116	21.6981
ADC|113451	86.1766	ADC|113451	143.3962
ADD1|118	2505.1002	ADD1|118	5532.5472
ADD2|119	10.5522	ADD2|119	92.4528
ADD3|120	589.8699	ADD3|120	3107.5472
lowly_expressed	lowly_expressed	ADH1A|124	61.7925
ADH1B|125	109.0397	ADH1B|125	7013.6792
lowly_expressed	lowly_expressed	ADH1C|126	267.4528
lowly_expressed	lowly_expressed	ADH4|127	184.9057
ADH5|128	1712.2758	ADH5|128	2901.4151
ADHFE1|137872	45.7263	ADHFE1|137872	160.3774
ADI1|55256	724.9384	ADI1|55256	1433.4906
ADIPOQ|9370	86.5283	ADIPOQ|9370	4098.5849
ADIPOR1|51094	4552.2336	ADIPOR1|51094	2478.3019
ADIPOR2|79602	3380.5839	ADIPOR2|79602	2441.0377
ADK|132	529.0186	ADK|132	300
ADM2|79924	182.9054	ADM2|79924	181.1321
ADM|133	423.4963	ADM|133	324.0566
ADNP2|22850	580.0211	ADNP2|22850	859.9057
ADNP|23394	4949.701	ADNP|23394	3012.7358
ADORA1|134	46.4298	ADORA1|134	329.717
ADORA2A|135	352.0929	ADORA2A|135	71.2264
ADORA2B|136	64.3686	ADORA2B|136	117.9245
ADORA3|140	237.4253	ADORA3|140	122.6415
ADO|84890	807.9493	ADO|84890	646.6981
ADPGK|83440	833.44	ADPGK|83440	805.8443
ADPRHL1|113622	109.3915	ADPRHL1|113622	36.3208
ADPRHL2|54936	648.2589	ADPRHL2|54936	629.717
ADPRH|141	214.2103	ADPRH|141	475
lowly_expressed	lowly_expressed	ADRA1A|148	25
lowly_expressed	lowly_expressed	ADRA1B|147	18.8679
lowly_expressed	lowly_expressed	ADRA1D|146	9.9057
ADRA2A|150	289.8347	ADRA2A|150	507.0755
lowly_expressed	lowly_expressed	ADRA2B|151	26.4151
ADRA2C|152	24.6219	ADRA2C|152	48.1132
lowly_expressed	lowly_expressed	ADRB1|153	20.7547
ADRB2|154	25.3254	ADRB2|154	232.0755
ADRBK1|156	1360.8864	ADRBK1|156	1740.0943
ADRBK2|157	726.3454	ADRBK2|157	1061.3208
ADRM1|11047	1774.8857	ADRM1|11047	994.3396
ADSL|158	1323.6018	ADSL|158	770.283
ADSSL1|122622	86.8801	ADSSL1|122622	132.0755
ADSS|159	3347.1685	ADSS|159	1401.4151
AEBP1|165	14780.8653	AEBP1|165	7547.6415
AEBP2|121536	586.0007	AEBP2|121536	947.6415
AEN|64782	365.459	AEN|64782	575.9434
AES|166	3534.9982	AES|166	5836.3208
AFAP1L1|134265	167.4288	AFAP1L1|134265	476.4151
AFAP1L2|84632	135.4203	AFAP1L2|84632	1168.8679
AFAP1|60312	679.2086	AFAP1|60312	1604.2217
AFF1|4299	1446.0077	AFF1|4299	2517.9245
AFF2|2334	15.1249	AFF2|2334	44.8113
AFF3|3899	2863.5244	AFF3|3899	1475
AFF4|27125	3942.6662	AFF4|27125	4549.5283
AFG3L1|172	123.4611	AFG3L1|172	268.3962
AFG3L2|10939	1126.8625	AFG3L2|10939	1255.1934
AFMID|125061	468.8709	AFMID|125061	547.6415
lowly_expressed	lowly_expressed	AFP|174	36.3208
AFTPH|54812	2758.0021	AFTPH|54812	1772.1698
AG2|387763	97.0805	AG2|387763	373.5849
AGAP11|119385	11.6075	AGAP11|119385	147.1745
AGAP1|116987	883.9254	AGAP1|116987	546.2264
AGAP2|116986	51.6145	AGAP2|116986	75.783
AGAP3|116988	612.0295	AGAP3|116988	1358.0189
AGAP4|119016	111.8537	AGAP4|119016	218.8679
AGAP5|729092	42.8632	AGAP5|729092	76.8538
AGAP6|414189	49.5955	AGAP6|414189	127.3585
lowly_expressed	lowly_expressed	AGAP7|653268	8.9623
AGAP8|728404	12.3109	AGAP8|728404	50
AGA|175	498.0654	AGA|175	482.0755
AGBL2|79841	15.8284	AGBL2|79841	11.3208
AGBL3|340351	5.2761	AGBL3|340351	5.6604
lowly_expressed	lowly_expressed	AGBL4|84871	7.5472
AGBL5|60509	920.5171	AGBL5|60509	808.0236
AGER|177	10.5522	AGER|177	56.6038
AGFG1|3267	1796.6936	AGFG1|3267	1717.4528
AGFG2|3268	367.9212	AGFG2|3268	530.6604
AGGF1|55109	1586.3524	AGGF1|55109	823.5849
AGK|55750	652.128	AGK|55750	483.0189
AGL|178	5278.9307	AGL|178	1036.3208
AGMAT|79814	43.2642	AGMAT|79814	28.3019
AGPAT1|10554	2020.0176	AGPAT1|10554	1716.0708
AGPAT2|10555	377.77	AGPAT2|10555	1160.8491
AGPAT3|56894	1539.5709	AGPAT3|56894	1653.7736
AGPAT4|56895	77.7348	AGPAT4|56895	345.7547
AGPAT5|55326	707.3514	AGPAT5|55326	514.1509
AGPAT6|137964	1166.3735	AGPAT6|137964	1985.3774
AGPAT9|84803	16.5318	AGPAT9|84803	161.3208
AGPHD1|123688	42.9124	AGPHD1|123688	54.717
AGPS|8540	1379.8804	AGPS|8540	1169.3396
AGR2|10551	19473.0918	AGR2|10551	2275.9434
AGR3|155465	2283.1516	AGR3|155465	846.2264
AGRN|375790	1641.5758	AGRN|375790	3866.0377
AGTPBP1|23287	407.668	AGTPBP1|23287	395.7547
AGTR1|185	22.1597	AGTR1|185	135.3774
AGTRAP|57085	748.5051	AGTRAP|57085	582.5472
AGT|183	196.975	AGT|183	73.5849
AGXT2L2|85007	250.4502	AGXT2L2|85007	406.8774
AHCTF1|25909	2916.2856	AHCTF1|25909	1597.1698
AHCYL1|10768	2734.0837	AHCYL1|10768	4271.2264
AHCYL2|23382	395.357	AHCYL2|23382	568.8679
AHCY|191	6859.3036	AHCY|191	2383.0189
AHDC1|27245	272.2476	AHDC1|27245	1100
AHI1|54806	290.5382	AHI1|54806	490.566
AHNAK2|113146	602.1808	AHNAK2|113146	1327.3585
AHNAK|79026	38620.4713	AHNAK|79026	92016.5094
AHRR|57491	24.2701	AHRR|57491	32.0755
AHR|196	3247.9775	AHR|196	4763.2075
AHSA1|10598	1437.9177	AHSA1|10598	1292.4528
AHSA2|130872	315.5118	AHSA2|130872	690.566
AIDA|64853	1191.0517	AIDA|64853	931.6038
AIF1L|83543	415.758	AIF1L|83543	1994.8113
AIF1|199	296.166	AIF1|199	388.2075
AIFM1|9131	805.1354	AIFM1|9131	639.6226
AIFM2|84883	138.9377	AIFM2|84883	495.283
AIFM3|150209	70.2216	AIFM3|150209	13.2075
AIG1|51390	1619.0644	AIG1|51390	725.4717
AIM1L|55057	21.4562	lowly_expressed	lowly_expressed
AIM1|202	3597.6082	AIM1|202	3878.7736
AIM2|9447	32.0084	AIM2|9447	10.3774
AIMP1|9255	1152.3074	AIMP1|9255	1072.8679
AIMP2|7965	505.6314	AIMP2|7965	220.0613
AIP|9049	1092.1562	AIP|9049	658.4906
lowly_expressed	lowly_expressed	AJAP1|55966	28.3019
AK1|203	525.5012	AK1|203	412.7358
AK2|204	2839.2543	AK2|204	2330.6604
AK3L1|205	469.5744	AK3L1|205	531.1321
AK3|50808	466.4087	AK3|50808	1700.9434
AK5|26289	20.401	AK5|26289	2016.9811
AK7|122481	27.7875	AK7|122481	59.434
AKAP10|11216	423.1446	AKAP10|11216	503.3019
AKAP11|11215	1178.6845	AKAP11|11215	2065.0943
AKAP12|9590	463.9465	AKAP12|9590	2665.0943
AKAP13|11214	1408.3714	AKAP13|11214	4399.5283
AKAP1|8165	1445.3043	AKAP1|8165	2810.8491
AKAP2|11217	754.5656	AKAP2|11217	1751.0189
AKAP3|10566	14.0696	AKAP3|10566	44.8113
AKAP5|9495	76.3278	AKAP5|9495	105.6604
AKAP6|9472	17.9388	AKAP6|9472	337.2642
AKAP7|9465	34.4706	AKAP7|9465	183.4906
AKAP8L|26993	697.5026	AKAP8L|26993	724.0566
AKAP8|10270	501.9346	AKAP8|10270	750.4717
AKAP9|10142	1599.3669	AKAP9|10142	2957.5472
AKD1|221264	356.6655	AKD1|221264	139.1509
AKIRIN1|79647	1153.3591	AKIRIN1|79647	1820.7547
AKIRIN2|55122	479.0714	AKIRIN2|55122	617.9245
AKNA|80709	287.7242	AKNA|80709	787.2642
AKR1A1|10327	1996.1308	AKR1A1|10327	1526.8868
AKR1B10|57016	5.6279	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AKR1B15|441282	5.1887
AKR1B1|231	541.6813	AKR1B1|231	846.6981
AKR1C1|1645	258.178	AKR1C1|1645	1143.8679
AKR1C2|1646	523.7425	AKR1C2|1646	970.7547
AKR1C3|8644	113.6124	AKR1C3|8644	975.0
AKR1E2|83592	26.0288	AKR1E2|83592	43.8679
AKR7A2|8574	827.9986	AKR7A2|8574	858.4906
AKR7A3|22977	196.6233	AKR7A3|22977	70.7547
AKR7L|246181	13.7179	AKR7L|246181	18.3962
AKT1S1|84335	880.408	AKT1S1|84335	687.7358
AKT1|207	2774.8857	AKT1|207	3243.8679
AKT2|208	1995.0756	AKT2|208	2441.5094
AKT3|10000	404.85400000000004	AKT3|10000	1223.5849
AKTIP|64400	489.4372	AKTIP|64400	642.8302
ALAD|210	1485.7545	ALAD|210	1989.1509
ALAS1|211	3047.1333	ALAS1|211	958.0189
lowly_expressed	lowly_expressed	ALAS2|212	24.5283
ALB|213	29.1945	ALB|213	1168.3962
ALCAM|214	7538.1639	ALCAM|214	2883.9623
ALDH16A1|126133	345.05800000000005	ALDH16A1|126133	333.0189
ALDH18A1|5832	2469.2227	ALDH18A1|5832	1549.0566
ALDH1A1|216	288.4277	ALDH1A1|216	2770.7547
