gene_id	TCGA-A7-A0CE-01A-11R-A00Z-07	gene_id	TCGA-A7-A0CE-11A-21R-A089-07
ACOT8|10005	165.5869	ACOT8|10005	294.5111
ACOT9|23597	428.1719	ACOT9|23597	415.873
ACOX1|51	1322.9664	ACOX1|51	1376.7968
ACOX2|8309	16.6116	ACOX2|8309	332.381
ACOX3|8310	291.8891	ACOX3|8310	654.2857
ACP1|52	1873.0401	ACP1|52	1268.254
ACP2|53	1545.8937	ACP2|53	1187.3016
ACP5|54	540.0458	ACP5|54	1320.9524
ACP6|51205	112.5519	ACP6|51205	205.0794
ACPL2|92370	433.2571	ACPL2|92370	488.254
ACPP|55	6.7802	ACPP|55	36.5079
ACRBP|84519	11.8654	ACRBP|84519	24.7619
ACRC|93953	11.5264	ACRC|93953	26.9841
ACR|49	6.7802	lowly_expressed	lowly_expressed
ACSBG1|23205	6.7802	ACSBG1|23205	13.3333
lowly_expressed	lowly_expressed	ACSBG2|81616	7.619
ACSF2|80221	1338.4185	ACSF2|80221	1588.5714
ACSF3|197322	392.9147	ACSF3|197322	472.381
ACSL1|2180	1049.5805	ACSL1|2180	2680.9524
ACSL3|2181	1590.9823	ACSL3|2181	3615.873
ACSL4|2182	1002.7968	ACSL4|2182	1052.6984
ACSL5|51703	511.9078	ACSL5|51703	857.7778
ACSL6|23305	18.3066	ACSL6|23305	5.7143
lowly_expressed	lowly_expressed	ACSM1|116285	34.9206
lowly_expressed	lowly_expressed	ACSM2A|123876	5.3968
ACSM3|6296	32.7553	ACSM3|6296	186.9556
lowly_expressed	lowly_expressed	ACSM5|54988	97.4603
ACSS1|84532	198.6609	ACSS1|84532	1026.9841
ACSS2|55902	418.6795	ACSS2|55902	1106.0317
ACSS3|79611	382.4053	ACSS3|79611	246.0317
ACTA1|58	117.9761	ACTA1|58	6.6667
ACTA2|59	4348.7685	ACTA2|59	44140.0794
ACTBL2|345651	41.6984	lowly_expressed	lowly_expressed
ACTB|60	136067.1243	ACTB|60	82066.6667
ACTC1|70	16.9506	ACTC1|70	17.4603
ACTG1|71	67119.5864	ACTG1|71	56108.5714
ACTG2|72	429.5279	ACTG2|72	8744.127
ACTL6A|86	2234.7657	ACTL6A|86	701.2698
ACTL8|81569	5.0852	lowly_expressed	lowly_expressed
ACTN1|87	9805.2377	ACTN1|87	10773.9683
ACTN4|81	10913.2706	ACTN4|81	11032.9556
ACTR10|55860	867.5311	ACTR10|55860	1279.3651
ACTR1A|10121	2892.7875	ACTR1A|10121	2555.5556
ACTR1B|10120	603.78	ACTR1B|10120	1724.127
ACTR2|10097	5763.5393	ACTR2|10097	3920
ACTR3B|57180	2216.459	ACTR3B|57180	272.381
ACTR3C|653857	36.2743	ACTR3C|653857	44.127
ACTR3|10096	3322.3155	ACTR3|10096	2692.6984
ACTR5|79913	147.8091	ACTR5|79913	219.6825
ACTR6|64431	567.8447	ACTR6|64431	592.0635
ACTR8|93973	494.2792	ACTR8|93973	415.5556
ACVR1B|91	1167.2176	ACVR1B|91	1079.3651
ACVR1C|130399	14.9165	ACVR1C|130399	57.7778
ACVR1|90	518.688	ACVR1|90	1210.1587
ACVR2A|92	189.1686	ACVR2A|92	447.9365
ACVR2B|93	372.913	ACVR2B|93	295.5556
ACVRL1|94	348.5041	ACVRL1|94	940.9524
ACY1|95	373.93	ACY1|95	846.3492
lowly_expressed	lowly_expressed	ACY3|91703	25.7143
ACYP1|97	132.5536	ACYP1|97	88.5714
ACYP2|98	195.2708	ACYP2|98	166.3492
ADAL|161823	267.1413	ADAL|161823	217.7778
ADAM10|102	1975.0826	ADAM10|102	1403.8095
ADAM11|4185	19.3237	ADAM11|4185	19.3651
ADAM12|8038	503.7715	ADAM12|8038	930.1587
ADAM15|8751	8231.9247	ADAM15|8751	2717.8444
ADAM17|6868	1301.1272	ADAM17|6868	700
ADAM19|8728	158.3185	ADAM19|8728	99.0476
ADAM21|8747	13.8995	ADAM21|8747	11.1111
ADAM22|53616	69.1584	ADAM22|53616	30.1587
ADAM23|8745	8.1363	ADAM23|8745	28.8889
ADAM28|10863	25.4259	ADAM28|10863	246.0317
ADAM32|203102	68.4804	ADAM32|203102	14.9206
ADAM33|80332	15.9336	ADAM33|80332	828.7016
ADAM6|8755	15846.9057	ADAM6|8755	73280.473
ADAM8|101	383.4223	ADAM8|101	117.4603
ADAM9|8754	1577.0828	ADAM9|8754	1595.2381
ADAMDEC1|27299	37.2913	ADAMDEC1|27299	11.4286
ADAMTS10|81794	145.097	ADAMTS10|81794	128.5714
ADAMTS12|81792	86.448	ADAMTS12|81792	47.9365
ADAMTS13|11093	55.2589	ADAMTS13|11093	129.5238
ADAMTS14|140766	35.5962	ADAMTS14|140766	39.0476
ADAMTS15|170689	54.2419	ADAMTS15|170689	382.8571
ADAMTS16|170690	8.4753	ADAMTS16|170690	98.0952
ADAMTS17|170691	51.1908	ADAMTS17|170691	89.8413
ADAMTS18|170692	6.4412	ADAMTS18|170692	24.127
ADAMTS1|9510	645.4784	ADAMTS1|9510	3596.8254
ADAMTS2|9509	161.7086	ADAMTS2|9509	567.3016
ADAMTS3|9508	98.6524	ADAMTS3|9508	102.2222
ADAMTS4|9507	725.4852	ADAMTS4|9507	235.873
ADAMTS5|11096	238.6643	ADAMTS5|11096	1400.9524
ADAMTS6|11174	61.7001	ADAMTS6|11174	35.5556
ADAMTS7|11173	125.0953	ADAMTS7|11173	69.5238
ADAMTS8|11095	31.5281	ADAMTS8|11095	492.381
ADAMTS9|56999	516.654	ADAMTS9|56999	752.381
ADAMTSL1|92949	191.8807	ADAMTSL1|92949	154.9206
ADAMTSL2|9719	107.4667	ADAMTSL2|9719	68.5714
ADAMTSL3|57188	159.6745	ADAMTSL3|57188	72.0635
ADAMTSL4|54507	551.5722	ADAMTSL4|54507	543.4921
ADAMTSL5|339366	5.7632	ADAMTSL5|339366	102.2222
ADAP1|11033	406.4582	ADAP1|11033	210.6317
ADAP2|55803	100.3475	ADAP2|55803	337.1429
ADARB1|104	637.0031	ADARB1|104	783.4921
ADARB2|105	6.1022	ADARB2|105	7.3016
ADAR|103	20573.2689	ADAR|103	6880.9524
ADAT1|23536	353.5893	ADAT1|23536	289.5238
ADAT2|134637	156.2844	ADAT2|134637	144.4444
ADAT3|113179	35.5962	ADAT3|113179	51.746
ADA|100	84.4139	ADA|100	95.2381
ADCK1|57143	322.7392	ADCK1|57143	180
ADCK2|90956	1180.1441	ADCK2|90956	889.5238
ADCK4|79934	509.8737	ADCK4|79934	599.0476
ADCK5|203054	94.9233	ADCK5|203054	135.5556
lowly_expressed	lowly_expressed	ADCY10|55811	6.9841
ADCY1|107	335.6217	ADCY1|107	700.6349
ADCY2|108	5.0852	ADCY2|108	71.1111
ADCY3|109	2260.5136	ADCY3|109	1594.0508
ADCY4|196883	75.9386	ADCY4|196883	372.381
ADCY5|111	15.5945	ADCY5|111	389.8413
ADCY6|112	1344.1817	ADCY6|112	1745.3968
ADCY7|113	527.1633	ADCY7|113	376.1905
ADCY9|115	350.8772	ADCY9|115	946.6667
ADCYAP1|116	7.7973	ADCYAP1|116	79.3651
ADC|113451	109.1618	ADC|113451	158.7302
ADD1|118	3129.4177	ADD1|118	5718.0952
ADD2|119	270.5314	ADD2|119	47.3016
ADD3|120	1432.3248	ADD3|120	2137.1429
lowly_expressed	lowly_expressed	ADH1A|124	37.4603
ADH1B|125	417.6625	ADH1B|125	3812.6984
lowly_expressed	lowly_expressed	ADH1C|126	151.4286
ADH4|127	11.1874	ADH4|127	114.6032
ADH5|128	2060.1746	ADH5|128	3408.254
lowly_expressed	lowly_expressed	ADH7|131	34.9206
ADHFE1|137872	20.0017	ADHFE1|137872	180.6349
ADI1|55256	3133.1469	ADI1|55256	1556.1905
ADIPOQ|9370	917.7049	ADIPOQ|9370	1317.1429
ADIPOR1|51094	4562.7596	ADIPOR1|51094	2387.619
ADIPOR2|79602	3308.416	ADIPOR2|79602	2392.381
ADK|132	594.9657	ADK|132	461.9048
ADM2|79924	144.08	ADM2|79924	128.8889
ADM|133	500.0424	ADM|133	229.8413
ADNP2|22850	1091.2789	ADNP2|22850	599.6825
ADNP|23394	3445.3767	ADNP|23394	2471.1111
ADORA1|134	339.3508	ADORA1|134	366.0317
ADORA2A|135	50.5128	ADORA2A|135	77.419
ADORA2B|136	49.8347	ADORA2B|136	154.9206
ADORA3|140	52.2078	ADORA3|140	369.2063
ADO|84890	553.9452	ADO|84890	617.4603
ADPGK|83440	1776.059	ADPGK|83440	922.9714
ADPRHL1|113622	251.2077	ADPRHL1|113622	78.4127
ADPRHL2|54936	732.2654	ADPRHL2|54936	751.1111
ADPRH|141	361.0475	ADPRH|141	485.3968
lowly_expressed	lowly_expressed	ADRA1A|148	12.381
ADRA1B|147	56.276	ADRA1B|147	9.2063
lowly_expressed	lowly_expressed	ADRA1D|146	10.1587
ADRA2A|150	74.5826	ADRA2A|150	1669.8413
ADRA2B|151	5.7632	ADRA2B|151	53.0159
ADRA2C|152	9.8313	ADRA2C|152	136.5079
lowly_expressed	lowly_expressed	ADRB1|153	40.6349
ADRB2|154	8.8143	ADRB2|154	211.1111
ADRBK1|156	1408.2549	ADRBK1|156	1607.3016
ADRBK2|157	195.2708	ADRBK2|157	776.5079
ADRM1|11047	1668.277	ADRM1|11047	1437.1429
ADSL|158	789.8974	ADSL|158	909.5238
ADSSL1|122622	257.649	ADSSL1|122622	156.5079
ADSS|159	1717.0947	ADSS|159	1197.7778
AEBP1|165	4832.6129	AEBP1|165	10631.1111
AEBP2|121536	707.8566	AEBP2|121536	632.0635
AEN|64782	526.1463	AEN|64782	448.5714
