gene_id	TCGA-BH-A0HK-01A-11R-A056-07	gene_id	TCGA-BH-A0HK-11A-11R-A089-07
ADAMTS14|140766	17.3867	ADAMTS14|140766	6.3478
ADAMTS15|170689	171.7597	ADAMTS15|170689	227.3992
ADAMTS16|170690	36.8809	ADAMTS16|170690	230.7598
ADAMTS17|170691	61.6438	ADAMTS17|170691	47.4215
ADAMTS18|170692	32.1391	ADAMTS18|170692	11.9487
ADAMTS1|9510	4292.9399	ADAMTS1|9510	13131.6488
ADAMTS2|9509	511.5911	ADAMTS2|9509	616.1061
ADAMTS3|9508	54.7945	ADAMTS3|9508	98.577
ADAMTS4|9507	855.1106	ADAMTS4|9507	2231.7978
ADAMTS5|11096	315.0685	ADAMTS5|11096	1808.3649
ADAMTS6|11174	11.0643	ADAMTS6|11174	22.4039
ADAMTS7|11173	109.589	ADAMTS7|11173	31.7388
ADAMTS8|11095	30.5585	ADAMTS8|11095	77.6667
ADAMTS9|56999	445.7323	ADAMTS9|56999	439.1156
ADAMTSL1|92949	105.3741	ADAMTSL1|92949	522.0099
ADAMTSL2|9719	347.2076	ADAMTSL2|9719	45.9279
ADAMTSL3|57188	143.3087	ADAMTSL3|57188	335.3111
ADAMTSL4|54507	159.1149	ADAMTSL4|54507	1706.4273
ADAMTSL5|339366	72.1812	ADAMTSL5|339366	70.5722
ADAP1|11033	18.2824	ADAP1|11033	160.4676
ADAP2|55803	146.9968	ADAP2|55803	227.7726
ADARB1|104	661.2223	ADARB1|104	688.9187
lowly_expressed	lowly_expressed	ADARB2|105	11.2019
ADAR|103	11034.2466	ADAR|103	6587.8549
ADAT1|23536	170.706	ADAT1|23536	325.6028
ADAT2|134637	71.6544	ADAT2|134637	68.7052
ADAT3|113179	17.9136	ADAT3|113179	48.1683
ADA|100	80.0843	ADA|100	63.1042
ADCK1|57143	128.5564	ADCK1|57143	173.2565
ADCK2|90956	701.2645	ADCK2|90956	873.3771
ADCK4|79934	317.7028	ADCK4|79934	449.1974
ADCK5|203054	84.2993	ADCK5|203054	61.6106
ADCY10|55811	6.3224	lowly_expressed	lowly_expressed
ADCY1|107	50.0527	ADCY1|107	297.9713
ADCY2|108	18.9673	ADCY2|108	99.6972
ADCY3|109	1280.0369	ADCY3|109	1855.3682
ADCY4|196883	255.0053	ADCY4|196883	343.1524
ADCY5|111	72.1812	ADCY5|111	227.3992
ADCY6|112	1316.1222	ADCY6|112	1846.078
ADCY7|113	222.8662	ADCY7|113	510.4346
ADCY9|115	935.1949	ADCY9|115	1075.3853
ADCYAP1R1|117	12.118	ADCYAP1R1|117	7.468
ADCYAP1|116	7.9031	ADCYAP1|116	38.46
ADC|113451	129.0832	ADC|113451	131.436
ADD1|118	5756.5859	ADD1|118	7158.0331
ADD2|119	71.6544	ADD2|119	46.3013
ADD3|120	1353.53	ADD3|120	3092.106
ADH1A|124	26.3435	ADH1A|124	59.3702
ADH1B|125	6737.0917	ADH1B|125	7941.048
ADH1C|126	347.2076	ADH1C|126	345.7662
lowly_expressed	lowly_expressed	ADH4|127	122.8478
ADH5|128	2136.9863	ADH5|128	2960.67
ADH7|131	660.1686	ADH7|131	44.8077
ADHFE1|137872	44.2571	ADHFE1|137872	112.0193
ADI1|55256	2704.4257	ADI1|55256	2034.2704
ADIPOQ|9370	4190.7271	ADIPOQ|9370	1263.9511
ADIPOR1|51094	8008.9568	ADIPOR1|51094	2164.5862
ADIPOR2|79602	1189.6733	ADIPOR2|79602	1895.7399
ADK|132	245.5216	ADK|132	402.8961
ADM2|79924	71.1275	ADM2|79924	80.6539
ADM|133	406.7439	ADM|133	416.7118
