gene_id	TCGA-BH-A0DG-01A-21R-A12P-07	gene_id	TCGA-BH-A0DG-11A-43R-A12P-07
ACOXL|55289	7.5043	lowly_expressed	lowly_expressed
ACP1|52	1637.6015	ACP1|52	1398.1994
ACP2|53	1434.9858	ACP2|53	647.5593
ACP5|54	1400.7996	ACP5|54	772.4457
ACP6|51205	465.2656	ACP6|51205	164.5329
ACPL2|92370	611.5991	ACPL2|92370	479.7225
ACPP|55	112.9812	ACPP|55	27.4222
ACRBP|84519	17.51	ACRBP|84519	12.8851
ACRC|93953	12.5071	ACRC|93953	33.0387
lowly_expressed	lowly_expressed	ACR|49	5.6166
ACSBG1|23205	6.2536	ACSBG1|23205	8.5901
lowly_expressed	lowly_expressed	ACSBG2|81616	7.9293
ACSF2|80221	3602.5106	ACSF2|80221	733.46
ACSF3|197322	402.313	ACSF3|197322	367.7212
ACSL1|2180	3372.7586	ACSL1|2180	2662.9223
ACSL3|2181	2236.6934	ACSL3|2181	4330.3874
ACSL4|2182	710.4055	ACSL4|2182	1188.7338
ACSL5|51703	390.2228	ACSL5|51703	781.0358
lowly_expressed	lowly_expressed	ACSL6|23305	13.2155
ACSM1|116285	74.209	ACSM1|116285	144.3793
ACSM3|6296	22.542	ACSM3|6296	211.9898
ACSM5|54988	32.5186	ACSM5|54988	54.5139
ACSS1|84532	2234.192	ACSS1|84532	1022.5489
ACSS2|55902	851.3193	ACSS2|55902	1234.988
ACSS3|79611	260.1485	ACSS3|79611	602.2962
ACTA1|58	27.5157	lowly_expressed	lowly_expressed
ACTA2|59	13254.9122	ACTA2|59	19724.262
lowly_expressed	lowly_expressed	ACTBL2|345651	13.8763
ACTB|60	113526.4714	ACTB|60	43672.9165
ACTG1|71	125883.9421	ACTG1|71	45347.9805
ACTG2|72	756.265	ACTG2|72	3748.5752
ACTL6A|86	1158.1611	ACTL6A|86	917.8161
ACTN1|87	7602.6732	ACTN1|87	7947.7988
ACTN2|88	251.3935	lowly_expressed	lowly_expressed
ACTN4|81	9355.6822	ACTN4|81	9065.2614
ACTR10|55860	944.7059	ACTR10|55860	1101.8419
ACTR1A|10121	4042.7244	ACTR1A|10121	1761.6255
ACTR1B|10120	947.6243	ACTR1B|10120	1268.3571
ACTR2|10097	6072.6331	ACTR2|10097	5033.4517
ACTR3B|57180	133.4095	ACTR3B|57180	291.4017
ACTR3C|653857	50.0286	ACTR3C|653857	42.2896
ACTR3|10096	4214.0722	ACTR3|10096	2739.9025
ACTR5|79913	242.2216	ACTR5|79913	192.9462
ACTR6|64431	356.4535	ACTR6|64431	785.6612
ACTR8|93973	358.538	ACTR8|93973	634.6742
ACVR1B|91	990.5654	ACVR1B|91	1252.4986
ACVR1C|130399	74.209	ACVR1C|130399	383.5797
ACVR1|90	1358.6923	ACVR1|90	1163.294
ACVR2A|92	342.2787	ACVR2A|92	839.8447
ACVR2B|93	452.7584	ACVR2B|93	801.1894
ACVRL1|94	678.3039	ACVRL1|94	612.5382
ACY1|95	314.517	ACY1|95	459.5688
lowly_expressed	lowly_expressed	ACY3|91703	8.9205
ACYP1|97	51.2793	ACYP1|97	62.4432
ACYP2|98	89.6345	ACYP2|98	167.5064
ADAL|161823	114.6488	ADAL|161823	125.2168
ADAM10|102	1745.5798	ADAM10|102	3479.6399
ADAM11|4185	5.4198	ADAM11|4185	17.8409
ADAM12|8038	4163.2098	ADAM12|8038	610.5559
ADAM15|8751	4843.1813	ADAM15|8751	1796.977
ADAM17|6868	828.8064	ADAM17|6868	993.1445
ADAM19|8728	1016.4135	ADAM19|8728	143.0577
lowly_expressed	lowly_expressed	ADAM21|8747	6.6077
ADAM22|53616	27.9326	ADAM22|53616	84.5792
ADAM23|8745	32.1017	ADAM23|8745	15.1978
ADAM28|10863	116.7333	ADAM28|10863	95.482
ADAM29|11086	32.5186	lowly_expressed	lowly_expressed
ADAM32|203102	37.5214	ADAM32|203102	39.9769
ADAM33|80332	99.6402	ADAM33|80332	321.9988
ADAM6|8755	31140.4093	ADAM6|8755	40778.0887
ADAM8|101	880.5026	ADAM8|101	48.5669
ADAM9|8754	1857.7271	ADAM9|8754	2195.4241
ADAMDEC1|27299	278.4923	ADAMDEC1|27299	25.4398
ADAMTS10|81794	167.1788	ADAMTS10|81794	91.5173
ADAMTS12|81792	1386.208	ADAMTS12|81792	177.0876
ADAMTS13|11093	12.5071	ADAMTS13|11093	42.9504
ADAMTS14|140766	255.9795	lowly_expressed	lowly_expressed
ADAMTS15|170689	94.6374	ADAMTS15|170689	189.6424
ADAMTS16|170690	758.7665	ADAMTS16|170690	25.4398
ADAMTS17|170691	48.7778	ADAMTS17|170691	36.0122
ADAMTS18|170692	33.7693	ADAMTS18|170692	104.4024
ADAMTS19|171019	10.8395	ADAMTS19|171019	8.5901
ADAMTS1|9510	565.3227	ADAMTS1|9510	2416.1229
ADAMTS2|9509	1693.4667	ADAMTS2|9509	262.9884
ADAMTS3|9508	37.9383	ADAMTS3|9508	116.9571
ADAMTS4|9507	1350.3542	ADAMTS4|9507	57.4874
ADAMTS5|11096	630.3598	ADAMTS5|11096	3034.6081
ADAMTS6|11174	110.8966	ADAMTS6|11174	17.5105
ADAMTS7|11173	486.9446	ADAMTS7|11173	28.7437
ADAMTS8|11095	28.3495	ADAMTS8|11095	117.2875
ADAMTS9|56999	395.2256	ADAMTS9|56999	734.7815
ADAMTSL1|92949	225.9623	ADAMTSL1|92949	138.7627
ADAMTSL2|9719	519.4632	ADAMTSL2|9719	11.2332
ADAMTSL3|57188	197.6128	ADAMTSL3|57188	137.1108
ADAMTSL4|54507	175.1	ADAMTSL4|54507	345.2548
ADAMTSL5|339366	57.5328	ADAMTSL5|339366	38.3249
ADAP1|11033	119.9393	ADAP1|11033	83.6045
ADAP2|55803	396.8932	ADAP2|55803	201.5363
ADARB1|104	828.3895	ADARB1|104	796.564
ADAR|103	18831.583	ADAR|103	7776.6581
ADAT1|23536	479.8573	ADAT1|23536	473.4451
ADAT2|134637	82.1302	ADAT2|134637	245.1474
ADAT3|113179	19.1776	ADAT3|113179	6.9381
ADA|100	152.1702	ADA|100	55.5051
ADCK1|57143	348.5323	ADCK1|57143	134.7981
ADCK2|90956	975.14	ADCK2|90956	667.0521
ADCK4|79934	469.8515	ADCK4|79934	433.7986
ADCK5|203054	102.5585	ADCK5|203054	52.5316
ADCY1|107	732.9184	ADCY1|107	275.2127
ADCY2|108	351.4506	ADCY2|108	72.3548
ADCY3|109	850.2604	ADCY3|109	1209.1055
ADCY4|196883	180.9366	ADCY4|196883	286.1155
ADCY5|111	240.554	ADCY5|111	311.5553
ADCY6|112	1123.1411	ADCY6|112	2224.1678
ADCY7|113	1034.7573	ADCY7|113	498.2242
lowly_expressed	lowly_expressed	ADCY8|114	5.6166
ADCY9|115	558.2353	ADCY9|115	674.651
ADCYAP1R1|117	30.0171	ADCYAP1R1|117	53.5228
lowly_expressed	lowly_expressed	ADCYAP1|116	6.6077
ADC|113451	212.2045	ADC|113451	153.2997
ADD1|118	6297.3447	ADD1|118	5916.5772
ADD2|119	12.5071	ADD2|119	56.1659
ADD3|120	1268.6408	ADD3|120	3320.7235
ADH1A|124	14.1748	ADH1A|124	43.6111
ADH1B|125	2786.5907	ADH1B|125	6456.4302
ADH1C|126	59.6174	ADH1C|126	203.5186
ADH4|127	5.0029	ADH4|127	21.8056
ADH5|128	1798.9436	ADH5|128	3221.6073
ADHFE1|137872	30.8509	ADHFE1|137872	228.2977
ADI1|55256	1422.0618	ADI1|55256	1132.2375
ADIPOQ|9370	2653.1812	ADIPOQ|9370	4737.0942
ADIPOR1|51094	5232.9872	ADIPOR1|51094	2328.5702
ADIPOR2|79602	1437.9041	ADIPOR2|79602	2006.4426
ADK|132	227.6299	ADK|132	333.0305
ADM2|79924	227.213	ADM2|79924	78.6322
ADM|133	136.3278	ADM|133	164.8633
ADNP2|22850	1033.5066	ADNP2|22850	920.7896
ADNP|23394	4643.484	ADNP|23394	4041.6288
ADORA1|134	105.4769	ADORA1|134	565.2928
