gene_id	TCGA-E9-A1NG-01A-21R-A14M-07	gene_id	TCGA-E9-A1NG-11A-52R-A14M-07
ADAM8|101	1186.6626	ADAM8|101	48.3005
ADAM9|8754	3989.3423	ADAM9|8754	3000
ADAMDEC1|27299	12.1803	removed	removed
ADAMTS10|81794	179.0499	ADAMTS10|81794	300.9839
ADAMTS12|81792	1116.6261	ADAMTS12|81792	304.1145
ADAMTS13|11093	27.7101	ADAMTS13|11093	37.1199
ADAMTS14|140766	459.8051	removed	removed
ADAMTS15|170689	97.7467	ADAMTS15|170689	674.8658
ADAMTS16|170690	361.1449	ADAMTS16|170690	322.0036
ADAMTS17|170691	71.2546	ADAMTS17|170691	29.9642
ADAMTS18|170692	86.7844	ADAMTS18|170692	298.3005
ADAMTS19|171019	17.9659	removed	removed
ADAMTS1|9510	482.9476	ADAMTS1|9510	11419.9463
ADAMTS2|9509	1198.2339	ADAMTS2|9509	1203.9356
ADAMTS3|9508	67.905	ADAMTS3|9508	149.3739
ADAMTS4|9507	1119.0621	ADAMTS4|9507	3307.6923
ADAMTS5|11096	916.8697	ADAMTS5|11096	3854.2039
ADAMTS6|11174	176.3094	ADAMTS6|11174	63.059
ADAMTS7|11173	856.5773	ADAMTS7|11173	176.2075
removed	removed	ADAMTS8|11095	42.4866
ADAMTS9|56999	503.0451	ADAMTS9|56999	1397.585
ADAMTSL1|92949	785.6273	ADAMTSL1|92949	252.2361
ADAMTSL2|9719	567.6005	ADAMTSL2|9719	56.7979
ADAMTSL3|57188	400.4263	ADAMTSL3|57188	644.9016
ADAMTSL4|54507	465.8952	ADAMTSL4|54507	1648.4794
ADAMTSL5|339366	97.4421	ADAMTSL5|339366	32.2004
ADAP1|11033	82.3873	ADAP1|11033	127.737
ADAP2|55803	426.0049	ADAP2|55803	449.0161
ADARB1|104	1579.1717	ADARB1|104	939.6243
ADAR|103	7895.8587	ADAR|103	5828.712
ADAT1|23536	264.0073	ADAT1|23536	296.0644
ADAT2|134637	71.8636	ADAT2|134637	110.0179
ADAT3|113179	19.1839	ADAT3|113179	23.703
ADA|100	227.162	ADA|100	150.7156
ADCK1|57143	179.0499	ADCK1|57143	181.127
