gene_id	TCGA-E9-A1NG-01A-21R-A14M-07	gene_id	TCGA-E9-A1NG-11A-52R-A14M-07
LNX2|222484	755.4811	LNX2|222484	386.4043
LOC100009676|100009676	67.5518	LOC100009676|100009676	79.3873
removed	removed	LOC100124692|100124692	28.1753
LOC100125556|100125556	50.4324	LOC100125556|100125556	32.8667
LOC100126784|100126784	54.1382	LOC100126784|100126784	34.1458
removed	removed	LOC100127888|100127888	8.22
removed	removed	LOC100128164|100128164	29.517
LOC100128191|100128191	35.8952	LOC100128191|100128191	17.8846
LOC100128239|100128239	7.0037	removed	removed
LOC100128288|100128288	29.8417	LOC100128288|100128288	30.4114
LOC100128292|100128292	12.4848	LOC100128292|100128292	8.9445
LOC100128640|100128640	14.0073	LOC100128640|100128640	25.4919
LOC100128788|100128788	8.5262	LOC100128788|100128788	5.814
LOC100128822|100128822	56.9428	LOC100128822|100128822	124.7764
LOC100128842|100128842	12.7893	LOC100128842|100128842	11.6279
LOC100128977|100128977	10.9622	removed	removed
LOC100129034|100129034	2158.3618	LOC100129034|100129034	1992.1825
LOC100129387|100129387	44.0682	LOC100129387|100129387	44.1547
LOC100129534|100129534	10.0487	LOC100129534|100129534	25.4919
LOC100129550|100129550	119.3666	LOC100129550|100129550	220.9302
LOC100129637|100129637	43.038999999999994	LOC100129637|100129637	119.5841
removed	removed	LOC100129716|100129716	9.839
removed	removed	LOC100129726|100129726	5.3667
LOC100130015|100130015	5.1157	LOC100130015|100130015	20.4562
LOC100130093|100130093	39.4549	LOC100130093|100130093	33.5957
LOC100130331|100130331	6.3946	removed	removed
LOC100130522|100130522	12.4848	LOC100130522|100130522	6.7084
LOC100130557|100130557	18.4501	LOC100130557|100130557	9.0564
LOC100130581|100130581	32.5822	LOC100130581|100130581	42.0394
LOC100130691|100130691	9.8356	LOC100130691|100130691	13.6494
LOC100130776|100130776	265.3959	LOC100130776|100130776	160.2415
LOC100130872|100130872	41.4129	LOC100130872|100130872	29.517
LOC100130932|100130932	44.458	LOC100130932|100130932	32.2004
LOC100130987|100130987	7.6127	LOC100130987|100130987	10.2862
LOC100131193|100131193	12.9019	LOC100131193|100131193	19.678
LOC100131434|100131434	11.2789	LOC100131434|100131434	23.3318
removed	removed	LOC100131496|100131496	5.3667
LOC100131691|100131691	16.7113	LOC100131691|100131691	8.9267
removed	removed	LOC100132111|100132111	9.3918
removed	removed	LOC100132215|100132215	16.5474
LOC100132247|100132247	84.9574	LOC100132247|100132247	114.4902
LOC100132287|100132287	87.3934	LOC100132287|100132287	98.8372
LOC100132288|100132288	212.2412	LOC100132288|100132288	228.5331
LOC100132707|100132707	90.4598	LOC100132707|100132707	113.6628
removed	removed	LOC100132832|100132832	5.8989
LOC100133161|100133161	7.4086	LOC100133161|100133161	7.1556
LOC100133331|100133331	43.7972	LOC100133331|100133331	63.2066
removed	removed	LOC100133612|100133612	5.3667
removed	removed	LOC100133669|100133669	6.2612
removed	removed	LOC100133985|100133985	7.1556
LOC100133991|100133991	5.4811	LOC100133991|100133991	13.4168
LOC100134229|100134229	145.5542	LOC100134229|100134229	139.9821
LOC100134259|100134259	23.447	LOC100134259|100134259	15.652999999999999
LOC100134713|100134713	16.1419	LOC100134713|100134713	5.3712
LOC100170939|100170939	35.9318	LOC100170939|100170939	23.3184
LOC100188947|100188947	12.1803	removed	removed
LOC100190938|100190938	16.4434	LOC100190938|100190938	187.8354
LOC100190939|100190939	127.2838	LOC100190939|100190939	190.5188
LOC100190986|100190986	80.9988	LOC100190986|100190986	198.1216
LOC100192378|100192378	21.9245	LOC100192378|100192378	17.4419
LOC100216001|100216001	5.1766	removed	removed
LOC100216545|100216545	31.0597	LOC100216545|100216545	39.8032
LOC100233209|100233209	28.3191	LOC100233209|100233209	12.9696
LOC100240735|100240735	7.9172	LOC100240735|100240735	17.4419
LOC100270710|100270710	621.4464	LOC100270710|100270710	197.1825
LOC100270746|100270746	23.447	LOC100270746|100270746	21.4669
LOC100270804|100270804	5.7856	LOC100270804|100270804	7.6029
LOC100271722|100271722	25.2741	LOC100271722|100271722	29.9642
removed	removed	LOC100271831|100271831	10.4517
LOC100271836|100271836	398.7333	LOC100271836|100271836	409.1279
LOC100272146|100272146	27.4056	LOC100272146|100272146	13.864
LOC100272216|100272216	23.1486	LOC100272216|100272216	24.4052
removed	removed	LOC100272217|100272217	5.3667
LOC100272228|100272228	9.1352	LOC100272228|100272228	24.1503
LOC100286793|100286793	52.3752	LOC100286793|100286793	97.4955
LOC100286844|100286844	30.3654	LOC100286844|100286844	22.101999999999997
LOC100288778|100288778	209.1626	LOC100288778|100288778	234.5125
LOC100289341|100289341	26.7966	LOC100289341|100289341	33.542
LOC100302401|100302401	26.5317	LOC100302401|100302401	20.1476
LOC100302640|100302640	13.0938	LOC100302640|100302640	12.5224
removed	removed	LOC100302650|100302650	102.415
LOC100303728|100303728	13.3983	LOC100303728|100303728	18.7835
LOC113230|113230	57.2473	LOC113230|113230	58.1395
LOC115110|115110	23.7972	LOC115110|115110	39.9016
LOC134466|134466	75.8222	LOC134466|134466	46.5116
LOC143188|143188	13.0938	LOC143188|143188	17.8891
LOC143666|143666	22.5335	LOC143666|143666	7.1556
LOC144438|144438	514.9208	LOC144438|144438	644.0072
LOC144486|144486	10.0487	removed	removed
LOC144571|144571	39.3301	LOC144571|144571	68.958
LOC145783|145783	37.8471	LOC145783|145783	32.7728
LOC145820|145820	13.0938	LOC145820|145820	36.2254
LOC145837|145837	242.6918	LOC145837|145837	18.3363
LOC146880|146880	206.7083	LOC146880|146880	277.7639
LOC147727|147727	163.2156	LOC147727|147727	286.2254
LOC147804|147804	89.2205	LOC147804|147804	80.0537
LOC148189|148189	49.9391	LOC148189|148189	52.9964
LOC148413|148413	341.62300000000005	LOC148413|148413	238.0411
removed	removed	LOC148696|148696	5.814
LOC148709|148709	6.6991	removed	removed
LOC149837|149837	56.9428	LOC149837|149837	137.2987
LOC150381|150381	27.9842	LOC150381|150381	66.6369
LOC150776|150776	237.8197	LOC150776|150776	220.483
LOC150786|150786	75.8222	LOC150786|150786	71.5564
LOC151009|151009	36.8453	LOC151009|151009	51.4311
LOC151162|151162	1510.6577	LOC151162|151162	1122.5403
LOC151174|151174	5.4811	removed	removed
LOC151534|151534	235.9927	LOC151534|151534	173.0769
LOC152217|152217	183.6175	LOC152217|152217	185.5993
LOC153684|153684	37.1498	LOC153684|153684	33.9893
LOC154761|154761	43.7972	LOC154761|154761	45.6664
removed	removed	LOC154822|154822	5.8542
LOC158376|158376	23.1425	LOC158376|158376	166.3685
LOC158572|158572	19.7929	LOC158572|158572	27.2809
removed	removed	LOC158696|158696	12.0751
LOC162632|162632	235.5694	LOC162632|162632	283.8819
LOC168474|168474	7.0037	removed	removed
LOC200030|200030	340.4111	LOC200030|200030	558.1216
removed	removed	LOC201651|201651	5.3667
LOC202181|202181	29.8417	LOC202181|202181	25.0447
LOC202781|202781	84.9574	LOC202781|202781	153.3989
LOC219347|219347	63.5262	LOC219347|219347	161.1225
removed	removed	LOC220594|220594	5.814
LOC220729|220729	89.525	LOC220729|220729	107.7818
LOC220930|220930	79.5737	LOC220930|220930	60.9034
LOC221442|221442	9.7442	LOC221442|221442	26.8336
LOC221710|221710	530.1462	LOC221710|221710	369.8569
LOC222699|222699	57.2473	LOC222699|222699	14.3113
LOC253039|253039	538.0633	LOC253039|253039	600.1789
LOC253724|253724	18.5749	LOC253724|253724	8.4973
LOC254559|254559	23.7515	LOC254559|254559	27.2809
LOC255167|255167	73.0816	removed	removed
removed	removed	LOC257358|257358	18.3363
LOC25845|25845	177.3873	LOC25845|25845	178.6538
LOC282997|282997	41.4129	LOC282997|282997	27.7281
LOC283050|283050	23.447	LOC283050|283050	37.1199
LOC283070|283070	250.3045	LOC283070|283070	421.288
LOC283174|283174	10.3532	LOC283174|283174	125.6708
LOC283267|283267	306.3337	LOC283267|283267	333.6315
LOC283314|283314	41.827	LOC283314|283314	38.1216
removed	removed	LOC283392|283392	738.8014
LOC283663|283663	9.1352	LOC283663|283663	11.6279
removed	removed	LOC283731|283731	9.3918
LOC283867|283867	31.3642	removed	removed
LOC283922|283922	35.9318	LOC283922|283922	63.059
LOC284023|284023	156.5164	LOC284023|284023	84.0787
LOC284232|284232	14.9208	LOC284232|284232	12.9696
LOC284233|284233	5.4811	removed	removed
LOC284276|284276	7.9172	LOC284276|284276	12.9696
LOC284440|284440	77.3447	LOC284440|284440	96.1538
LOC284441|284441	139.4641	LOC284441|284441	84.5259
removed	removed	LOC284578|284578	30.8587
LOC284837|284837	10.3532	LOC284837|284837	12.9696
LOC284900|284900	55.5146	LOC284900|284900	88.9267
LOC285033|285033	27.4421	LOC285033|285033	33.8685
LOC285074|285074	186.3581	LOC285074|285074	262.0751
LOC285359|285359	28.6236	LOC285359|285359	25.9392
removed	removed	LOC285419|285419	14.3113
LOC285548|285548	27.1011	removed	removed
removed	removed	LOC285593|285593	6.2612
LOC285830|285830	21.5987	LOC285830|285830	62.9428
LOC285954|285954	15.8343	removed	removed
removed	removed	LOC286002|286002	8.0501
LOC286367|286367	28.6236	LOC286367|286367	203.0411
LOC286467|286467	7.6127	removed	removed
LOC338651|338651	58.4257	LOC338651|338651	7.1199
LOC338758|338758	26.7966	LOC338758|338758	40.6977
LOC338799|338799	62.7284	LOC338799|338799	93.4705
LOC339047|339047	321.5591	LOC339047|339047	955.2773
LOC339290|339290	335.5664	LOC339290|339290	1087.9562
LOC339524|339524	20.4111	LOC339524|339524	1331.8426
LOC339535|339535	49.0256	LOC339535|339535	8.9445
LOC341056|341056	14.0073	LOC341056|341056	6.2612
LOC344595|344595	209.5006	LOC344595|344595	171.28799999999998
LOC348926|348926	83.7393	LOC348926|348926	35.7782
LOC349114|349114	115.40799999999999	LOC349114|349114	61.7174
LOC349196|349196	5.268	LOC349196|349196	13.1172
LOC374443|374443	135.5055	LOC374443|374443	42.4866
LOC375190|375190	64.2509	LOC375190|375190	179.7853
LOC387646|387646	101.0962	LOC387646|387646	67.5313
LOC387647|387647	404.1017	LOC387647|387647	649.6825
LOC388152|388152	113.2765	LOC388152|388152	101.9678
LOC388242|388242	18.5749	LOC388242|388242	21.9141
LOC388588|388588	32.2777	LOC388588|388588	7.6029
LOC388692|388692	167.4787	LOC388692|388692	224.0608
LOC388789|388789	430.26800000000003	LOC388789|388789	481.6637
LOC388796|388796	171.4373	LOC388796|388796	211.9857
LOC388955|388955	204.0195	LOC388955|388955	152.5045
LOC389333|389333	38.0633	LOC389333|389333	24.1503
removed	removed	LOC389493|389493	7.1556
removed	removed	LOC389705|389705	10.7335
removed	removed	LOC390595|390595	8.4973
LOC399744|399744	70.0365	LOC399744|399744	43.8283
LOC399815|399815	7.0037	removed	removed
LOC399959|399959	764.3118	LOC399959|399959	517.8891
LOC400027|400027	149.2083	LOC400027|400027	219.1413
LOC400043|400043	391.9001	LOC400043|400043	254.025
LOC400657|400657	182.704	LOC400657|400657	170.3936
LOC400696|400696	6.6991	removed	removed
LOC400752|400752	15.2253	LOC400752|400752	8.4973
LOC400759|400759	6.3946	LOC400759|400759	14.7585
LOC400927|400927	7.8593	LOC400927|400927	17.5045
LOC400931|400931	8.5262	LOC400931|400931	36.2254
LOC401010|401010	28.3191	LOC401010|401010	22.3614
LOC401052|401052	24.665	LOC401052|401052	322.0036
LOC401093|401093	100.6821	LOC401093|401093	310.9481
LOC401127|401127	6.0901	removed	removed
LOC401397|401397	629.1108	LOC401397|401397	510.2862
LOC401431|401431	29.2753	LOC401431|401431	66.6547
LOC401588|401588	23.7515	LOC401588|401588	53.6673
LOC402377|402377	11.8758	LOC402377|402377	5.814
LOC407835|407835	25.5786	LOC407835|407835	39.356
LOC440354|440354	251.6748	LOC440354|440354	243.5957
removed	removed	LOC440461|440461	10.7335
LOC440905|440905	5.1766	LOC440905|440905	38.4615
LOC440925|440925	11.8758	LOC440925|440925	9.3918
LOC440944|440944	91.961	LOC440944|440944	127.0125
LOC440957|440957	84.6529	LOC440957|440957	116.7263
LOC441046|441046	10.0487	LOC441046|441046	15.2057
LOC441089|441089	132.7649	LOC441089|441089	96.6011
LOC441204|441204	50.8526	LOC441204|441204	72.4508
LOC441208|441208	34.4093	LOC441208|441208	48.7478
LOC441294|441294	37.1498	LOC441294|441294	51.4311
LOC441455|441455	6.3946	LOC441455|441455	7.6029
LOC441666|441666	10.6577	LOC441666|441666	15.2057
LOC441869|441869	127.8928	LOC441869|441869	296.5116
LOC442421|442421	6.3946	LOC442421|442421	7.1556
LOC442454|442454	128.5018	LOC442454|442454	137.2987
LOC493754|493754	476.8575	LOC493754|493754	611.8068
LOC541471|541471	783.8002	LOC541471|541471	203.9356
LOC550112|550112	337.6979	LOC550112|550112	190.96599999999998
LOC550643|550643	494.8234	LOC550643|550643	183.3631
LOC554202|554202	7.3082	LOC554202|554202	9.839
removed	removed	LOC55908|55908	115.8318
removed	removed	LOC572558|572558	12.0751
LOC595101|595101	104.1413	LOC595101|595101	100.5456
LOC606724|606724	28.3191	LOC606724|606724	18.3363
LOC613037|613037	43.24	LOC613037|613037	23.4302
LOC619207|619207	5.1766	LOC619207|619207	8.4973
LOC641298|641298	46.9093	LOC641298|641298	184.0519
LOC641367|641367	5.1766	removed	removed
LOC642587|642587	55.1157	LOC642587|642587	204.3828
removed	removed	LOC642597|642597	6.2612
LOC642826|642826	43.3709	LOC642826|642826	59.7406
LOC642846|642846	52.0706	LOC642846|642846	76.0286
LOC642852|642852	170.5238	LOC642852|642852	149.3739
LOC643008|643008	28.3191	removed	removed
LOC643387|643387	46.285	LOC643387|643387	32.2004
removed	removed	LOC643719|643719	23.2558
LOC643763|643763	7.6127	removed	removed
LOC643837|643837	142.8136	LOC643837|643837	240.16099999999997
removed	removed	LOC644172|644172	6.2612
LOC644538|644538	177.2229	LOC644538|644538	275.4919
LOC644936|644936	53.5932	LOC644936|644936	18.3363
LOC645166|645166	105.0548	LOC645166|645166	132.3792
LOC645332|645332	117.2351	LOC645332|645332	72.0036
LOC645431|645431	27.5822	LOC645431|645431	12.0572
LOC645676|645676	21.4038	LOC645676|645676	19.3873
LOC646214|646214	138.246	LOC646214|646214	146.6905
LOC646471|646471	23.6145	LOC646471|646471	26.9097
LOC646762|646762	157.43	LOC646762|646762	309.4812
LOC646851|646851	48.4166	LOC646851|646851	33.0948
LOC646999|646999	12.7893	LOC646999|646999	13.864
LOC647121|647121	48.4166	LOC647121|647121	69.7674
LOC647288|647288	8.2217	LOC647288|647288	5.3667
removed	removed	LOC647859|647859	6.2612
LOC647946|647946	7.0037	removed	removed
LOC647979|647979	12641.5956	LOC647979|647979	13035.7782
removed	removed	LOC648740|648740	6.0912
LOC649330|649330	14.6163	LOC649330|649330	8.9445
LOC650368|650368	30.1462	LOC650368|650368	81.8426
LOC650623|650623	43.24	LOC650623|650623	102.415
LOC651250|651250	1237.5152	LOC651250|651250	2159.6601
LOC652276|652276	46.285	LOC652276|652276	33.542
LOC653113|653113	45.9805	LOC653113|653113	42.9338
LOC653501|653501	99.2692	LOC653501|653501	157.424
LOC653566|653566	1510.9622	LOC653566|653566	1248.2111
LOC653653|653653	143.4227	LOC653653|653653	163.6852
removed	removed	LOC653786|653786	13.4168
LOC654342|654342	180.5725	LOC654342|654342	503.1306
LOC654433|654433	263.5323	LOC654433|654433	273.703
LOC678655|678655	256.9732	LOC678655|678655	189.271
LOC723972|723972	6.3946	removed	removed
LOC727896|727896	21.62	LOC727896|727896	23.2558
LOC728024|728024	24.055999999999997	LOC728024|728024	31.3059
LOC728190|728190	153.7759	LOC728190|728190	195.4383
LOC728264|728264	88.3069	LOC728264|728264	627.0125
LOC728323|728323	45.3715	LOC728323|728323	51.4311
LOC728392|728392	113.8855	LOC728392|728392	108.229
LOC728554|728554	251.827	LOC728554|728554	187.8354
LOC728606|728606	167.1742	LOC728606|728606	34.8837
LOC728613|728613	91.961	LOC728613|728613	121.6458
LOC728640|728640	36.2363	LOC728640|728640	31.7531
LOC728643|728643	46.285	LOC728643|728643	37.1199
LOC728723|728723	9.1352	LOC728723|728723	42.0394
LOC728743|728743	91.0475	LOC728743|728743	110.4651
LOC728758|728758	34.7138	LOC728758|728758	29.517
LOC728819|728819	13.0938	LOC728819|728819	46.0644
LOC728855|728855	90.0944	LOC728855|728855	122.9919
LOC728875|728875	44.4976	LOC728875|728875	59.924
removed	removed	LOC728989|728989	8.9445
LOC729020|729020	30.1462	LOC729020|729020	24.5975
LOC729082|729082	524.1931	LOC729082|729082	468.1216
LOC729176|729176	47.8076	LOC729176|729176	53.6673
LOC729234|729234	31.0597	LOC729234|729234	57.6923
LOC729375|729375	23.7515	LOC729375|729375	24.1503
removed	removed	LOC729467|729467	15.2057
LOC729603|729603	21.3155	LOC729603|729603	13.4168
LOC729678|729678	406.1571	LOC729678|729678	444.1682
LOC729799|729799	8.2217	LOC729799|729799	11.6279
LOC729991-MEF2B|4207	35.7004	LOC729991-MEF2B|4207	33.4839
LOC729991|729991	187.1559	LOC729991|729991	207.017
LOC730101|730101	77.3447	LOC730101|730101	47.8533
LOC80054|80054	23.1425	LOC80054|80054	134.6154
LOC80154|80154	216.5043	LOC80154|80154	217.3524
LOC81691|81691	95.3106	LOC81691|81691	116.7263
LOC84740|84740	7.6339999999999995	removed	removed
LOC84856|84856	13.7028	LOC84856|84856	22.3614
LOC84989|84989	5.6973	removed	removed
LOC90110|90110	169.0012	LOC90110|90110	227.1914
removed	removed	LOC90246|90246	36.2254
removed	removed	LOC90586|90586	33.0948
LOC90784|90784	177.2229	LOC90784|90784	196.78
LOC90834|90834	7.3082	LOC90834|90834	20.5725
LOC91316|91316	97.7832	LOC91316|91316	219.5751
LOC92249|92249	500.60900000000004	LOC92249|92249	424.4186
LOC92659|92659	112.97200000000001	LOC92659|92659	21.0197
LOC92973|92973	6.6991	LOC92973|92973	34.8837
removed	removed	LOC93432|93432	6.7084
LOC93622|93622	379.7199	LOC93622|93622	234.347
LOC96610|96610	1388.2643	LOC96610|96610	1746.1896
LOH12CR1|118426	95.6151	LOH12CR1|118426	99.2844
LOH12CR2|503693	10.9622	LOH12CR2|503693	44.2755
LOH3CR2A|29931	78.8672	LOH3CR2A|29931	197.2272
LONP1|9361	1466.8088	LONP1|9361	1140.8766
LONP2|83752	1410.475	LONP2|83752	1663.6852
LONRF1|91694	363.2765	LONRF1|91694	734.347
LONRF2|164832	531.3642	LONRF2|164832	256.2612
LONRF3|79836	36.5408	LONRF3|79836	103.3095
LOXHD1|125336	31.0597	LOXHD1|125336	19.678
LOXL1|4016	4341.352	LOXL1|4016	900.7156
LOXL2|4017	6243.7881	LOXL2|4017	1870.2236
LOXL3|84695	470.5633	LOXL3|84695	239.8032
LOXL4|84171	169.9147	LOXL4|84171	503.1306
LOX|4015	3612.972	LOX|4015	1651.1628
LPAL2|80350	5.1766	removed	removed
LPAR1|1902	746.6504	LPAR1|1902	1069.7674
LPAR2|9170	247.2594	LPAR2|9170	98.8372
LPAR4|2846	24.665	removed	removed
LPAR5|57121	292.6309	LPAR5|57121	93.0233
LPAR6|10161	982.3386	LPAR6|10161	1181.127
LPCAT1|79888	890.9866	LPCAT1|79888	1127.907
LPCAT2|54947	1342.57	LPCAT2|54947	966.4580000000001
LPCAT3|10162	871.4982	LPCAT3|10162	925.3131
LPCAT4|254531	325.2132	LPCAT4|254531	383.2737
LPGAT1|9926	1662.6066	LPGAT1|9926	3322.0036
LPHN1|22859	432.704	LPHN1|22859	1243.2916
LPHN2|23266	1086.4799	LPHN2|23266	1470.9302
LPHN3|23284	9.4397	LPHN3|23284	123.8819
LPIN1|23175	578.8672	LPIN1|23175	855.5456
LPIN2|9663	796.5895	LPIN2|9663	1142.2182
LPIN3|64900	174.7473	LPIN3|64900	316.9544
LPL|4023	417.7832	LPL|4023	23557.6923
removed	removed	LPPR1|54886	7.1556
LPPR2|64748	702.497	LPPR2|64748	405.6351
removed	removed	LPPR3|79948	18.7835
LPPR4|9890	217.1133	LPPR4|9890	198.1216
LPP|4026	860.8404	LPP|4026	881.0376
LPXN|9404	343.4836	LPXN|9404	204.3828
removed	removed	LQK1|642946	5.814
LRAT|9227	9.1352	LRAT|9227	40.6977
LRBA|987	2578.5627	LRBA|987	1604.6512
LRCH1|23143	780.4507	LRCH1|23143	878.8014
LRCH2|57631	93.4836	LRCH2|57631	108.229
LRCH3|84859	363.8855	LRCH3|84859	405.1878
LRCH4|4034	674.7868	LRCH4|4034	483.8998
LRDD|55367	132.1559	LRDD|55367	127.0125
LRFN1|57622	89.2205	LRFN1|57622	29.0698
LRFN2|57497	9.1352	removed	removed
LRFN3|79414	303.8977	LRFN3|79414	129.2487
LRFN4|78999	172.0463	LRFN4|78999	354.2039
removed	removed	LRFN5|145581	59.034
LRG1|116844	212.8502	LRG1|116844	250.0
LRGUK|136332	29.5371	removed	removed
LRIG1|26018	3140.1157	LRIG1|26018	3352.9383
LRIG2|9860	222.5944	LRIG2|9860	265.2057
LRIG3|121227	321.5591	LRIG3|121227	710.6439999999999
LRMP|4033	131.8514	LRMP|4033	181.127
LRP10|26020	5624.2387	LRP10|26020	4561.2701
LRP11|84918	1529.2083	LRP11|84918	1197.6476
LRP12|29967	515.8343	LRP12|29967	392.6655
removed	removed	LRP1B|53353	81.3953
LRP1|4035	21385.5055	LRP1|4035	51151.1628
LRP2BP|55805	48.7211	LRP2BP|55805	55.0089
LRP2|4036	533.4957	LRP2|4036	437.8354
LRP3|4037	608.4044	LRP3|4037	1410.2281
LRP4|4038	158.3435	LRP4|4038	199.9061
LRP5L|91355	34.7138	LRP5L|91355	93.0233
LRP5|4041	1531.3642	LRP5|4041	3314.8479
LRP6|4040	983.8611	LRP6|4040	1421.2879999999998
LRP8|7804	82.5213	LRP8|7804	48.7478
LRPAP1|4043	2020.7065	LRPAP1|4043	1749.1055
LRPPRC|10128	3198.8429	LRPPRC|10128	2854.6512
LRRC10B|390205	6.6991	LRRC10B|390205	20.1252
LRRC14|9684	375.8496	LRRC14|9684	476.0197
LRRC15|131578	14561.8149	LRRC15|131578	360.0179
LRRC16A|55604	583.1303	LRRC16A|55604	478.9803
removed	removed	LRRC16B|90668	5.814
LRRC17|10234	1421.1328	LRRC17|10234	320.6619
LRRC1|55227	1047.503	LRRC1|55227	281.3059
LRRC20|55222	344.7016	LRRC20|55222	157.8712
LRRC23|10233	229.5981	LRRC23|10233	140.4293
LRRC24|441381	5.6973	removed	removed
LRRC25|126364	403.7759	LRRC25|126364	276.8336
LRRC26|389816	99.2692	LRRC26|389816	9.3918
LRRC27|80313	196.9793	LRRC27|80313	145.7961
LRRC28|123355	178.1364	LRRC28|123355	231.6637
LRRC29|26231	24.9695	LRRC29|26231	38.0143
removed	removed	LRRC2|79442	148.0322
LRRC31|79782	99.2692	removed	removed
LRRC32|2615	1166.5652	LRRC32|2615	3435.1521
LRRC33|375387	185.7491	LRRC33|375387	339.4454
LRRC34|151827	44.7625	LRRC34|151827	105.0984
LRRC36|55282	5.7856	LRRC36|55282	8.9445
LRRC37A2|474170	85.6547	LRRC37A2|474170	97.1735
LRRC37A3|374819	88.6114	LRRC37A3|374819	59.4812
LRRC37A4|55073	93.179	LRRC37A4|55073	215.5635
LRRC37A|9884	348.9647	LRRC37A|9884	349.2844
LRRC37B2|147172	432.704	LRRC37B2|147172	411.8962
LRRC37B|114659	105.0548	LRRC37B|114659	107.7818
removed	removed	LRRC3B|116135	10.2862
LRRC3|81543	74.6041	LRRC3|81543	90.7871
LRRC40|55631	431.1815	LRRC40|55631	364.0429
LRRC41|10489	1854.4458	LRRC41|10489	1450.3578
LRRC42|115353	806.9428	LRRC42|115353	419.9463
LRRC45|201255	294.1535	LRRC45|201255	129.6959
LRRC46|90506	100.1827	LRRC46|90506	13.864
LRRC47|57470	1079.7808	LRRC47|57470	1015.2057
LRRC48|83450	146.1632	LRRC48|83450	39.8032
LRRC49|54839	161.6931	LRRC49|54839	99.7317
removed	removed	LRRC4B|94030	17.8891
LRRC4C|57689	216.1998	LRRC4C|57689	97.9428
LRRC4|64101	155.6029	LRRC4|64101	98.39
LRRC50|123872	11.5713	LRRC50|123872	8.4973
LRRC55|219527	15.5298	removed	removed
LRRC56|115399	82.8258	LRRC56|115399	22.8086
LRRC57|255252	296.894	LRRC57|255252	303.6673
LRRC58|116064	1488.1242	LRRC58|116064	1422.1825
LRRC59|55379	3497.6066	LRRC59|55379	2227.4821
LRRC61|65999	182.3995	LRRC61|65999	94.3649
removed	removed	LRRC66|339977	9.839
LRRC6|23639	246.6504	LRRC6|23639	61.7174
LRRC70|100130733	38.9769	LRRC70|100130733	234.11900000000003
LRRC8A|56262	1694.8843	LRRC8A|56262	1480.7692
LRRC8B|23507	509.4397	LRRC8B|23507	842.1288
LRRC8C|84230	575.5177	LRRC8C|84230	1557.2451
LRRC8D|55144	837.0889	LRRC8D|55144	571.5564
LRRC8E|80131	241.1693	LRRC8E|80131	148.4794
LRRCC1|85444	514.3118	LRRCC1|85444	381.93199999999996
LRRFIP1|9208	4998.782	LRRFIP1|9208	3694.0966
LRRFIP2|9209	1374.8477	LRRFIP2|9209	1114.0429
removed	removed	LRRIQ1|84125	13.4168
LRRIQ3|127255	12.7893	LRRIQ3|127255	13.864
LRRK1|79705	320.9501	LRRK1|79705	618.068
LRRK2|120892	421.1328	LRRK2|120892	648.0322
LRRN1|57633	186.6626	LRRN1|57633	184.7048
LRRN2|10446	227.771	LRRN2|10446	103.7567
LRRN3|54674	25.5786	LRRN3|54674	312.6118
LRRN4CL|221091	158.3435	LRRN4CL|221091	1287.1199
LRRTM2|26045	7.9172	LRRTM2|26045	41.5921
LRSAM1|90678	543.5445	LRSAM1|90678	391.3238
LRTOMT|220074	269.0286	LRTOMT|220074	173.6628
LRWD1|222229	248.4775	LRWD1|222229	153.3989
LSAMP|4045	7.9172	LSAMP|4045	23.2558
LSG1|55341	1021.3155	LSG1|55341	853.3095
LSM10|84967	398.9038	LSM10|84967	389.0877
LSM11|134353	338.3069	LSM11|134353	122.9875
LSM12|124801	1053.2887	LSM12|124801	700.3578
LSM14A|26065	3108.4044	LSM14A|26065	2775.0447
LSM14B|149986	1003.3496	LSM14B|149986	587.6565
LSM1|27257	618.1486	LSM1|27257	491.0555
LSM2|57819	575.5177	LSM2|57819	378.8014
LSM3|27258	794.4580000000001	LSM3|27258	648.0322
LSM4|25804	1133.9829	LSM4|25804	690.966
LSM5|23658	543.5445	LSM5|23658	435.1521
LSM6|11157	195.7978	LSM6|11157	267.8891
LSM7|51690	244.8234	LSM7|51690	157.424
LSMD1|84316	403.7759	LSMD1|84316	298.7478
LSP1|4046	1750.609	LSP1|4046	1708.8551
LSR|51599	1410.1705	LSR|51599	582.2898
LSS|4047	575.2132	LSS|4047	2148.4794
LST1|7940	230.8161	LST1|7940	96.1538
LTA4H|4048	1939.0987	LTA4H|4048	1556.3506
LTA|4049	14.6163	removed	removed
LTB4R2|56413	21.7692	LTB4R2|56413	45.7379
LTB4R|1241	48.0786	LTB4R|1241	105.7871
LTBP1|4052	3903.7759	LTBP1|4052	1467.7996
LTBP2|4053	16543.24	LTBP2|4053	9554.5617
LTBP3|4054	3012.3082	LTBP3|4054	3412.1467
LTBP4|8425	1042.9354	LTBP4|8425	5361.3596
LTBR|4055	1938.1851	LTBR|4055	1824.2397
LTB|4050	117.8441	LTB|4050	30.8587
LTC4S|4056	22.9842	LTC4S|4056	57.6565
LTF|4057	49637.637	LTF|4057	4637.2987
LTV1|84946	616.0171	LTV1|84946	704.3828
LUC7L2|51631	1948.4257	LUC7L2|51631	1746.4669
LUC7L3|51747	1940.9257	LUC7L3|51747	1471.3775
LUC7L|55692	626.6748	LUC7L|55692	411.8962
LUM|4060	83482.0341	LUM|4060	14600.6261
