gene_id	TCGA-BH-A0BA-01A-11R-A056-07	gene_id	TCGA-BH-A0BA-11A-22R-A19E-07
ADAMTS19|171019	74.7151	lowly_expressed	lowly_expressed
ADAMTS1|9510	3098.6205	ADAMTS1|9510	6870.3276
ADAMTS2|9509	423.9568	ADAMTS2|9509	563.4518
ADAMTS3|9508	36.6721	ADAMTS3|9508	108.4449
ADAMTS4|9507	338.2744	ADAMTS4|9507	250.5768
ADAMTS5|11096	442.4642	ADAMTS5|11096	2736.0406
ADAMTS6|11174	47.2967	ADAMTS6|11174	24.9192
ADAMTS7|11173	120.2982	ADAMTS7|11173	83.9871
ADAMTS8|11095	9.5964	ADAMTS8|11095	35.0715
ADAMTS9|56999	374.261	ADAMTS9|56999	688.048
ADAMTSL1|92949	93.5652	ADAMTSL1|92949	448.0849
ADAMTSL2|9719	171.0222	ADAMTSL2|9719	99.2155
ADAMTSL3|57188	110.7017	ADAMTSL3|57188	280.1108
ADAMTSL4|54507	129.2092	ADAMTSL4|54507	534.8408
ADAMTSL5|339366	34.273	ADAMTSL5|339366	29.0725
ADAP1|11033	43.6535	ADAP1|11033	141.209
ADAP2|55803	157.9985	ADAP2|55803	244.5778
ADARB1|104	550.0814	ADARB1|104	790.0323
ADARB2|105	8.5682	lowly_expressed	lowly_expressed
ADAR|103	10845.3432	ADAR|103	7548.6848
ADAT1|23536	307.7714	ADAT1|23536	294.4162
ADAT2|134637	61.3486	ADAT2|134637	107.0605
ADAT3|113179	78.4851	ADAT3|113179	31.3798
ADA|100	86.7107	ADA|100	113.9825
ADCK1|57143	197.7551	ADCK1|57143	127.365
ADCK2|90956	675.8633	ADCK2|90956	666.359
ADCK4|79934	457.5443	ADCK4|79934	442.0858
ADCK5|203054	116.5281	ADCK5|203054	64.144
ADCY10|55811	50.0386	lowly_expressed	lowly_expressed
ADCY1|107	122.0118	ADCY1|107	699.5847
ADCY2|108	1005.5694	ADCY2|108	128.288
ADCY3|109	558.3618	ADCY3|109	1508.5048
ADCY4|196883	283.4376	ADCY4|196883	386.7097
ADCY5|111	384.2002	ADCY5|111	533.4564
ADCY6|112	2568.7602	ADCY6|112	2186.4329
ADCY7|113	355.4108	ADCY7|113	649.2847
ADCY9|115	1450.7754	ADCY9|115	928.0111
ADCYAP1R1|117	11.6528	ADCYAP1R1|117	97.3696
ADCYAP1|116	118.9273	ADCYAP1|116	100.1384
ADC|113451	110.7017	ADC|113451	118.1357
ADD1|118	3365.2643	ADD1|118	6464.2363
ADD2|119	40.4421	ADD2|119	73.8348
ADD3|120	5865.4785	ADD3|120	3610.9829
ADH1A|124	44.2121	ADH1A|124	161.9751
ADH1B|125	3263.4736	ADH1B|125	20173.5118
ADH1C|126	241.6245	ADH1C|126	329.4878
ADH4|127	17.1365	ADH4|127	125.5192
ADH5|128	1439.1226	ADH5|128	3443.4702
ADHFE1|137872	171.3649	ADHFE1|137872	199.8154
ADI1|55256	1601.2338	ADI1|55256	1630.826
ADIPOQ|9370	2733.956	ADIPOQ|9370	21547.3004
ADIPOR1|51094	4268.7002	ADIPOR1|51094	2446.239
ADIPOR2|79602	2672.95	ADIPOR2|79602	2675.5884
ADK|132	249.5073	ADK|132	307.3373
ADM2|79924	125.0964	ADM2|79924	103.3687
ADM|133	129.2092	ADM|133	518.6894
ADNP2|22850	804.3869	ADNP2|22850	797.4158
ADNP|23394	3015.3372	ADNP|23394	2635.9022
ADORA1|134	175.1349	ADORA1|134	343.7933
ADORA2A|135	176.1563	ADORA2A|135	131.5182
ADORA2B|136	27.0757	ADORA2B|136	77.0651
ADORA3|140	99.0489	ADORA3|140	173.0503
ADO|84890	543.9123	ADO|84890	744.347
ADPGK|83440	1021.9073	ADPGK|83440	831.4167
ADPRHL1|113622	69.9169	ADPRHL1|113622	90.4476
ADPRHL2|54936	560.3633	ADPRHL2|54936	414.8593
ADPRH|141	196.7269	ADPRH|141	418.551
