gene_id	TCGA-E2-A1IG-01A-11R-A144-07	gene_id	TCGA-E2-A1IG-11A-22R-A144-07
ADAM28|10863	25.9846	ADAM28|10863	86.7266
ADAM29|11086	32.4807	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADAM32|203102	52.8821
ADAM33|80332	36.5408	ADAM33|80332	516.129
ADAM6|8755	3666.7925	ADAM6|8755	13251.8297
ADAM8|101	327.6492	ADAM8|101	49.7091
ADAM9|8754	1328.8672	ADAM9|8754	2258.5933
ADAMDEC1|27299	17.0524	ADAMDEC1|27299	14.807
ADAMTS10|81794	125.8628	ADAMTS10|81794	287.6785
ADAMTS12|81792	681.283	ADAMTS12|81792	446.3247
ADAMTS13|11093	106.3743	ADAMTS13|11093	62.9297
ADAMTS14|140766	317.905	lowly_expressed	lowly_expressed
ADAMTS15|170689	159.1555	ADAMTS15|170689	472.7657
ADAMTS16|170690	256.5976	ADAMTS16|170690	78.2655
ADAMTS17|170691	47.503	ADAMTS17|170691	33.3157
lowly_expressed	lowly_expressed	ADAMTS18|170692	50.7668
ADAMTS1|9510	959.8051	ADAMTS1|9510	10209.413
ADAMTS2|9509	1314.2509	ADAMTS2|9509	946.5891
ADAMTS3|9508	30.0447	ADAMTS3|9508	56.5838
ADAMTS4|9507	925.7004	ADAMTS4|9507	1314.6483
ADAMTS5|11096	362.972	ADAMTS5|11096	2729.7726
ADAMTS6|11174	181.486	ADAMTS6|11174	17.9799
ADAMTS7|11173	459.1961	ADAMTS7|11173	130.0899
lowly_expressed	lowly_expressed	ADAMTS8|11095	116.3406
ADAMTS9|56999	235.4852	ADAMTS9|56999	893.707
ADAMTSL1|92949	249.2895	ADAMTSL1|92949	356.954
ADAMTSL2|9719	330.8973	ADAMTSL2|9719	87.7842
ADAMTSL3|57188	186.3581	ADAMTSL3|57188	352.1946
ADAMTSL4|54507	170.9298	ADAMTSL4|54507	805.394
ADAMTSL5|339366	142.9151	ADAMTSL5|339366	13.7493
ADAP1|11033	56.9022	ADAP1|11033	94.2464
