gene_id	TCGA-GI-A2C9-01A-11R-A21T-07	gene_id	TCGA-GI-A2C9-11A-22R-A21T-07
ADAM12|8038	800.1336	ADAM12|8038	318.8037
ADAM15|8751	3207.3735	ADAM15|8751	2937.7092
ADAM17|6868	1123.0589	ADAM17|6868	1074.4512
ADAM19|8728	210.0518	ADAM19|8728	122.4944
ADAM21P1|145241	9.3505	removed	removed
ADAM21|8747	34.7303	ADAM21|8747	6.3633
ADAM22|53616	94.1726	ADAM22|53616	59.4973
ADAM23|8745	9.6844	ADAM23|8745	92.9049
ADAM28|10863	98.8479	ADAM28|10863	105.3134
ADAM32|203102	26.3817	ADAM32|203102	35.9529
ADAM33|80332	42.8853	ADAM33|80332	881.3045
ADAM6|8755	522.2408	ADAM6|8755	55627.7951
ADAM8|101	413.0907	ADAM8|101	104.0407
ADAM9|8754	3403.9072	ADAM9|8754	2187.4006
ADAMDEC1|27299	147.9379	ADAMDEC1|27299	22.2717
ADAMTS10|81794	446.1513	ADAMTS10|81794	225.2625
ADAMTS12|81792	107.8644	ADAMTS12|81792	115.1766
ADAMTS13|11093	42.4111	ADAMTS13|11093	82.7235
ADAMTS14|140766	73.1341	ADAMTS14|140766	10.4995
ADAMTS15|170689	20.7046	ADAMTS15|170689	157.811
ADAMTS16|170690	127.9012	ADAMTS16|170690	317.8492
ADAMTS17|170691	20.0367	ADAMTS17|170691	41.0436
ADAMTS18|170692	29.7212	ADAMTS18|170692	107.8587
ADAMTS19|171019	5.0092	ADAMTS19|171019	9.545
ADAMTS1|9510	1354.4832	ADAMTS1|9510	22968.1833
ADAMTS2|9509	344.9658	ADAMTS2|9509	529.4305
ADAMTS3|9508	58.4405	ADAMTS3|9508	138.721
ADAMTS4|9507	292.8703	ADAMTS4|9507	2234.1712
ADAMTS5|11096	212.0554	ADAMTS5|11096	2344.5752
ADAMTS6|11174	27.3835	ADAMTS6|11174	26.7261
ADAMTS7|11173	192.0187	ADAMTS7|11173	81.4508
removed	removed	ADAMTS8|11095	73.4967
ADAMTS9|56999	453.832	ADAMTS9|56999	953.2294
ADAMTSL1|92949	47.4203	ADAMTSL1|92949	169.5832
