gene_id	TCGA-AC-A2FM-01A-11R-A19W-07	gene_id	TCGA-AC-A2FM-11B-32R-A19W-07
lowly_expressed	lowly_expressed	AFP|174	38.7439
AFTPH|54812	1443.702	AFTPH|54812	969.0049
AG2|387763	320.4143	AG2|387763	1340.1305
AGAP11|119385	141.0825	AGAP11|119385	73.8173
AGAP1|116987	341.4634	AGAP1|116987	311.5824
AGAP2|116986	183.575	AGAP2|116986	110.7015
AGAP3|116988	2130.9723	AGAP3|116988	2700.2447
AGAP4|119016	177.0799	AGAP4|119016	176.1827
AGAP5|729092	69.873	AGAP5|729092	21.2847
AGAP6|414189	106.2479	AGAP6|414189	91.7618
AGAP7|653268	41.7641	AGAP7|653268	43.23
AGAP8|728404	38.423	AGAP8|728404	29.7716
AGA|175	583.3612	AGA|175	608.4829
AGBL2|79841	90.2105	AGBL2|79841	9.7879
AGBL3|340351	6.014	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AGBL4|84871	14.6819
AGBL5|60509	568.002	AGBL5|60509	1010.6321
AGER|177	61.4768	AGER|177	94.6166
AGFG1|3267	957.2335	AGFG1|3267	998.3687
AGFG2|3268	579.0177	AGFG2|3268	741.4356
AGGF1|55109	1183.0939	AGGF1|55109	501.2235
AGK|55750	512.5292	AGK|55750	417.6183
AGL|178	711.6605	AGL|178	533.0343
AGMAT|79814	7.3505	AGMAT|79814	16.3132
AGPAT1|10554	1943.9592	AGPAT1|10554	2258.7357
AGPAT2|10555	1535.2489	AGPAT2|10555	4508.9723
AGPAT3|56894	3572.3354	AGPAT3|56894	1804.2414
AGPAT4|56895	47.1099	AGPAT4|56895	185.5628
AGPAT5|55326	1506.8493	AGPAT5|55326	546.4927
AGPAT6|137964	5647.845	AGPAT6|137964	2417.6183
AGPAT9|84803	28.0655	AGPAT9|84803	102.3654
AGPHD1|123688	25.0585	AGPHD1|123688	54.6493
AGPS|8540	142.6662	AGPS|8540	471.044
AGR2|10551	86309.7227	AGR2|10551	7591.7618
AGR3|155465	4260.9422	AGR3|155465	975.938
AGRN|375790	3187.7715	AGRN|375790	7884.9918
AGTPBP1|23287	273.6385	AGTPBP1|23287	199.8369
AGTR1|185	4993.986	AGTR1|185	140.2936
AGTRAP|57085	868.6936	AGTRAP|57085	2218.1892
AGT|183	26.729	AGT|183	211.2561
AGXT2L2|85007	383.1106	AGXT2L2|85007	677.7692
AHCTF1|25909	1300.3675	AHCTF1|25909	559.5432
AHCYL1|10768	2618.1089	AHCYL1|10768	2825.0408
AHCYL2|23382	1228.1991	AHCYL2|23382	320.1468
AHCY|191	4663.2142	AHCY|191	3927.814
AHDC1|27245	532.576	AHDC1|27245	1272.8385
AHI1|54806	309.7227	AHI1|54806	203.5073
AHNAK2|113146	272.302	AHNAK2|113146	587.6835
AHNAK|79026	29320.7484	AHNAK|79026	27114.1925
AHRR|57491	103.575	AHRR|57491	11.8271
AHR|196	940.862	AHR|196	1419.2496
AHSA1|10598	2837.287	AHSA1|10598	2047.3083
AHSA2|130872	331.44	AHSA2|130872	405.7912
AIDA|64853	1016.3916	AIDA|64853	1011.8271
AIF1L|83543	389.5757	AIF1L|83543	1105.2202
AIF1|199	128.9676	AIF1|199	729.6085
AIFM1|9131	1140.3274	AIFM1|9131	858.8907
AIFM2|84883	218.844	AIFM2|84883	1087.6835
AIFM3|150209	45.4394	AIFM3|150209	34.7227
AIG1|51390	503.8423	AIG1|51390	1042.0065
AIM1|202	1039.7594	AIM1|202	2854.8124
AIMP1|9255	1399.0378	AIMP1|9255	1060.2569
AIMP2|7965	440.6883	AIMP2|7965	527.8752
