gene_id	TCGA-A7-A0CH-01A-21R-A00Z-07	gene_id	TCGA-A7-A0CH-11A-32R-A089-07
AHR|196	3108.7269	AHR|196	1653.7847
AHSA1|10598	1439.6616	AHSA1|10598	1574.4241
AHSA2|130872	292.2064	AHSA2|130872	382.8867
AIDA|64853	1331.9901	AIDA|64853	1489.7978
AIF1L|83543	126.4774	AIF1L|83543	1795.2045
AIF1|199	197.5664	AIF1|199	684.9083
AIFM1|9131	1130.4462	AIFM1|9131	1013.6342
AIFM2|84883	301.3651	AIFM2|84883	2474.8472
AIFM3|150209	38.3488	AIFM3|150209	20.7842
AIG1|51390	460.5521	AIG1|51390	1306.2529
AIM1L|55057	68.0361	AIM1L|55057	5.2656
AIM1|202	2933.8392	AIM1|202	2524.4946
lowly_expressed	lowly_expressed	AIM2|9447	36.8594
AIMP1|9255	1118.6402	AIMP1|9255	833.008
AIMP2|7965	293.1397	AIMP2|7965	391.2177
AIP|9049	639.365	AIP|9049	1089.9859
AJAP1|55966	9.1587	AJAP1|55966	5.6417
AK1|203	882.7249	AK1|203	1061.401
AK2|204	2154.0407	AK2|204	2171.3211
AK3L1|205	215.4477	AK3L1|205	314.4335
AK3|50808	1066.7713	AK3|50808	1983.2628
AK5|26289	952.9417	AK5|26289	1234.4147
AK7|122481	39.6877	AK7|122481	45.134
AKAP10|11216	470.5831	AKAP10|11216	339.6333
AKAP11|11215	2206.3762	AKAP11|11215	1085.0964
AKAP12|9590	356.7535	AKAP12|9590	4303.9022
AKAP13|11214	2892.8431	AKAP13|11214	2685.8486
AKAP1|8165	1148.7636	AKAP1|8165	2126.9394
AKAP2|11217	252.2831	AKAP2|11217	1866.7419
AKAP3|10566	20.0619	AKAP3|10566	32.7221
AKAP5|9495	661.1714	AKAP5|9495	51.528
AKAP6|9472	10.9032	AKAP6|9472	59.4264
AKAP7|9465	105.9793	AKAP7|9465	194.8284
AKAP8L|26993	812.072	AKAP8L|26993	742.4542
AKAP8|10270	627.5895	AKAP8|10270	505.1246
AKAP9|10142	5022.8968	AKAP9|10142	1121.9558
AKD1|221264	170.0903	AKD1|221264	79.3606
AKIRIN1|79647	1382.5287	AKIRIN1|79647	1243.8176
AKIRIN2|55122	450.085	AKIRIN2|55122	1015.1387
lowly_expressed	lowly_expressed	AKNAD1|254268	8.2746
AKNA|80709	446.596	AKNA|80709	1011.7536
AKR1A1|10327	1876.2266	AKR1A1|10327	2693.7471
lowly_expressed	lowly_expressed	AKR1B10|57016	394.1702
