gene_id	TCGA-BH-A1FJ-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FJ-11B-42R-A13Q-07
lowly_expressed	lowly_expressed	ACSBG1|23205	12.4372
ACSF2|80221	953.3847	ACSF2|80221	401.1646
ACSF3|197322	322.8577	ACSF3|197322	113.5222
ACSL1|2180	1619.1969	ACSL1|2180	6056.6327
ACSL3|2181	3592.883	ACSL3|2181	3081.5051
ACSL4|2182	234.5081	ACSL4|2182	2770.3114
ACSL5|51703	82.0779	ACSL5|51703	968.7754
ACSL6|23305	8.1805	lowly_expressed	lowly_expressed
ACSM1|116285	11.18	ACSM1|116285	11.3787
ACSM3|6296	5.6227	ACSM3|6296	102.8183
ACSM5|54988	7.0898	ACSM5|54988	115.6391
ACSS1|84532	552.7302	ACSS1|84532	409.3678
ACSS2|55902	452.1099	ACSS2|55902	1101.0857
ACSS3|79611	376.0311	lowly_expressed	lowly_expressed
ACTA1|58	737.0646	ACTA1|58	35.7238
ACTA2|59	3108.3509	ACTA2|59	17888.395
ACTBL2|345651	8.4532	ACTBL2|345651	49.7486
ACTB|60	67780.7622	ACTB|60	84882.0355
ACTC1|70	38.9938	ACTC1|70	6.0863
ACTG1|71	75643.0568	ACTG1|71	53424.4863
ACTG2|72	113.9819	ACTG2|72	3681.6643
ACTL6A|86	1195.9915	ACTL6A|86	981.4772
ACTN1|87	3960.7335	ACTN1|87	4456.4729
ACTN4|81	5633.7283	ACTN4|81	4784.0492
ACTR10|55860	1380.0532	ACTR10|55860	1856.3124
ACTR1A|10121	2226.464	ACTR1A|10121	1942.5787
ACTR1B|10120	892.4944	ACTR1B|10120	538.238
ACTR2|10097	5901.4248	ACTR2|10097	8344.2765
ACTR3B|57180	103.3472	ACTR3B|57180	113.5222
ACTR3C|653857	32.9948	ACTR3C|653857	40.2223
ACTR3|10096	4643.2613	ACTR3|10096	4887.275
ACTR5|79913	237.7804	ACTR5|79913	134.9564
ACTR6|64431	824.0507	ACTR6|64431	1000.7945
ACTR8|93973	663.9853	ACTR8|93973	485.0493
ACVR1B|91	1019.5651	ACVR1B|91	972.4801
lowly_expressed	lowly_expressed	ACVR1C|130399	620.7996
ACVR1|90	939.9414	ACVR1|90	1252.9778
ACVR2A|92	109.3462	ACVR2A|92	588.2512
ACVR2B|93	293.4079	ACVR2B|93	223.8689
ACVRL1|94	185.1524	ACVRL1|94	598.3068
ACY1|95	978.9297	ACY1|95	232.4902
lowly_expressed	lowly_expressed	ACY3|91703	9.2617
ACYP1|97	121.617	ACYP1|97	69.3306
ACYP2|98	224.1462	ACYP2|98	235.2476
ADAL|161823	432.204	ADAL|161823	301.4027
ADAM10|102	1349.2399	ADAM10|102	2577.1385
ADAM11|4185	8.4532	lowly_expressed	lowly_expressed
ADAM12|8038	585.725	ADAM12|8038	423.3927
ADAM15|8751	4571.1146	ADAM15|8751	1444.0338
ADAM17|6868	693.1625	ADAM17|6868	1164.33
ADAM19|8728	176.1538	ADAM19|8728	125.4301
ADAM21|8747	6.8171	lowly_expressed	lowly_expressed
ADAM22|53616	64.8988	ADAM22|53616	120.6669
ADAM23|8745	5.181	ADAM23|8745	40.7515
ADAM28|10863	151.3396	ADAM28|10863	146.3351
lowly_expressed	lowly_expressed	ADAM32|203102	71.9768
ADAM33|80332	10.6347	ADAM33|80332	507.624
ADAM6|8755	2164.3984	ADAM6|8755	28166.8485
ADAM8|101	269.6844	ADAM8|101	29.3729
ADAM9|8754	3459.5405	ADAM9|8754	3458.8538
ADAMDEC1|27299	36.267	ADAMDEC1|27299	42.3393
ADAMTS10|81794	24.5416	ADAMTS10|81794	39.4284
ADAMTS12|81792	201.5134	ADAMTS12|81792	90.5002
ADAMTS13|11093	58.627	ADAMTS13|11093	10.8494
ADAMTS14|140766	64.3534	lowly_expressed	lowly_expressed
ADAMTS15|170689	458.3816	ADAMTS15|170689	73.0352
ADAMTS16|170690	75.2608	ADAMTS16|170690	503.0435
ADAMTS17|170691	40.6299	ADAMTS17|170691	31.4898
lowly_expressed	lowly_expressed	ADAMTS18|170692	21.6989
lowly_expressed	lowly_expressed	ADAMTS19|171019	7.1448
ADAMTS1|9510	269.4117	ADAMTS1|9510	6559.147
ADAMTS2|9509	203.9676	ADAMTS2|9509	367.8224
ADAMTS3|9508	16.0883	ADAMTS3|9508	269.3836
ADAMTS4|9507	448.2923	ADAMTS4|9507	384.2289
ADAMTS5|11096	140.1595	ADAMTS5|11096	3328.1313
ADAMTS6|11174	40.3572	ADAMTS6|11174	54.5118
ADAMTS7|11173	101.1657	ADAMTS7|11173	16.9357
ADAMTS8|11095	5.7264	ADAMTS8|11095	10.5848
ADAMTS9|56999	105.5287	ADAMTS9|56999	391.6383
ADAMTSL1|92949	69.5344	ADAMTSL1|92949	383.435
ADAMTSL2|9719	85.8954	ADAMTSL2|9719	11.9079
ADAMTSL3|57188	43.9021	ADAMTSL3|57188	305.1074
ADAMTSL4|54507	40.3572	ADAMTSL4|54507	697.8041
ADAMTSL5|339366	144.5225	ADAMTSL5|339366	56.6288
ADAP1|11033	142.1228	ADAP1|11033	41.8286
ADAP2|55803	144.2498	ADAP2|55803	346.6528
ADARB1|104	181.6075	ADARB1|104	617.6241
ADAR|103	21198.4457	ADAR|103	7225.1966
ADAT1|23536	653.3506	ADAT1|23536	337.6557
ADAT2|134637	26.723	ADAT2|134637	188.6744
ADAT3|113179	27.5411	ADAT3|113179	10.3202
ADA|100	39.2665	ADA|100	84.4139
ADCK1|57143	134.7058	ADCK1|57143	105.0543
ADCK2|90956	1066.2758	ADCK2|90956	369.1852
ADCK4|79934	489.4676	ADCK4|79934	209.0502
ADCK5|203054	107.9828	ADCK5|203054	8.2032
ADCY10|55811	45.5382	lowly_expressed	lowly_expressed
ADCY1|107	71.7159	ADCY1|107	354.5914
ADCY2|108	304.5879	ADCY2|108	178.0896
ADCY3|109	570.2011	ADCY3|109	882.8717
ADCY4|196883	94.894	ADCY4|196883	447.4732
lowly_expressed	lowly_expressed	ADCY5|111	171.7387
ADCY6|112	1069.7389	ADCY6|112	1074.8882
ADCY7|113	162.2469	ADCY7|113	518.6561
lowly_expressed	lowly_expressed	ADCY8|114	6.0863
ADCY9|115	810.6892	ADCY9|115	632.1782
lowly_expressed	lowly_expressed	ADCYAP1R1|117	13.231
ADCYAP1|116	28.3591	ADCYAP1|116	7.9386
ADC|113451	101.9838	ADC|113451	71.1829
ADD1|118	4417.2064	ADD1|118	5099.5006
ADD2|119	7.9078	ADD2|119	58.7457
ADD3|120	226.3276	ADD3|120	6290.5572
lowly_expressed	lowly_expressed	ADH1A|124	53.9826
ADH1B|125	11.18	ADH1B|125	16291.6223
ADH1C|126	6.5444	ADH1C|126	440.8577
lowly_expressed	lowly_expressed	ADH4|127	186.0282
ADH5|128	1975.8675	ADH5|128	3497.2238
ADHFE1|137872	60.2631	ADHFE1|137872	136.0149
ADI1|55256	853.2279	ADI1|55256	1625.2988
ADIPOQ|9370	14.7249	ADIPOQ|9370	11775.3452
ADIPOR1|51094	8756.4251	ADIPOR1|51094	2577.6678
ADIPOR2|79602	1389.5971	ADIPOR2|79602	2694.63
ADK|132	787.5111	ADK|132	484.7847
ADM2|79924	307.5874	ADM2|79924	25.4036
ADM|133	20.1786	ADM|133	377.0841
ADNP2|22850	925.4891	ADNP2|22850	1029.1089
ADNP|23394	4152.4303	ADNP|23394	3303.5216
ADORA1|134	489.4676	ADORA1|134	156.9199
ADORA2A|135	35.7216	ADORA2A|135	32.5483
ADORA2B|136	65.9895	ADORA2B|136	130.7225
ADORA3|140	90.5311	ADORA3|140	151.3629
ADO|84890	645.4428	ADO|84890	938.0795
ADPGK|83440	1095.1667	ADPGK|83440	936.5156
ADPRHL1|113622	241.8706	ADPRHL1|113622	96.8511
ADPRHL2|54936	732.1562	ADPRHL2|54936	309.0767
ADPRH|141	88.0769	ADPRH|141	554.6445
lowly_expressed	lowly_expressed	ADRA1A|148	32.0191
ADRA1B|147	14.1796	ADRA1B|147	36.7822
lowly_expressed	lowly_expressed	ADRA1D|146	5.0278
ADRA2A|150	1468.4028	ADRA2A|150	866.3673
ADRA2B|151	13.0888	ADRA2B|151	196.8776
ADRA2C|152	6.2717	ADRA2C|152	38.8992
ADRB1|153	49.3558	ADRB1|153	24.6097
ADRB2|154	85.6227	ADRB2|154	331.0402
ADRBK1|156	1347.6038	ADRBK1|156	652.2894
ADRBK2|157	659.6223	ADRBK2|157	1549.3527
ADRM1|11047	917.3086	ADRM1|11047	280.7623
ADSL|158	764.8783	ADSL|158	639.8522
ADSSL1|122622	115.0726	ADSSL1|122622	47.6317
ADSS|159	6134.0241	ADSS|159	2160.3613
