gene_id	TCGA-BH-A0BT-01A-11R-A12P-07	gene_id	TCGA-BH-A0BT-11A-21R-A12P-07
ACYP1|97	80.5298	ACYP1|97	59.8132
ACYP2|98	62.8899	ACYP2|98	186.6655
ADAL|161823	148.7884	ADAL|161823	244.4715
ADAM10|102	549.9036	ADAM10|102	1989.894
ADAM11|4185	12.2712	ADAM11|4185	15.2544
ADAM12|8038	1619.7996	ADAM12|8038	143.7123
ADAM15|8751	7837.51	ADAM15|8751	2394.1351
ADAM17|6868	446.3652	ADAM17|6868	979.0905
ADAM19|8728	332.8565	ADAM19|8728	80.6877
ADAM21|8747	6.1356	ADAM21|8747	5.62
ADAM22|53616	13.8051	ADAM22|53616	34.5231
ADAM23|8745	26.0763	ADAM23|8745	14.0501
ADAM28|10863	42.5658	ADAM28|10863	135.2823
lowly_expressed	lowly_expressed	ADAM29|11086	6.4229
lowly_expressed	lowly_expressed	ADAM32|203102	7.6272
ADAM33|80332	57.9048	ADAM33|80332	199.5113
ADAM6|8755	3641.3279	ADAM6|8755	12889.206
ADAM8|101	175.2482	ADAM8|101	63.8275
ADAM9|8754	1445.7018	ADAM9|8754	1975.8439
ADAMDEC1|27299	57.5213	ADAMDEC1|27299	16.4587
ADAMTS10|81794	47.5509	ADAMTS10|81794	48.1717
ADAMTS12|81792	67.8751	ADAMTS12|81792	28.1002
ADAMTS13|11093	47.1675	ADAMTS13|11093	65.4333
ADAMTS14|140766	121.9451	lowly_expressed	lowly_expressed
ADAMTS15|170689	61.7395	ADAMTS15|170689	448.8
ADAMTS16|170690	124.246	ADAMTS16|170690	16.4587
ADAMTS17|170691	13.0382	ADAMTS17|170691	40.1431
ADAMTS18|170692	16.106	ADAMTS18|170692	42.5517
ADAMTS1|9510	372.3545	ADAMTS1|9510	2823.2649
ADAMTS2|9509	271.117	ADAMTS2|9509	213.1599
ADAMTS3|9508	31.445	ADAMTS3|9508	75.8705
ADAMTS4|9507	691.0225	ADAMTS4|9507	144.1138
ADAMTS5|11096	105.0722	ADAMTS5|11096	1837.3502
ADAMTS6|11174	62.5065	ADAMTS6|11174	14.4515
ADAMTS7|11173	99.3201	ADAMTS7|11173	21.2758
