gene_id	TCGA-BH-A18M-01A-11R-A12D-07	gene_id	TCGA-BH-A18M-11A-33R-A12D-07
ADCK1|57143	149.1287	ADCK1|57143	133.9797
ADCK2|90956	821.31	ADCK2|90956	671.7717
ADCK4|79934	664.1004	ADCK4|79934	470.2512
ADCK5|203054	222.2239	ADCK5|203054	81.5337
ADCY1|107	2004.0551	ADCY1|107	1009.2552
ADCY2|108	191.7369	ADCY2|108	89.026
ADCY3|109	978.4204	ADCY3|109	1797.532
ADCY4|196883	181.0849	ADCY4|196883	603.7902
ADCY5|111	86.3184	ADCY5|111	475.5399
ADCY6|112	1689.6359	ADCY6|112	3239.3125
ADCY7|113	666.6716	ADCY7|113	660.2027
ADCY9|115	1494.9605	ADCY9|115	1207.1397
lowly_expressed	lowly_expressed	ADCYAP1R1|117	20.714
ADCYAP1|116	57.668	ADCYAP1|116	140.5906
ADC|113451	245.3645	ADC|113451	148.5236
ADD1|118	5567.7177	ADD1|118	6626.7078
ADD2|119	23.8753	ADD2|119	63.0234
ADD3|120	1368.6051	ADD3|120	3018.9511
ADH1A|124	35.6293	ADH1A|124	151.6086
ADH1B|125	3811.5982	ADH1B|125	18136.1833
ADH1C|126	91.4607	ADH1C|126	323.4905
lowly_expressed	lowly_expressed	ADH4|127	11.0181
ADH5|128	2224.8097	ADH5|128	3103.5699
ADHFE1|137872	68.6874	ADHFE1|137872	257.3821
ADI1|55256	947.2981	ADI1|55256	1443.3671
ADIPOQ|9370	2462.828	ADIPOQ|9370	21872.6311
ADIPOR1|51094	3934.6478	ADIPOR1|51094	2209.784
ADIPOR2|79602	4847.0512	ADIPOR2|79602	2984.5747
ADK|132	473.0981	ADK|132	286.9105
ADM2|79924	47.016	ADM2|79924	80.2115
ADM|133	421.307	ADM|133	452.6223
ADNP2|22850	842.2468	ADNP2|22850	718.8189
ADNP|23394	3283.4034	ADNP|23394	2828.9996
ADORA1|134	94.7665	ADORA1|134	167.0339
ADORA2A|135	325.4386	ADORA2A|135	106.6329
ADORA2B|136	33.7927	ADORA2B|136	66.9899
ADORA3|140	183.6561	ADORA3|140	78.0079
ADO|84890	647.5713	ADO|84890	666.8136
ADPGK|83440	936.1722	ADPGK|83440	841.4764
ADPRHL1|113622	102.4801	ADPRHL1|113622	64.3455
ADPRHL2|54936	628.4711	ADPRHL2|54936	526.6637
ADPRH|141	317.3577	ADPRH|141	424.8568
ADRA1A|148	6.2443	ADRA1A|148	120.3173
ADRA1B|147	5.877	ADRA1B|147	27.7655
ADRA1D|146	8.0809	ADRA1D|146	17.6289
ADRA2A|150	647.5713	ADRA2A|150	1221.2428
ADRA2B|151	11.3867	ADRA2B|151	33.9357
ADRA2C|152	105.7859	ADRA2C|152	90.7889
ADRB1|153	8.4482	ADRB1|153	38.3429
ADRB2|154	58.4026	ADRB2|154	323.9312
ADRBK1|156	1818.5625	ADRBK1|156	1708.2415
ADRBK2|157	715.8914	ADRBK2|157	1983.6933
ADRM1|11047	1112.9558	ADRM1|11047	1062.1419
ADSL|158	714.7895	ADSL|158	603.3495
ADSSL1|122622	157.5769	ADSSL1|122622	171.8819
ADSS|159	2755.9431	ADSS|159	1173.6448
AEBP1|165	19008.4041	AEBP1|165	12348.6117
AEBP2|121536	671.4466	AEBP2|121536	816.6593
AEN|64782	537.3777	AEN|64782	620.9784
AES|166	5468.5434	AES|166	5226.9722
AFAP1L1|134265	224.4277	AFAP1L1|134265	647.4218
AFAP1L2|84632	513.5024	AFAP1L2|84632	1109.74
AFAP1|60312	1271.9836	AFAP1|60312	1462.7457
AFF1|4299	2764.024	AFF1|4299	3163.9489
AFF2|2334	28.283	AFF2|2334	176.7298
AFF3|3899	2920.499	AFF3|3899	2042.7501
AFF4|27125	4916.8405	AFF4|27125	4016.3067
AFG3L1|172	156.475	AFG3L1|172	243.7197
AFG3L2|10939	1604.7648	AFG3L2|10939	1158.4046
AFMID|125061	570.4358	AFMID|125061	396.2098
AFP|174	13.5905	AFP|174	28.2063
AFTPH|54812	1838.03	AFTPH|54812	1588.8056
AG2|387763	210.8372	AG2|387763	1040.9872
AGAP11|119385	40.408	AGAP11|119385	203.5875
AGAP1|116987	523.0525	AGAP1|116987	472.8955
AGAP2|116986	69.4036	AGAP2|116986	134.4998
AGAP3|116988	908.7303	AGAP3|116988	1502.8647
AGAP4|119016	130.0285	AGAP4|119016	242.8383
AGAP5|729092	45.2051	AGAP5|729092	61.1238
AGAP6|414189	60.2392	AGAP6|414189	115.0286
AGAP7|653268	10.6521	AGAP7|653268	9.6959
AGAP8|728404	21.6714	AGAP8|728404	29.5284
AGA|175	474.9346	AGA|175	360.952
AGBL2|79841	27.1811	AGBL2|79841	17.6289
AGBL3|340351	11.3867	AGBL3|340351	8.8145
AGBL4|84871	8.0809	AGBL4|84871	5.2887
AGBL5|60509	582.9317	AGBL5|60509	654.9185
AGER|177	17.631	AGER|177	52.0053
AGFG1|3267	1551.1592	AGFG1|3267	1856.3244
AGFG2|3268	372.8218	AGFG2|3268	546.0555
AGGF1|55109	1241.5151	AGGF1|55109	953.2834
AGK|55750	501.0138	AGK|55750	444.2486
AGL|178	14063.2805	AGL|178	1408.1093
AGMAT|79814	20.9368	AGMAT|79814	10.5773
AGPAT1|10554	2197.1658	AGPAT1|10554	1701.9877
AGPAT2|10555	1014.8835	AGPAT2|10555	3297.4879
AGPAT3|56894	2341.615	AGPAT3|56894	2003.0851
AGPAT4|56895	202.7563	AGPAT4|56895	341.5602
AGPAT5|55326	771.7228	AGPAT5|55326	611.7232
AGPAT6|137964	1288.531	AGPAT6|137964	1764.654
AGPAT9|84803	61.7084	AGPAT9|84803	147.2014
AGPHD1|123688	36.7312	AGPHD1|123688	48.0388
AGPS|8540	1265.3904	AGPS|8540	1053.7682
AGR2|10551	5743.6602	AGR2|10551	2419.1274
AGR3|155465	1903.7789	AGR3|155465	789.3345
AGRN|375790	6842.6582	AGRN|375790	3722.7854
AGTPBP1|23287	227.3662	AGTPBP1|23287	367.1221
AGTR1|185	346.7427	AGTR1|185	378.1401
AGTRAP|57085	1075.8573	AGTRAP|57085	627.5892
AGT|183	806.9848	AGT|183	345.5267
AGXT2L2|85007	241.7391	AGXT2L2|85007	482.2697
lowly_expressed	lowly_expressed	AGXT|189	7.4923
AHCTF1|25909	2493.6822	AHCTF1|25909	1770.3834
AHCYL1|10768	4254.2094	AHCYL1|10768	3888.4971
AHCYL2|23382	481.1789	AHCYL2|23382	578.2283
AHCY|191	4260.821	AHCY|191	2110.6214
AHDC1|27245	954.6443	AHDC1|27245	937.8581
AHI1|54806	372.8218	AHI1|54806	461.4368
AHNAK2|113146	1826.6434	AHNAK2|113146	1619.6562
AHNAK|79026	63445.4615	AHNAK|79026	104773.4685
AHRR|57491	140.6806	AHRR|57491	36.1393
AHR|196	3002.0423	AHR|196	4246.364
AHSA1|10598	1745.1001	AHSA1|10598	1389.1582
AHSA2|130872	260.7916	AHSA2|130872	634.2001
AIDA|64853	1285.4273	AIDA|64853	1209.3698
AIF1L|83543	729.8493	AIF1L|83543	1433.6712
AIF1|199	276.2187	AIF1|199	335.39
AIFM1|9131	946.1961	AIFM1|9131	725.4297
AIFM2|84883	425.7148	AIFM2|84883	1379.903
lowly_expressed	lowly_expressed	AIFM3|150209	7.4923
AIG1|51390	793.7616	AIG1|51390	699.8678
AIM1L|55057	9.5501	lowly_expressed	lowly_expressed
AIM1|202	1492.7566	AIM1|202	2616.1305
lowly_expressed	lowly_expressed	AIM2|9447	7.0516
AIMP1|9255	1143.2628	AIMP1|9255	865.5355
AIMP2|7965	471.6766	AIMP2|7965	244.1075
AIP|9049	716.2587	AIP|9049	742.6179
lowly_expressed	lowly_expressed	AJAP1|55966	16.7475
AK1|203	478.2404	AK1|203	509.9163
AK2|204	2566.41	AK2|204	1834.2662
AK3L1|205	276.9534	AK3L1|205	445.5707
AK3|50808	976.683	AK3|50808	1840.0176
AK5|26289	156.8423	AK5|26289	903.9224
AK7|122481	22.406	AK7|122481	41.4279
AKAP10|11216	633.2462	AKAP10|11216	598.0608
AKAP11|11215	1882.1075	AKAP11|11215	2258.7043
AKAP12|9590	1652.9047	AKAP12|9590	4953.7241
AKAP13|11214	3619.1267	AKAP13|11214	4262.6708
AKAP1|8165	1903.4116	AKAP1|8165	2383.8695
AKAP2|11217	715.3074	AKAP2|11217	2058.0035
AKAP3|10566	48.1179	AKAP3|10566	50.2424
AKAP5|9495	288.34	AKAP5|9495	88.5853
AKAP6|9472	69.0547	AKAP6|9472	192.1551
AKAP7|9465	176.6771	AKAP7|9465	243.279
AKAP8L|26993	580.7205	AKAP8L|26993	739.0921
AKAP8|10270	621.1249	AKAP8|10270	612.1639
AKAP9|10142	3973.9502	AKAP9|10142	2677.8316
AKD1|221264	216.3469	AKD1|221264	166.1525
AKIRIN1|79647	1293.3061	AKIRIN1|79647	1593.6536
AKIRIN2|55122	768.7843	AKIRIN2|55122	746.5844
AKNA|80709	646.4694	AKNA|80709	869.1053
AKR1A1|10327	2249.4196	AKR1A1|10327	1316.439
AKR1B1|231	507.6254	AKR1B1|231	860.2909
AKR1C1|1645	292.7478	AKR1C1|1645	3479.5064
AKR1C2|1646	250.8742	AKR1C2|1646	2975.3195
AKR1C3|8644	456.9363	AKR1C3|8644	2529.3081
AKR1E2|83592	49.5871	AKR1E2|83592	22.9176
AKR7A2|8574	979.2542	AKR7A2|8574	851.9171
AKR7A3|22977	178.1464	AKR7A3|22977	54.6496
AKR7L|246181	25.3445	AKR7L|246181	14.9846
AKT1S1|84335	941.7884	AKT1S1|84335	752.3138
AKT1|207	3736.6666	AKT1|207	3123.8431
AKT2|208	1977.976	AKT2|208	2870.4275
AKT3|10000	662.9984	AKT3|10000	1402.3799
AKTIP|64400	1018.2187	AKTIP|64400	729.7708
ALAD|210	1691.1052	ALAD|210	2133.0983
ALAS1|211	809.556	ALAS1|211	940.5024
ALB|213	122.6823	ALB|213	51.5646
ALCAM|214	2754.8412	ALCAM|214	2802.5562
ALDH16A1|126133	510.9312	ALDH16A1|126133	444.2486
ALDH18A1|5832	2611.2221	ALDH18A1|5832	1420.4495
ALDH1A1|216	734.6243	ALDH1A1|216	4083.7373
ALDH1A2|8854	35.9966	ALDH1A2|8854	369.3257
ALDH1A3|220	482.5563	ALDH1A3|220	1019.9383
ALDH1B1|219	1245.1882	ALDH1B1|219	606.8753
ALDH1L1|10840	60.9738	ALDH1L1|10840	792.4196
ALDH1L2|160428	614.5132	ALDH1L2|160428	452.1816
ALDH2|217	2582.9391	ALDH2|217	8929.0436
ALDH3A1|218	7.3462	ALDH3A1|218	66.1084
ALDH3A2|224	1953.366	ALDH3A2|224	2951.9612
ALDH3B1|221	236.549	ALDH3B1|221	187.3072
ALDH3B2|222	940.3191	ALDH3B2|222	911.4147
ALDH4A1|8659	966.0310000000001	ALDH4A1|8659	1315.9982
ALDH5A1|7915	442.6111	ALDH5A1|7915	617.4526
ALDH6A1|4329	566.8875	ALDH6A1|4329	570.4716
ALDH7A1|501	2458.053	ALDH7A1|501	2205.8175
ALDH8A1|64577	16.529	ALDH8A1|64577	20.714000000000002
ALDH9A1|223	2543.2694	ALDH9A1|223	3355.6633
ALDOA|226	30688.9307	ALDOA|226	14925.9586
ALDOC|230	133.3343	ALDOC|230	1938.7395
ALG10B|144245	258.2204	ALG10B|144245	353.9004
ALG10|84920	91.0934	ALG10|84920	99.1626
ALG11|440138	22.0387	ALG11|440138	12.3402
ALG12|79087	393.024	ALG12|79087	385.1917
ALG13|79868	465.0172	ALG13|79868	473.777
ALG14|199857	186.9619	ALG14|199857	172.3226
ALG1|56052	785.0048	ALG1|56052	397.2234
ALG2|85365	644.2655	ALG2|85365	729.3962
ALG3|10195	604.5958	ALG3|10195	367.1221
ALG5|29880	512.0331	ALG5|29880	460.996
ALG6|29929	375.39300000000003	ALG6|29929	249.0084
ALG8|79053	1296.2446	ALG8|79053	669.0172
ALG9|79796	384.2085	ALG9|79796	622.7413
ALKBH1|8846	252.7108	ALKBH1|8846	215.9542
ALKBH2|121642	276.5861	ALKBH2|121642	211.5469
ALKBH3|221120	327.2751	ALKBH3|221120	291.7585
ALKBH4|54784	187.3365	ALKBH4|54784	178.5897
ALKBH5|54890	2241.6436	ALKBH5|54890	2196.4654
ALKBH6|84964	60.2392	ALKBH6|84964	65.227
ALKBH7|84266	382.37199999999996	ALKBH7|84266	304.5394
ALKBH8|91801	203.8582	ALKBH8|91801	208.0212
