gene_id	TCGA-BH-A0B5-01A-11R-A12P-07	gene_id	TCGA-BH-A0B5-11A-23R-A12P-07
ACSS2|55902	551.3676	ACSS2|55902	13339.2548
ACSS3|79611	170.447	ACSS3|79611	1956.2392
ACTA1|58	10.0067	lowly_expressed	lowly_expressed
ACTA2|59	8156.0207	ACTA2|59	7713.2149
ACTB|60	87707.1381	ACTB|60	80753.0329
lowly_expressed	lowly_expressed	ACTC1|70	8.6655
ACTG1|71	65965.9773	ACTG1|71	25467.0711
ACTG2|72	242.1614	ACTG2|72	217.0711
ACTL6A|86	1362.5751	lowly_expressed	lowly_expressed
ACTN1|87	5802.535	ACTN1|87	9551.5598
ACTN4|81	11581.6544	ACTN4|81	7646.3821
ACTR10|55860	824.5497	ACTR10|55860	1465.338
ACTR1A|10121	2584.7231	ACTR1A|10121	4142.1144
ACTR1B|10120	1565.0434	ACTR1B|10120	1221.4038
ACTR2|10097	6226.4843	ACTR2|10097	5809.3588
ACTR3B|57180	146.0974	ACTR3B|57180	97.0537
ACTR3C|653857	18.3456	ACTR3C|653857	22.5303
ACTR3|10096	3310.5404	ACTR3|10096	2804.5927
ACTR5|79913	209.8065	ACTR5|79913	118.7175
ACTR6|64431	768.8459	ACTR6|64431	531.1958
ACTR8|93973	598.0654	ACTR8|93973	512.9983
ACVR1B|91	2136.7578	ACVR1B|91	964.9047
ACVR1C|130399	25.3502	ACVR1C|130399	7402.0797
ACVR1|90	1166.4443	ACVR1|90	1066.2912
ACVR2A|92	234.1561	ACVR2A|92	466.2045
ACVR2B|93	428.6191	ACVR2B|93	206.2392
ACVRL1|94	418.6124	ACVRL1|94	1601.8198
ACY1|95	824.3329	ACY1|95	1031.3951
ACYP1|97	72.048	ACYP1|97	36.3951
ACYP2|98	43.6958	ACYP2|98	328.8562
ADAL|161823	228.1521	ADAL|161823	332.7556
ADAM10|102	2189.7932	ADAM10|102	860.052
ADAM11|4185	29.3529	lowly_expressed	lowly_expressed
ADAM12|8038	4664.7765	ADAM12|8038	2236.5685
ADAM15|8751	4380.8272	ADAM15|8751	2866.5511
ADAM17|6868	743.8292	ADAM17|6868	434.5754
ADAM19|8728	568.7125	ADAM19|8728	113.5182
ADAM21|8747	7.3382	lowly_expressed	lowly_expressed
ADAM22|53616	77.3849	ADAM22|53616	199.74
ADAM23|8745	45.6971	ADAM23|8745	40.2946
ADAM28|10863	80.0534	ADAM28|10863	11.2652
ADAM32|203102	24.6831	ADAM32|203102	43.3276
ADAM33|80332	173.4323	ADAM33|80332	563.4315
ADAM6|8755	9114.463	ADAM6|8755	348.1542
ADAM8|101	578.3856	ADAM8|101	18.6308
ADAM9|8754	1293.1955	ADAM9|8754	1891.6811
ADAMDEC1|27299	85.0567	lowly_expressed	lowly_expressed
ADAMTS10|81794	188.459	ADAMTS10|81794	162.4783
ADAMTS12|81792	605.07	ADAMTS12|81792	564.1248
ADAMTS13|11093	89.0594	ADAMTS13|11093	29.896
ADAMTS14|140766	154.1027	ADAMTS14|140766	10.3986
ADAMTS15|170689	332.8886	ADAMTS15|170689	404.6794
ADAMTS16|170690	255.1701	ADAMTS16|170690	187.6083
ADAMTS17|170691	92.3949	ADAMTS17|170691	14.2981
ADAMTS18|170692	25.6838	ADAMTS18|170692	314.1248
ADAMTS19|171019	163.7759	lowly_expressed	lowly_expressed
ADAMTS1|9510	937.9586	ADAMTS1|9510	6483.1023
ADAMTS2|9509	886.5911	ADAMTS2|9509	1043.3276
ADAMTS3|9508	22.0147	ADAMTS3|9508	29.4627
ADAMTS4|9507	335.8906	ADAMTS4|9507	201.0399
ADAMTS5|11096	289.1928	ADAMTS5|11096	2006.0659
ADAMTS6|11174	128.4189	ADAMTS6|11174	24.2634
ADAMTS7|11173	173.1154	ADAMTS7|11173	136.4818
ADAMTS8|11095	11.6744	ADAMTS8|11095	7.3657
ADAMTS9|56999	220.1468	ADAMTS9|56999	1099.2201
ADAMTSL1|92949	54.3696	ADAMTSL1|92949	207.539
ADAMTSL2|9719	194.463	ADAMTSL2|9719	34.2288
ADAMTSL3|57188	69.046	ADAMTSL3|57188	464.4714
ADAMTSL4|54507	202.4683	ADAMTSL4|54507	1175.4766
ADAMTSL5|339366	73.3823	ADAMTSL5|339366	12.9983
ADAP1|11033	168.946	ADAP1|11033	100.0823
ADAP2|55803	267.5117	ADAP2|55803	198.8735
ADARB1|104	393.5957	ADARB1|104	690.6412
ADAR|103	16129.4196	ADAR|103	4280.3293
ADAT1|23536	279.5197	ADAT1|23536	287.2617
ADAT2|134637	58.3722	ADAT2|134637	95.3206
ADAT3|113179	13.6758	ADAT3|113179	9.0988
ADA|100	127.4183	ADA|100	236.1352
ADCK1|57143	146.431	ADCK1|57143	232.669
ADCK2|90956	853.5924	ADCK2|90956	568.4575
ADCK4|79934	772.515	ADCK4|79934	303.7262
ADCK5|203054	150.4336	ADCK5|203054	40.7279
ADCY1|107	679.7865	ADCY1|107	131.7158
ADCY2|108	445.964	ADCY2|108	48.5269
ADCY3|109	1009.5364	ADCY3|109	1247.6516
ADCY4|196883	146.7645	ADCY4|196883	697.1404
ADCY5|111	259.8399	ADCY5|111	922.0104
ADCY6|112	3036.6911	ADCY6|112	6441.5078
ADCY7|113	511.6744	ADCY7|113	656.4125
ADCY9|115	2394.5964	ADCY9|115	501.7331
lowly_expressed	lowly_expressed	ADCYAP1R1|117	45.0607
ADCYAP1|116	441.2942	ADCYAP1|116	168.5442
ADC|113451	304.2028	ADC|113451	26.8631
ADD1|118	4646.0974	ADD1|118	8380.8492
ADD2|119	27.6851	ADD2|119	22.5303
ADD3|120	969.6464	ADD3|120	2924.6101
lowly_expressed	lowly_expressed	ADH1A|124	983.0849
