gene_id	TCGA-BH-A0BM-01A-11R-A056-07	gene_id	TCGA-BH-A0BM-11A-12R-A089-07
ADAMTS13|11093	34.3949	ADAMTS13|11093	65.7684
ADAMTS14|140766	42.6752	lowly_expressed	lowly_expressed
ADAMTS15|170689	75.7962	ADAMTS15|170689	191.4029
ADAMTS16|170690	323.5669	ADAMTS16|170690	32.8842
ADAMTS17|170691	78.3439	ADAMTS17|170691	32.041
ADAMTS18|170692	71.9745	ADAMTS18|170692	16.8637
ADAMTS1|9510	1170.0637	ADAMTS1|9510	3248.3684
ADAMTS2|9509	207.6433	ADAMTS2|9509	302.7032
ADAMTS3|9508	29.2994	ADAMTS3|9508	68.7195
ADAMTS4|9507	438.8535	ADAMTS4|9507	68.2979
ADAMTS5|11096	805.7325	ADAMTS5|11096	2381.9963
ADAMTS6|11174	65.6051	ADAMTS6|11174	6.3239
ADAMTS7|11173	64.3312	ADAMTS7|11173	23.1876
ADAMTS8|11095	12.7389	ADAMTS8|11095	47.6399
ADAMTS9|56999	238.8535	lowly_expressed	lowly_expressed
ADAMTSL1|92949	74.5223	ADAMTSL1|92949	130.272
ADAMTSL2|9719	249.0446	ADAMTSL2|9719	34.149
ADAMTSL3|57188	85.9873	ADAMTSL3|57188	44.6888
ADAMTSL4|54507	125.4777	ADAMTSL4|54507	200.6779
ADAMTSL5|339366	85.9873	ADAMTSL5|339366	25.2955
ADAP1|11033	149.6051	ADAP1|11033	142.9198
ADAP2|55803	117.1975	ADAP2|55803	120.997
ADARB1|104	615.9236	ADARB1|104	903.4722
ADAR|103	6149.0446	ADAR|103	6317.9818
ADAT1|23536	101.9108	ADAT1|23536	154.7244
ADAT2|134637	75.7962	ADAT2|134637	174.9608
ADAT3|113179	84.7134	ADAT3|113179	41.316
ADA|100	88.535	ADA|100	55.2286
ADCK1|57143	115.2866	ADCK1|57143	147.1357
ADCK2|90956	859.2357	ADCK2|90956	821.6833
ADCK4|79934	561.1465	ADCK4|79934	545.5404
ADCK5|203054	112.7389	ADCK5|203054	81.7889
lowly_expressed	lowly_expressed	ADCY10|55811	6.7455
ADCY1|107	180.2548	ADCY1|107	285.418
ADCY2|108	359.8726	ADCY2|108	46.3751
ADCY3|109	442.0637	ADCY3|109	1118.9143
ADCY4|196883	143.3121	ADCY4|196883	172.0096
ADCY5|111	114.0127	ADCY5|111	382.8058
ADCY6|112	1332.4841	ADCY6|112	1664.4463
ADCY7|113	264.3312	ADCY7|113	270.6622
ADCY9|115	556.051	ADCY9|115	1047.2352
ADCYAP1|116	5.0955	lowly_expressed	lowly_expressed
ADC|113451	212.7389	ADC|113451	143.763
ADD1|118	3984.0764	ADD1|118	6054.9082
ADD2|119	24.2038	ADD2|119	39.2081
ADD3|120	1169.4268	ADD3|120	1522.3697
ADH1A|124	112.1019	ADH1A|124	50.1695
ADH1B|125	7784.7134	ADH1B|125	5005.1434
ADH1C|126	50.9554	ADH1C|126	131.1152
ADH5|128	2201.9108	ADH5|128	3220.9649
lowly_expressed	lowly_expressed	ADH7|131	98.6526
ADHFE1|137872	102.5478	ADHFE1|137872	201.9427
ADI1|55256	1108.2803	ADI1|55256	1700.7032
ADIPOQ|9370	8485.3503	ADIPOQ|9370	3155.1965
ADIPOR1|51094	4942.0382	ADIPOR1|51094	2126.933
ADIPOR2|79602	2133.758	ADIPOR2|79602	1777.8546
ADK|132	442.0382	ADK|132	394.6104
ADM2|79924	242.6752	ADM2|79924	86.848
ADM|133	173.2484	ADM|133	132.38
ADNP2|22850	610.828	ADNP2|22850	711.6478
ADNP|23394	2667.5159	ADNP|23394	2949.0379
ADORA1|134	207.0064	ADORA1|134	435.5048
ADORA2A|135	347.7452	ADORA2A|135	55.6502
