gene_id	TCGA-E9-A1RI-01A-11R-A169-07	gene_id	TCGA-E9-A1RI-11A-41R-A169-07
ACTR10|55860	1435.4605	ACTR10|55860	1473.4808
ACTR1A|10121	3147.404	ACTR1A|10121	3289.7305
ACTR1B|10120	740.0739	ACTR1B|10120	877.2099
ACTR2|10097	7650.217	ACTR2|10097	8373.2973
ACTR3B|57180	137.5985	ACTR3B|57180	101.2463
ACTR3C|653857	38.2575	ACTR3C|653857	39.8029
ACTR3|10096	4231.1525	ACTR3|10096	3580.3304
ACTR5|79913	247.8701	ACTR5|79913	129.0697
ACTR6|64431	698.6015	ACTR6|64431	613.2741
ACTR8|93973	576.4347	ACTR8|93973	534.0547
ACVR1B|91	997.2673	ACVR1B|91	939.4261
ACVR1C|130399	9.3233	ACVR1C|130399	5069.6551
ACVR1|90	1167.3364	ACVR1|90	1288.7644
ACVR2A|92	493.4898	ACVR2A|92	634.1416
ACVR2B|93	398.9712	ACVR2B|93	372.9108
ACVRL1|94	278.7333	ACVRL1|94	1196.7926
ACY1|95	669.3458	ACY1|95	534.0547
ACYP1|97	90.0177	ACYP1|97	33.2335
ACYP2|98	77.158	ACYP2|98	365.1821
ADAL|161823	208.0051	ADAL|161823	264.7087
ADAM10|102	2203.8258	ADAM10|102	1544.1986
ADAM11|4185	9.3233	removed	removed
ADAM12|8038	6057.8685	ADAM12|8038	1915.9501
ADAM15|8751	1582.0608	ADAM15|8751	2017.9693
ADAM17|6868	746.8253	ADAM17|6868	588.1557
ADAM19|8728	718.534	ADAM19|8728	55.6468
ADAM21|8747	17.682	removed	removed
ADAM22|53616	90.0177	ADAM22|53616	456.7675
ADAM23|8745	61.7264	ADAM23|8745	41.3487
ADAM28|10863	136.9555	ADAM28|10863	81.538
ADAM29|11086	5.1439	removed	removed
ADAM32|203102	26.0408	ADAM32|203102	58.7383
ADAM33|80332	127.3107	ADAM33|80332	292.1457
ADAM6|8755	29045.0217	ADAM6|8755	1202.5543
ADAM8|101	91.9466	ADAM8|101	18.1625
ADAM9|8754	1563.7357	ADAM9|8754	3424.9831
ADAMDEC1|27299	67.8348	ADAMDEC1|27299	6.9558
ADAMTS10|81794	120.8809	ADAMTS10|81794	242.6819
ADAMTS12|81792	750.0402	ADAMTS12|81792	484.9773
ADAMTS13|11093	59.476	ADAMTS13|11093	8.1152
ADAMTS14|140766	152.7086	removed	removed
ADAMTS15|170689	398.9712	ADAMTS15|170689	306.4438
ADAMTS16|170690	807.5872	ADAMTS16|170690	33.2335
ADAMTS17|170691	114.1296	ADAMTS17|170691	26.6641
ADAMTS18|170692	122.8098	ADAMTS18|170692	859.8203
ADAMTS1|9510	850.0241	ADAMTS1|9510	3458.603
ADAMTS2|9509	831.0561	ADAMTS2|9509	750.4589
ADAMTS3|9508	30.5417	ADAMTS3|9508	53.7146
ADAMTS4|9507	288.0566	ADAMTS4|9507	136.0255
ADAMTS5|11096	882.4948	ADAMTS5|11096	3989.9527
ADAMTS6|11174	264.9092	ADAMTS6|11174	19.3218
ADAMTS7|11173	150.1366	ADAMTS7|11173	77.6737
ADAMTS8|11095	13.5027	ADAMTS8|11095	5.0237
ADAMTS9|56999	203.5043	ADAMTS9|56999	607.864
ADAMTSL1|92949	142.4208	ADAMTSL1|92949	243.0683
ADAMTSL2|9719	271.6605	ADAMTSL2|9719	18.9354
ADAMTSL3|57188	226.3302	ADAMTSL3|57188	675.4903
ADAMTSL4|54507	83.9093	ADAMTSL4|54507	989.6628
ADAMTSL5|339366	71.6927	ADAMTSL5|339366	13.1388
ADAP1|11033	103.845	ADAP1|11033	40.1121
ADAP2|55803	322.7777	ADAP2|55803	319.9691
ADARB1|104	817.5534	ADARB1|104	956.4293
ADAR|103	10960.2958	ADAR|103	5743.9861
ADAT1|23536	271.6605	ADAT1|23536	327.6978
ADAT2|134637	95.8045	ADAT2|134637	93.1311
ADAT3|113179	8.0373	removed	removed
ADA|100	102.8774	ADA|100	120.5681
ADCK1|57143	153.673	ADCK1|57143	146.0728
ADCK2|90956	657.4506	ADCK2|90956	416.9645
ADCK4|79934	621.4435	ADCK4|79934	234.5667
ADCK5|203054	59.476	ADCK5|203054	15.071
ADCY1|107	91.3036	ADCY1|107	172.3505
ADCY2|108	651.9852	ADCY2|108	67.2399
ADCY3|109	479.1738	ADCY3|109	1526.6738
ADCY4|196883	97.7335	ADCY4|196883	532.1225
ADCY5|111	26.0408	ADCY5|111	563.4238
ADCY6|112	1404.9188	ADCY6|112	4415.4188
ADCY7|113	948.0791	ADCY7|113	943.6769
ADCY9|115	1120.0772	ADCY9|115	539.0783
removed	removed	ADCYAP1R1|117	44.8266
removed	removed	ADCYAP1|116	13.5253
ADC|113451	253.9785	ADC|113451	28.2098
ADD1|118	5233.8852	ADD1|118	9156.2168
ADD2|119	15.1101	ADD2|119	34.7792
ADD3|120	2062.0479	ADD3|120	4695.585
removed	removed	ADH1A|124	999.2812
ADH1B|125	51.7602	ADH1B|125	117376.4776
ADH1C|126	58.5115	ADH1C|126	706.7916
removed	removed	ADH4|127	5.4101
ADH5|128	2593.7952	ADH5|128	8187.8079
ADHFE1|137872	89.6962	ADHFE1|137872	703.7001
ADI1|55256	1125.864	ADI1|55256	2895.9521
ADIPOQ|9370	17.682	ADIPOQ|9370	113726.5965
ADIPOR1|51094	2653.9142	ADIPOR1|51094	2834.8952
ADIPOR2|79602	4425.655	ADIPOR2|79602	7198.918
ADK|132	552.3228	ADK|132	877.2099
ADM2|79924	18.6465	ADM2|79924	7.3423
ADM|133	24.7549	ADM|133	2881.2675
ADNP2|22850	811.4451	ADNP2|22850	658.1007
ADNP|23394	3496.544	ADNP|23394	2431.0695
ADORA1|134	252.6925	ADORA1|134	111.2936
ADORA2A|135	178.4247	ADORA2A|135	24.7319
ADORA2B|136	30.8632	ADORA2B|136	35.9386
ADORA3|140	440.4437	ADORA3|140	113.2258
ADO|84890	932.0045	ADO|84890	643.0297
ADPGK|83440	1064.2598	ADPGK|83440	632.6036
ADPRHL1|113622	222.4723	ADPRHL1|113622	101.6327
ADPRHL2|54936	598.9391	ADPRHL2|54936	261.2308
ADPRH|141	265.8737	ADPRH|141	815.3802
removed	removed	ADRA1A|148	490.001
ADRA1B|147	20.897	ADRA1B|147	54.1011
removed	removed	ADRA1D|146	5.0237
ADRA2A|150	643.9479	ADRA2A|150	4267.4138
ADRA2B|151	6.4298	ADRA2B|151	17.0032
ADRA2C|152	9.0018	ADRA2C|152	66.0806
ADRB1|153	9.3233	ADRB1|153	440.9236
ADRB2|154	23.4689	ADRB2|154	792.9669
removed	removed	ADRB3|155	261.6172
ADRBK1|156	1121.0416	ADRBK1|156	769.0078
ADRBK2|157	559.0741	ADRBK2|157	6146.2661
ADRM1|11047	701.4949	ADRM1|11047	618.2977
ADSL|158	587.6869	ADSL|158	724.5677
ADSSL1|122622	94.5186	ADSSL1|122622	360.1584
ADSS|159	1619.9968	ADSS|159	870.6405
AEBP1|165	25603.6007	AEBP1|165	4010.8202
AEBP2|121536	943.8997	AEBP2|121536	874.5049
AEN|64782	269.0886	AEN|64782	171.1912
AES|166	2921.0738	AES|166	6410.9748
AFAP1L1|134265	239.1898	AFAP1L1|134265	1733.1659
AFAP1L2|84632	1292.3967	AFAP1L2|84632	462.1776
AFAP1|60312	1593.9463	AFAP1|60312	1383.8238
AFF1|4299	2110.5932	AFF1|4299	5269.829
AFF2|2334	27.3268	AFF2|2334	830.0647
AFF3|3899	4307.9891	AFF3|3899	982.707
AFF4|27125	4591.2233	AFF4|27125	3701.2849
AFG3L1|172	163.3178	AFG3L1|172	98.1548
AFG3L2|10939	1492.072	AFG3L2|10939	1177.4978
AFMID|125061	1009.8055	AFMID|125061	268.1866
removed	removed	AFP|174	6.183
AFTPH|54812	2037.293	AFTPH|54812	1271.7612
AG2|387763	94.5186	AG2|387763	298.3287
AGAP11|119385	72.9786	AGAP11|119385	364.8034
AGAP1|116987	343.0317	AGAP1|116987	280.5526
AGAP2|116986	46.5906	AGAP2|116986	32.0162
AGAP3|116988	743.6104	AGAP3|116988	474.93
AGAP4|119016	227.6161	AGAP4|119016	80.3787
AGAP5|729092	82.2022	AGAP5|729092	31.1429
AGAP6|414189	58.833	AGAP6|414189	63.3755
AGAP7|653268	7.7158	removed	removed
AGAP8|728404	25.0764	AGAP8|728404	18.1625
AGA|175	735.8946	AGA|175	532.5089
AGBL2|79841	78.7655	AGBL2|79841	5.0237
AGBL3|340351	7.0728	AGBL3|340351	5.0237
AGBL4|84871	8.6803	AGBL4|84871	9.2745
AGBL5|60509	591.8759	AGBL5|60509	715.3048
AGER|177	18.968	AGER|177	13.1388
AGFG1|3267	1605.2082	AGFG1|3267	4658.4871
AGFG2|3268	246.9056	AGFG2|3268	287.5085
AGGF1|55109	1436.425	AGGF1|55109	1023.2828
AGK|55750	639.1255	AGK|55750	441.31
AGL|178	4898.2479	AGL|178	2402.4732
AGMAT|79814	33.1136	AGMAT|79814	7.3423
AGPAT1|10554	1635.348	AGPAT1|10554	1921.0009
AGPAT2|10555	384.8256	AGPAT2|10555	4249.6377
AGPAT3|56894	1896.4797	AGPAT3|56894	2691.9138
AGPAT4|56895	258.4793	AGPAT4|56895	179.3063
AGPAT5|55326	653.9142	AGPAT5|55326	362.4771
AGPAT6|137964	1413.9206	AGPAT6|137964	1282.9678
AGPAT9|84803	30.8632	AGPAT9|84803	110.5207
AGPHD1|123688	69.7637	AGPHD1|123688	116.7037
AGPS|8540	1581.0963	AGPS|8540	2269.9256
AGR2|10551	11881.3696	AGR2|10551	251.9563
AGR3|155465	1166.0505	AGR3|155465	56.8061
AGRN|375790	2423.4046	AGRN|375790	409.6223
AGTPBP1|23287	307.9891	AGTPBP1|23287	939.4261
AGTR1|185	481.9161	AGTR1|185	1311.1777
AGTRAP|57085	1060.2797	AGTRAP|57085	345.8603
AGT|183	23.1474	AGT|183	135.6391
AGXT2L2|85007	333.9431	AGXT2L2|85007	673.7088
AHCTF1|25909	1677.5438	AHCTF1|25909	2215.0517
AHCYL1|10768	5863.0445	AHCYL1|10768	7748.8165
AHCYL2|23382	927.1821	AHCYL2|23382	1023.2828
AHCY|191	3407.8122	AHCY|191	1336.6824
AHDC1|27245	459.7332	AHDC1|27245	304.1252
AHI1|54806	326.9571	AHI1|54806	441.31
AHNAK2|113146	1855.6502	AHNAK2|113146	507.3906
AHNAK|79026	39614.8529	AHNAK|79026	246592.6036
AHRR|57491	17.0391	AHRR|57491	15.8439
AHR|196	1998.071	AHR|196	2672.592
AHSA1|10598	1915.1262	AHSA1|10598	1022.8963
AHSA2|130872	424.3691	AHSA2|130872	266.6409
AIDA|64853	1306.5616	AIDA|64853	3642.9949
AIF1L|83543	194.824	AIF1L|83543	2803.2074
AIF1|199	428.5485	AIF1|199	497.3433
AIFM1|9131	1067.3525	AIFM1|9131	773.6451
AIFM2|84883	334.0299	AIFM2|84883	3675.0072
AIFM3|150209	31.3808	removed	removed
AIG1|51390	350.1045	AIG1|51390	2110.3275
AIM1L|55057	33.4351	removed	removed
AIM1|202	1197.2352	AIM1|202	3107.3326
AIM2|9447	24.1119	removed	removed
AIMP1|9255	1584.6231	AIMP1|9255	1136.895
AIMP2|7965	457.3091	AIMP2|7965	265.4855
AIP|9049	467.1275	AIP|9049	385.6632
AJAP1|55966	9.3233	AJAP1|55966	5.0237
AK1|203	334.0299	AK1|203	466.4284
AK2|204	2132.4546	AK2|204	2023.3794
AK3L1|205	269.4101	AK3L1|205	1153.5117
AK3|50808	1807.4265	AK3|50808	5449.5218
AK5|26289	99.3409	AK5|26289	154.188
AK7|122481	31.1847	AK7|122481	10.4338
AKAP10|11216	470.6639	AKAP10|11216	593.1794
AKAP11|11215	1950.4903	AKAP11|11215	4355.1348
AKAP12|9590	1652.7889	AKAP12|9590	13045.6961
AKAP13|11214	4049.5097	AKAP13|11214	3127.0409
AKAP1|8165	1455.0715	AKAP1|8165	3514.6363
AKAP2|11217	512.9015	AKAP2|11217	3601.0472
AKAP3|10566	56.5825	AKAP3|10566	52.5553
AKAP5|9495	728.5002	AKAP5|9495	32.8471
AKAP6|9472	83.5878	AKAP6|9472	68.3992
AKAP7|9465	98.3765	AKAP7|9465	572.6983
AKAP8L|26993	672.2392	AKAP8L|26993	357.4534
AKAP8|10270	596.3671	AKAP8|10270	364.0228
AKAP9|10142	4052.7246	AKAP9|10142	1590.1845
AKD1|221264	117.3445	AKD1|221264	139.8899
AKIRIN1|79647	1206.5584	AKIRIN1|79647	1693.7494
AKIRIN2|55122	425.9765	AKIRIN2|55122	1280.6492
AKNA|80709	450.7314	AKNA|80709	843.59
AKR1A1|10327	1953.0622	AKR1A1|10327	1091.682
AKR1B15|441282	6.1083	AKR1B15|441282	46.3723
AKR1B1|231	826.8767	AKR1B1|231	1076.9974
AKR1C1|1645	44.6873	AKR1C1|1645	10942.7108
