gene_id	TCGA-BH-A18S-01A-11R-A12D-07	gene_id	TCGA-BH-A18S-11A-43R-A12D-07
ACVR2B|93	230.5724	ACVR2B|93	226.2808
ACVRL1|94	179.951	ACVRL1|94	1035.1044
ACY1|95	1342.6107	ACY1|95	593.4535
ACYP1|97	92.0983	ACYP1|97	83.9658
ACYP2|98	169.5001	ACYP2|98	171.2524
ADAL|161823	275.3152	ADAL|161823	179.7913
ADAM10|102	1490.2292	ADAM10|102	1620.019
lowly_expressed	lowly_expressed	ADAM11|4185	21.3472
ADAM12|8038	240.0435	ADAM12|8038	479.6015
ADAM15|8751	6231.046	ADAM15|8751	2965.8444
ADAM17|6868	606.8038	ADAM17|6868	820.2087
ADAM19|8728	50.948	ADAM19|8728	94.4023
ADAM22|53616	15.0231	ADAM22|53616	45.0664
ADAM28|10863	80.9943	ADAM28|10863	159.8672
ADAM32|203102	86.8729	ADAM32|203102	27.0398
lowly_expressed	lowly_expressed	ADAM33|80332	281.2619
ADAM6|8755	2981.0268	ADAM6|8755	21599.0417
ADAM8|101	241.6765	ADAM8|101	561.6698
ADAM9|8754	900.0815	ADAM9|8754	2702.0873
lowly_expressed	lowly_expressed	ADAMDEC1|27299	144.6869
ADAMTS10|81794	33.3122	ADAMTS10|81794	190.2277
ADAMTS12|81792	48.9885	ADAMTS12|81792	133.7761
ADAMTS13|11093	23.1879	ADAMTS13|11093	85.389
ADAMTS14|140766	6.2052	ADAMTS14|140766	21.8216
ADAMTS15|170689	1052.9255	ADAMTS15|170689	599.6205
ADAMTS16|170690	55.8469	ADAMTS16|170690	46.9639
ADAMTS17|170691	13.3902	ADAMTS17|170691	26.5655
lowly_expressed	lowly_expressed	ADAMTS18|170692	347.723
ADAMTS19|171019	8.1647	lowly_expressed	lowly_expressed
ADAMTS1|9510	169.8267	ADAMTS1|9510	13034.63
ADAMTS2|9509	31.3526	ADAMTS2|9509	372.8653
ADAMTS3|9508	14.0434	ADAMTS3|9508	79.6964
ADAMTS4|9507	1126.0816	ADAMTS4|9507	3344.4023
ADAMTS5|11096	50.6214	ADAMTS5|11096	1609.1082
ADAMTS6|11174	15.3497	ADAMTS6|11174	26.5655
ADAMTS7|11173	34.2919	ADAMTS7|11173	60.2467
lowly_expressed	lowly_expressed	ADAMTS8|11095	24.1935
ADAMTS9|56999	93.4047	ADAMTS9|56999	801.7078
ADAMTSL1|92949	67.6041	ADAMTSL1|92949	51.7078
ADAMTSL2|9719	128.6764	ADAMTSL2|9719	28.9374
ADAMTSL3|57188	22.8613	ADAMTSL3|57188	111.4801
ADAMTSL4|54507	36.9046	ADAMTSL4|54507	554.0797
ADAMTSL5|339366	29.3931	ADAMTSL5|339366	22.7704
ADAP1|11033	316.8999	ADAP1|11033	163.2306
ADAP2|55803	252.4539	ADAP2|55803	387.5712
ADARB1|104	285.4395	ADARB1|104	893.2638
ADAR|103	13280.4476	ADAR|103	5798.8615
ADAT1|23536	726.6623	ADAT1|23536	361.0057
ADAT2|134637	38.5376	ADAT2|134637	126.186
ADAT3|113179	44.7428	ADAT3|113179	15.1803
ADA|100	76.7486	ADA|100	125.7116
ADCK1|57143	161.662	ADCK1|57143	182.1632
ADCK2|90956	1138.1654	ADCK2|90956	698.7666
ADCK4|79934	712.6189	ADCK4|79934	523.2448
ADCK5|203054	67.2775	ADCK5|203054	68.3112
ADCY1|107	127.0434	ADCY1|107	196.8691
ADCY2|108	44.4162	ADCY2|108	53.6053
ADCY3|109	832.5982	ADCY3|109	1216.9877
ADCY4|196883	112.6735	ADCY4|196883	684.0607
ADCY5|111	41.8035	ADCY5|111	564.9905
ADCY6|112	568.2662	ADCY6|112	2844.4023
ADCY7|113	166.5608	ADCY7|113	493.3586
ADCY8|114	7.185	lowly_expressed	lowly_expressed
ADCY9|115	803.4109	ADCY9|115	610.0569
lowly_expressed	lowly_expressed	ADCYAP1R1|117	12.334
ADCYAP1|116	5.2254	ADCYAP1|116	49.8102
ADC|113451	172.766	ADC|113451	138.0455
ADD1|118	5340.723	ADD1|118	5438.3302
ADD2|119	6.2052	ADD2|119	51.7078
ADD3|120	177.6649	ADD3|120	1972.4858
lowly_expressed	lowly_expressed	ADH1A|124	128.0835
ADH1B|125	25.8006	ADH1B|125	11402.277
lowly_expressed	lowly_expressed	ADH1C|126	111.9545
lowly_expressed	lowly_expressed	ADH4|127	11.3852
ADH5|128	1901.0792	ADH5|128	2900.3795
ADHFE1|137872	26.7804	ADHFE1|137872	294.592
ADI1|55256	1170.8244	ADI1|55256	1366.2239
ADIPOQ|9370	51.6012	ADIPOQ|9370	27051.2334
ADIPOR1|51094	6497.504	ADIPOR1|51094	2125.2372
ADIPOR2|79602	2884.1145	ADIPOR2|79602	2792.2201
ADK|132	460.8182	ADK|132	418.4061
ADM2|79924	276.6216	ADM2|79924	81.5939
ADM|133	28.4133	ADM|133	976.2808
ADNP2|22850	761.2808	ADNP2|22850	633.7761
ADNP|23394	3647.6815	ADNP|23394	2216.3188
ADORA1|134	1225.0383	ADORA1|134	264.2315
ADORA2A|135	468.3298	ADORA2A|135	117.1727
ADORA2B|136	20.5752	ADORA2B|136	81.1195
ADORA3|140	190.0753	ADORA3|140	285.1044
ADO|84890	697.9224	ADO|84890	600.0949
ADPGK|83440	849.6756	ADPGK|83440	932.9981
ADPRHL1|113622	223.0608	ADPRHL1|113622	61.6698
ADPRHL2|54936	844.5612	ADPRHL2|54936	677.8937
ADPRH|141	207.0579	ADPRH|141	544.592
lowly_expressed	lowly_expressed	ADRA1A|148	41.2713
ADRA1B|147	15.6763	ADRA1B|147	18.0266
