gene_id	TCGA-E9-A1N6-01A-11R-A144-07	gene_id	TCGA-E9-A1N6-11A-32R-A144-07
ACSM5|54988	27.5534	ACSM5|54988	320.3161
ACSS1|84532	298.8124	ACSS1|84532	826.1274
ACSS2|55902	1138.7173	ACSS2|55902	2107.8568
ACSS3|79611	209.5012	ACSS3|79611	443.0497
ACTA1|58	8.5511	ACTA1|58	13.4821
ACTA2|59	10139.9335	ACTA2|59	23887.2989
ACTBL2|345651	15.2019	ACTBL2|345651	8.8331
ACTB|60	192809.0214	ACTB|60	89040.9112
lowly_expressed	lowly_expressed	ACTC1|70	5.5788
ACTG1|71	82263.658	ACTG1|71	63640.1674
ACTG2|72	268.4086	ACTG2|72	5877.2664
ACTL6A|86	1348.6936	ACTL6A|86	710.8322
ACTL8|81569	33.7292	lowly_expressed	lowly_expressed
ACTN1|87	10379.5724	ACTN1|87	10073.4542
ACTN2|88	7.1259	lowly_expressed	lowly_expressed
ACTN4|81	10534.7316	ACTN4|81	11516.3412
ACTR10|55860	706.4133	ACTR10|55860	1084.1469
ACTR1A|10121	3356.2945	ACTR1A|10121	2331.4737
ACTR1B|10120	876.4846	ACTR1B|10120	1326.8247
ACTR2|10097	8719.715	ACTR2|10097	4866.1088
ACTR3B|57180	135.867	ACTR3B|57180	249.6513
ACTR3C|653857	29.4537	ACTR3C|653857	31.1483
ACTR3|10096	7085.5107	ACTR3|10096	3218.0381
ACTR5|79913	190.9739	ACTR5|79913	191.5388
ACTR6|64431	635.6295	ACTR6|64431	576.0112
ACTR8|93973	490.2613	ACTR8|93973	487.2152
ACVR1B|91	900.7126	ACVR1B|91	1254.7652
ACVR1C|130399	10.9264	ACVR1C|130399	1108.7866
ACVR1|90	1257.9572	ACVR1|90	1153.417
ACVR2A|92	231.3539	ACVR2A|92	439.3305
ACVR2B|93	179.5724	ACVR2B|93	201.7666
ACVRL1|94	443.2304	ACVRL1|94	955.8345
ACY1|95	358.9739	ACY1|95	491.5435
lowly_expressed	lowly_expressed	ACY3|91703	11.6225
ACYP1|97	28.9786	ACYP1|97	62.7615
ACYP2|98	88.8361	ACYP2|98	144.5839
ADAL|161823	76.4846	ADAL|161823	92.5151
