gene_id	TCGA-E9-A1N6-01A-11R-A144-07	gene_id	TCGA-E9-A1N6-11A-32R-A144-07
lowly_expressed	lowly_expressed	GZMM|3004	26.4993
H19|283120	2821.8527	H19|283120	1213.3891
H1F0|3005	14419.0024	H1F0|3005	5408.6471
H1FX|8971	3357.7197	H1FX|8971	1569.9675
H2AFJ|55766	1139.1924	H2AFJ|55766	1065.086
H2AFV|94239	2669.8337	H2AFV|94239	2635.5184
H2AFX|3014	2274.1093	H2AFX|3014	239.8884
H2AFY2|55506	1069.3587	H2AFY2|55506	414.6908
H2AFY|9555	8415.905	H2AFY|9555	2449.8326
H2AFZ|3015	6037.5297	H2AFZ|3015	1377.4988
H2BFXP|767811	18.5273	H2BFXP|767811	5.5788
H3F3A|3020	4132.5416	H3F3A|3020	1847.0479
H3F3B|3021	7770.5463	H3F3B|3021	16637.378
H3F3C|440093	284.5606	H3F3C|440093	594.1423
H6PD|9563	1779.0974	H6PD|9563	3523.0126
HAAO|23498	215.2019	HAAO|23498	186.4249
HABP4|22927	257.4822	HABP4|22927	463.0404
HACE1|57531	199.5249	HACE1|57531	377.9637
HACL1|26061	230.4038	HACL1|26061	434.8861
HADHA|3030	3563.8955	HADHA|3030	6306.3691
HADHB|3032	1949.6437	HADHB|3032	2549.5119
HADH|3033	1751.0689	HADH|3033	2825.1976
HAGHL|84264	118.2898	HAGHL|84264	17.2013
HAGH|3029	731.5914	HAGH|3029	388.1915
HAMP|57817	38.4798	HAMP|57817	27.894000000000002
HAND2|9464	50.8314	HAND2|9464	59.9721
lowly_expressed	lowly_expressed	HAP1|9001	67.8754
HAPLN1|1404	48.4561	lowly_expressed	lowly_expressed
HAPLN3|145864	235.1544	HAPLN3|145864	549.5119
HAPLN4|404037	7.1259	HAPLN4|404037	18.1311
HAR1A|768096	5.7007	HAR1A|768096	12.5523
HARBI1|283254	128.7411	HARBI1|283254	66.4807
HARS2|23438	1130.6413	HARS2|23438	675.9647
HARS|3035	1844.1805	HARS|3035	1056.7178
HAS1|3036	23.753	HAS1|3036	23.7099
HAS2|3037	133.3064	HAS2|3037	83.682
HAS3|3038	76.9596	HAS3|3038	3771.2692
HAT1|8520	1294.0618	HAT1|8520	946.5365
HAUS1|115106	386.6983	HAUS1|115106	188.7494
HAUS2|55142	438.9549	HAUS2|55142	667.1316
HAUS3|79441	367.69599999999997	HAUS3|79441	303.0916
HAUS4|54930	508.3135	HAUS4|54930	1146.9084
HAUS5|23354	272.6841	HAUS5|23354	388.6564
HAUS6|54801	773.8717	HAUS6|54801	503.4868
HAUS7|55559	291.9762	HAUS7|55559	165.0395
HAUS8|93323	264.6081	HAUS8|93323	110.1813
HAVCR2|84868	426.6033	HAVCR2|84868	331.9386
HAX1|10456	1496.4371	HAX1|10456	1261.7387
HBA1|3039	38.9549	HBA1|3039	477.4523
HBA2|3040	68.4086	HBA2|3040	930.265
HBB|3043	97.8622	HBB|3043	1498.8377
HBEGF|1839	224.7031	HBEGF|1839	590.888
HBP1|26959	1779.0214	HBP1|26959	2754.2352
HBS1L|10767	1330.6413	HBS1L|10767	1047.4198
HBXIP|10542	756.7696	HBXIP|10542	794.5142
HCCS|3052	536.342	HCCS|3052	394.2352
HCFC1R1|54985	795.5297	HCFC1R1|54985	457.4802
HCFC1|3054	1985.7482	HCFC1|3054	1722.9196
HCFC2|29915	314.0143	HCFC2|29915	414.2259
HCG11|493812	260.8076	HCG11|493812	620.6416
HCG18|414777	334.6128	HCG18|414777	570.781
HCG26|352961	32.7791	HCG26|352961	75.3138
lowly_expressed	lowly_expressed	HCG27|253018	16.2715
lowly_expressed	lowly_expressed	HCG2P7|80867	8.1729
HCG4P6|80868	6.6603	HCG4P6|80868	6.8759
HCG4|54435	8.3183	HCG4|54435	30.1302
HCK|3055	335.3919	HCK|3055	347.7452
HCLS1|3059	546.7933	HCLS1|3059	969.3166
HCN2|610	17.1021	lowly_expressed	lowly_expressed
HCN3|57657	50.8314	HCN3|57657	78.0009
HCN4|10021	14.2518	lowly_expressed	lowly_expressed
HCP5|10866	419.0024	HCP5|10866	771.2692
HCRTR2|3062	7.1259	lowly_expressed	lowly_expressed
HCST|10870	48.4561	HCST|10870	90.6555
HDAC10|83933	250.2185	HDAC10|83933	264.4305
HDAC11|79885	644.1805	HDAC11|79885	429.1027
HDAC1|3065	1199.5249	HDAC1|3065	1846.1181
HDAC2|3066	3335.3919	HDAC2|3066	1794.5142
HDAC3|8841	1328.266	HDAC3|8841	1022.7801
HDAC4|9759	151.0689	HDAC4|9759	573.6867
HDAC5|10014	519.715	HDAC5|10014	2116.225
HDAC6|10013	971.0214	HDAC6|10013	1159.4607
HDAC7|51564	1635.1544	HDAC7|51564	2281.2645
HDAC8|55869	341.5677	HDAC8|55869	221.2924
HDAC9|9734	38.4798	HDAC9|9734	137.1455
HDC|3067	18.5273	HDC|3067	72.0595
HDDC2|51020	742.9929	HDDC2|51020	656.4389
HDDC3|374659	105.4632	HDDC3|374659	183.6355
HDGFRP2|84717	1402.8504	HDGFRP2|84717	803.3473
HDGFRP3|50810	1161.5202	HDGFRP3|50810	662.9475
HDGF|3068	8990.4988	HDGF|3068	4801.4877
HDHD1A|8226	229.9287	HDHD1A|8226	273.8261
HDHD2|84064	574.8219	HDHD2|84064	662.4826
HDHD3|81932	652.2565	HDHD3|81932	526.2669
HDLBP|3069	19028.5036	HDLBP|3069	14067.4105
HDX|139324	82.1853	HDX|139324	62.7615
HEATR1|55127	1083.6105	HEATR1|55127	1203.6262
HEATR2|54919	1386.2233	HEATR2|54919	588.5635
HEATR3|55027	653.6817	HEATR3|55027	253.3705
HEATR4|399671	14.6556	HEATR4|399671	12.185
HEATR5A|25938	963.8337	HEATR5A|25938	941.06
HEATR5B|54497	730.1663	HEATR5B|54497	1272.4314
HEATR6|63897	231.829	HEATR6|63897	371.4551
HEATR7A|727957	1789.0736	HEATR7A|727957	604.835
HEBP1|50865	899.2874	HEBP1|50865	1128.7773
HEBP2|23593	2781.4727	HEBP2|23593	1737.7964
HECA|51696	1069.8337	HECA|51696	1598.7913
HECTD1|25831	3717.8147	HECTD1|25831	4139.9349
HECTD2|143279	216.6271	HECTD2|143279	359.8326
HECTD3|79654	1530.1663	HECTD3|79654	1419.3398
HECW2|57520	275.5344	HECW2|57520	211.9944
HEG1|57493	1883.6105	HEG1|57493	2887.9591
HELB|92797	18.5273	HELB|92797	21.8503
HELLS|3070	135.3919	HELLS|3070	78.1032
HELQ|113510	151.0689	HELQ|113510	346.8154
HELZ|9931	2675.0594	HELZ|9931	1510.9252
HEMK1|51409	275.5344	HEMK1|51409	437.4709
lowly_expressed	lowly_expressed	HEPACAM2|253012	40.9112
lowly_expressed	lowly_expressed	HEPACAM|220296	206.2669
HEPHL1|341208	21.6152	lowly_expressed	lowly_expressed
HEPH|9843	1046.5558	HEPH|9843	788.0056
lowly_expressed	lowly_expressed	HEPN1|641654	154.4956
HERC1|8925	884.0855	HERC1|8925	2600.186
HERC2P2|400322	701.6627	HERC2P2|400322	1053.9284
HERC2P4|440362	5.7007	HERC2P4|440362	7.4384
HERC2|8924	1169.5962	HERC2|8924	2083.2171
HERC3|8916	979.5724	HERC3|8916	977.6848
HERC4|26091	1225.1781	HERC4|26091	959.0888
HERC5|51191	323.9905	HERC5|51191	228.2659
HERC6|55008	735.867	HERC6|55008	401.2087
HERPUD1|9709	1852.7316	HERPUD1|9709	2840.0744
HERPUD2|64224	563.4204	HERPUD2|64224	885.1697
HES1|3280	623.2779	HES1|3280	2165.5044
HES2|54626	87.4109	HES2|54626	29.7536
HES4|57801	103.0879	HES4|57801	39.0516
HES6|55502	715.9145	HES6|55502	38.1218
HESX1|8820	10.9264	HESX1|8820	13.947000000000001
HEXA|3073	1758.2043	HEXA|3073	1872.6267
HEXB|3074	2535.7102	HEXB|3074	2127.3779999999997
HEXDC|284004	144.8931	HEXDC|284004	297.536
HEXIM1|10614	1185.7482	HEXIM1|10614	1026.0344
HEXIM2|124790	79.3587	HEXIM2|124790	56.0391
HEY1|23462	190.4988	HEY1|23462	159.9256
HEY2|23493	277.9097	HEY2|23493	537.4245
HEYL|26508	666.9834	HEYL|26508	153.8819
HFE|3077	121.6152	HFE|3077	244.5374
lowly_expressed	lowly_expressed	HFM1|164045	22.7801
HGD|3081	1839.4299	HGD|3081	63.6913
HGF|3082	35.6295	HGF|3082	112.5058
HGSNAT|138050	3347.7435	HGSNAT|138050	2760.1116
HGS|9146	2401.4252	HGS|9146	1403.0683
lowly_expressed	lowly_expressed	HHATL|57467	42.3059
HHAT|55733	230.4038	HHAT|55733	247.3268
HHEX|3087	97.8622	HHEX|3087	150.6276
HHIPL1|84439	138.2423	HHIPL1|84439	75.3138
HHIP|64399	9.9762	lowly_expressed	lowly_expressed
HHLA3|11147	118.7648	HHLA3|11147	105.9972
HIAT1|64645	1087.886	HIAT1|64645	1379.3584
HIATL1|84641	1686.4608	HIATL1|84641	1180.3812
HIATL2|84278	19.4774	HIATL2|84278	28.3589
HIBADH|11112	793.3492	HIBADH|11112	1338.4472
HIBCH|26275	488.8361	HIBCH|26275	602.5105
HIC1|3090	170.5463	HIC1|3090	281.7294
HIC2|23119	132.0665	HIC2|23119	121.8038
HIF1AN|55662	842.2803	HIF1AN|55662	1560.2046
HIF1A|3091	2626.6033	HIF1A|3091	2698.7448
lowly_expressed	lowly_expressed	HIF3A|64344	332.4035
HIGD1A|25994	2103.0879	HIGD1A|25994	1704.7885
HIGD1B|51751	12.8266	HIGD1B|51751	27.894000000000002
HIGD2A|192286	660.3325	HIGD2A|192286	614.133
HINFP|25988	355.8195	HINFP|25988	347.2803
HINT1|3094	4263.1829	HINT1|3094	2981.8689
HINT2|84681	271.73400000000004	HINT2|84681	315.6671
HINT3|135114	867.4584	HINT3|135114	1231.0553
HIP1R|9026	1742.9929	HIP1R|9026	1239.4235
HIP1|3092	1422.8029	HIP1|3092	1404.463
HIPK1|204851	1376.247	HIPK1|204851	2612.2734
HIPK2|28996	1758.6698	HIPK2|28996	2338.9121
HIPK3|10114	813.7767	HIPK3|10114	2071.1297
lowly_expressed	lowly_expressed	HIPK4|147746	5.1139
HIRA|7290	672.6841	HIRA|7290	871.2273
HIRIP3|8479	435.1544	HIRIP3|8479	404.463
HIST1H1C|3006	582.4228	HIST1H1C|3006	170.6183
HIST1H1D|3007	9.0261	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	HIST1H1E|3008	8.8331
HIST1H2AC|8334	649.8812	HIST1H2AC|8334	278.4751
HIST1H2AE|3012	22.8029	HIST1H2AE|3012	11.6225
HIST1H2AG|8969	5.7007	lowly_expressed	lowly_expressed
HIST1H2AM|8336	5.2257	lowly_expressed	lowly_expressed
HIST1H2BC|8347	56.056999999999995	HIST1H2BC|8347	9.298
HIST1H2BD|3017	468.4086	HIST1H2BD|3017	44.1655
HIST1H2BE|8344	8.076	lowly_expressed	lowly_expressed
HIST1H2BG|8339	31.3539	lowly_expressed	lowly_expressed
HIST1H2BH|8345	13.3017	lowly_expressed	lowly_expressed
HIST1H2BJ|8970	44.6556	HIST1H2BJ|8970	9.298
HIST1H2BK|85236	943.4679	HIST1H2BK|85236	285.4486
HIST1H3D|8351	50.9596	lowly_expressed	lowly_expressed
HIST1H3E|8353	34.2043	HIST1H3E|8353	17.2013
HIST1H3H|8357	11.8765	lowly_expressed	lowly_expressed
HIST1H4E|8367	5.2257	HIST1H4E|8367	5.5788
HIST1H4H|8365	160.5701	HIST1H4H|8365	14.8768
HIST1H4J|8363	14.7268	lowly_expressed	lowly_expressed
HIST2H2AA3|8337	485.0356	HIST2H2AA3|8337	85.0767
HIST2H2AC|8338	7.601	lowly_expressed	lowly_expressed
HIST2H2BE|8349	473.6342	HIST2H2BE|8349	278.94
HIST2H2BF|440689	73.1591	HIST2H2BF|440689	47.6616
HIST2H4A|8370	394.2993	HIST2H4A|8370	66.4807
HIST3H2A|92815	33.2542	HIST3H2A|92815	16.7364
HIST4H4|121504	12.8266	HIST4H4|121504	14.4119
HIVEP1|3096	954.3943	HIVEP1|3096	1007.9033
HIVEP2|3097	1048.4561	HIVEP2|3097	1534.6351
HIVEP3|59269	222.8029	HIVEP3|59269	748.0242
HJURP|55355	485.5107	HJURP|55355	30.2185
HK1|3098	5144.4181	HK1|3098	3083.6820000000002
HK2|3099	550.5938	HK2|3099	2126.4528
HK3|3101	139.1924	HK3|3101	20.9205
HKR1|284459	622.8029	HKR1|284459	874.0121
HLA-A|3105	10264.9691	HLA-A|3105	11693.0776
HLA-B|3106	23945.2209	HLA-B|3106	22626.6202
HLA-C|3107	15388.7458	HLA-C|3107	11862.4547
HLA-DMA|3108	612.8266	HLA-DMA|3108	1410.5067
HLA-DMB|3109	649.8812	HLA-DMB|3109	1394.7001
HLA-DOA|3111	393.8242	HLA-DOA|3111	953.9749
HLA-DOB|3112	8.7743	HLA-DOB|3112	92.9614
HLA-DPA1|3113	3664.6081	HLA-DPA1|3113	7961.0135
HLA-DPB1|3115	2059.3824	HLA-DPB1|3115	4481.5714
lowly_expressed	lowly_expressed	HLA-DPB2|3116	6.0437
HLA-DQA1|3117	1434.2043	HLA-DQA1|3117	2299.8605
HLA-DQA2|3118	140.1425	HLA-DQA2|3118	280.3347
HLA-DQB1|3119	522.0903	HLA-DQB1|3119	940.9577
HLA-DQB2|3120	46.0808	HLA-DQB2|3120	188.7494
HLA-DRA|3122	8638.9549	HLA-DRA|3122	16145.9786
HLA-DRB1|3123	3619.7292	HLA-DRB1|3123	5389.6746
HLA-DRB5|3127	296.4371	HLA-DRB5|3127	511.855
HLA-DRB6|3128	189.77200000000002	HLA-DRB6|3128	298.3775
HLA-E|3133	5685.0356	HLA-E|3133	13253.3705
HLA-F|3134	880.6366	HLA-F|3134	1091.8038
HLA-G|3135	12.8266	HLA-G|3135	26.5458
HLA-H|3136	1161.5202	HLA-H|3136	1320.3161
lowly_expressed	lowly_expressed	HLA-J|3137	14.3654
HLA-L|3139	24.228	HLA-L|3139	26.0344
HLCS|3141	1034.2043	HLCS|3141	739.6560000000001
HLF|3131	19.4774	HLF|3131	1053.4635
HLTF|6596	1014.2518	HLTF|6596	830.7764
HLX|3142	140.1425	HLX|3142	125.9879
HM13|81502	4372.4751	HM13|81502	1737.1874
HMBOX1|79618	72.209	HMBOX1|79618	96.2343
HMBS|3145	615.677	HMBS|3145	271.9665
HMCN1|83872	2005.7007	HMCN1|83872	635.0535
HMG20A|10363	844.1805	HMG20A|10363	810.3208
HMG20B|10362	1818.5273	HMG20B|10362	963.2729
HMGA1|3159	1792.2043	HMGA1|3159	1179.7118
HMGA2|8091	8.3088	lowly_expressed	lowly_expressed
HMGB1|3146	5381.9477	HMGB1|3146	4944.6769
HMGB2|3148	2314.4893	HMGB2|3148	1270.1069
HMGB3|3149	2545.8432	HMGB3|3149	258.0195
lowly_expressed	lowly_expressed	HMGCLL1|54511	52.9986
HMGCL|3155	613.7767	HMGCL|3155	674.1051
HMGCR|3156	2625.6532	HMGCR|3156	1005.5788
HMGCS1|3157	2124.9406	HMGCS1|3157	1198.9772
HMGCS2|3158	42.7553	HMGCS2|3158	222.2222
HMGN1|3150	6189.0736	HMGN1|3150	2153.417
HMGN2|3151	6522.5653	HMGN2|3151	3886.5644
HMGN3|9324	390.9644	HMGN3|9324	878.6146
HMGN4|10473	1046.5558	HMGN4|10473	1622.5012
HMGN5|79366	340.1615	HMGN5|79366	157.1362
HMGXB3|22993	1652.2565	HMGXB3|22993	1512.3199
HMGXB4|10042	811.8765	HMGXB4|10042	620.1767
HMHA1|23526	546.3183	HMHA1|23526	637.8429
HMMR|3161	588.5796	HMMR|3161	25.1046
HMOX1|3162	1086.9359	HMOX1|3162	685.7276
HMOX2|3163	1903.0879	HMOX2|3163	590.888
HMX1|3166	20.9026	lowly_expressed	lowly_expressed
HN1L|90861	10325.3967	HN1L|90861	2003.7099
HN1|51155	4285.9857	HN1|51155	587.6337
HNF1A|6927	15.677	HNF1A|6927	8.8331
HNF4G|3174	34.6793	HNF4G|3174	34.8675
HNMT|3176	619.4774	HNMT|3176	1384.4723
HNRNPA0|10949	4336.8171	HNRNPA0|10949	2941.8875
HNRNPA1L2|144983	1733.0166	HNRNPA1L2|144983	2032.543
HNRNPA1|3178	4761.5202	HNRNPA1|3178	5753.603
HNRNPA2B1|3181	25137.7672	HNRNPA2B1|3181	11078.1032
HNRNPA3P1|10151	77.9097	HNRNPA3P1|10151	74.8489
HNRNPA3|220988	4304.9881	HNRNPA3|220988	5020.4556
HNRNPAB|3182	6953.0641	HNRNPAB|3182	2133.7238
HNRNPC|3183	11174.3468	HNRNPC|3183	7638.3078
HNRNPD|3184	4333.4917	HNRNPD|3184	4437.4709
HNRNPF|3185	8474.341999999999	HNRNPF|3185	4573.6588
HNRNPH1|3187	4236.5796	HNRNPH1|3187	5368.2008
HNRNPH2|3188	3153.4442	HNRNPH2|3188	2869.3631
HNRNPH3|3189	1848.4561	HNRNPH3|3189	2712.6918
HNRNPK|3190	16143.4679	HNRNPK|3190	11561.1344
HNRNPL|3191	5686.9359	HNRNPL|3191	4238.4937
HNRNPM|4670	5461.7577	HNRNPM|4670	3884.2399
HNRNPR|10236	3422.8029	HNRNPR|10236	2696.4203
HNRNPUL1|11100	5775.772	HNRNPUL1|11100	5473.7331
HNRNPUL2|221092	3995.4774	HNRNPUL2|221092	3216.6434
HNRNPU|3192	17283.1354	HNRNPU|3192	9667.5965
HNRPDL|9987	2663.1829	HNRPDL|9987	4599.2562
HNRPLL|92906	443.2304	HNRPLL|92906	830.7764
HOMER1|9456	285.5107	HOMER1|9456	205.0209
HOMER2|9455	352.4941	HOMER2|9455	971.1762
HOMER3|9454	780.095	HOMER3|9454	281.762
HOMEZ|57594	300.2375	HOMEZ|57594	308.2287
HOOK1|51361	1441.8052	HOOK1|51361	672.2455
HOOK2|29911	520.19	HOOK2|29911	1070.6648
HOOK3|84376	1966.2708	HOOK3|84376	1446.7689
HOPX|84525	187.1734	HOPX|84525	90.6555
HOTAIR|100124700	50.8314	lowly_expressed	lowly_expressed
HOXA10|3206	113.0641	HOXA10|3206	262.2036
HOXA11AS|221883	9.9762	lowly_expressed	lowly_expressed
HOXA11|3207	37.0546	HOXA11|3207	5.5788
HOXA1|3198	10.4513	HOXA1|3198	22.7801
HOXA2|3199	6.6508	HOXA2|3199	26.4993
HOXA3|3200	42.7553	HOXA3|3200	161.7852
HOXA4|3201	15.1069	HOXA4|3201	189.3956
HOXA5|3202	23.2779	HOXA5|3202	90.1906
lowly_expressed	lowly_expressed	HOXA6|3203	22.2687
HOXA7|3204	46.2423	HOXA7|3204	278.8982
HOXA9|3205	31.3539	HOXA9|3205	126.9177
HOXB13|10481	40.38	lowly_expressed	lowly_expressed
HOXB2|3212	476.4846	HOXB2|3212	169.6885
HOXB3|3213	318.2898	HOXB3|3213	236.6341
HOXB4|3214	47.0309	HOXB4|3214	80.4277
HOXB5|3215	28.9786	HOXB5|3215	7.9033
HOXB6|3216	74.1093	HOXB6|3216	23.245
HOXB7|3217	203.3254	HOXB7|3217	119.0144
HOXB8|3218	20.9026	HOXB8|3218	14.4119
HOXB9|3219	35.1544	HOXB9|3219	5.1139
HOXC10|3226	495.0119	HOXC10|3226	47.4198
HOXC11|3227	56.5321	lowly_expressed	lowly_expressed
HOXC13|3229	181.9477	HOXC13|3229	7.4384
HOXC4|3221	56.8361	HOXC4|3221	45.8159
HOXC5|3222	13.0261	HOXC5|3222	20.1348
HOXC6|3223	172.4228	HOXC6|3223	154.4119
HOXC8|3224	112.11399999999999	HOXC8|3224	169.2236
HOXC9|3225	171.9715	HOXC9|3225	69.2701
HOXD10|3236	6.6508	HOXD10|3236	57.6476
HOXD1|3231	27.5534	HOXD1|3231	16.7364
HOXD3|3232	13.7767	HOXD3|3232	39.0516
HOXD4|3233	9.5012	HOXD4|3233	22.7801
HOXD8|3234	339.6675	HOXD8|3234	238.4937
HOXD9|3235	62.7078	HOXD9|3235	185.4951
HP1BP3|50809	3082.6603	HP1BP3|50809	4805.2069
HPCAL1|3241	923.0404	HPCAL1|3241	627.6151
HPDL|84842	5.2257	HPDL|84842	16.7364
lowly_expressed	lowly_expressed	HPD|3242	7.4384
HPGDS|27306	35.6295	HPGDS|27306	75.7787
HPGD|3248	204.2755	HPGD|3248	181.7759
HPN|3249	71.2589	HPN|3249	126.9177
HPRT1|3251	532.0665	HPRT1|3251	418.41
HPS1|3257	837.0546	HPS1|3257	1318.9214
HPS3|84343	1077.4917	HPS3|84343	711.8178
HPS4|89781	520.6651	HPS4|89781	834.0307
HPS5|11234	498.3373	HPS5|11234	1220.8275
HPS6|79803	491.6865	HPS6|79803	356.5783
lowly_expressed	lowly_expressed	HPSE2|60495	97.1641
HPSE|10855	62.2328	HPSE|10855	55.3231
HPX|3263	85.5107	HPX|3263	44.6304
lowly_expressed	lowly_expressed	HP|3240	29.7536
HRASLS2|54979	44.6556	HRASLS2|54979	8.3682
HRASLS5|117245	8.076	HRASLS5|117245	641.5621
HRASLS|57110	56.056999999999995	HRASLS|57110	17.2013
HRAS|3265	817.1021	HRAS|3265	352.8591
HRCT1|646962	9.5012	HRCT1|646962	210.5997
lowly_expressed	lowly_expressed	HRC|3270	46.49
HRH1|3269	231.829	HRH1|3269	214.3189
HRH2|3274	16.6271	HRH2|3274	13.947000000000001
HRSP12|10247	338.7173	HRSP12|10247	238.4937
HR|55806	388.5986	HR|55806	284.9837
HS1BP3|64342	649.4062	HS1BP3|64342	449.0934
HS2ST1|9653	821.8527	HS2ST1|9653	852.1618
HS3ST1|9957	142.5178	HS3ST1|9957	77.1734
HS3ST2|9956	38.9549	HS3ST2|9956	209.6699
HS3ST3A1|9955	51.7815	HS3ST3A1|9955	15.8066
HS3ST3B1|9953	15.677	HS3ST3B1|9953	11.6225
lowly_expressed	lowly_expressed	HS3ST4|9951	81.3575
HS6ST1|9394	2375.2969	HS6ST1|9394	1336.1227
HS6ST2|90161	38.9549	HS6ST2|90161	79.033
HS6ST3|266722	264.133	HS6ST3|266722	15.3417
HSBP1L1|440498	138.2423	HSBP1L1|440498	111.57600000000001
HSBP1|3281	2926.3658	HSBP1|3281	1473.2682
HSCB|150274	203.3254	HSCB|150274	231.9851
HSD11B1L|374875	54.6318	HSD11B1L|374875	71.5946
HSD11B1|3290	14.7268	HSD11B1|3290	724.3143
HSD11B2|3291	765.3207	HSD11B2|3291	278.0102
HSD17B10|3028	1772.9216	HSD17B10|3028	852.1618
HSD17B11|51170	239.905	HSD17B11|51170	796.8387
HSD17B12|51144	1494.0618	HSD17B12|51144	1748.4891
lowly_expressed	lowly_expressed	HSD17B13|345275	131.5667
HSD17B14|51171	92.1615	HSD17B14|51171	141.7945
HSD17B1|3292	23.9952	HSD17B1|3292	66.318
HSD17B2|3294	6.1758	HSD17B2|3294	158.066
HSD17B4|3295	2324.4656	HSD17B4|3295	2484.4258
HSD17B6|8630	257.4822	HSD17B6|8630	9.7629
HSD17B7P2|158160	30.4038	HSD17B7P2|158160	33.4728
HSD17B7|51478	458.4323	HSD17B7|51478	158.066
HSD17B8|7923	14.2518	HSD17B8|7923	259.4142
HSD3B2|3284	6.6508	HSD3B2|3284	13.0172
HSD3B7|80270	437.5297	HSD3B7|80270	443.0497
HSDL1|83693	1315.9145	HSDL1|83693	646.6759999999999
HSDL2|84263	702.6128	HSDL2|84263	1681.5435
HSF1|3297	2648.2898	HSF1|3297	1303.0126
HSF2BP|11077	9.9762	HSF2BP|11077	13.0172
HSF2|3298	400.4751	HSF2|3298	449.5583
HSF4|3299	60.361000000000004	HSF4|3299	120.2743
lowly_expressed	lowly_expressed	HSF5|124535	7.9033
HSFX2|100130086	20.4276	HSFX2|100130086	26.9642
HSH2D|84941	212.8266	HSH2D|84941	88.331
HSN2|378465	13.3017	HSN2|378465	20.9205
HSP90AA1|3320	111047.981	HSP90AA1|3320	27466.7596
HSP90AB1|3326	39050.3563	HSP90AB1|3326	27850.7671
HSP90AB2P|391634	55.5819	HSP90AB2P|391634	25.5695
HSP90B1|7184	21504.9881	HSP90B1|7184	14623.8959
HSP90B3P|343477	9.0261	HSP90B3P|343477	6.0437
HSPA12A|259217	363.8955	HSPA12A|259217	707.113
HSPA12B|116835	154.3943	HSPA12B|116835	524.8722
HSPA13|6782	1196.1995	HSPA13|6782	724.7792
HSPA14|51182	625.1781	HSPA14|51182	477.9172
HSPA1A|3303	24743.3444	HSPA1A|3303	9435.7601
HSPA1B|3304	3207.6009999999997	HSPA1B|3304	1208.2752
HSPA1L|3305	43.7197	HSPA1L|3305	43.7006
HSPA2|3306	150.5938	HSPA2|3306	365.4114
HSPA4L|22824	75.0594	HSPA4L|22824	262.2036
HSPA4|3308	4747.2684	HSPA4|3308	2139.47
HSPA5|3309	19453.6817	HSPA5|3309	10169.6885
HSPA6|3310	189.5487	HSPA6|3310	98.5588
HSPA7|3311	128.7411	HSPA7|3311	145.0488
HSPA8|3312	73674.5843	HSPA8|3312	20875.4068
HSPA9|3313	8342.0428	HSPA9|3313	5067.4105
HSPB11|51668	2909.2637	HSPB11|51668	274.291
HSPB1|3315	13836.5796	HSPB1|3315	2531.3808
HSPB2|3316	37.5154	HSPB2|3316	278.1915
HSPB6|126393	63.1829	HSPB6|126393	6411.4365
HSPB7|27129	41.3302	HSPB7|27129	3932.5895
HSPB8|26353	1573.8717	HSPB8|26353	2323.5704
HSPBAP1|79663	122.0903	HSPBAP1|79663	160.8554
HSPBP1|23640	531.5914	HSPBP1|23640	398.4193
HSPC157|29092	195.2494	HSPC157|29092	365.8763
HSPC159|29094	421.3777	HSPC159|29094	715.4812
HSPD1|3329	11120.19	HSPD1|3329	5192.9335
HSPE1|3336	2342.5178	HSPE1|3336	719.2004
HSPG2|3339	9955.0071	HSPG2|3339	11542.6127
HSPH1|10808	6999.0499	HSPH1|10808	2135.7508
HTATIP2|10553	916.8646	HTATIP2|10553	372.8498
HTATSF1|27336	1573.3967	HTATSF1|27336	1861.4598
HTR1B|3351	6.6508	lowly_expressed	lowly_expressed
HTR1D|3352	16.152	lowly_expressed	lowly_expressed
HTR1F|3355	13.7767	HTR1F|3355	17.6662
lowly_expressed	lowly_expressed	HTR2A|3356	8.8331
HTR2B|3357	25.6532	HTR2B|3357	14.4119
HTR7P1|93164	86.4608	HTR7P1|93164	152.4872
HTR7|3363	14.2518	HTR7|3363	24.6397
HTRA1|5654	12265.5582	HTRA1|5654	4966.5272
HTRA2|27429	404.1758	HTRA2|27429	464.4398
HTRA3|94031	3796.1995	HTRA3|94031	828.9168
HTRA4|203100	11.4014	HTRA4|203100	25.5695
HTT|3064	2035.6295	HTT|3064	2181.311
HUNK|30811	711.6389999999999	HUNK|30811	228.2659
HUS1|3364	308.3135	HUS1|3364	269.1771
HUWE1|10075	6268.8836	HUWE1|10075	7303.5797
HVCN1|84329	97.3872	HVCN1|84329	157.1362
HYAL1|3373	11.8765	HYAL1|3373	149.2329
HYAL2|8692	1506.4133	HYAL2|8692	1360.7624
HYAL3|8372	39.4204	HYAL3|8372	37.006
HYDIN|54768	196.6746	HYDIN|54768	99.9535
HYI|81888	139.1639	HYI|81888	351.9619
HYLS1|219844	348.6936	HYLS1|219844	67.8754
HYOU1|10525	6245.1306	HYOU1|10525	2763.8308
IAH1|285148	540.6176	IAH1|285148	485.3556
IARS2|55699	3271.2589	IARS2|55699	2571.3622
IARS|3376	3771.0214	IARS|3376	2278.4751
IBSP|3381	30.4038	lowly_expressed	lowly_expressed
IBTK|25998	1402.8504	IBTK|25998	1410.0418
ICA1L|130026	104.9881	ICA1L|130026	172.013
ICA1|3382	731.5914	ICA1|3382	626.2204
ICAM1|3383	1042.7553	ICAM1|3383	1693.6309
ICAM2|3384	113.0356	ICAM2|3384	673.1195
