gene_id	TCGA-E9-A1RD-01A-11R-A157-07	gene_id	TCGA-E9-A1RD-11A-33R-A157-07
ACYP2|98	233.8715	ACYP2|98	267.9515
ADAL|161823	258.5708	ADAL|161823	253.9633
ADAM10|102	1920.6278	ADAM10|102	1569.1638
removed	removed	ADAM11|4185	5.2844
ADAM12|8038	1638.1295	ADAM12|8038	1138.9493
ADAM15|8751	5104.5346	ADAM15|8751	2980.7274
ADAM17|6868	665.8519	ADAM17|6868	730.1834
ADAM19|8728	240.8182	ADAM19|8728	155.4243
ADAM21|8747	7.7185	ADAM21|8747	5.5953
ADAM22|53616	56.6026	ADAM22|53616	170.0342
ADAM23|8745	12.8642	ADAM23|8745	47.8707
ADAM28|10863	77.9572	ADAM28|10863	45.3839
ADAM32|203102	21.3546	ADAM32|203102	40.4103
ADAM33|80332	33.447	ADAM33|80332	874.0783
ADAM6|8755	2549.279	ADAM6|8755	7143.2888
ADAM8|101	253.4251	ADAM8|101	41.6537
ADAM9|8754	1051.0066	ADAM9|8754	2846.1299
ADAMDEC1|27299	47.3403	removed	removed
ADAMTS10|81794	181.9	ADAMTS10|81794	428.9711
ADAMTS12|81792	308.2267	ADAMTS12|81792	358.7193
ADAMTS13|11093	57.889	ADAMTS13|11093	24.557
ADAMTS14|140766	110.1177	removed	removed
ADAMTS15|170689	2459.3812	ADAMTS15|170689	457.2583
ADAMTS16|170690	201.7109	ADAMTS16|170690	145.788
ADAMTS17|170691	43.4811	ADAMTS17|170691	33.5717
ADAMTS18|170692	9.7768	ADAMTS18|170692	235.0016
ADAMTS19|171019	443.301	ADAMTS19|171019	8.3929
ADAMTS1|9510	361.2272	ADAMTS1|9510	2857.6313
ADAMTS2|9509	258.5708	ADAMTS2|9509	968.6043
ADAMTS3|9508	11.3205	ADAMTS3|9508	150.4507
ADAMTS4|9507	294.8479	ADAMTS4|9507	162.5738
ADAMTS5|11096	165.6911	ADAMTS5|11096	3497.9795
ADAMTS6|11174	122.7246	ADAMTS6|11174	37.6127
ADAMTS7|11173	91.5932	ADAMTS7|11173	119.6767
ADAMTS8|11095	81.3019	ADAMTS8|11095	23.9353
