gene_id	TCGA-GI-A2C8-01A-11R-A16F-07	gene_id	TCGA-GI-A2C8-11A-22R-A16F-07
ADAT2|134637	61.9143	ADAT2|134637	47.5698
ADAT3|113179	50.2008	ADAT3|113179	13.4436
ADA|100	102.7443	ADA|100	169.0796
ADCK1|57143	130.5221	ADCK1|57143	167.5284
ADCK2|90956	1158.2999	ADCK2|90956	349.5346
ADCK4|79934	529.1165	ADCK4|79934	243.0196
ADCK5|203054	84.0027	ADCK5|203054	65.667
ADCY1|107	96.7202	ADCY1|107	1143.7435
ADCY2|108	52.5435	ADCY2|108	4628.2316
ADCY3|109	770.1339	ADCY3|109	414.2451
ADCY4|196883	243.9759	ADCY4|196883	304.0331
ADCY5|111	1811.5797	ADCY5|111	27.9214
ADCY6|112	1568.2731	ADCY6|112	642.7094
ADCY7|113	804.2169	ADCY7|113	442.0889
ADCY9|115	923.6948	ADCY9|115	3496.3806
lowly_expressed	lowly_expressed	ADCYAP1R1|117	23.2678
ADCYAP1|116	13.0522	lowly_expressed	lowly_expressed
ADC|113451	247.992	ADC|113451	74.9741
ADD1|118	4701.1379	ADD1|118	8417.2699
ADD2|119	12.0482	ADD2|119	17.0631
ADD3|120	1338.0187	ADD3|120	1328.8521
lowly_expressed	lowly_expressed	ADH1A|124	23.2678
ADH1B|125	14.7256	ADH1B|125	1519.1313
lowly_expressed	lowly_expressed	ADH1C|126	185.1086
ADH5|128	1348.3936	ADH5|128	2196.484
ADHFE1|137872	174.3641	ADHFE1|137872	2094.6225
ADI1|55256	617.1352	ADI1|55256	3959.152
ADIPOQ|9370	8.0321	ADIPOQ|9370	275.5946
ADIPOR1|51094	5364.7925	ADIPOR1|51094	3162.3578
ADIPOR2|79602	5301.5395	ADIPOR2|79602	2382.6267
ADK|132	232.9317	ADK|132	415.2017
ADM2|79924	151.2718	lowly_expressed	lowly_expressed
ADM|133	100.0669	ADM|133	199.5863
ADNP2|22850	773.427	ADNP2|22850	172.182
ADNP|23394	3662.3159	ADNP|23394	2322.6474
ADORA1|134	23.7617	ADORA1|134	56.3599
ADORA2A|135	1604.6285	ADORA2A|135	36.7115
ADORA2B|136	8.0321	ADORA2B|136	25.8532
ADORA3|140	372.1553	ADORA3|140	7.7559
ADO|84890	554.2169	ADO|84890	665.9772
ADPGK|83440	802.0783	ADPGK|83440	257.0217
ADPRHL1|113622	160.9772	ADPRHL1|113622	3010.3413
ADPRHL2|54936	521.0843	ADPRHL2|54936	713.03
ADPRH|141	270.7497	ADPRH|141	471.0445
lowly_expressed	lowly_expressed	ADRA1A|148	10.3413
ADRA1B|147	50.2008	ADRA1B|147	39.8139
lowly_expressed	lowly_expressed	ADRA1D|146	9.3071
ADRA2A|150	826.3052	ADRA2A|150	32.0579
ADRA2B|151	6.0241	ADRA2B|151	72.3888
ADRA2C|152	403.2798	ADRA2C|152	33.6091
ADRB2|154	327.6439	ADRB2|154	466.3909
ADRBK1|156	2068.9424	ADRBK1|156	2053.7746
ADRBK2|157	483.9357	ADRBK2|157	80.6618
ADRM1|11047	1366.1312	ADRM1|11047	2497.9317
ADSL|158	544.8461	ADSL|158	6065.667
ADSSL1|122622	92.0348	ADSSL1|122622	13672.6991
ADSS|159	1644.913	ADSS|159	253.3609
AEBP1|165	27830.656	AEBP1|165	1477.7663
AEBP2|121536	650.2677	AEBP2|121536	505.1706
AEN|64782	511.3788	AEN|64782	204.2399
AES|166	7685.743	AES|166	16237.332
AFAP1L1|134265	368.4739	AFAP1L1|134265	1361.9442
AFAP1L2|84632	506.0241	AFAP1L2|84632	255.4292
AFAP1|60312	1241.9411	AFAP1|60312	322.1148
AFF1|4299	2161.9813	AFF1|4299	4398.6556
AFF2|2334	44.5114	AFF2|2334	10.8583
