gene_id	TCGA-GI-A2C8-01A-11R-A16F-07	gene_id	TCGA-GI-A2C8-11A-22R-A16F-07
LOC100303728|100303728	20.7497	LOC100303728|100303728	66.7011
LOC113230|113230	194.7791	LOC113230|113230	34.1262
LOC115110|115110	52.3159	LOC115110|115110	12.6991
LOC121838|121838	8.3668	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	LOC121952|121952	103.4126
LOC134466|134466	19.410999999999998	LOC134466|134466	17.5801
LOC143188|143188	22.423000000000002	lowly_expressed	lowly_expressed
LOC143666|143666	17.0683	LOC143666|143666	29.9897
LOC144438|144438	471.5529	LOC144438|144438	685.6256
LOC144571|144571	32.8882	LOC144571|144571	79.8294
LOC145783|145783	37.2222	LOC145783|145783	36.3909
LOC145820|145820	13.7216	LOC145820|145820	35.1603
LOC145837|145837	27.1084	lowly_expressed	lowly_expressed
LOC146336|146336	15.0602	lowly_expressed	lowly_expressed
LOC146880|146880	232.8548	LOC146880|146880	74.6277
LOC147727|147727	304.5515	LOC147727|147727	669.5967
LOC147804|147804	154.2838	LOC147804|147804	43.9504
LOC148189|148189	62.7544	LOC148189|148189	79.6277
LOC148413|148413	176.1847	LOC148413|148413	85.4085
LOC148696|148696	45.5823	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	LOC148824|148824	6.7218
LOC149134|149134	5.3548	LOC149134|149134	6.2048
LOC149837|149837	25.7697	LOC149837|149837	63.5988
LOC150381|150381	42.5033	LOC150381|150381	337.6422
LOC150776|150776	390.8969	LOC150776|150776	133.4023
LOC150786|150786	50.2008	LOC150786|150786	64.1158
LOC151009|151009	22.7577	lowly_expressed	lowly_expressed
LOC151162|151162	800.2008	LOC151162|151162	232.1613
LOC151534|151534	301.2952	LOC151534|151534	35.3206
LOC152217|152217	259.7055	LOC152217|152217	420.3723
LOC152225|152225	9.3708	lowly_expressed	lowly_expressed
LOC153328|153328	34.4712	lowly_expressed	lowly_expressed
LOC153684|153684	27.7778	LOC153684|153684	60.4964
LOC154761|154761	131.8876	lowly_expressed	lowly_expressed
LOC154822|154822	8.8788	LOC154822|154822	60.8066
LOC158376|158376	18.0723	LOC158376|158376	36.7115
LOC158572|158572	49.1968	LOC158572|158572	20.6825
LOC158696|158696	6.3588	LOC158696|158696	20.1655
LOC162632|162632	35.1707	LOC162632|162632	10.8221
LOC168474|168474	9.3708	LOC168474|168474	6.2048
LOC200030|200030	421.1044	LOC200030|200030	170.7549
LOC202181|202181	73.9625	LOC202181|202181	29.9897
LOC202781|202781	275.7697	LOC202781|202781	159.7725
LOC219347|219347	123.3936	LOC219347|219347	29.4726
lowly_expressed	lowly_expressed	LOC220429|220429	6.2048
LOC220594|220594	54.5515	LOC220594|220594	58.9245
LOC220729|220729	197.4565	LOC220729|220729	252.3268
LOC220930|220930	56.5261	LOC220930|220930	49.4933
LOC221442|221442	24.7657	LOC221442|221442	11.3754
LOC221710|221710	237.9518	LOC221710|221710	1055.3257
LOC222699|222699	19.410999999999998	LOC222699|222699	26.3702
LOC253039|253039	464.1901	LOC253039|253039	186.6598
LOC253724|253724	8.7015	lowly_expressed	lowly_expressed
LOC254559|254559	92.7041	lowly_expressed	lowly_expressed
LOC255167|255167	19.0763	LOC255167|255167	74.4571
LOC25845|25845	216.7838	LOC25845|25845	323.0196
LOC282997|282997	34.8059	LOC282997|282997	11.8925
LOC283050|283050	42.1687	LOC283050|283050	7.7559
LOC283070|283070	279.1165	LOC283070|283070	96.1737
LOC283174|283174	276.7738	LOC283174|283174	147.363
LOC283267|283267	1172.3561	LOC283267|283267	118.9245
LOC283314|283314	49.6285	LOC283314|283314	9.3485
lowly_expressed	lowly_expressed	LOC283392|283392	10.6101
LOC283404|283404	11.3788	lowly_expressed	lowly_expressed
LOC283663|283663	25.1004	lowly_expressed	lowly_expressed
LOC283731|283731	7.0281	LOC283731|283731	10.3413
LOC283867|283867	82.9987	lowly_expressed	lowly_expressed
LOC283922|283922	64.9264	LOC283922|283922	54.2916
LOC284023|284023	90.3614	LOC284023|284023	23.2678
LOC284232|284232	28.1124	LOC284232|284232	14.9948
lowly_expressed	lowly_expressed	LOC284233|284233	10.3413
lowly_expressed	lowly_expressed	LOC284379|284379	11.8925
LOC284440|284440	52.8782	LOC284440|284440	82.7301
LOC284441|284441	82.9987	LOC284441|284441	62.5646
lowly_expressed	lowly_expressed	LOC284578|284578	6.7218
LOC284837|284837	6.0241	LOC284837|284837	7.2389
LOC284900|284900	234.3942	LOC284900|284900	195.8945
LOC285033|285033	39.4311	LOC285033|285033	77.7094
LOC285074|285074	160.9772	LOC285074|285074	167.0114
LOC285359|285359	50.8701	LOC285359|285359	87.9007
lowly_expressed	lowly_expressed	LOC285419|285419	152.5336
LOC285593|285593	17.4029	LOC285593|285593	8.7901
LOC285830|285830	9.1265	LOC285830|285830	15.5895
LOC285954|285954	12.0482	lowly_expressed	lowly_expressed
LOC286367|286367	37.8179	LOC286367|286367	485.5222
LOC286467|286467	5.3548	lowly_expressed	lowly_expressed
LOC338651|338651	12.7175	LOC338651|338651	8.273
LOC338758|338758	30.7898	LOC338758|338758	29.9897
LOC338799|338799	626.8407	LOC338799|338799	95.1396
LOC339047|339047	728.2463	LOC339047|339047	989.6587
LOC339290|339290	407.99199999999996	LOC339290|339290	1243.6556
LOC339524|339524	51.5395	LOC339524|339524	143.7435
LOC339535|339535	29.7858	lowly_expressed	lowly_expressed
LOC341056|341056	6.6934	lowly_expressed	lowly_expressed
LOC344595|344595	103.7483	LOC344595|344595	54.2916
LOC348926|348926	65.5957	LOC348926|348926	6.2048
LOC349114|349114	80.656	LOC349114|349114	13.4436
LOC374443|374443	175.3681	LOC374443|374443	22.7508
LOC375190|375190	41.4993	LOC375190|375190	58.4281
LOC387646|387646	40.1606	LOC387646|387646	19.1313
LOC387647|387647	471.6533	LOC387647|387647	677.4767
LOC388152|388152	743.9759	LOC388152|388152	299.8966
LOC388242|388242	8.3668	LOC388242|388242	9.3071
LOC388588|388588	24.0964	lowly_expressed	lowly_expressed
LOC388692|388692	489.6252	LOC388692|388692	23.7849
LOC388789|388789	436.4123	LOC388789|388789	1219.2347
LOC388796|388796	299.8661	LOC388796|388796	52.2234
LOC388955|388955	333.3333	LOC388955|388955	57.9111
lowly_expressed	lowly_expressed	LOC389332|389332	8.7901
LOC389333|389333	71.6198	LOC389333|389333	2345.9152
LOC389458|389458	7.4866	lowly_expressed	lowly_expressed
LOC389493|389493	405.2878	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	LOC389705|389705	5.6877
LOC390595|390595	5.0201	LOC390595|390595	8.273
LOC391322|391322	16.7336	lowly_expressed	lowly_expressed
LOC399744|399744	204.8193	LOC399744|399744	417.787
LOC399959|399959	281.4592	LOC399959|399959	225.9566
LOC400027|400027	148.2597	LOC400027|400027	618.9245
LOC400043|400043	171.3521	LOC400043|400043	53.7746
LOC400657|400657	159.9732	LOC400657|400657	351.6029
LOC400696|400696	5.0201	LOC400696|400696	22.7508
LOC400752|400752	15.0602	LOC400752|400752	24.819000000000003
LOC400759|400759	9.3708	lowly_expressed	lowly_expressed
LOC400927|400927	15.2744	LOC400927|400927	16.0445
LOC400931|400931	17.4029	LOC400931|400931	10.3413
LOC401010|401010	18.407	LOC401010|401010	35.6774
LOC401052|401052	52.8782	LOC401052|401052	26.3702
LOC401093|401093	54.9364	LOC401093|401093	1885.0672
LOC401127|401127	5.0201	LOC401127|401127	32.575
LOC401397|401397	407.9652	LOC401397|401397	1864.0124
LOC401431|401431	109.1901	LOC401431|401431	25.8532
LOC401463|401463	5.0201	lowly_expressed	lowly_expressed
LOC401588|401588	64.257	LOC401588|401588	89.4519
LOC402377|402377	10.7095	LOC402377|402377	12.4095
LOC407835|407835	46.1847	LOC407835|407835	130.2999
lowly_expressed	lowly_expressed	LOC440173|440173	15.5119
LOC440354|440354	214.5382	LOC440354|440354	106.9183
LOC440905|440905	32.4632	lowly_expressed	lowly_expressed
LOC440944|440944	184.739	LOC440944|440944	116.8563
LOC440957|440957	82.3293	LOC440957|440957	339.7104
LOC441046|441046	6.6934	LOC441046|441046	16.029
LOC441089|441089	139.8929	LOC441089|441089	102.8956
LOC441204|441204	88.0187	LOC441204|441204	39.8139
LOC441208|441208	42.1687	LOC441208|441208	53.2575
LOC441294|441294	33.4672	lowly_expressed	lowly_expressed
LOC441454|441454	5.3548	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	LOC441455|441455	8.273
LOC441666|441666	11.7135	LOC441666|441666	7.2389
LOC441869|441869	106.09100000000001	LOC441869|441869	60.4964
LOC442421|442421	17.7376	lowly_expressed	lowly_expressed
LOC442454|442454	94.7122	LOC442454|442454	583.7642
LOC493754|493754	617.8046	LOC493754|493754	323.1644
LOC541471|541471	410.9772	LOC541471|541471	64.6329
LOC550112|550112	88.0187	LOC550112|550112	37.2285
LOC550643|550643	435.74300000000005	LOC550643|550643	141.6753
LOC554202|554202	9.3708	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	LOC572558|572558	9.3071
LOC595101|595101	23.5442	LOC595101|595101	56.3392
LOC606724|606724	37.1486	lowly_expressed	lowly_expressed
LOC613037|613037	56.5495	LOC613037|613037	48.0869
LOC619207|619207	22.7577	LOC619207|619207	8.7901
LOC641298|641298	230.8133	LOC641298|641298	196.6494
LOC642826|642826	37.0448	LOC642826|642826	54.0693
LOC642846|642846	45.5154	LOC642846|642846	23.2678
LOC642852|642852	321.9545	LOC642852|642852	58.4281
LOC643008|643008	7.6975	lowly_expressed	lowly_expressed
LOC643387|643387	29.4511	LOC643387|643387	26.3702
lowly_expressed	lowly_expressed	LOC643677|643677	7.2389
LOC643719|643719	7.0281	LOC643719|643719	8.7901
LOC643763|643763	8.0321	LOC643763|643763	12.4095
LOC643837|643837	120.4819	LOC643837|643837	221.8201
LOC644165|644165	9.3474	lowly_expressed	lowly_expressed
LOC644172|644172	6.0241	lowly_expressed	lowly_expressed
LOC644538|644538	70.9505	LOC644538|644538	76.0083
LOC644936|644936	24.4311	lowly_expressed	lowly_expressed
LOC645166|645166	52.5435	LOC645166|645166	72.3888
LOC645332|645332	111.4458	LOC645332|645332	14.9948
LOC645431|645431	38.5241	LOC645431|645431	5.3257
LOC645676|645676	29.5348	LOC645676|645676	53.696999999999996
LOC645752|645752	6.3588	LOC645752|645752	7.2389
LOC646214|646214	146.2517	LOC646214|646214	112.7198
LOC646471|646471	47.7309	LOC646471|646471	86.334
LOC646762|646762	554.8862	LOC646762|646762	312.3061
LOC646851|646851	71.9545	lowly_expressed	lowly_expressed
LOC646999|646999	24.0964	LOC646999|646999	13.4436
LOC647121|647121	44.5114	LOC647121|647121	8.7901
LOC647288|647288	7.3628	LOC647288|647288	8.7901
lowly_expressed	lowly_expressed	LOC647309|647309	5.1706
LOC647859|647859	10.3748	lowly_expressed	lowly_expressed
LOC647979|647979	13945.4485	LOC647979|647979	13791.6236
LOC648740|648740	15.8199	LOC648740|648740	30.1396
LOC649330|649330	12.3829	LOC649330|649330	6.2048
LOC650368|650368	28.1124	LOC650368|650368	10.3413
LOC650623|650623	62.9183	LOC650623|650623	140.6412
LOC651250|651250	1991.2985	LOC651250|651250	2193.3816
LOC652276|652276	70.2811	LOC652276|652276	49.6381
LOC653113|653113	31.4592	lowly_expressed	lowly_expressed
LOC653501|653501	143.909	LOC653501|653501	339.7104
LOC653566|653566	2038.1526	LOC653566|653566	901.2410000000001
LOC653653|653653	92.0348	LOC653653|653653	726.4736
LOC653786|653786	6.6934	lowly_expressed	lowly_expressed
LOC654342|654342	134.8728	LOC654342|654342	223.3713
LOC654433|654433	249.0462	LOC654433|654433	103.5936
LOC678655|678655	269.8795	LOC678655|678655	144.7777
LOC723972|723972	12.3829	LOC723972|723972	5.1706
LOC727896|727896	8.7015	LOC727896|727896	21.7166
LOC728024|728024	55.8902	LOC728024|728024	27.9214
LOC728190|728190	64.5917	LOC728190|728190	53.2575
LOC728264|728264	159.6386	LOC728264|728264	14.9948
LOC728323|728323	72.6238	LOC728323|728323	17.5801
LOC728392|728392	274.7657	LOC728392|728392	25.8532
LOC728554|728554	119.1432	LOC728554|728554	42.9162
LOC728613|728613	356.7604	LOC728613|728613	171.6649
LOC728640|728640	50.5355	LOC728640|728640	33.092
LOC728643|728643	32.4632	LOC728643|728643	20.6825
LOC728723|728723	11.0442	lowly_expressed	lowly_expressed
LOC728743|728743	170.6827	LOC728743|728743	77.0424
LOC728758|728758	27.1084	LOC728758|728758	34.1262
lowly_expressed	lowly_expressed	LOC728819|728819	10.3413
LOC728855|728855	278.2631	LOC728855|728855	30.1655
LOC728875|728875	114.9766	LOC728875|728875	6.546
lowly_expressed	lowly_expressed	LOC728989|728989	59.4623
LOC729020|729020	26.1044	LOC729020|729020	9.3071
LOC729082|729082	500.6526	LOC729082|729082	2389.3071
LOC729176|729176	37.1486	LOC729176|729176	19.1313
LOC729234|729234	79.6519	LOC729234|729234	50.1551
LOC729375|729375	22.7577	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	LOC729467|729467	40.848
LOC729603|729603	26.4391	LOC729603|729603	7.2389
LOC729678|729678	684.5716	LOC729678|729678	214.1417
LOC729799|729799	9.7055	LOC729799|729799	7.2389
LOC729991-MEF2B|4207	48.6145	LOC729991-MEF2B|4207	13.878
LOC729991|729991	236.3353	LOC729991|729991	198.4436
LOC730101|730101	119.8126	LOC730101|730101	14.9948
LOC80054|80054	19.410999999999998	LOC80054|80054	61.5305
LOC80154|80154	832.9987	LOC80154|80154	380.5584
LOC81691|81691	39.1566	LOC81691|81691	27.9214
LOC84740|84740	5.7162	lowly_expressed	lowly_expressed
LOC84856|84856	8.0321	LOC84856|84856	5.6877
lowly_expressed	lowly_expressed	LOC84989|84989	6.2875
LOC90110|90110	238.6212	LOC90110|90110	101.8614
LOC90246|90246	169.6787	LOC90246|90246	13.9607
LOC90784|90784	317.2691	LOC90784|90784	296.2771
LOC90834|90834	20.415	LOC90834|90834	7.2389
LOC91316|91316	244.0997	LOC91316|91316	87.3837
LOC92249|92249	1121.1513	LOC92249|92249	317.9938
LOC92659|92659	80.3213	LOC92659|92659	10.8583
LOC92973|92973	354.083	LOC92973|92973	133.4023
LOC93622|93622	260.0402	LOC93622|93622	231.6443
LOC96610|96610	1848.8019	LOC96610|96610	255.1448
LOH12CR1|118426	100.4016	LOH12CR1|118426	123.061
LOH12CR2|503693	31.1245	LOH12CR2|503693	21.1996
LOH3CR2A|29931	68.9424	LOH3CR2A|29931	421.4064
LONP1|9361	1107.095	LONP1|9361	2538.7797
LONP2|83752	2827.9786	LONP2|83752	2304.5502
LONRF1|91694	389.5582	LONRF1|91694	655.6360000000001
LONRF2|164832	1031.7938	LONRF2|164832	1320.0620000000001
LONRF3|79836	12.7175	LONRF3|79836	146.8459
LOXHD1|125336	12.0482	LOXHD1|125336	23.7849
LOXL1|4016	1739.9565	LOXL1|4016	316.4271
LOXL2|4017	1332.8681	LOXL2|4017	665.9617
LOXL3|84695	192.1687	LOXL3|84695	63.3506
LOXL4|84171	45.8501	LOXL4|84171	254.395
LOX|4015	1951.4726	LOX|4015	445.7084
LPAR1|1902	594.3775	LPAR1|1902	506.2048
LPAR2|9170	105.087	lowly_expressed	lowly_expressed
LPAR4|2846	14.3909	LPAR4|2846	14.4778
LPAR5|57121	351.7403	lowly_expressed	lowly_expressed
LPAR6|10161	991.9679	LPAR6|10161	388.8314
LPCAT1|79888	1600.7363	LPCAT1|79888	180.9721
LPCAT2|54947	846.0509	LPCAT2|54947	247.1562
LPCAT3|10162	2434.4043	LPCAT3|10162	1346.9493
LPCAT4|254531	262.0482	LPCAT4|254531	262.151
LPGAT1|9926	5288.1526	LPGAT1|9926	1362.9783
LPHN1|22859	1421.3353	LPHN1|22859	107.5491
LPHN2|23266	3095.3815	LPHN2|23266	841.2616
LPHN3|23284	18.0723	LPHN3|23284	38.7797
LPIN1|23175	463.1861	LPIN1|23175	6024.819
LPIN2|9663	2193.7751	LPIN2|9663	268.8728
LPIN3|64900	510.8099	LPIN3|64900	39.9741
LPL|4023	398.5944	LPL|4023	3979.3175
LPPR2|64748	1646.921	LPPR2|64748	826.2668
LPPR3|79948	8.0321	lowly_expressed	lowly_expressed
LPPR4|9890	70.9505	LPPR4|9890	182.5233
lowly_expressed	lowly_expressed	LPPR5|163404	18.6143
LPP|4026	941.7671	LPP|4026	692.3475
LPXN|9404	450.4685	LPXN|9404	70.8376
LQK1|642946	33.8019	LQK1|642946	20.6825
LRBA|987	2537.4833	lowly_expressed	lowly_expressed
LRCH1|23143	868.8086	LRCH1|23143	331.4374
LRCH2|57631	77.6439	LRCH2|57631	39.8139
LRCH3|84859	352.7443	LRCH3|84859	429.6794
LRCH4|4034	965.5288	LRCH4|4034	466.3909
LRDD|55367	119.4779	LRDD|55367	88.4178
LRFN1|57622	140.2276	LRFN1|57622	5.1706
LRFN2|57497	152.9451	lowly_expressed	lowly_expressed
LRFN3|79414	268.407	LRFN3|79414	127.7146
LRFN4|78999	785.4752	LRFN4|78999	195.4498
LRFN5|145581	10.7095	LRFN5|145581	7.7559
LRG1|116844	586.0107	LRG1|116844	23.2678
LRGUK|136332	7.3628	lowly_expressed	lowly_expressed
LRIG1|26018	5252.4197	LRIG1|26018	3136.8925
LRIG2|9860	250.0	LRIG2|9860	204.2399
LRIG3|121227	567.9384	LRIG3|121227	418.8211
LRIT3|345193	7.6975	lowly_expressed	lowly_expressed
LRMP|4033	103.4137	LRMP|4033	14.9948
LRP10|26020	7599.7323	LRP10|26020	1480.3516
LRP11|84918	2128.1794	LRP11|84918	220.5584
LRP12|29967	1218.5408	LRP12|29967	803.5160000000001
lowly_expressed	lowly_expressed	LRP1B|53353	208.3764
LRP1|4035	13946.4525	LRP1|4035	5627.1975
LRP2BP|55805	61.9143	LRP2BP|55805	80.1448
LRP2|4036	29341.7001	lowly_expressed	lowly_expressed
LRP3|4037	576.9746	LRP3|4037	1029.9897
LRP4|4038	121.0576	LRP4|4038	1314.3433
LRP5L|91355	48.8621	LRP5L|91355	9.3071
LRP5|4041	553.5475	LRP5|4041	564.6329
LRP6|4040	804.8862	LRP6|4040	1740.4343
LRP8|7804	123.1593	LRP8|7804	10.8583
LRPAP1|4043	1869.8126	LRPAP1|4043	1380.5584
LRPPRC|10128	2059.2369	LRPPRC|10128	10507.2389
LRRC10B|390205	338.0187	LRRC10B|390205	5.6877
lowly_expressed	lowly_expressed	LRRC14B|389257	820.062
LRRC14|9684	491.8273	LRRC14|9684	398.5626
LRRC15|131578	7131.8608	LRRC15|131578	110.1344
LRRC16A|55604	670.0134	lowly_expressed	lowly_expressed
LRRC16B|90668	5.0201	lowly_expressed	lowly_expressed
LRRC17|10234	631.8608	LRRC17|10234	251.8097
LRRC1|55227	1342.7041	LRRC1|55227	31.0238
LRRC20|55222	90.0268	LRRC20|55222	11594.1055
LRRC23|10233	174.0295	LRRC23|10233	205.274
LRRC24|441381	9.1767	LRRC24|441381	5.7808
LRRC25|126364	249.3307	LRRC25|126364	200.1034
LRRC26|389816	80.3213	lowly_expressed	lowly_expressed
LRRC27|80313	302.8782	LRRC27|80313	51.7063
LRRC28|123355	89.0228	LRRC28|123355	399.1727
LRRC29|26231	45.1807	LRRC29|26231	12.4095
lowly_expressed	lowly_expressed	LRRC2|79442	9778.697
lowly_expressed	lowly_expressed	LRRC30|339291	131.334
LRRC32|2615	1615.4618	LRRC32|2615	850.0517
LRRC33|375387	196.4525	LRRC33|375387	110.1344
LRRC34|151827	52.2088	LRRC34|151827	31.5408
LRRC36|55282	9.0361	lowly_expressed	lowly_expressed
LRRC37A2|474170	108.0622	LRRC37A2|474170	67.9111
LRRC37A3|374819	164.6586	LRRC37A3|374819	22.2337
LRRC37A4|55073	231.1814	LRRC37A4|55073	55.3257
LRRC37A|9884	340.3614	LRRC37A|9884	304.0331
LRRC37B2|147172	322.9585	LRRC37B2|147172	234.7466
LRRC37B|114659	183.4003	LRRC37B|114659	59.9793
LRRC39|127495	5.5388	LRRC39|127495	8866.271999999999
lowly_expressed	lowly_expressed	LRRC3B|116135	66.1841
LRRC3|81543	30.1205	LRRC3|81543	14.9948
LRRC40|55631	245.6493	LRRC40|55631	408.9969
LRRC41|10489	1496.3186	LRRC41|10489	1600.8273
LRRC42|115353	339.0228	LRRC42|115353	428.6453
LRRC43|254050	9.3708	lowly_expressed	lowly_expressed
LRRC45|201255	113.4538	LRRC45|201255	42.3992
LRRC46|90506	16.3989	lowly_expressed	lowly_expressed
LRRC47|57470	757.3628	LRRC47|57470	3134.9535
LRRC48|83450	102.6238	LRRC48|83450	15.5119
LRRC49|54839	601.7403	LRRC49|54839	37.7456
LRRC4B|94030	12.0482	LRRC4B|94030	8.7901
LRRC4C|57689	63.9224	LRRC4C|57689	22.7508
LRRC4|64101	64.5917	LRRC4|64101	24.819000000000003
LRRC50|123872	10.3748	lowly_expressed	lowly_expressed
LRRC52|440699	184.739	LRRC52|440699	13.4436
LRRC55|219527	109.1031	LRRC55|219527	55.8428
LRRC56|115399	129.8527	LRRC56|115399	17.0631
LRRC57|255252	364.1232	LRRC57|255252	236.2978
LRRC58|116064	1525.1004	LRRC58|116064	718.7177
LRRC59|55379	2490.0335	LRRC59|55379	758.2885
LRRC61|65999	561.245	LRRC61|65999	50.6722
lowly_expressed	lowly_expressed	LRRC66|339977	64.1158
LRRC69|100130742	6.3588	lowly_expressed	lowly_expressed
LRRC6|23639	121.4859	LRRC6|23639	5.6877
LRRC70|100130733	60.9103	LRRC70|100130733	76.6184
lowly_expressed	lowly_expressed	LRRC7|57554	69.8035
LRRC8A|56262	1967.8715	LRRC8A|56262	702.6887
LRRC8B|23507	873.8286	LRRC8B|23507	356.7735
LRRC8C|84230	1146.2517	LRRC8C|84230	646.3289
LRRC8D|55144	428.7149	LRRC8D|55144	192.3475
LRRC8E|80131	941.7671	lowly_expressed	lowly_expressed
LRRCC1|85444	276.1044	LRRCC1|85444	68.7694
LRRFIP1|9208	4195.1138	LRRFIP1|9208	5349.5346
LRRFIP2|9209	621.8206	LRRFIP2|9209	3546.0186
LRRK1|79705	306.2249	LRRK1|79705	187.6939
LRRK2|120892	248.6613	LRRK2|120892	647.88
LRRN1|57633	192.7711	LRRN1|57633	782.8335
LRRN2|10446	491.6332	LRRN2|10446	86.3495
LRRN3|54674	97.7242	LRRN3|54674	26.3702
LRRN4CL|221091	42.838	LRRN4CL|221091	367.6319
LRRTM2|26045	18.0723	LRRTM2|26045	6.7218
lowly_expressed	lowly_expressed	LRRTM3|347731	5.1706
LRSAM1|90678	570.2811	LRSAM1|90678	498.9659
LRTM2|654429	13.0522	lowly_expressed	lowly_expressed
LRTOMT|220074	557.4598	LRTOMT|220074	130.2223
LRWD1|222229	330.9906	LRWD1|222229	173.2161
LSAMP|4045	118.1392	lowly_expressed	lowly_expressed
LSG1|55341	1014.0562	LSG1|55341	943.6401
LSM10|84967	410.6426	LSM10|84967	1453.9814
LSM11|134353	220.2142	LSM11|134353	147.363
LSM12|124801	1016.3989	LSM12|124801	906.9286
LSM14A|26065	2803.5475	LSM14A|26065	3210.4447
LSM14B|149986	1084.0027	LSM14B|149986	1733.7125
LSM1|27257	868.1392	LSM1|27257	450.3619
LSM2|57819	302.8782	LSM2|57819	384.6949
LSM3|27258	428.7149	LSM3|27258	1100.8273
LSM4|25804	926.7068	LSM4|25804	1569.8035
LSM5|23658	567.6037	LSM5|23658	624.0951
LSM6|11157	145.917	LSM6|11157	161.3237
LSM7|51690	210.174	LSM7|51690	269.9069
LSMD1|84316	274.7657	LSMD1|84316	841.7787
LSP1|4046	1246.3186	LSP1|4046	856.2565
LSR|51599	1520.7497	LSR|51599	157.1872
LSS|4047	1187.4163	LSS|4047	1277.6629
LST1|7940	185.743	LST1|7940	35.1603
LTA4H|4048	932.0616	LTA4H|4048	1607.5491
LTA|4049	6.6934	lowly_expressed	lowly_expressed
LTB4R2|56413	41.824	LTB4R2|56413	10.7911
LTB4R|1241	136.67	LTB4R|1241	26.8873
LTBP1|4052	960.5087	LTBP1|4052	1567.7353
LTBP2|4053	3474.8996	LTBP2|4053	1424.5088
LTBP3|4054	3537.4732	LTBP3|4054	2472.8025
LTBP4|8425	855.4217	LTBP4|8425	3462.2544
LTBR|4055	1837.6841	LTBR|4055	598.242
LTB|4050	19.410999999999998	lowly_expressed	lowly_expressed
LTC4S|4056	45.2912	LTC4S|4056	22.0631
LTF|4057	74.6319	LTF|4057	27.9214
LTV1|84946	487.6171	LTV1|84946	722.5181
LUC7L2|51631	2243.591	LUC7L2|51631	2237.1096
LUC7L3|51747	1627.8447	LUC7L3|51747	1020.6825
LUC7L|55692	544.8461	LUC7L|55692	207.8594
LUM|4060	38549.5315	LUM|4060	6371.7684
LUZP1|7798	995.9839	LUZP1|7798	482.4199
LUZP2|338645	46.1847	LUZP2|338645	9.8242
LUZP6|767558	4149.2637	LUZP6|767558	2841.7787
LXN|56925	415.32800000000003	LXN|56925	175.2844
LY6E|4061	1978.9157	LY6E|4061	493.7952
LY6G5B|58496	32.7979	LY6G5B|58496	12.2958
LY6G5C|80741	16.3989	LY6G5C|80741	30.5067
LY6G6C|80740	11.0442	lowly_expressed	lowly_expressed
LY6H|4062	9.0361	LY6H|4062	20.6825
lowly_expressed	lowly_expressed	LY6K|54742	94.6225
LY75|4065	360.8601	LY75|4065	36.1944
LY86|9450	272.7577	LY86|9450	7.7559
LY96|23643	121.4859	LY96|23643	42.9162
LY9|4063	19.7456	lowly_expressed	lowly_expressed
LYAR|55646	150.9371	LYAR|55646	271.4581
LYG1|129530	7.3628	lowly_expressed	lowly_expressed
LYL1|4066	82.3293	LYL1|4066	38.2627
LYNX1|66004	184.739	LYNX1|66004	277.6629
LYN|4067	937.0817	LYN|4067	236.8149
LYPD1|116372	24.7155	LYPD1|116372	6.5926
LYPD3|27076	365.1272	lowly_expressed	lowly_expressed
LYPD5|284348	41.4993	lowly_expressed	lowly_expressed
LYPD6B|130576	704.4846	lowly_expressed	lowly_expressed
LYPD6|130574	20.7497	LYPD6|130574	8.7901
LYPLA1|10434	642.5703	LYPLA1|10434	1922.9576
LYPLA2P1|653639	55.8902	LYPLA2P1|653639	26.8873
LYPLA2|11313	888.8889	LYPLA2|11313	539.2968
LYPLAL1|127018	624.498	LYPLAL1|127018	565.6669999999999
LYRM1|57149	386.5462	LYRM1|57149	830.9204
LYRM2|57226	1080.6225	LYRM2|57226	1472.9731
LYRM4|57128	199.1299	LYRM4|57128	178.3868
LYRM5|144363	379.1834	LYRM5|144363	1071.3547
LYRM7|90624	347.7242	LYRM7|90624	3155.1189
LYSMD1|388695	363.4538	LYSMD1|388695	418.8211
LYSMD2|256586	712.1821	LYSMD2|256586	385.7291
LYSMD3|116068	858.4337	LYSMD3|116068	814.8914
LYSMD4|145748	64.672	LYSMD4|145748	218.94
LYST|1130	721.5529	LYST|1130	525.8532
LYVE1|10894	54.2169	LYVE1|10894	1094.6225
LYZL2|119180	13.0522	lowly_expressed	lowly_expressed
LYZ|4069	2400.2677	LYZ|4069	411.0651
LZIC|84328	302.5435	LZIC|84328	410.031
LZTFL1|54585	466.8675	LZTFL1|54585	198.0352
LZTR1|8216	1122.1553	LZTR1|8216	703.2058
LZTS1|11178	542.8380000000001	LZTS1|11178	72.9059
LZTS2|84445	1127.8447	LZTS2|84445	690.2792
M6PR|4074	2345.1406	M6PR|4074	1352.1044
MAB21L1|4081	26.4391	MAB21L1|4081	30.5067
MACC1|346389	107.4297	lowly_expressed	lowly_expressed
MACF1|23499	7664.9933	MACF1|23499	6127.7146
MACROD1|28992	257.0281	MACROD1|28992	2109.6174
MACROD2|140733	26.1044	MACROD2|140733	47.5698
MAD1L1|8379	317.6037	MAD1L1|8379	305.0672
