gene_id	TCGA-BH-A0HA-01A-11R-A12P-07	gene_id	TCGA-BH-A0HA-11A-31R-A12P-07
ADAM28|10863	61.2316	ADAM28|10863	81.914
lowly_expressed	lowly_expressed	ADAM32|203102	92.8629
ADAM33|80332	69.1175	ADAM33|80332	290.3487
ADAM6|8755	17025.7637	ADAM6|8755	35367.3317
ADAM8|101	461.0924	ADAM8|101	83.9416
ADAM9|8754	873.9418	ADAM9|8754	1223.4388
ADAMDEC1|27299	94.1668	lowly_expressed	lowly_expressed
ADAMTS10|81794	103.9082	ADAMTS10|81794	145.5799
ADAMTS12|81792	305.6941	ADAMTS12|81792	54.339
ADAMTS13|11093	39.4294	ADAMTS13|11093	95.296
ADAMTS14|140766	288.9945	ADAMTS14|140766	6.0827
ADAMTS15|170689	192.5084	ADAMTS15|170689	302.1087
ADAMTS16|170690	642.9317	ADAMTS16|170690	257.0965
ADAMTS17|170691	39.8933	ADAMTS17|170691	104.2174
ADAMTS18|170692	17.1634	ADAMTS18|170692	220.1946
ADAMTS1|9510	656.848	ADAMTS1|9510	1366.5856
ADAMTS2|9509	729.6764	ADAMTS2|9509	196.2693
ADAMTS3|9508	25.0493	ADAMTS3|9508	89.2133
ADAMTS4|9507	401.7163	ADAMTS4|9507	19.0592
ADAMTS5|11096	277.8615	ADAMTS5|11096	5454.5823
ADAMTS6|11174	106.2275	ADAMTS6|11174	9.7324
ADAMTS7|11173	246.318	ADAMTS7|11173	44.6067
ADAMTS8|11095	24.1215	ADAMTS8|11095	63.2603
ADAMTS9|56999	261.162	ADAMTS9|56999	925.3852
ADAMTSL1|92949	85.817	ADAMTSL1|92949	122.871
ADAMTSL2|9719	308.9412	ADAMTSL2|9719	31.6302
ADAMTSL3|57188	67.7258	ADAMTSL3|57188	69.3431
ADAMTSL4|54507	68.6536	ADAMTSL4|54507	311.03
ADAMTSL5|339366	237.0405	ADAMTSL5|339366	22.7088
ADAP1|11033	542.8041	ADAP1|11033	89.9473
ADAP2|55803	338.1654	ADAP2|55803	119.2214
ADARB1|104	542.2707	ADARB1|104	709.2457
lowly_expressed	lowly_expressed	ADARB2|105	23.5199
ADAR|103	9509.4515	ADAR|103	7008.1103
ADAT1|23536	179.9838	ADAT1|23536	331.3058
ADAT2|134637	38.9656	ADAT2|134637	293.5929
ADAT3|113179	45.9237	ADAT3|113179	18.2482
ADA|100	142.8737	ADA|100	57.9886
ADCK1|57143	276.9338	ADCK1|57143	171.1273
ADCK2|90956	1104.488	ADCK2|90956	621.249
ADCK4|79934	742.2011	ADCK4|79934	538.9294
ADCK5|203054	117.8244	ADCK5|203054	114.7607
ADCY1|107	1409.7182	ADCY1|107	923.3577
ADCY2|108	64.0148	ADCY2|108	144.7689
ADCY3|109	774.5425	ADCY3|109	1087.1533
ADCY4|196883	185.5503	ADCY4|196883	260.7461
ADCY5|111	13.4524	lowly_expressed	lowly_expressed
ADCY6|112	986.6636	ADCY6|112	1717.356
ADCY7|113	525.1073	ADCY7|113	616.3828
ADCY9|115	1358.6919	ADCY9|115	673.9659
lowly_expressed	lowly_expressed	ADCYAP1R1|117	10.9489
